Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
04/06/2017;0,17;0,18;2;17;21;12;4
03/06/2017;0,25;0,27;4;21;26;22;4
02/06/2017;0,26;0,25;3;20;24;22;3
01/06/2017;0,28;0,28;10;24;38;28;5
31/05/2017;0,24;0,27;7;21;31;19;4
30/05/2017;0,2;0,17;2;15;18;10;2
29/05/2017;0,18;0,2;2;15;18;13;3
28/05/2017;0,26;0,26;3;18;23;27;5
27/05/2017;0,3;0,31;4;29;35;29;5
26/05/2017;0,3;0,3;5;29;37;29;7
25/05/2017;0,29;0,29;7;39;49;32;7
24/05/2017;0,26;0,26;6;30;38;26;5
23/05/2017;0,22;0,19;3;16;20;21;7
22/05/2017;0,33;0,34;5;21;27;36;6
21/05/2017;0,24;0,25;5;24;31;14;15
20/05/2017;0,21;0,2;4;18;24;12;6
19/05/2017;0,19;0,18;4;19;26;13;6
18/05/2017;0,19;0,21;2;15;18;12;5
17/05/2017;0,31;0,29;8;37;50;25;6
16/05/2017;0,27;0,29;10;33;47;24;6
15/05/2017
14/05/2017
13/05/2017;;0,21;;;;;
12/05/2017;0,18;0,18;1;15;16;10;3
11/05/2017;0,16;0,17;1;12;13;7;3
10/05/2017;0,29;0,31;9;34;48;31;6
09/05/2017;0,3;0,29;10;33;49;24;9
08/05/2017;0,26;0,26;12;29;48;19;12
07/05/2017;0,25;0,24;3;23;27;17;11
06/05/2017;0,23;0,24;1;16;17;13;5
05/05/2017;0,27;0,27;5;34;40;24;5
04/05/2017;0,32;0,37;12;30;48;25;5
03/05/2017;0,34;0,27;8;23;35;20;7
02/05/2017;0,24;0,25;8;28;40;17;7
01/05/2017;0,22;0,19;2;23;26;17;6
30/04/2017;0,18;0,18;;;14;8;4
29/04/2017;0,22;0,23;4;23;28;12;6
28/04/2017;0,27;0,26;12;33;51;15;6
27/04/2017;0,22;0,21;7;25;36;10;4
26/04/2017;0,18;0,2;3;26;28;10;3
25/04/2017;0,3;0,3;7;36;42;20;5
24/04/2017;0,27;0,27;9;34;47;22;11
23/04/2017;0,29;0,3;4;34;38;27;20
22/04/2017;0,24;0,25;2;26;28;21;16
21/04/2017;0,3;0,29;8;38;50;21;9
20/04/2017;0,33;0,33;6;24;31;14;5
19/04/2017;0,28;0,28;3;23;25;15;3
18/04/2017;0,24;0,24;6;27;35;18;4
17/04/2017;0,21;0,2;3;16;20;16;5
16/04/2017;0,22;0,21;2;14;17;10;5
15/04/2017;0,22;0,23;2;18;20;17;7
14/04/2017;0,21;0,22;1;17;18;18;11
13/04/2017;0,24;0,24;3;20;24;18;7
12/04/2017;0,28;0,28;9;28;41;24;9
11/04/2017;0,23;0,24;2;18;20;26;5
10/04/2017;0,27;0,26;2;18;21;33;12
09/04/2017;0,33;0,36;4;27;32;35;12
08/04/2017;0,31;0,28;4;42;47;38;14
07/04/2017;0,24;0,23;7;32;42;27;6
06/04/2017;0,21;0,21;2;19;23;27;3
05/04/2017;0,2;0,19;2;14;16;20;3
04/04/2017;0,17;0,17;2;19;22;16;6
03/04/2017;0,2;0,2;6;22;30;15;7
02/04/2017;0,19;0,19;1;12;13;16;5
01/04/2017;0,2;0,2;1;13;14;11;5
31/03/2017;0,33;0,34;12;33;51;29;6
30/03/2017;0,22;0,23;5;33;39;15;7
29/03/2017;0,32;0,35;10;52;66;25;15
28/03/2017;0,34;0,37;4;34;40;20;12
27/03/2017;0,28;0,2;2;24;28;12;5
26/03/2017;0,18;0,18;2;14;16;7;4
25/03/2017;0,21;0,24;2;23;26;6;5
24/03/2017;0,29;0,29;11;32;48;13;9
23/03/2017;0,25;0,23;4;25;31;7;4
22/03/2017;0,25;0,26;2;24;27;10;5
21/03/2017;0,24;0,23;6;33;41;15;7
20/03/2017;0,25;0,25;2;23;26;23;6
19/03/2017;0,24;0,24;4;18;24;17;8
18/03/2017;0,28;0,28;2;18;20;17;5
17/03/2017;0,25;0,25;5;21;29;25;7
16/03/2017;0,32;0,32;10;41;56;28;9
15/03/2017;0,33;0,34;14;38;58;33;9
14/03/2017;0,25;0,23;2;20;23;28;3
13/03/2017;0,18;0,18;2;15;16;27;4
12/03/2017;0,17;0,16;1;8;9;15;7
11/03/2017;0,33;0,37;13;34;53;38;13
10/03/2017;0,4;0,39;36;54;108;44;13
09/03/2017;0,24;0,22;8;33;45;28;9
08/03/2017;0,22;0,23;13;22;42;25;6
07/03/2017;0,25;0,25;11;30;45;31;6
06/03/2017;0,19;0,2;3;20;23;32;8
05/03/2017;0,23;0,22;2;17;19;25;5
04/03/2017;0,22;0,22;3;22;25;13;9
03/03/2017;0,25;0,26;3;22;26;10;5
02/03/2017;0,3;0,3;29;44;88;25;9
01/03/2017;0,21;0,2;5;30;38;12;6
28/02/2017;0,24;0,25;2;24;27;17;5
27/02/2017;0,25;0,28;3;23;27;18;5
26/02/2017;0,36;0,39;9;31;44;30;10
25/02/2017;0,35;0,29;17;42;67;40;12
24/02/2017;0,25;0,25;5;28;35;19;4
23/02/2017;0,36;0,37;6;34;42;47;9
22/02/2017;0,32;0,33;21;36;68;40;9
21/02/2017;0,35;0,34;21;38;69;25;8
20/02/2017;0,3;0,32;10;36;51;23;5
19/02/2017;0,25;0,24;2;20;23;14;5
18/02/2017;0,33;0,34;8;30;42;27;9
17/02/2017;0,33;0,32;22;47;80;35;12
16/02/2017;0,26;0,26;8;35;46;20;6
15/02/2017;0,26;0,25;6;33;42;12;5
14/02/2017;0,26;0,27;8;34;46;14;6
13/02/2017;0,23;0,22;4;24;30;23;3
12/02/2017;0,26;0,27;2;14;17;19;3
11/02/2017;0,31;0,32;14;31;52;27;7
10/02/2017;0,27;0,26;11;39;54;16;8
09/02/2017;0,26;0,26;12;36;53;15;6
08/02/2017;0,2;0,19;3;24;28;14;3
07/02/2017;0,23;0,27;5;28;36;17;5
