Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
04/09/2017;0,76;0,46;2;11;14;36;38;11;4;3;1,01
03/09/2017;0,94;0,51;2;12;15;50;50;13;4;5;0,96
02/09/2017;0,89;0,48;1;9;11;58;62;14;4;3;0,77
01/09/2017;0,56;0,46;1;7;9;64;62;13;3;2;0,64
31/08/2017;0,63;0,78;1;9;11;59;60;12;3;2;0,86
30/08/2017;1,68;1,19;3;11;15;53;52;19;4;3;1,42
29/08/2017;2,71;1,95;2;13;16;53;;19;5;3;2,96
28/08/2017;2,91;1,79;3;13;18;55;53;21;6;3;4,24
27/08/2017;3,84;2,41;2;14;17;43;38;22;6;4;3,93
26/08/2017;6,62;3,33;2;16;19;46;49;17;8;3;5,29
25/08/2017;0,81;0,39;3;15;19;46;46;22;5;2;0,83
24/08/2017;0,69;0,27;2;12;15;53;54;20;5;;0,8
23/08/2017;1,63;1,18;2;12;15;48;47;27;5;;1,94
22/08/2017;1,13;0,97;2;14;16;71;74;32;5;;1,33
21/08/2017;3,94;3,14;5;28;36;59;53;31;5;7;5,01
20/08/2017;1,75;1,23;2;11;14;46;47;16;4;;2,01
19/08/2017;1,62;0,98;1;10;12;54;57;16;3;;1,78
18/08/2017;0,79;0,38;3;13;17;49;48;12;4;;0,97
17/08/2017;0,68;0,44;2;14;18;53;51;14;4;;0,9
16/08/2017;0,93;0,23;2;11;14;38;39;11;3;;0,76
15/08/2017;0,48;0,08;1;10;11;50;54;13;3;;0,43
14/08/2017;3,62;2,83;5;18;25;56;52;26;6;;4,51
13/08/2017;0,43;0,7;2;11;13;44;45;15;5;4;1,01
12/08/2017;1,57;1,56;4;11;18;49;51;18;5;6;2,76
11/08/2017;0,3;0,43;1;8;10;58;62;18;4;2;0,71
10/08/2017;0,3;0,05;1;6;8;70;70;19;4;2;0,28
09/08/2017;0,24;0,1;1;6;7;72;71;11;5;2;0,34
08/08/2017;0,17;0,02;1;7;9;66;68;12;5;2;0,24
07/08/2017;0,28;0,17;1;8;10;63;61;19;5;4;0,67
06/08/2017;0,28;0,09;1;7;9;66;66;16;4;2;0,45
05/08/2017;0,27;0,09;1;9;11;55;57;9;4;2;0,44
04/08/2017;0,54;0,61;2;11;14;56;55;17;5;3;1,33
03/08/2017;0,71;2,17;3;13;17;52;54;21;5;5;1,92
02/08/2017;0,36;0,36;3;12;16;49;45;21;4;6;1,01
01/08/2017;0,37;0,24;2;13;16;37;35;15;4;3;0,76
31/07/2017;0,42;0,32;2;12;15;37;39;13;4;2;0,94
30/07/2017;0,36;0,25;1;9;11;40;40;16;4;3;0,78
29/07/2017;0,48;0,65;2;15;19;55;56;24;4;9;1,31
28/07/2017;0,57;0,61;2;14;18;44;46;14;6;5;1,18
27/07/2017;0,44;1,23;5;13;20;48;47;28;5;8;1,42
