Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
29/07/2017;1;10;10;52;53;14;2;12
28/07/2017;1;8;9;42;45;9;2;4
27/07/2017;2;8;12;45;43;18;2;6
26/07/2017;1;5;6;56;57;15;1;4
25/07/2017;0;2;2;53;54;9;2;3
24/07/2017;0;3;4;41;41;5;2;2
23/07/2017;0;1;1;54;55;13;1;4
22/07/2017;0;5;5;41;40;12;1;3
21/07/2017;0;6;6;38;40;8;2;3
20/07/2017;0;4;4;53;56;7;1;3
19/07/2017;1;7;8;76;81;22;1;5
18/07/2017;1;7;8;84;83;24;2;4
17/07/2017;4;21;27;68;66;28;2;5
16/07/2017;0;7;7;67;73;15;2;6
15/07/2017;0;6;6;53;56;9;2;8
14/07/2017;3;7;11;43;;6;2;5
13/07/2017;4;7;14;36;38;7;2;3
12/07/2017;5;8;15;34;36;10;2;3
11/07/2017;6;11;20;39;41;11;2;5
10/07/2017;5;5;12;41;43;8;2;2
09/07/2017;4;5;11;55;55;14;2;2
08/07/2017;3;5;10;66;67;14;2;3
07/07/2017;5;10;18;48;45;14;2;4
06/07/2017;6;12;21;45;48;19;2;3
05/07/2017;4;9;15;68;69;24;3;4
04/07/2017;11;21;37;47;41;21;3;4
03/07/2017;7;9;19;25;27;8;2;3
02/07/2017;2;5;8;46;48;;2;3
01/07/2017;1;4;5;57;61;;2;2
30/06/2017;2;4;7;66;66;8;2;2
29/06/2017;;;;;;10;1;2
28/06/2017;1;4;6;56;52;11;1;2
27/06/2017;3;11;15;36;35;12;1;3
26/06/2017;;;;;;10;1;2
25/06/2017;;;;;;11;2;3
24/06/2017;0;5;6;46;47;12;2;2
23/06/2017;0;9;10;52;55;22;2;3
22/06/2017;1;11;13;65;69;21;2;2
21/06/2017;1;17;18;111;115;29;3;5
20/06/2017;2;21;24;96;102;25;3;5
19/06/2017;1;11;12;92;88;21;2;3
18/06/2017;2;14;17;72;76;23;2;4
17/06/2017;1;8;10;59;55;17;2;3
16/06/2017;2;12;15;43;46;17;2;4
15/06/2017;1;9;10;59;60;12;2;2
14/06/2017;2;12;15;52;47;25;3;3
13/06/2017;5;15;22;39;43;21;3;6
12/06/2017;2;13;15;40;39;12;3;4
11/06/2017;0;7;8;49;51;20;2;3
10/06/2017;2;7;11;45;41;17;1;3
09/06/2017;3;10;15;38;42;14;1;4
08/06/2017;1;11;13;60;57;21;1;4
07/06/2017;2;13;16;49;51;20;2;6
06/06/2017;1;7;8;63;65;15;1;2
05/06/2017;3;7;12;56;56;10;1;2
04/06/2017;4;6;12;48;49;7;1;2
03/06/2017;3;5;9;49;51;11;1;2
02/06/2017;3;11;15;60;60;15;1;2
01/06/2017;7;13;25;52;50;17;1;4
31/05/2017;3;10;15;43;48;13;2;3
30/05/2017;2;12;14;59;64;7;2;3
29/05/2017;1;12;14;68;69;8;2;2
28/05/2017;2;10;13;62;66;20;8;3
27/05/2017;2;13;16;71;72;20;2;4
26/05/2017;2;10;12;97;104;16;2;3
25/05/2017;2;16;19;90;81;22;4;3
24/05/2017;3;15;18;58;59;18;3;3
23/05/2017;2;9;12;56;61;15;2;5
22/05/2017;3;11;15;77;80;25;2;3
21/05/2017;3;8;12;67;61;9;2;2
20/05/2017;3;6;10;61;63;7;2;3
19/05/2017;2;6;10;68;71;9;2;2
18/05/2017;2;7;10;76;71;5;2;2
17/05/2017;2;17;20;56;62;12;2;6
16/05/2017;3;16;21;70;67;15;2;7
15/05/2017;1;14;16;67;66;11;2;6
14/05/2017;2;9;11;56;58;9;2;6
13/05/2017;2;7;10;69;71;7;2;7
12/05/2017;1;5;7;78;80;6;2;4
11/05/2017;1;3;5;90;89;4;2;4
10/05/2017;2;15;19;69;65;15;2;8
09/05/2017;3;19;23;59;59;16;2;8
08/05/2017;3;13;18;54;59;9;2;6
07/05/2017;1;8;10;64;69;8;2;7
06/05/2017;2;6;9;73;77;7;2;7
05/05/2017;2;11;15;74;78;15;2;5
04/05/2017;4;18;24;60;63;16;2;7
03/05/2017;3;10;15;56;57;10;2;5
02/05/2017;2;9;12;69;70;10;2;4
01/05/2017;3;7;11;78;83;12;2;5
30/04/2017;3;5;8;93;92;7;1;3
29/04/2017;2;7;11;76;75;7;2;3
28/04/2017;4;13;20;68;68;8;2;12
27/04/2017;3;10;14;71;72;6;2;7
26/04/2017;2;11;15;76;79;6;2;7
25/04/2017;2;15;18;65;63;11;2;6
24/04/2017;;;28;61;60;16;2;25
23/04/2017;3;15;19;78;83;16;2;13
22/04/2017;;;10;105;106;17;2;6
21/04/2017;7;25;33;74;73;20;2;7
20/04/2017;;;17;77;79;16;2;13
19/04/2017;5;17;23;78;81;16;2;26
18/04/2017;3;13;18;66;67;14;2;16
17/04/2017;3;10;14;63;61;13;2;6
16/04/2017;3;8;12;62;63;8;2;6
15/04/2017;2;7;9;72;77;12;2;4
14/04/2017;2;9;12;71;74;17;2;10
13/04/2017;3;15;18;70;75;14;2;13
12/04/2017;3;11;16;68;68;15;2;5
11/04/2017;2;10;12;81;;17;2;4
10/04/2017;;;14;86;82;24;2;16
09/04/2017;;;17;76;75;21;2;10
08/04/2017;;;15;75;75;19;2;8
07/04/2017;6;17;25;64;68;19;2;7
06/04/2017;3;15;18;73;76;18;2;5
05/04/2017;3;9;13;80;80;13;2;3
04/04/2017;3;10;13;74;73;10;2;4
03/04/2017;3;11;15;69;66;12;2;4
02/04/2017;3;4;9;85;91;12;1;4
01/04/2017;4;3;9;86;83;9;1;3
31/03/2017;6;16;24;73;75;14;2;5
30/03/2017;3;8;12;90;85;13;2;3
29/03/2017;4;15;20;75;77;13;2;7
28/03/2017;3;13;17;76;79;10;2;6
27/03/2017;2;7;11;87;90;8;1;3
26/03/2017;2;6;9;74;73;6;1;2
25/03/2017;3;6;10;80;78;3;1;2
24/03/2017;5;16;24;65;65;9;2;8
23/03/2017;2;4;7;78;81;3;1;2
22/03/2017;3;10;15;73;72;6;1;3
21/03/2017;3;9;13;74;75;6;1;3
20/03/2017;4;14;20;61;62;21;2;6
19/03/2017;1;8;9;65;64;13;2;5
18/03/2017;1;10;12;64;69;11;2;5
17/03/2017;3;17;22;64;62;19;2;5
16/03/2017;2;15;18;69;65;17;2;4
15/03/2017;3;15;19;54;58;17;2;4
14/03/2017;4;13;19;65;69;17;2;5
13/03/2017;5;11;18;80;81;21;2;18
12/03/2017;5;4;12;85;85;14;1;9
11/03/2017;6;21;31;61;51;28;2;9
10/03/2017;22;40;74;21;22;40;3;13
09/03/2017;7;20;31;39;41;21;2;6
08/03/2017;7;14;25;55;57;16;2;6
07/03/2017;7;7;17;68;68;17;2;4
06/03/2017;7;9;20;75;72;22;2;4
05/03/2017;7;8;19;70;74;18;2;5
04/03/2017;7;6;17;78;81;7;1;3
03/03/2017;8;10;23;77;76;8;1;4
02/03/2017;20;23;54;47;43;15;2;9
01/03/2017;7;9;20;65;69;6;1;4
28/02/2017;9;6;21;76;79;9;1;3
27/02/2017;8;8;20;72;73;13;2;4
26/02/2017;7;13;23;55;57;15;2;8
25/02/2017;10;25;41;42;44;18;2;7
24/02/2017;9;16;29;68;69;11;2;6
23/02/2017;11;23;39;39;38;29;2;12
22/02/2017;14;25;46;37;34;20;2;9
21/02/2017;13;27;47;40;43;14;2;8
20/02/2017;7;15;26;56;58;14;2;4
19/02/2017;7;12;23;69;72;12;1;4
18/02/2017;8;19;31;53;49;16;2;5
17/02/2017;10;26;41;44;45;19;2;6
16/02/2017;6;14;23;61;65;15;2;4
15/02/2017;5;7;14;68;68;9;1;3
14/02/2017;4;5;11;73;68;5;1;3
13/02/2017;5;9;16;68;76;18;1;3
12/02/2017;4;7;14;58;51;20;1;4
11/02/2017;5;18;26;35;35;16;2;5
10/02/2017;5;10;18;63;69;10;1;4
09/02/2017;6;10;19;62;60;5;1;4
08/02/2017;3;7;11;79;83;11;1;3
07/02/2017;3;8;13;69;57;9;1;4
06/02/2017;21;24;56;41;56;14;1;5
05/02/2017;2;3;6;88;81;11;1;3
04/02/2017;3;7;12;66;72;9;1;3
03/02/2017;5;4;12;86;85;7;1;3
02/02/2017;6;5;14;80;79;6;1;4
01/02/2017;3;5;10;67;65;5;1;3
31/01/2017;4;5;11;62;65;6;1;3
30/01/2017;4;5;11;56;54;3;1;4
29/01/2017;4;3;9;67;66;4;1;4
28/01/2017;4;8;15;66;70;8;1;4
27/01/2017;4;7;14;72;70;8;1;3
26/01/2017;5;12;20;59;55;15;1;5
25/01/2017;7;22;32;37;35;10;1;6
24/01/2017;8;20;32;42;45;14;2;4
23/01/2017;5;15;23;59;58;11;1;5
22/01/2017;5;14;21;41;37;13;2;5
21/01/2017;11;30;47;23;21;21;2;11
20/01/2017;15;29;51;18;18;19;2;7
19/01/2017;6;27;36;22;24;15;2;6
18/01/2017;3;17;22;48;50;15;2;10
17/01/2017;3;15;20;59;59;7;2;21
16/01/2017;3;7;12;78;79;10;2;9
15/01/2017;1;5;7;82;81;8;2;6
14/01/2017;2;5;8;75;75;6;1;5
13/01/2017;4;6;12;78;77;;1;4
12/01/2017;6;10;19;42;37;6;1;4
11/01/2017;3;10;14;61;62;3;1;4
10/01/2017;3;9;13;70;65;8;1;5
09/01/2017;9;29;43;29;28;12;1;7
08/01/2017;4;25;31;34;32;17;2;8
07/01/2017;6;25;34;27;28;18;2;9
06/01/2017;3;16;20;35;37;11;1;5
05/01/2017;5;19;26;31;29;11;1;6
04/01/2017;12;23;41;15;15;18;2;14
03/01/2017;10;23;38;15;15;20;2;8
02/01/2017;6;16;25;39;45;14;1;4
01/01/2017;1;8;10;36;38;8;1;4
