Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
19/08/2017;1;10;11;14;5
18/08/2017;4;16;21;16;8
17/08/2017;5;17;25;17;8
16/08/2017;4;12;18;14;5
15/08/2017;0;6;7;14;6
14/08/2017;4;12;17;23;11
13/08/2017;3;13;17;17;
12/08/2017;3;13;18;16;7
11/08/2017;7;16;26;19;6
10/08/2017;3;16;20;17;6
09/08/2017;1;11;13;16;5
08/08/2017;3;16;20;15;5
07/08/2017;5;14;21;21;8
06/08/2017;;;7;15;5
05/08/2017;0;5;6;11;2
04/08/2017;4;12;18;15;6
03/08/2017;8;15;27;23;11
02/08/2017;10;18;33;24;10
01/08/2017;8;16;29;19;6
31/07/2017;2;16;18;15;6
30/07/2017;2;15;18;18;8
29/07/2017;5;16;23;16;8
28/07/2017;1;12;13;17;7
27/07/2017;;;29;23;15
26/07/2017;;;;24;13
25/07/2017;;;13;15;6
24/07/2017;;;9;12;4
23/07/2017;;;12;20;9
22/07/2017;;;22;19;9
21/07/2017;10;21;33;18;8
20/07/2017;2;16;16;13;4
19/07/2017;;;16;27;13
18/07/2017;1;9;10;31;14
17/07/2017;8;25;36;36;20
16/07/2017;;;16;22;11
15/07/2017;;;10;14;7
14/07/2017;;;12;10;5
13/07/2017;;;17;12;5
12/07/2017;20;21;42;19;10
11/07/2017;8;18;27;19;8
10/07/2017;;;12;14;7
09/07/2017;;;6;22;13
08/07/2017;;;5;19;13
07/07/2017;;;14;21;14
06/07/2017;;;24;27;17
05/07/2017;;;20;29;14
04/07/2017;9;24;37;23;10
03/07/2017;10;12;27;13;5
02/07/2017;;;20;14;6
01/07/2017;;;9;17;4
30/06/2017;;;16;13;5
29/06/2017;;;13;20;6
28/06/2017;;;15;18;6
27/06/2017;8;17;28;19;6
26/06/2017;8;18;28;20;9
25/06/2017;4;13;16;15;11
24/06/2017;1;12;14;22;13
23/06/2017;;;18;36;19
22/06/2017;;;10;30;16
21/06/2017;5;44;41;;23
20/06/2017;;;44;28;19
19/06/2017;;;25;31;17
18/06/2017;2;25;31;29;16
17/06/2017;;;25;27;12
16/06/2017;;;19;24;9
15/06/2017;;;13;20;8
14/06/2017;;;15;31;15
13/06/2017;;;29;23;8
12/06/2017;;;13;17;6
11/06/2017;;;9;29;17
10/06/2017;;;18;26;14
09/06/2017;9;21;34;25;12
08/06/2017;10;25;38;29;13
07/06/2017;8;21;30;25;9
06/06/2017;;;12;21;5
05/06/2017;;;30;20;9
04/06/2017;;;14;14;6
03/06/2017;;;15;18;8
02/06/2017;;;11;19;10
01/06/2017;;;29;25;17
31/05/2017;4;18;23;16;7
30/05/2017;1;13;14;12;
29/05/2017;1;9;10;14;
28/05/2017;0;7;7;28;18
27/05/2017;2;22;25;31;20
26/05/2017;3;23;28;27;16
25/05/2017;5;26;34;32;17
24/05/2017;3;23;27;23;12
23/05/2017;1;14;16;20;9
22/05/2017;4;14;20;;13
21/05/2017;1;13;14;;6
20/05/2017;1;16;18;;6
19/05/2017;6;19;29;16;6
18/05/2017;1;13;15;12;3
17/05/2017;6;25;34;22;13
16/05/2017;10;28;43;25;14
15/05/2017;6;27;35;20;10
14/05/2017;1;15;17;13;6
13/05/2017;0;11;12;11;6
12/05/2017;0;9;10;10;4
11/05/2017;0;6;7;8;3
10/05/2017;7;25;35;29;16
09/05/2017;10;23;39;22;13
08/05/2017;8;19;31;13;7
07/05/2017;2;16;19;13;7
06/05/2017;1;13;14;11;5
05/05/2017;2;19;22;20;10
04/05/2017;7;21;31;19;9
03/05/2017;3;20;25;21;11
02/05/2017;17;26;52;18;9
01/05/2017;2;18;21;13;5
30/04/2017;;;11;12;6
29/04/2017;5;22;24;15;8
28/04/2017;15;32;53;19;11
27/04/2017;9;29;43;12;6
26/04/2017;;;25;;6
25/04/2017;6;30;38;20;11
24/04/2017;16;33;56;26;13
23/04/2017;3;37;42;26;14
22/04/2017;1;24;25;19;10
21/04/2017;9;34;47;22;11
20/04/2017;10;27;39;16;7
19/04/2017;6;25;34;15;6
18/04/2017;12;27;45;20;10
17/04/2017;5;19;26;18;8
16/04/2017;4;14;20;12;6
15/04/2017;4;17;23;18;10
14/04/2017;4;17;23;26;12
13/04/2017;7;22;32;25;13
12/04/2017;15;31;54;28;15
11/04/2017;6;25;34;25;12
10/04/2017;;;17;30;23
09/04/2017;;;26;;17
08/04/2017;4;32;41;22;14
07/04/2017;17;37;62;32;14
06/04/2017;7;26;30;28;10
05/04/2017;;;13;19;5
04/04/2017;;;23;15;7
03/04/2017;16;26;43;17;7
02/04/2017;;;14;15;4
01/04/2017;;;13;14;4
31/03/2017;12;25;44;22;11
30/03/2017;2;22;25;17;9
29/03/2017;11;52;69;22;12
28/03/2017;4;31;38;18;8
27/03/2017;1;18;19;11;6
26/03/2017;0;7;7;9;3
25/03/2017;1;16;17;8;5
24/03/2017;14;33;55;13;
23/03/2017;7;27;38;11;5
22/03/2017;2;23;26;12;6
21/03/2017;4;34;40;18;10
20/03/2017;1;21;22;21;15
19/03/2017;5;17;23;18;10
18/03/2017;2;19;21;22;11
17/03/2017;7;20;31;34;16
16/03/2017;4;29;34;22;13
15/03/2017;15;38;60;38;14
14/03/2017;7;22;32;28;9
13/03/2017;1;8;9;18;4
12/03/2017;0;6;7;17;4
11/03/2017;9;34;48;26;15
10/03/2017;46;58;128;39;23
09/03/2017;8;30;43;24;12
08/03/2017;10;21;36;15;6
07/03/2017;11;32;48;24;9
06/03/2017;2;19;21;27;6
05/03/2017;1;17;19;18;7
04/03/2017;1;18;20;22;7
03/03/2017;1;17;19;14;7
02/03/2017;28;40;82;20;12
01/03/2017;15;42;64;17;9
28/02/2017;2;25;27;15;6
27/02/2017;5;26;34;19;8
26/02/2017;10;32;47;21;12
25/02/2017;12;39;57;20;11
24/02/2017;8;31;43;15;7
23/02/2017;12;33;51;45;25
22/02/2017;22;40;73;32;20
21/02/2017;19;41;69;21;16
20/02/2017;27;42;83;24;15
19/02/2017;4;23;29;18;11
18/02/2017;17;34;59;24;15
17/02/2017;39;54;113;28;17
16/02/2017;22;44;77;21;12
15/02/2017;2;24;26;13;7
14/02/2017;7;28;38;12;6
13/02/2017;6;20;29;18;8
12/02/2017;1;10;11;23;9
11/02/2017;18;33;61;32;18
10/02/2017;10;36;51;15;9
09/02/2017;11;40;56;;9
08/02/2017;3;25;30;;5
07/02/2017;8;32;45;17;7
06/02/2017;14;36;58;16;9
05/02/2017;0;6;6;14;4
04/02/2017;1;15;17;13;5
03/02/2017;0;6;6;11;5
02/02/2017;0;9;9;9;4
01/02/2017;8;20;31;15;9
31/01/2017;1;17;19;12;6
30/01/2017;7;26;37;10;5
29/01/2017;1;18;19;9;3
28/01/2017;8;32;45;17;8
27/01/2017;0;13;13;16;9
26/01/2017;2;21;24;24;14
25/01/2017;45;47;115;26;18
24/01/2017;66;48;148;31;20
23/01/2017;49;42;117;30;19
22/01/2017;15;30;53;30;19
21/01/2017;29;40;84;32;22
20/01/2017;56;47;132;36;25
19/01/2017;24;37;74;25;15
18/01/2017;18;29;57;17;10
17/01/2017;12;16;34;10;3
16/01/2017;1;6;7;10;2
15/01/2017;0;5;5;10;2
14/01/2017;1;16;17;11;5
13/01/2017;1;12;13;15;5
12/01/2017;15;28;51;19;9
11/01/2017;1;15;16;8;2
10/01/2017;4;17;23;16;7
09/01/2017;57;49;135;24;18
08/01/2017;23;38;73;24;18
07/01/2017;39;43;103;31;21
06/01/2017;31;37;84;25;17
05/01/2017;56;43;129;30;20
04/01/2017;86;46;178;40;31
03/01/2017;72;48;159;38;27
02/01/2017;10;32;47;19;12
01/01/2017;7;25;36;19;
