Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
12/09/2017;0,19;0,31;0,28;0,11;8;31;44;0,55;13;3;1,39
11/09/2017;0,11;0,24;0,26;0,06;4;21;27;0,39;19;3;1,76
10/09/2017;0,07;0,22;0,2;0,02;2;18;22;0,21;14;2;0,45
09/09/2017;0,12;0,22;0,23;0;2;14;17;0,13;11;3;0,36
08/09/2017;0,14;0,31;0,31;0,17;14;27;49;0,76;24;5;1,27
07/09/2017;0,15;0,32;0,33;0,29;15;28;51;1,29;19;3;1,87
06/09/2017;0,18;0,3;0,32;0,23;4;26;31;0,88;14;1;1,59
05/09/2017;0,16;0,4;;0,66;12;22;40;1,3;14;4;2,57
04/09/2017;0,08;0,34;0,35;0,14;16;27;52;0,58;11;3;1,81
03/09/2017;0,16;0,29;0,27;0,05;6;23;31;0,37;13;3;0,74
02/09/2017;0,14;0,25;0,26;0,16;5;21;28;0,59;12;4;1,59
01/09/2017;;0,31;0,3;;8;24;37;;13;6;
31/08/2017;;0,25;0,25;;7;31;34;;10;5;
30/08/2017;;0,28;0,29;;10;29;39;0,83;18;5;1,04
29/08/2017;;0,29;0,29;;11;31;44;0,66;17;4;2,85
28/08/2017;;0,31;0,31;1,22;14;45;64;2,81;22;4;2,54
27/08/2017;;0,38;0,41;0,24;15;36;58;0,72;21;4;1,71
26/08/2017;;0,35;0,32;;6;24;31;0,35;15;3;0,7
25/08/2017;;0,32;0,31;;4;18;24;0,29;12;3;0,56
24/08/2017;;0,31;0,29;;3;17;20;0,16;17;3;0,39
23/08/2017;;0,31;0,3;;6;22;29;0,37;24;3;0,69
22/08/2017;;0,32;0,34;;20;37;60;2,85;31;5;2,66
21/08/2017;;0,31;0,28;;17;47;73;1,35;21;7;2,03
20/08/2017;;0,24;0,24;;8;23;34;0,39;23;4;0,92
