Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);SO2 (µg/m3)
28/03/2017;3;18;22;10;;;
27/03/2017;2;12;15;8;;;
26/03/2017;2;9;12;6;;;
25/03/2017;2;10;13;5;;;
24/03/2017;3;17;22;7;;;
23/03/2017;2;13;17;6;;;
22/03/2017;2;16;19;7;;;
21/03/2017;2;15;17;8;;;
20/03/2017;2;20;23;22;;;
19/03/2017;2;13;16;14;;;
18/03/2017;2;13;16;16;;;
17/03/2017;3;20;26;23;;;
16/03/2017;2;18;20;13;;;
15/03/2017;3;19;24;22;;;
14/03/2017;2;18;21;21;;;
13/03/2017;1;15;16;17;;;
12/03/2017;0;5;6;12;;;
11/03/2017;1;14;16;20;;;
10/03/2017;8;35;48;21;;;
09/03/2017;5;27;35;26;;;
08/03/2017;4;16;22;13;;;
07/03/2017;1;13;16;18;;;
06/03/2017;2;12;14;20;;;
05/03/2017;1;11;12;17;;;
04/03/2017;1;10;11;8;;;
03/03/2017;1;11;12;10;;;
02/03/2017;3;16;21;10;;;
01/03/2017;1;14;16;10;;;
28/02/2017;1;9;10;;;;
27/02/2017;1;11;12;13;;;
26/02/2017;2;17;20;18;;;
25/02/2017;4;22;28;18;;;
24/02/2017;1;17;19;13;;;
23/02/2017;8;30;43;38;;;
22/02/2017;8;35;47;22;;;
21/02/2017;3;22;28;13;;;
20/02/2017;4;22;28;17;;;
19/02/2017;1;19;21;17;;;
18/02/2017;3;18;22;15;;;
17/02/2017;5;29;37;16;;;
16/02/2017;2;18;21;15;;;
15/02/2017;2;15;18;9;;;
14/02/2017;1;10;12;5;;;
13/02/2017;2;12;15;17;;;
12/02/2017;1;11;13;18;;;
11/02/2017;4;21;27;15;;;
10/02/2017;3;17;21;;;;
09/02/2017;2;13;16;6;;;
08/02/2017;1;13;15;9;;;
07/02/2017;2;14;16;9;;;
06/02/2017;3;15;19;9;;;
05/02/2017;1;4;6;9;;;
04/02/2017;2;13;16;8;;;
03/02/2017;1;6;8;7;;;
02/02/2017;1;7;8;5;;;
01/02/2017;1;12;14;7;;;
31/01/2017;1;10;12;6;;;
30/01/2017;1;9;11;5;;;
29/01/2017;1;8;9;4;;;
28/01/2017;2;16;19;9;;;
27/01/2017;1;12;14;9;;;
26/01/2017;2;15;18;12;;;
25/01/2017;5;27;34;14;;;
24/01/2017;6;27;37;17;;;
23/01/2017;5;24;32;15;;;
22/01/2017;3;22;27;17;;;
21/01/2017;10;35;50;21;;;
20/01/2017;16;34;59;20;;;
19/01/2017;6;29;39;16;;;
18/01/2017;4;27;33;14;;;
17/01/2017;1;14;16;7;;;
16/01/2017;1;11;12;8;;;
15/01/2017;0;8;9;8;;;
14/01/2017;1;9;11;6;;;
13/01/2017;1;10;12;10;;;
12/01/2017;8;18;30;10;;;
11/01/2017;2;19;21;6;;;
10/01/2017;1;12;14;7;;;
09/01/2017;12;32;50;13;;;
08/01/2017;12;30;48;16;;;
07/01/2017;6;26;35;14;;;
06/01/2017;4;21;28;13;;;
05/01/2017;6;27;36;13;;;
04/01/2017;20;27;57;21;7;8;7
03/01/2017;19;27;57;20;9;9;6
02/01/2017;3;14;18;11;38;43;5
01/01/2017;3;12;17;11;29;32;5
