Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Benceno (µg/m3);M-P-XILENO (µg/m3);Tolueno (µg/m3);O3 (µg/m3)
10/01/2015;24;32;68;28;19;0,94;3,08;4,01;19
09/01/2015;58;60;149;32;11;1,48;7;8,09;7
08/01/2015;38;51;110;19;12;0,9;3,83;5;12
07/01/2015;52;54;133;38;12;1,04;3,69;4,6;12
06/01/2015;24;45;81;30;18;1,19;2,68;3,94;11
05/01/2015;27;42;84;21;13;0,92;2,36;3,13;14
04/01/2015;26;48;88;34;14;1,13;2,53;3,97;9
03/01/2015;35;48;102;42;21;1,43;2,2;3,11;16
02/01/2015;45;61;130;18;16;1,06;3,83;4,81;5
01/01/2015;19;48;77;22;12;0,81;1,17;2,29;10
