Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
13/04/2015;0,33;0,34;7;9;51;35;13;8
12/04/2015;0,31;0,28;6;10;37;23;13;9
11/04/2015;0,34;0,35;6;9;33;12;9;5
10/04/2015;0,3;0,28;6;8;37;16;9;5
09/04/2015;0,2;0,21;6;6;35;17;8;5
08/04/2015;0,19;0,2;4;5;25;11;7;5
07/04/2015;0,59;0,58;5;31;54;23;14;8
06/04/2015;0,35;0,36;5;10;31;14;11;6
05/04/2015;0,22;0,19;3;4;21;7;6;5
04/04/2015;0,16;0,16;3;3;14;7;2;5
03/04/2015;0,28;0,35;4;8;25;16;9;10
02/04/2015;0,31;0,26;3;8;33;21;9;8
01/04/2015;0,17;0,16;3;6;24;24;8;4
31/03/2015;0,17;0,17;4;6;27;20;8;5
30/03/2015;0,33;0,53;5;10;31;22;8;8
29/03/2015;0,5;0,39;4;10;37;20;11;8
28/03/2015;0,25;0,19;3;9;29;16;9;6
27/03/2015;0,18;0,18;4;13;41;14;8;8
26/03/2015;0,22;0,22;4;12;38;19;12;7
25/03/2015;0,17;0,16;4;5;24;11;6;5
24/03/2015;0,24;0,26;5;18;42;12;8;5
23/03/2015;0,35;0,33;5;28;67;11;9;5
22/03/2015;0,21;0,22;6;2;14;11;8;4
21/03/2015;0,32;0,31;7;6;34;18;13;5
20/03/2015;0,24;0,24;7;6;27;35;22;4
19/03/2015;0,34;0,34;7;12;35;19;14;6
18/03/2015;0,27;0,28;9;26;67;26;14;10
17/03/2015;0,25;0,24;7;12;53;18;12;6
16/03/2015;0,38;0,36;6;30;57;28;21;6
15/03/2015;0,28;0,27;4;8;34;20;13;6
14/03/2015;0,23;0,23;3;3;21;15;9;6
13/03/2015;0,19;0,2;4;6;31;30;12;6
12/03/2015;0,34;0,38;6;22;43;45;30;7
11/03/2015;0,33;0,3;6;29;52;39;26;11
10/03/2015;0,29;0,28;5;32;57;32;18;13
09/03/2015;0,26;0,28;5;23;57;31;18;12
08/03/2015;0,68;0,77;8;18;40;40;22;11
07/03/2015;0,59;0,53;6;37;52;37;22;15
06/03/2015;0,48;0,45;6;56;67;44;22;9
05/03/2015;0,21;0,2;3;28;45;18;10;8
04/03/2015;0,13;0,14;3;6;22;8;5;4
03/03/2015;0,28;0,3;5;23;39;17;10;5
02/03/2015;0,31;0,36;5;24;43;12;8;4
01/03/2015;0,44;0,46;6;14;30;17;13;5
28/02/2015;0,38;0,31;3;26;52;17;10;5
27/02/2015;0,16;0,15;3;7;29;13;7;5
26/02/2015;0,21;0,21;7;6;28;7;6;5
25/02/2015;0,21;0,21;5;6;25;13;8;6
24/02/2015;0,2;0,2;5;5;27;10;5;7
23/02/2015;0,23;0,25;6;13;39;11;7;6
22/02/2015;0,21;0,18;6;5;27;10;5;5
21/02/2015;0,16;0,17;7;3;13;8;3;5
20/02/2015;0,28;0,34;9;15;44;16;11;9
19/02/2015;0,36;0,32;8;57;67;26;15;12
18/02/2015;0,27;0,25;6;28;54;19;12;13
17/02/2015;0,16;0,16;5;7;20;15;7;5
16/02/2015;0,18;0,19;6;8;28;11;6;7
15/02/2015;0,23;0,23;8;4;19;7;4;5
14/02/2015;0,18;0,18;6;4;16;4;2;5
13/02/2015;0,26;0,31;7;9;24;14;9;6
12/02/2015;0,27;0,23;6;11;32;17;12;6
11/02/2015;0,26;0,27;6;16;39;26;18;13
10/02/2015;0,26;0,27;6;23;43;28;17;11
09/02/2015;0,25;0,25;;;;31;15;7
08/02/2015;0,31;0,35;;;;21;16;9
07/02/2015;0,43;0,41;6;20;32;26;17;7
06/02/2015;0,36;0,34;14;21;33;16;11;6
05/02/2015;0,22;0,22;3;6;17;;;4
04/02/2015;0,24;0,24;3;6;21;10;8;5
03/02/2015;0,36;0,36;3;12;35;10;6;5
02/02/2015;0,21;0,2;2;8;23;4;4;5
01/02/2015;0,15;0,15;3;3;11;10;5;5
31/01/2015;0,17;0,18;4;2;12;9;4;7
30/01/2015;0,33;0,36;;;;14;7;6
29/01/2015;0,27;0,22;4;11;29;13;7;8
28/01/2015;0,28;0,29;4;16;36;17;10;8
27/01/2015;0,23;0,24;5;6;32;16;8;6
