Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);O3 (µg/m3)
17/01/2015;4;25;32;18;6;48
16/01/2015;7;31;41;17;5;50
15/01/2015;4;17;24;15;6;61
14/01/2015;29;27;72;24;11;46
13/01/2015;2;13;17;19;8;57
12/01/2015;18;31;59;18;8;43
11/01/2015;7;21;32;23;10;42
10/01/2015;36;34;90;37;21;15
09/01/2015;72;53;163;38;22;12
08/01/2015;78;57;178;41;24;9
07/01/2015;88;49;184;33;20;12
06/01/2015;40;41;103;34;23;8
05/01/2015;54;42;126;26;14;12
04/01/2015;32;34;84;32;21;14
03/01/2015;49;42;117;28;19;15
02/01/2015;73;53;166;29;20;11
01/01/2015;31;39;86;27;22;17
