Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
16/04/2015;4;19;25;61;66;22;4;7
15/04/2015;2;9;13;100;101;24;4;6
14/04/2015;3;11;15;94;91;29;4;6
13/04/2015;3;15;20;94;93;34;4;6
12/04/2015;4;15;22;61;59;22;4;7
11/04/2015;3;13;18;61;61;11;4;8
10/04/2015;3;14;19;80;85;13;4;7
09/04/2015;2;10;14;99;103;17;4;7
08/04/2015;2;7;11;103;98;12;4;5
07/04/2015;10;26;41;63;59;21;5;17
06/04/2015;4;13;19;61;61;13;4;9
05/04/2015;4;12;18;56;58;8;4;15
04/04/2015;3;10;14;78;79;7;3;6
03/04/2015;4;14;20;58;56;12;4;9
02/04/2015;4;17;23;61;62;19;3;9
01/04/2015;3;12;17;77;78;21;4;6
31/03/2015;3;11;16;69;69;13;3;5
30/03/2015;3;12;16;77;77;18;4;6
29/03/2015;3;9;14;66;63;10;4;9
28/03/2015;3;10;15;55;57;9;4;5
27/03/2015;3;12;17;69;71;6;4;7
26/03/2015;3;9;14;69;69;6;4;5
25/03/2015;4;14;21;81;80;9;4;7
24/03/2015;5;18;25;63;58;9;4;6
23/03/2015;3;18;22;47;49;5;4;5
22/03/2015;3;16;21;65;65;13;4;16
21/03/2015;3;15;19;52;54;11;4;7
20/03/2015;3;15;19;69;68;23;4;5
19/03/2015;4;17;22;60;58;15;4;7
18/03/2015;5;26;35;57;59;15;4;7
17/03/2015;3;16;21;70;67;14;3;6
16/03/2015;4;17;23;51;53;15;3;5
15/03/2015;3;11;15;62;66;13;4;6
14/03/2015;3;12;16;76;79;13;4;5
13/03/2015;3;11;15;82;77;20;3;6
12/03/2015;5;20;28;59;59;34;4;7
11/03/2015;4;20;26;52;51;26;3;8
10/03/2015;7;25;37;56;55;24;4;14
09/03/2015;15;32;56;49;52;26;4;11
08/03/2015;5;21;28;52;46;23;4;15
07/03/2015;8;32;43;33;32;20;4;16
06/03/2015;9;29;43;37;42;20;3;9
05/03/2015;4;18;24;71;76;17;3;22
04/03/2015;4;17;24;78;77;12;4;6
03/03/2015;7;22;32;50;47;13;3;9
02/03/2015;4;19;25;27;18;10;3;6
01/03/2015;3;13;17;9;10;9;3;5
28/02/2015;2;7;11;29;33;6;3;5
27/02/2015;4;14;20;54;57;12;3;6
26/02/2015;3;10;14;45;45;4;3;5
25/02/2015;3;7;12;65;66;6;3;5
24/02/2015;3;8;13;61;62;10;3;5
23/02/2015;3;10;15;37;31;7;3;5
22/02/2015;3;8;12;41;47;10;3;6
21/02/2015;3;9;13;57;54;10;3;5
20/02/2015;2;11;15;35;29;7;3;5
19/02/2015;7;26;37;15;14;13;4;7
18/02/2015;4;18;24;25;33;12;4;7
17/02/2015;3;12;17;60;60;21;5;6
16/02/2015;3;10;15;43;38;9;4;5
15/02/2015;3;10;13;28;27;6;4;5
14/02/2015;2;6;10;40;43;2;3;5
13/02/2015;3;9;14;40;39;8;3;4
12/02/2015;3;10;14;40;40;13;4;5
11/02/2015;3;12;16;38;39;16;4;6
10/02/2015;7;22;33;22;17;17;4;6
09/02/2015;6;23;32;24;25;22;4;24
08/02/2015;4;16;23;31;29;17;4;24
07/02/2015;6;21;30;11;13;17;4;8
06/02/2015;5;18;26;20;21;8;4;14
05/02/2015;4;16;23;45;47;12;4;12
04/02/2015;4;17;23;49;50;9;4;11
03/02/2015;3;18;24;58;58;6;3;6
02/02/2015;3;7;11;59;61;3;3;5
01/02/2015;3;8;13;74;75;12;4;10
31/01/2015;2;6;10;77;75;8;3;6
30/01/2015;3;13;18;69;69;6;3;5
29/01/2015;3;8;13;57;57;6;3;5
28/01/2015;3;9;13;56;53;5;3;5
27/01/2015;4;17;22;53;54;9;3;6
26/01/2015;5;18;25;43;41;13;3;7
25/01/2015;3;13;17;48;54;14;3;14
24/01/2015;3;13;18;45;40;8;3;12
23/01/2015;4;15;21;43;48;8;3;7
22/01/2015;4;14;20;61;62;10;4;7
21/01/2015;3;8;12;68;65;4;3;5
20/01/2015;3;9;13;47;47;3;3;5
19/01/2015;6;17;26;59;59;12;4;22
18/01/2015;2;5;9;61;60;4;3;5
17/01/2015;3;7;12;55;57;6;3;5
16/01/2015;3;8;12;63;62;5;3;5
15/01/2015;3;9;13;63;65;9;4;5
14/01/2015;3;7;12;53;50;5;4;5
13/01/2015;2;7;11;54;56;9;4;5
12/01/2015;2;10;13;54;48;5;4;5
11/01/2015;3;13;17;47;49;14;4;9
10/01/2015;6;18;27;20;16;18;4;10
09/01/2015;8;23;36;22;27;15;4;7
08/01/2015;5;18;25;29;26;10;4;6
07/01/2015;9;25;38;23;23;16;4;6
06/01/2015;4;16;23;23;23;13;4;7
05/01/2015;14;29;50;17;18;15;5;9
04/01/2015;5;17;24;25;26;16;4;8
03/01/2015;7;23;34;23;20;16;5;10
02/01/2015;14;35;56;13;15;12;5;13
01/01/2015;8;27;39;18;20;18;5;8
