Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
18/05/2015;4;14;20;49;43;14;6
17/05/2015;2;9;13;44;48;11;5
16/05/2015;2;11;14;64;67;11;5
15/05/2015;2;8;11;76;77;7;5
14/05/2015;3;17;22;58;51;19;7
13/05/2015;6;29;37;38;37;29;7
12/05/2015;8;27;38;49;54;34;10
11/05/2015;11;22;39;62;64;35;6
10/05/2015;24;12;48;64;61;18;6
09/05/2015;4;12;19;50;52;13;5
08/05/2015;5;14;23;74;74;16;7
07/05/2015;5;15;22;61;61;14;5
06/05/2015;4;13;19;62;62;14;5
05/05/2015;2;9;11;75;79;13;4
04/05/2015;4;11;17;50;39;15;4
03/05/2015;1;13;15;51;57;14;4
02/05/2015;2;7;9;38;;17;4
01/05/2015;1;6;7;53;56;8;4
30/04/2015;2;8;11;62;58;10;5
29/04/2015;5;20;27;43;43;17;8
28/04/2015;3;13;16;56;60;13;5
27/04/2015;2;12;14;65;65;8;5
26/04/2015;1;7;9;71;73;7;6
25/04/2015;2;10;12;62;52;12;4
24/04/2015;5;28;36;32;33;23;7
23/04/2015;3;15;19;53;58;13;5
22/04/2015;2;14;17;80;77;13;5
21/04/2015;3;18;23;53;53;13;5
20/04/2015;4;15;20;58;59;13;6
19/04/2015;2;9;12;60;59;9;6
18/04/2015;4;16;22;46;43;18;6
17/04/2015;3;18;23;43;46;15;5
16/04/2015;5;25;32;45;48;23;6
15/04/2015;2;14;17;91;91;22;6
14/04/2015;4;17;22;74;70;28;5
13/04/2015;3;16;20;71;71;30;5
12/04/2015;2;11;15;55;55;19;5
11/04/2015;2;11;14;51;50;13;5
10/04/2015;3;18;22;67;75;15;6
09/04/2015;2;12;15;91;90;15;6
08/04/2015;2;11;15;90;86;13;6
07/04/2015;4;18;24;55;56;15;7
06/04/2015;2;10;14;54;54;11;6
05/04/2015;2;8;11;54;56;8;6
04/04/2015;2;8;10;70;70;8;6
03/04/2015;3;12;17;54;49;13;10
02/04/2015;3;16;20;49;50;15;11
01/04/2015;2;14;17;66;70;25;6
31/03/2015;2;13;17;55;48;14;6
30/03/2015;3;21;25;48;46;20;9
29/03/2015;3;16;20;39;37;17;11
28/03/2015;4;17;22;32;37;17;7
27/03/2015;4;21;26;58;59;8;6
26/03/2015;3;15;19;59;58;6;6
25/03/2015;2;15;19;71;72;8;7
24/03/2015;;;;50;45;11;5
23/03/2015;;;;38;42;7;5
22/03/2015;;;;64;65;14;5
21/03/2015;8;2;14;40;37;16;5
20/03/2015;6;4;12;44;46;29;6
19/03/2015;8;3;16;44;41;17;6
18/03/2015;7;7;18;39;39;19;6
17/03/2015;13;5;25;55;53;15;6
16/03/2015;24;11;47;35;37;20;6
15/03/2015;19;8;37;49;52;18;5
14/03/2015;17;8;34;66;72;12;5
13/03/2015;13;7;27;76;70;24;5
12/03/2015;22;21;55;40;37;34;8
11/03/2015;16;29;54;27;26;32;7
10/03/2015;12;40;58;33;35;24;13
09/03/2015;12;36;53;36;38;22;10
08/03/2015;8;25;37;37;35;21;10
07/03/2015;8;26;38;32;31;20;8
06/03/2015;13;29;50;29;32;19;7
05/03/2015;8;17;30;52;55;12;4
04/03/2015;;;;69;69;9;5
03/03/2015;;;;39;38;12;7
02/03/2015;12;27;45;30;27;13;5
01/03/2015;7;13;23;31;30;9;5
28/02/2015;9;17;30;40;44;9;4
27/02/2015;8;14;26;75;79;11;5
26/02/2015;7;12;23;66;65;4;5
25/02/2015;6;6;15;83;84;6;4
24/02/2015;7;8;18;82;82;6;4
23/02/2015;8;13;24;56;53;7;4
22/02/2015;6;9;20;70;75;8;4
21/02/2015;7;7;17;83;81;7;5
20/02/2015;7;15;26;54;46;10;5
19/02/2015;13;27;47;31;30;13;6
18/02/2015;12;23;41;32;36;15;5
17/02/2015;10;15;30;65;69;16;5
16/02/2015;11;16;33;62;58;11;4
15/02/2015;10;14;29;55;57;8;4
14/02/2015;9;10;24;60;60;6;4
13/02/2015;11;15;31;60;60;13;4
12/02/2015;12;17;35;56;55;17;5
11/02/2015;13;18;38;49;47;18;5
10/02/2015;13;24;43;42;37;18;5
09/02/2015;13;25;45;41;41;23;5
08/02/2015;10;18;32;32;31;18;4
07/02/2015;11;20;37;23;21;17;4
06/02/2015;14;31;52;23;31;10;4
05/02/2015;9;17;31;58;59;10;4
04/02/2015;10;21;37;48;48;9;4
03/02/2015;8;18;31;60;60;8;4
02/02/2015;9;11;24;59;62;4;4
01/02/2015;8;6;19;78;79;10;5
31/01/2015;9;7;20;80;78;7;4
30/01/2015;10;13;28;72;74;6;4
29/01/2015;10;12;27;48;44;7;4
28/01/2015;9;14;28;41;40;9;4
27/01/2015;9;21;35;40;37;11;5
26/01/2015;13;27;47;17;18;19;5
25/01/2015;8;15;28;34;39;13;5
24/01/2015;8;14;26;34;28;9;5
23/01/2015;11;24;41;33;40;11;5
22/01/2015;7;15;26;58;62;7;5
21/01/2015;6;11;21;68;65;6;5
20/01/2015;7;12;22;49;51;6;5
19/01/2015;6;10;20;66;64;10;5
18/01/2015;5;7;15;63;62;6;5
17/01/2015;6;12;22;51;56;8;5
16/01/2015;6;11;20;60;58;6;5
15/01/2015;5;9;16;67;69;8;4
14/01/2015;7;12;23;49;41;12;5
13/01/2015;4;11;18;53;57;12;5
12/01/2015;4;11;17;55;47;8;5
11/01/2015;5;15;22;37;36;20;5
10/01/2015;14;28;48;10;9;23;10
09/01/2015;20;22;53;17;17;20;5
08/01/2015;14;24;46;17;19;20;5
07/01/2015;11;19;36;20;18;15;5
06/01/2015;9;19;33;14;14;18;5
05/01/2015;16;21;46;15;15;15;6
04/01/2015;6;17;27;18;19;19;6
03/01/2015;11;25;41;16;16;17;8
02/01/2015;12;22;40;18;19;12;7
01/01/2015;3;17;23;21;22;14;7
