Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
13/03/2015;5;27;34;21;3
12/03/2015;20;39;70;40;4
11/03/2015;24;47;84;49;6
10/03/2015;33;62;112;42;16
09/03/2015;26;58;98;37;12
08/03/2015;13;40;60;23;10
07/03/2015;25;44;83;24;10
06/03/2015;39;52;111;34;9
05/03/2015;13;32;52;18;5
04/03/2015;5;22;29;7;5
03/03/2015;16;40;65;13;4
02/03/2015;21;36;69;10;4
01/03/2015;9;25;39;10;4
28/02/2015;17;45;71;16;5
27/02/2015;4;25;32;13;4
26/02/2015;5;29;37;6;5
25/02/2015;3;20;25;9;4
24/02/2015;4;25;31;8;4
23/02/2015;15;39;62;12;5
22/02/2015;3;25;30;12;6
21/02/2015;2;15;19;8;6
20/02/2015;18;41;69;19;9
19/02/2015;32;48;97;21;8
18/02/2015;30;43;89;21;6
17/02/2015;3;16;20;13;5
16/02/2015;6;33;42;11;5
15/02/2015;4;32;38;9;5
14/02/2015;8;41;53;13;7
13/02/2015;14;38;60;21;8
12/02/2015;18;48;76;23;8
11/02/2015;28;56;99;35;10
10/02/2015;35;49;103;31;9
09/02/2015;19;39;68;26;7
08/02/2015;13;33;53;24;7
07/02/2015;10;37;53;18;7
06/02/2015;13;42;62;10;6
05/02/2015;4;23;29;10;6
04/02/2015;12;40;58;9;6
03/02/2015;5;31;39;8;5
02/02/2015;9;35;48;10;6
01/02/2015;2;17;21;10;5
31/01/2015;3;15;19;5;5
30/01/2015;5;32;39;9;4
29/01/2015;19;34;64;16;5
28/01/2015;22;50;83;19;3
27/01/2015;12;52;70;20;
26/01/2015;32;54;104;32;
25/01/2015;9;29;43;16;
24/01/2015;18;30;57;24;
23/01/2015;32;46;95;22;
22/01/2015;7;40;51;11;
21/01/2015;7;34;44;11;5
20/01/2015;16;40;64;13;6
19/01/2015;4;25;32;12;5
18/01/2015;3;16;20;10;6
17/01/2015;8;32;44;17;7
16/01/2015;11;32;49;9;5
15/01/2015;3;15;19;9;5
14/01/2015;21;29;62;17;7
13/01/2015;3;17;22;13;6
12/01/2015;15;35;59;15;9
11/01/2015;6;26;35;20;5
10/01/2015;33;37;88;30;6
09/01/2015;74;50;164;36;11
08/01/2015;71;50;160;34;6
07/01/2015;46;44;114;28;6
06/01/2015;36;44;100;32;9
05/01/2015;48;40;113;29;6
04/01/2015;31;38;86;36;6
03/01/2015;33;40;90;26;5
02/01/2015;51;49;128;20;6
01/01/2015;17;33;58;22;5
