Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3)
27/08/2013;4;13;18;58;;3;4
26/08/2013;4;13;18;41;;3;3
25/08/2013;3;10;16;48;;2;3
24/08/2013;3;10;15;52;;3;3
23/08/2013;3;13;18;69;;3;4
22/08/2013;4;14;20;63;;;6
21/08/2013;5;19;27;59;;;6
20/08/2013;4;12;17;51;;;10
19/08/2013;3;12;17;47;;;6
18/08/2013;4;10;15;57;;;8
17/08/2013;4;11;17;54;;;11
16/08/2013;3;12;17;61;;;8
15/08/2013;3;12;17;69;;;9
14/08/2013;4;13;19;56;;;10
13/08/2013;3;11;16;47;;;9
12/08/2013;3;11;16;44;;;5
11/08/2013;4;11;17;49;;;9
10/08/2013;4;12;19;41;;;10
09/08/2013;4;11;17;49;;;7
08/08/2013;3;9;14;51;;;6
07/08/2013;3;12;17;52;;;9
06/08/2013;3;12;17;47;;;6
05/08/2013;4;12;18;52;;;6
04/08/2013;3;11;16;48;;;11
03/08/2013;3;11;16;50;;;7
02/08/2013;4;13;19;52;;;6
01/08/2013;5;15;22;57;;;6
31/07/2013;5;16;24;69;;;10
30/07/2013;4;15;21;57;;;10
29/07/2013;4;12;18;50;;;9
28/07/2013;3;9;14;55;;;6
27/07/2013;5;12;20;41;;;6
26/07/2013;4;14;20;43;;;5
25/07/2013;3;10;14;44;;;7
24/07/2013;6;18;27;42;;;11
23/07/2013;3;12;16;46;;;5
22/07/2013;3;15;21;71;;;5
21/07/2013;3;12;16;75;;;6
20/07/2013;3;13;18;79;;;6
19/07/2013;4;15;21;70;;;8
18/07/2013;4;14;20;60;;;12
17/07/2013;4;14;20;50;;;6
16/07/2013;3;12;18;58;;;7
15/07/2013;4;15;21;69;;;8
14/07/2013;3;11;16;65;;;5
13/07/2013;3;13;18;64;;;5
12/07/2013;4;19;26;66;;;5
11/07/2013;3;14;19;69;;;5
10/07/2013;4;14;20;66;;;6
09/07/2013;5;18;26;69;;;9
08/07/2013;4;16;21;71;;;11
07/07/2013;3;13;18;61;;;11
06/07/2013;5;13;20;48;;;13
05/07/2013;5;14;21;38;;;9
04/07/2013;6;15;24;28;;;13
03/07/2013;5;12;20;25;;;7
02/07/2013;4;12;19;33;;;8
01/07/2013;4;11;17;43;;;6
30/06/2013;5;11;19;29;;;11
29/06/2013;4;9;15;43;;;9
28/06/2013;4;11;16;57;;;7
27/06/2013;4;13;18;67;;;9
26/06/2013;4;13;18;56;;;12
25/06/2013;4;11;17;41;;;9
24/06/2013;4;9;15;46;;;7
23/06/2013;3;8;13;54;;;6
22/06/2013;4;11;18;45;;;11
21/06/2013;4;13;18;48;;;6
20/06/2013;4;10;16;54;;;6
19/06/2013;3;9;14;48;;;5
18/06/2013;3;12;17;46;;2;6
17/06/2013;4;16;22;49;;1;14
16/06/2013;4;11;17;45;;1;7
15/06/2013;3;11;16;45;;1;8
14/06/2013;4;12;19;45;;1;6
13/06/2013;4;14;20;39;;2;8
12/06/2013;6;16;26;47;;2;8
11/06/2013;6;20;29;39;;1;10
10/06/2013;4;17;22;66;;1;9
09/06/2013;3;8;12;76;;1;5
08/06/2013;3;9;14;59;;1;5
07/06/2013;5;20;27;53;;1;7
06/06/2013;4;18;23;51;;2;7
05/06/2013;7;20;31;54;;2;9
04/06/2013;7;18;28;50;;2;17
03/06/2013;5;13;20;51;;2;6
02/06/2013;3;8;12;55;;2;5
01/06/2013;3;8;13;55;;2;7
31/05/2013;3;9;14;69;;1;5
30/05/2013;3;7;12;73;;1;5
29/05/2013;3;7;12;61;;1;5
28/05/2013;3;7;12;59;;1;5
27/05/2013;3;10;16;59;;2;5
26/05/2013;4;12;17;49;;2;10
25/05/2013;3;8;13;64;;2;7
24/05/2013;3;9;14;73;;2;7
23/05/2013;3;10;15;64;;2;12
22/05/2013;4;11;16;62;;2;5
21/05/2013;4;9;15;56;;2;5
20/05/2013;4;10;15;59;;3;7
19/05/2013;3;7;12;77;;2;5
18/05/2013;3;7;11;68;;1;5
17/05/2013;4;11;16;49;;1;5
16/05/2013;3;10;15;64;;2;5
15/05/2013;4;10;16;68;;2;5
14/05/2013;4;13;20;49;;2;8
13/05/2013;6;15;25;49;;2;10
12/05/2013;3;8;13;58;;2;7
11/05/2013;4;10;16;57;;2;8
10/05/2013;3;10;15;57;;2;6
09/05/2013;4;13;19;47;;2;6
08/05/2013;4;11;17;46;;2;7
07/05/2013;5;19;27;42;;2;9
06/05/2013;6;21;30;44;;2;11
05/05/2013;4;12;17;54;;1;8
04/05/2013;4;11;16;54;;1;8
03/05/2013;4;12;17;62;;1;5
02/05/2013;3;9;14;63;;1;5
01/05/2013;3;9;13;47;;0;6
30/04/2013;4;12;17;58;;0;6
29/04/2013;4;14;19;74;;0;17
28/04/2013;3;8;14;71;;0;9
27/04/2013;3;8;13;72;;0;7
26/04/2013;4;12;17;63;;0;7
25/04/2013;3;11;16;80;;0;7
24/04/2013;7;16;26;55;;0;8
23/04/2013;5;12;19;50;;0;7
22/04/2013;4;11;18;63;;1;7
21/04/2013;3;9;13;69;;0;8
20/04/2013;3;9;14;63;;0;9
19/04/2013;4;9;15;76;;0;7
18/04/2013;4;10;16;65;;0;6
17/04/2013;4;13;18;56;;0;8
16/04/2013;9;19;33;43;;0;12
15/04/2013;7;15;26;52;;0;7
14/04/2013;3;8;12;71;;0;6
13/04/2013;3;6;10;68;;0;5
12/04/2013;4;12;18;52;;0;7
11/04/2013;4;12;18;51;;0;7
10/04/2013;3;8;13;57;;0;6
09/04/2013;4;11;16;74;;0;6
08/04/2013;4;14;20;59;;0;6
07/04/2013;3;8;12;67;;0;5
06/04/2013;4;14;21;64;;1;11
05/04/2013;4;11;16;80;;0;5
04/04/2013;3;12;17;69;;1;6
03/04/2013;6;18;28;45;;0;7
02/04/2013;4;9;15;66;;1;6
01/04/2013;3;7;11;77;;0;5
31/03/2013;3;10;15;59;;0;7
30/03/2013;3;7;12;73;;0;5
29/03/2013;3;7;12;56;;1;5
28/03/2013;3;15;20;56;;1;7
27/03/2013;4;19;26;44;;1;7
26/03/2013;6;18;27;47;;1;7
25/03/2013;3;9;13;57;;1;5
24/03/2013;3;6;11;69;;1;5
23/03/2013;3;11;16;57;;1;6
22/03/2013;3;9;14;69;;1;5
21/03/2013;3;7;12;68;;1;5
20/03/2013;4;12;18;65;;;6
19/03/2013;4;12;18;52;;;6
18/03/2013;4;9;15;67;;;5
17/03/2013;3;9;14;63;;;5
16/03/2013;3;9;14;60;;;5
15/03/2013;4;15;22;53;;;
14/03/2013;;;;65;;;
13/03/2013;;;;75;;;9
12/03/2013;;;;64;;;7
11/03/2013;;;;72;;;5
10/03/2013;;;;75;;;5
09/03/2013;;;;75;;;5
08/03/2013;;;;72;;;5
07/03/2013;;;;74;;;5
06/03/2013;;;;65;;;6
05/03/2013;;;;69;;;5
04/03/2013;;;;79;;;5
03/03/2013;;;;56;;;7
02/03/2013;;;;46;;;8
01/03/2013;;;;58;;;12
28/02/2013;;;;63;;;16
27/02/2013;;;;44;;;10
26/02/2013;;;;53;;;9
25/02/2013;;;;72;;;13
24/02/2013;;;;64;;;
23/02/2013;;;;68;;;
22/02/2013;;;;51;;;
14/02/2013;;;;46;;;6
13/02/2013;;;;61;;;5
12/02/2013;;;;72;;;5
11/02/2013;;;;78;;;5
10/02/2013;;;;70;;;5
09/02/2013;;;;70;;;6
08/02/2013;;;;69;;;9
07/02/2013;;;;66;;;10
06/02/2013;;;;74;;;12
05/02/2013;;;;70;;;5
04/02/2013;;;;56;;;5
03/02/2013;;;;75;;;
02/02/2013;;;;75;;;
01/02/2013;;;;44;;;5
31/01/2013;;;;37;;;7
30/01/2013;;;;52;;;4
29/01/2013;;;;62;;;5
28/01/2013;;;;66;;;4
27/01/2013;;;;64;;;5
26/01/2013;;;;67;;;6
25/01/2013;;;;52;;;5
24/01/2013;;;;74;;;6
23/01/2013;;;;74;;;4
22/01/2013;;;;61;;;5
21/01/2013;;;;68;;;4
20/01/2013;;;;65;;;12
19/01/2013;;;;65;;;10
18/01/2013;;;;49;;;5
17/01/2013;;;;33;;;8
16/01/2013;;;;69;;;5
15/01/2013;;;;77;;;6
14/01/2013;;;;70;;;7
13/01/2013;;;;64;;;4
12/01/2013;;;;64;;;5
11/01/2013;;;;41;;;6
10/01/2013;;;;52;;;5
09/01/2013;;;;50;;;5
08/01/2013;;;;37;;;6
07/01/2013;;;;21;;;16
06/01/2013;;;;32;;;16
05/01/2013;;;;18;;;14
04/01/2013;;;;16;;;8
03/01/2013;;;;38;;;5
02/01/2013;;;;77;;;5
01/01/2013;;;;71;;;5
