Date;Benceno (µg/m3);CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
07/08/2013;0,14;;6;28;37;37;1,5;15;3;2,04
06/08/2013;0,05;;6;25;35;45;1,1;14;2;1,71
05/08/2013;0,15;;6;22;31;46;0,96;18;1;1,37
04/08/2013;0,21;;4;16;23;54;0,6;16;1;0,95
03/08/2013;0,02;0,16;4;10;16;57;0,39;13;1;0,67
02/08/2013;0,11;0,28;6;17;26;51;0,75;21;1;0,94
01/08/2013;0,09;0,28;10;26;42;62;1,99;30;3;2,6
31/07/2013;0,1;0,23;8;32;44;;2,44;27;6;2,92
30/07/2013;0,06;0,21;11;31;49;46;2,03;19;;2,19
29/07/2013;0,05;0,26;10;23;39;;1,2;;;1,34
28/07/2013;0,02;0,2;5;19;26;;0,55;;;0,75
27/07/2013;0,1;0,27;5;18;26;;0,61;;888;0,85
26/07/2013;0,14;0,26;6;22;31;;0,84;;;1,09
25/07/2013;0,05;0,22;4;15;21;;0,53;;;0,86
24/07/2013;0,05;0,17;9;23;38;29;1,21;29;;1,7
23/07/2013;0,18;;6;23;32;22;0,83;;;1,16
22/07/2013;0,08;;6;23;31;38;1,44;33;;1,36
21/07/2013;0,05;;6;21;31;35;0,82;26;;1,23
20/07/2013;0,11;;6;34;43;31;1,59;32;;2,01
19/07/2013;0,17;0,32;12;41;59;38;2,75;38;;2,76
18/07/2013;0,12;0,23;11;32;49;37;2,2;33;;2,26
17/07/2013;0,16;;12;29;47;30;2,49;39;;3,51
16/07/2013;0,21;;13;42;62;26;2,68;40;;3,56
15/07/2013;0,1;0,2;9;30;44;40;1,57;30;;2,06
14/07/2013;0,11;0,22;4;18;24;40;0,91;30;;1,62
13/07/2013;0,12;0,19;5;24;31;35;1,27;39;;1,72
12/07/2013;0,29;0,28;10;40;57;32;3;45;;3,69
11/07/2013;0,2;0,32;9;35;48;38;3,36;49;;3,16
10/07/2013;0,2;0,29;10;34;50;38;2,37;42;;2,85
09/07/2013;0,2;0,31;15;45;67;37;3,88;41;;4,08
08/07/2013;0,21;0,26;14;45;67;36;2,78;31;1;3,1
07/07/2013;0,17;0,2;8;30;43;34;1,09;25;2;1,46
06/07/2013;0,11;0,2;11;27;44;30;1,81;25;2;2,44
05/07/2013;0,07;;8;24;35;30;0,88;20;1;1,4
04/07/2013;0,11;;9;20;34;19;0,76;;0;1,02
03/07/2013;0,22;;15;22;45;17;1,37;16;2;2,06
02/07/2013;;0,22;9;31;45;22;;24;1;
01/07/2013;;;6;20;28;29;;16;1;
30/06/2013;;;5;11;19;23;;9;2;
29/06/2013;0,11;0,24;9;21;35;29;1,2;17;5;1,49
28/06/2013;0,15;0,19;9;29;42;38;2,01;18;5;2,18
27/06/2013;0,23;0,19;9;28;41;43;2,14;;5;3,13
26/06/2013;0,5;0,23;17;29;55;36;3,02;27;9;1,8
25/06/2013;0,11;;15;24;47;29;1,93;22;7;1,84
24/06/2013;0,46;;9;21;34;33;1,01;26;5;1,56
23/06/2013;0,6;0,29;4;12;18;44;0,25;;6;0,6
22/06/2013;0,16;;10;22;38;31;1,2;;6;1,76
21/06/2013;0,24;;13;31;51;31;2,29;22;5;2,36
20/06/2013;0,13;;10;36;51;29;1,7;;4;1,94
19/06/2013;0,1;;12;44;63;24;1,33;7;4;1,67
18/06/2013;0,38;;6;27;35;34;1,01;13;3;1,58
17/06/2013;0,25;;7;26;37;37;0,93;14;7;1,45
16/06/2013;0,39;0,2;6;20;29;36;0,44;18;4;1,2
15/06/2013;0,17;;8;29;42;28;1,4;18;7;1,79
14/06/2013;0,17;0,26;14;31;52;33;1,65;;4;1,76
13/06/2013;0,23;;7;25;36;27;0,86;;3;1,6
12/06/2013;0,23;;21;33;66;29;1,67;;7;3,75
11/06/2013;0,33;0,18;21;36;67;27;2,87;17;5;4,79
10/06/2013;0,26;0,18;9;36;49;45;0,96;17;5;1,97
09/06/2013;0,14;;4;21;27;50;0,41;15;5;0,84
08/06/2013;0,23;;5;31;39;39;1,05;12;5;1,95
07/06/2013;0,28;0,21;8;38;50;36;1,35;21;4;6,33
06/06/2013;0,55;0,27;20;44;75;30;2,15;26;5;3,81
05/06/2013;;0,23;18;45;72;33;;25;10;
04/06/2013;;;19;44;74;29;;24;12;
03/06/2013;;;13;32;52;34;;17;5;
02/06/2013;0,05;0,16;4;14;19;44;0,31;13;5;0,58
01/06/2013;0,06;0,17;4;13;20;43;0,58;12;4;0,76
31/05/2013;0,17;0,18;6;27;36;47;0,82;;9;1,25
30/05/2013;0,15;0,21;4;25;32;49;0,84;;7;1,35
29/05/2013;0,07;;6;24;33;43;0,77;;5;1,15
28/05/2013;0,13;;5;21;29;44;1,06;;6;1,52
