Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3)
14/03/2013;5;27;35;63;12
13/03/2013;4;14;20;81;12
12/03/2013;5;23;31;64;12
11/03/2013;4;14;20;78;10
10/03/2013;3;9;14;85;6
09/03/2013;3;12;17;82;6
08/03/2013;7;25;36;66;9
07/03/2013;4;16;22;79;9
06/03/2013;6;31;40;63;18
05/03/2013;;;;77;10
04/03/2013;;;;86;19
03/03/2013;;;;62;28
02/03/2013;;;;34;46
01/03/2013;;;;36;48
28/02/2013;;;;34;52
27/02/2013;17;51;77;30;30
26/02/2013;;;;27;9
25/02/2013;;;;67;9
24/02/2013;;;;49;17
23/02/2013;;;;71;22
22/02/2013;;;;55;24
21/02/2013;;;;32;42
20/02/2013;;;;25;31
19/02/2013;;;;45;21
18/02/2013;;;;27;19
17/02/2013;;;;33;21
16/02/2013;;;;20;21
15/02/2013;;;;29;21
14/02/2013;;;;23;28
13/02/2013;;;;41;16
12/02/2013;;;;55;14
11/02/2013;;;;70;8
10/02/2013;;;;58;9
09/02/2013;;;;49;15
08/02/2013;;;;62;11
07/02/2013;;;;61;14
06/02/2013;;;;69;19
05/02/2013;;;;62;15
04/02/2013;;;;26;15
03/02/2013;;;;69;14
02/02/2013;;;;78;18
01/02/2013;;;;37;17
29/01/2013;;;;54;
28/01/2013;;;;48;
27/01/2013;;;;58;11
26/01/2013;;;;59;27
25/01/2013;22;38;72;33;13
24/01/2013;;;;67;14
23/01/2013;;;;65;14
22/01/2013;;;;47;14
21/01/2013;21;11;41;46;15
20/01/2013;7;8;16;65;11
19/01/2013;8;8;16;68;6
18/01/2013;13;10;28;35;11
17/01/2013;9;11;23;33;11
16/01/2013;7;8;17;62;8
15/01/2013;7;9;17;65;11
14/01/2013;8;9;18;57;14
13/01/2013;10;10;23;40;9
12/01/2013;12;11;26;39;14
11/01/2013;61;13;104;14;31
10/01/2013;16;11;32;28;17
09/01/2013;16;11;32;23;20
08/01/2013;29;11;53;16;26
07/01/2013;18;10;34;13;26
06/01/2013;9;9;19;31;16
05/01/2013;42;10;72;17;24
04/01/2013;63;14;108;7;23
03/01/2013;50;13;86;16;8
02/01/2013;19;10;37;53;5
01/01/2013;8;8;18;59;3
