Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
13/07/2022;7;42;31;32;20;6
12/07/2022;6;40;32;36;21;4
11/07/2022;4;30;23;27;16;3
10/07/2022;3;21;17;20;12;4
09/07/2022;6;26;17;21;12;5
08/07/2022;7;23;13;18;9;3
07/07/2022;8;32;20;25;11;2
06/07/2022;4;21;15;20;9;2
05/07/2022;4;21;15;17;8;3
04/07/2022;4;16;10;11;6;2
03/07/2022;3;14;9;10;6;3
02/07/2022;8;27;16;16;8;5
01/07/2022;9;28;14;13;6;4
30/06/2022;6;26;16;12;5;3
29/06/2022;11;37;20;16;7;5
28/06/2022;10;33;17;16;6;4
27/06/2022;9;31;18;17;7;3
26/06/2022;4;19;13;14;7;3
25/06/2022;2;17;14;12;7;3
24/06/2022;4;21;15;18;12;3
23/06/2022;6;26;17;14;8;3
22/06/2022;4;23;17;10;5;3
21/06/2022;3;17;13;11;6;3
20/06/2022;2;16;14;14;5;3
19/06/2022;2;13;10;20;10;4
18/06/2022;2;18;15;51;25;4
17/06/2022;5;35;27;56;28;3
16/06/2022;6;36;27;45;26;3
15/06/2022;11;45;29;38;23;2
14/06/2022;12;47;28;37;23;2
13/06/2022;3;23;18;25;15;2
12/06/2022;2;13;10;15;10;2
11/06/2022;3;16;12;13;8;2
10/06/2022;10;33;17;14;6;3
09/06/2022;4;21;15;9;5;2
08/06/2022;8;39;26;13;8;3
07/06/2022;3;23;18;16;9;2
06/06/2022;5;23;16;14;7;3
05/06/2022;1;11;9;14;10;2
04/06/2022;1;12;10;14;9;2
03/06/2022;2;19;16;18;11;2
02/06/2022;2;17;14;21;13;2
01/06/2022;5;27;20;25;12;4
31/05/2022;5;28;20;19;9;4
30/05/2022;4;24;17;20;9;2
29/05/2022;3;14;9;18;9;3
28/05/2022;1;11;9;11;6;2
27/05/2022;2;12;9;8;5;2
26/05/2022;3;21;16;12;6;2
25/05/2022;2;17;14;10;5;2
24/05/2022;4;21;15;11;5;2
23/05/2022;2;19;16;12;6;2
22/05/2022;3;17;13;28;16;2
21/05/2022;2;14;11;18;10;2
20/05/2022;1;12;11;17;11;2
19/05/2022;4;25;19;22;10;2
18/05/2022;3;16;11;15;7;2
17/05/2022;7;31;20;17;7;5
16/05/2022;3;27;23;19;9;3
15/05/2022;1;11;10;23;11;2
14/05/2022;3;18;15;23;13;2
13/05/2022;2;18;15;16;11;2
12/05/2022;3;21;17;17;11;2
11/05/2022;6;27;17;31;20;2
10/05/2022;13;46;27;27;16;5
09/05/2022;9;42;29;20;9;5
08/05/2022;3;21;16;19;11;3
07/05/2022;4;23;18;19;11;4
06/05/2022;7;32;21;20;11;4
05/05/2022;5;29;21;23;13;3
04/05/2022;3;19;15;25;18;3
03/05/2022;2;15;13;26;18;2
02/05/2022;1;13;11;20;14;2
01/05/2022;2;19;15;29;22;3
30/04/2022;2;25;21;31;21;4
29/04/2022;11;42;26;24;16;4
28/04/2022;1;23;22;14;11;2
27/04/2022;3;35;30;23;17;3
26/04/2022;10;45;30;26;13;4
25/04/2022;1;;17;14;8;
24/04/2022;1;10;9;8;5;2
23/04/2022;1;14;12;4;2;3
22/04/2022;8;41;29;14;8;3
21/04/2022;2;25;23;13;8;2
20/04/2022;1;11;10;9;5;2
19/04/2022;1;12;11;7;4;2
18/04/2022;1;11;9;18;12;3
17/04/2022;3;20;15;18;12;5
16/04/2022;8;42;31;24;19;9
15/04/2022;2;16;13;20;16;3
14/04/2022;1;10;9;10;8;2
13/04/2022;7;29;19;10;5;4
12/04/2022;2;16;14;7;3;4
11/04/2022;1;8;6;23;7;3
10/04/2022;2;12;10;14;6;3
09/04/2022;2;15;12;15;7;2
08/04/2022;1;13;11;15;7;3
07/04/2022;10;38;23;17;9;3
06/04/2022;12;46;28;24;15;3
05/04/2022;7;37;27;23;15;4
04/04/2022;8;36;24;20;14;2
03/04/2022;1;15;14;10;7;2
02/04/2022;1;13;11;7;4;2
01/04/2022;2;14;12;8;4;2
31/03/2022;3;24;19;15;10;2
30/03/2022;2;20;18;25;15;2
29/03/2022;9;37;22;57;27;4
28/03/2022;2;20;18;77;24;3
27/03/2022;1;9;8;32;14;4
26/03/2022;3;22;18;28;14;4
25/03/2022;3;29;24;24;12;3
24/03/2022;4;23;17;20;10;4
23/03/2022;1;10;8;15;11;4
22/03/2022;1;6;5;14;9;4
21/03/2022;;6;;11;5;4
20/03/2022;;7;;21;12;4
19/03/2022;;17;;25;13;4
18/03/2022;1;22;20;32;17;3
17/03/2022;0;9;9;16;8;3
16/03/2022;1;15;15;62;20;4
15/03/2022;0;7;7;105;28;4
14/03/2022;2;25;22;11;5;4
13/03/2022;1;21;19;11;6;4
12/03/2022;2;16;14;9;5;4
11/03/2022;1;12;11;7;4;4
10/03/2022;2;20;17;9;5;3
09/03/2022;6;29;20;13;6;4
08/03/2022;;;;12;6;4
07/03/2022;10;34;20;17;13;4
06/03/2022;10;35;21;12;8;3
05/03/2022;6;30;22;12;8;3
04/03/2022
03/03/2022
02/03/2022;5;32;25;13;8;3
01/03/2022;24;78;42;38;20;6
28/02/2022;20;65;34;30;15;5
27/02/2022;3;23;19;16;8;4
26/02/2022;9;38;25;27;13;5
25/02/2022;5;29;21;15;8;3
24/02/2022;25;76;37;27;13;4
23/02/2022;23;72;37;29;14;10
22/02/2022;21;68;37;32;15;6
21/02/2022;24;62;25;26;15;3
20/02/2022;10;45;29;15;10;3
19/02/2022;5;26;19;12;6;3
18/02/2022;37;85;29;20;11;4
17/02/2022;23;72;37;25;13;4
16/02/2022;8;41;29;15;7;5
15/02/2022;10;47;32;15;8;4
14/02/2022;9;36;23;10;6;3
13/02/2022;7;23;12;25;13;3
12/02/2022;23;64;29;30;21;3
11/02/2022;11;45;28;21;15;3
10/02/2022;19;75;45;33;19;4
09/02/2022;22;74;40;28;12;3
08/02/2022;17;55;29;25;16;3
07/02/2022
06/02/2022
05/02/2022
04/02/2022
03/02/2022;41;105;43;25;14;4
02/02/2022;25;71;33;19;12;2
01/02/2022;6;31;21;17;;2
31/01/2022;8;29;17;9;;2
30/01/2022;12;46;27;29;;4
29/01/2022;6;36;28;26;;3
28/01/2022;17;59;33;32;;4
27/01/2022;32;79;31;29;;3
26/01/2022;42;108;44;32;;3
25/01/2022;24;77;40;37;;6
24/01/2022;16;58;34;34;;5
23/01/2022;10;44;30;28;;3
22/01/2022;7;35;24;16;;3
21/01/2022;4;18;13;15;;3
20/01/2022;25;76;37;24;;3
19/01/2022;40;100;40;37;;3
18/01/2022;28;79;36;30;;3
17/01/2022;30;78;32;31;;4
16/01/2022;15;59;35;29;;4
15/01/2022;13;59;39;32;;8
14/01/2022;18;67;40;35;;8
13/01/2022;20;64;34;23;;4
12/01/2022;11;48;32;20;;3
11/01/2022;1;21;19;7;;3
10/01/2022;0;8;9;4;;4
09/01/2022;;13;;14;;4
08/01/2022;;26;;14;;5
07/01/2022;1;26;25;16;;4
06/01/2022;2;22;23;11;;4
05/01/2022;6;35;26;12;;4
04/01/2022;0;10;9;10;;4
03/01/2022;6;27;18;13;;4
02/01/2022;6;32;23;17;;4
01/01/2022;1;12;11;12;;5
