Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
05/07/2022;3;20;15;13;5;4
04/07/2022;2;11;9;7;3;4
03/07/2022;1;10;8;9;4;3
02/07/2022;3;18;13;12;7;5
01/07/2022;7;26;15;14;5;5
30/06/2022;3;15;11;6;3;6
29/06/2022;9;30;17;;5;6
28/06/2022;8;27;15;;6;5
27/06/2022;3;17;12;9;3;5
26/06/2022;1;10;8;8;3;6
25/06/2022;1;11;9;10;5;5
24/06/2022;4;22;15;14;11;5
23/06/2022;6;27;18;12;8;4
22/06/2022;3;19;14;7;4;4
21/06/2022;;;;;;4
20/06/2022;3;19;15;12;3;3
19/06/2022;2;13;9;16;7;3
18/06/2022;2;18;15;36;21;3
17/06/2022;8;55;42;47;29;3
16/06/2022;8;51;38;37;22;3
15/06/2022;12;44;26;29;20;3
14/06/2022;6;31;21;32;22;3
13/06/2022;2;15;12;20;8;3
12/06/2022;1;9;7;12;4;3
11/06/2022;2;12;9;10;4;3
10/06/2022;11;35;18;16;10;3
09/06/2022;5;21;12;7;4;3
08/06/2022;9;36;22;9;5;5
07/06/2022;5;22;14;12;5;7
06/06/2022;12;40;22;18;10;7
05/06/2022;3;16;12;12;7;5
04/06/2022;1;12;10;9;5;4
03/06/2022;5;24;16;14;8;5
02/06/2022;7;25;15;15;10;5
01/06/2022;8;36;23;20;10;5
31/05/2022
30/05/2022;7;30;19;19;8;5
29/05/2022;4;20;14;19;11;6
28/05/2022;2;13;10;10;6;4
27/05/2022;6;30;21;11;5;4
26/05/2022;4;24;18;13;4;5
25/05/2022;3;20;14;8;2;3
24/05/2022
23/05/2022;;;;13;4;5
22/05/2022;;;;21;15;4
21/05/2022;;;;14;7;3
20/05/2022;;;;14;6;3
19/05/2022;;;;16;6;4
18/05/2022;;;;19;10;4
17/05/2022;;;;14;9;8
16/05/2022;16;48;23;15;10;8
15/05/2022;6;19;9;15;10;4
14/05/2022;4;26;19;16;12;4
13/05/2022;5;27;19;13;;4
12/05/2022;5;31;22;14;9;4
11/05/2022;3;23;18;19;13;6
10/05/2022;13;47;27;25;17;6
09/05/2022;14;52;31;16;;6
08/05/2022;3;20;15;12;;5
07/05/2022;3;19;15;12;10;7
06/05/2022;9;31;17;13;9;5
05/05/2022;3;17;13;12;8;4
04/05/2022;3;18;14;17;11;3
03/05/2022;4;24;17;19;11;3
02/05/2022;3;21;16;14;9;3
01/05/2022;2;16;13;21;15;5
30/04/2022;3;21;17;19;16;7
29/04/2022;16;48;22;22;17;6
28/04/2022;3;29;23;10;8;3
27/04/2022;5;41;33;14;10;4
26/04/2022;20;67;37;20;14;6
25/04/2022;10;42;26;19;12;7
24/04/2022;2;15;12;7;4;4
23/04/2022;1;10;8;5;3;4
22/04/2022;6;35;26;10;8;5
21/04/2022;2;21;18;9;6;4
20/04/2022;3;19;14;10;4;3
19/04/2022;5;29;22;7;3;3
18/04/2022;1;12;10;9;7;4
17/04/2022;2;17;13;12;11;6
16/04/2022;4;34;28;23;25;25
15/04/2022;1;14;11;11;10;8
14/04/2022;1;12;10;6;5;3
13/04/2022;10;34;19;9;5;5
12/04/2022;3;19;14;7;3;3
11/04/2022;3;16;12;20;9;4
10/04/2022;1;13;11;11;8;5
09/04/2022;1;12;10;13;5;4
08/04/2022;3;16;12;10;5;3
07/04/2022;9;45;30;13;9;4
06/04/2022;15;63;41;16;12;6
05/04/2022;11;49;33;17;16;5
04/04/2022;3;26;21;11;10;5
03/04/2022;1;16;14;6;5;4
02/04/2022;1;11;10;7;3;3
01/04/2022;2;15;12;7;2;3
31/03/2022;1;11;8;9;6;3
30/03/2022;2;15;11;20;12;3
29/03/2022;8;34;22;32;21;5
28/03/2022;2;20;16;51;24;4
27/03/2022;1;10;8;19;12;5
26/03/2022;2;19;16;23;17;6
25/03/2022;2;26;22;20;15;5
24/03/2022;2;22;18;14;12;5
23/03/2022;1;14;11;10;9;3
22/03/2022;1;11;9;13;9;3
21/03/2022;1;13;10;11;6;3
20/03/2022;1;11;9;14;11;4
19/03/2022;1;18;16;24;15;5
18/03/2022;2;22;18;21;7;3
17/03/2022;2;13;10;15;4;3
16/03/2022;2;15;12;61;20;3
15/03/2022;2;22;18;117;43;3
14/03/2022;2;27;22;7;5;4
13/03/2022;1;19;16;6;4;4
12/03/2022;2;15;11;6;4;3
11/03/2022;4;22;17;9;4;4
10/03/2022;4;29;23;6;6;3
09/03/2022;2;25;21;11;7;4
08/03/2022;3;27;22;9;6;4
07/03/2022;11;48;31;12;12;4
06/03/2022;1;17;15;5;4;4
05/03/2022;2;22;19;6;5;4
04/03/2022;4;29;21;10;3;3
03/03/2022;7;34;24;8;5;4
02/03/2022;5;35;26;11;7;4
01/03/2022;19;77;47;35;23;7
28/02/2022;16;60;35;24;16;6
27/02/2022;2;20;16;14;9;5
26/02/2022;4;24;18;15;12;5
25/02/2022;3;21;16;18;6;3
24/02/2022;8;36;23;18;8;5
23/02/2022;28;89;46;27;16;10
22/02/2022;11;40;23;23;12;6
21/02/2022;5;25;18;20;9;4
20/02/2022;4;28;23;15;16;6
19/02/2022;2;15;12;9;4;4
18/02/2022;14;46;24;17;12;9
17/02/2022;11;43;26;12;7;6
16/02/2022;4;27;19;10;4;5
15/02/2022;4;25;19;10;5;6
14/02/2022;2;16;11;5;2;7
13/02/2022;3;17;13;16;15;4
12/02/2022;8;38;25;17;14;6
11/02/2022;5;35;27;13;12;3
10/02/2022;17;67;40;28;18;6
09/02/2022;10;45;30;17;12;4
08/02/2022;15;52;29;14;16;5
07/02/2022;19;66;36;16;12;12
06/02/2022;5;30;23;18;17;8
05/02/2022;2;20;16;9;5;3
04/02/2022;33;85;35;18;14;5
03/02/2022;27;78;37;19;13;6
02/02/2022;24;70;33;17;15;6
01/02/2022;4;26;19;14;7;3
31/01/2022;4;19;12;6;2;3
30/01/2022;4;24;18;17;19;5
29/01/2022;3;24;19;18;17;6
28/01/2022;5;28;20;12;11;4
27/01/2022;31;75;27;23;18;5
26/01/2022;21;67;35;20;17;6
25/01/2022;13;54;35;22;19;6
24/01/2022;5;32;23;14;12;5
23/01/2022;3;23;18;15;16;6
22/01/2022;4;24;19;16;12;4
21/01/2022;1;13;10;9;4;3
20/01/2022;29;75;31;13;12;6
19/01/2022;46;107;36;20;17;5
18/01/2022;21;64;32;21;20;6
17/01/2022;31;83;36;31;33;8
16/01/2022;5;31;24;18;15;8
15/01/2022;9;46;32;21;23;8
14/01/2022;10;50;35;16;15;5
13/01/2022;15;54;31;14;14;4
12/01/2022;21;55;23;13;8;3
11/01/2022;5;28;20;7;2;3
10/01/2022;3;16;11;6;1;3
09/01/2022;1;4;3;9;3;3
08/01/2022;1;8;6;6;4;7
07/01/2022;3;19;15;11;6;3
06/01/2022;3;27;23;10;7;4
05/01/2022;4;31;24;9;5;4
04/01/2022;3;14;10;8;4;3
03/01/2022;3;17;13;9;7;3
02/01/2022;2;15;12;9;8;4
01/01/2022;1;8;6;8;5;3
