Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
29/11/2022;0,23;0,25;0,24;0,07;5;35;29;0,44;9;4;5;0,89
28/11/2022;0,23;0,27;0,27;0,06;5;31;23;0,37;9;4;5;0,77
27/11/2022;0,33;0,23;0,24;0,13;6;39;31;0,66;8;4;10;1,03
26/11/2022;0,51;0,3;0,3;0,32;17;64;38;1,28;14;8;14;1,46
25/11/2022;0,33;0,26;0,26;0,19;9;41;27;0,83;12;7;8;1,3
24/11/2022;0,48;0,34;0,34;0,38;19;74;45;1,51;16;9;8;1,96
23/11/2022;0,26;0,24;0,22;0,11;5;32;25;0,58;15;7;8;1,02
22/11/2022;0,14;0,12;0,1;0,05;3;26;21;0,37;6;2;4;0,54
21/11/2022;0,24;0,19;0,22;0,05;7;32;21;0,35;8;4;5;0,7
20/11/2022;0,3;0,22;0,2;0,03;4;36;30;0,33;11;7;6;0,66
19/11/2022;0,09;0,15;0,14;0;1;17;16;0,1;5;2;5;0,3
18/11/2022;0,16;0,18;0,19;0,06;2;23;20;0,37;7;3;6;0,77
17/11/2022;0,2;0,2;0,19;0,14;6;32;23;0,65;21;11;6;1,19
16/11/2022;0,19;0,19;0,21;0,14;2;19;17;0,71;10;5;6;1,03
15/11/2022;0,18;0,2;0,19;0,14;3;27;22;0,65;9;4;6;1,03
14/11/2022;0,16;0,19;0,19;0,14;3;26;22;0,66;10;4;6;0,99
13/11/2022;0,23;0,19;0,19;0,17;3;30;26;0,77;15;7;7;1,26
12/11/2022;0,12;0,17;0,18;0,23;2;15;13;1,03;11;5;5;1,2
11/11/2022;0,53;0,23;0,23;0,42;11;51;35;1,53;13;6;7;1,88
10/11/2022;0,48;0,27;0,27;0,58;18;65;38;2,34;14;7;12;2,26
09/11/2022;0,21;0,22;0,21;0,19;6;38;29;0,81;10;4;9;1,34
08/11/2022;0,06;0,14;0,13;0,17;2;17;14;0,79;7;3;7;1,11
07/11/2022;0,36;0,21;0,23;0,21;10;46;31;0,83;12;6;11;1,82
06/11/2022;0,33;0,25;0,26;0,15;9;47;33;0,67;13;6;13;1,2
05/11/2022;0,34;0,26;0,24;0,18;12;50;32;0,82;13;7;11;1,44
04/11/2022;0,16;0,16;0,16;0,04;1;20;18;0,37;13;6;9;0,77
03/11/2022;0,15;0,15;0,16;0,18;2;20;18;0,76;10;5;7;1,1
02/11/2022;0,29;0,26;0,26;0,24;14;57;37;0,99;16;8;12;1,41
01/11/2022;0,12;0,22;0,22;0,06;3;22;19;0,43;14;7;9;0,69
31/10/2022;0,14;0,2;0,2;0,17;3;22;19;0,81;15;8;8;1,23
30/10/2022;0,14;0,21;0,22;0,23;1;17;15;1,14;14;7;8;1,8
29/10/2022;0,36;0,21;0,23;0,52;4;38;32;2,41;28;12;9;3,9
28/10/2022;0,36;0,29;0,26;0,65;17;69;43;2,85;46;17;9;4,54
27/10/2022;0,38;0,24;0,25;0,62;10;50;35;2,82;39;13;7;4,43
26/10/2022;0,18;0,24;0,22;0,32;8;47;36;1,5;15;5;7;2,37
25/10/2022;0,15;0,19;0,21;0,3;6;35;26;1,38;16;5;7;2,36
24/10/2022;0,1;0,19;0,17;0,2;;;;1;8;3;7;1,71
23/10/2022;;;0,13;;;;;;7;2;;
22/10/2022;0,15;0,19;0,19;0,72;2;19;16;3,18;7;3;6;1,94
21/10/2022;0,09;0,16;0,16;0,41;2;17;15;1,76;7;3;6;1,66
20/10/2022;0,11;0,16;0,15;0,42;3;22;18;1,91;9;3;8;1,91
19/10/2022;0,29;0,22;0,24;0,45;11;41;25;2,23;37;15;9;3,28
18/10/2022;0,42;0,3;0,31;0,71;8;47;35;3,42;42;18;8;5,43
17/10/2022;0,29;0,25;0,24;0,42;7;41;31;1,99;22;10;8;3,6
16/10/2022;0,51;0,32;0,32;0,44;14;60;39;1,9;24;11;9;3,58
15/10/2022;0,29;0,27;0,26;0,31;15;48;26;1,33;17;9;11;2,04
14/10/2022;0,34;0,27;0,28;0,37;18;52;25;1,59;20;10;11;2,81
13/10/2022;0,23;;;0,27;15;56;33;1,07;26;13;9;1,88
12/10/2022;0,11;;;0,17;2;19;16;0,69;25;14;7;1,04
11/10/2022;0,31;0,23;0,23;0,35;7;38;28;1,41;39;22;7;2,42
10/10/2022;0,24;0,25;0,25;0,24;7;35;25;1,11;47;24;8;1,69
09/10/2022;0,35;0,22;0,22;0,22;4;24;18;0,94;37;16;8;1,32
08/10/2022;0,2;0,2;0,2;0,16;2;19;17;0,62;19;10;7;1,06
07/10/2022;0,36;0,26;0,26;0,32;16;45;21;1,2;32;19;10;2,24
06/10/2022;0,35;0,24;0,24;0,35;7;33;22;1,42;23;13;7;1,99
05/10/2022;0,63;0,31;0,32;0,43;13;45;26;1,63;35;24;9;2,5
04/10/2022;0,63;0,33;0,32;0,48;22;67;34;1,88;30;22;13;3,03
03/10/2022;0,45;0,31;0,3;0,3;19;57;28;1,21;23;13;11;2,26
02/10/2022;0,31;0,26;0,26;0,2;8;30;19;0,89;14;7;9;1,52
01/10/2022;0,27;0,19;0,17;0,2;8;36;24;0,84;12;6;11;1,3
30/09/2022;0,2;0,17;0,15;0,13;5;33;26;0,57;11;5;8;0,94
29/09/2022;0,09;0,14;0,13;0,07;3;25;20;0,37;7;3;6;0,67
28/09/2022;0,07;0,13;0,12;0,03;1;12;10;0,3;7;3;7;0,62
27/09/2022;0,13;0,14;0,15;0,07;2;15;13;0,4;14;7;8;0,74
26/09/2022;0,24;0,21;0,22;0,17;12;47;29;0,68;14;7;10;1,18
25/09/2022;0,13;0,16;0,15;0,07;5;30;23;0,37;10;5;9;0,64
24/09/2022;0,17;0,2;0,22;0,13;2;22;19;0,58;9;5;9;1,01
23/09/2022;0,45;0,28;0,28;0,32;13;51;32;1,14;21;11;12;2,13
22/09/2022;0,35;0,23;0,22;0,27;9;45;31;1,06;19;8;11;1,84
21/09/2022;0,36;0,2;0,2;0,27;12;48;31;1,05;20;10;12;1,67
20/09/2022;0,36;0,22;0,23;0,27;12;48;31;1,09;19;9;13;1,77
19/09/2022;0,44;0,27;0,27;0,22;11;47;31;0,93;19;10;13;1,67
18/09/2022;0,27;0,2;0,19;0,18;4;31;24;0,85;14;7;12;1,63
17/09/2022;0,1;0,18;0,17;0,09;1;15;13;0,58;12;6;7;0,97
16/09/2022;0,11;0,24;0,24;0,16;1;12;10;0,83;12;6;7;1,5
15/09/2022;0,18;0,24;0,22;0,26;3;20;16;1,42;9;4;6;2,75
14/09/2022;0,29;0,18;0,18;0,35;2;17;14;1,97;7;3;5;3,58
13/09/2022;0,4;0,2;0,2;0,53;5;28;22;3,22;17;6;6;4,22
12/09/2022;0,45;0,3;0,3;0,36;7;42;32;2,09;32;14;7;3,78
11/09/2022;0,33;0,23;0,24;0,27;5;34;26;1,41;15;7;14;2,8
10/09/2022;0,26;0,22;0,21;0,19;5;32;25;0,92;13;6;14;1,76
09/09/2022;0,06;0,22;0,21;0,13;2;17;14;0,86;12;5;6;1,41
08/09/2022;0,22;0,23;0,22;0,25;7;34;23;1,36;14;7;10;2,22
07/09/2022;0,19;0,21;0,2;0,23;6;30;21;1,48;13;6;7;2,3
06/09/2022;0,17;0,23;0,23;0,2;2;16;13;1,28;12;6;6;2,31
05/09/2022;;0,18;0,19;;3;23;19;;13;7;7;
04/09/2022;;0,21;0,2;;3;22;18;;15;9;8;
03/09/2022;;0,21;0,21;;1;12;11;;15;8;6;
02/09/2022;;0,26;0,26;;5;24;17;;16;8;7;
01/09/2022;;0,27;0,26;;3;18;15;;17;11;4;
31/08/2022;0,31;0,25;0,24;0,44;1;19;17;1,92;17;11;5;2,76
30/08/2022;0,34;0,28;0,29;0,34;5;27;19;2,14;23;15;5;3,27
29/08/2022;0,37;0,27;0,27;0,39;3;30;26;2,94;19;10;5;3,79
28/08/2022;0,45;0,27;0,27;0,43;5;29;21;2,69;16;10;7;3,99
27/08/2022;0,2;0,21;0,2;0,22;1;15;13;1,6;12;7;4;1,79
26/08/2022;0,12;0,2;0,2;0,18;1;10;8;0,98;11;5;5;1,92
25/08/2022;0,2;0,26;0,28;0,22;4;18;13;1,55;14;7;4;2,04
24/08/2022;0,44;0,3;0,29;0,38;5;25;18;3,07;16;10;4;3,93
23/08/2022;0,48;0,21;0,21;0,39;5;19;12;2,69;8;5;4;2,67
22/08/2022;0,24;0,24;0,24;0,27;2;15;12;1,45;8;4;4;2,29
21/08/2022;0,17;0,24;0,24;0,24;1;8;6;1,49;11;6;4;2,1
20/08/2022;0,36;0,24;0,23;0,27;4;19;14;1,54;13;7;6;1,52
19/08/2022;0,25;0,14;0,13;0,25;5;21;14;1,18;13;7;5;1,42
18/08/2022;0,09;0,15;0,15;0,09;1;14;13;0,43;15;8;6;0,81
17/08/2022;0,08;0,17;0,17;0,18;3;19;15;0,89;11;5;6;1,45
16/08/2022;0,17;0,2;0,2;0,2;1;13;11;1,15;16;9;4;2,06
15/08/2022;0,18;0,22;0,22;0,25;2;14;12;1,41;20;13;6;2,24
14/08/2022;0,13;0,19;0,2;0,16;0;6;6;0,97;13;9;6;1,53
13/08/2022;0,33;0,26;0,26;0,31;2;14;11;1,84;22;17;4;2,92
12/08/2022;0,53;0,31;0,32;0,37;1;13;11;2,12;30;22;4;3,44
11/08/2022;0,5;0,32;0,34;0,49;5;32;25;2,61;27;16;4;4,5
10/08/2022;0,41;0,33;0,32;0,48;6;39;31;2,42;29;17;6;4,18
09/08/2022;0,27;0,28;0,27;0,32;2;26;23;1,63;22;13;6;2,73
08/08/2022;;0,27;0,26;;4;29;23;;21;10;9;
07/08/2022;0,01;0,26;0,26;0,03;2;20;17;1,01;19;10;7;2,28
06/08/2022;0;0,19;0,18;0;2;13;11;0,71;17;8;5;1,79
05/08/2022;;0,19;0,2;;1;11;9;;16;7;4;
04/08/2022;;0,22;0,23;;1;10;9;;15;7;3;
03/08/2022;0,02;0,3;0,29;0,23;3;19;14;1,57;19;11;3;2,65
02/08/2022;0;0,27;0,25;0,22;4;20;14;1,45;19;10;4;2,38
01/08/2022;0;0,21;0,2;0,18;1;9;8;1,65;11;6;3;2,81
31/07/2022;0;0,18;0,18;0,06;1;5;4;1,1;8;4;3;2,19
30/07/2022;0;0,21;0,22;0,12;2;9;7;1,17;7;4;4;2,02
29/07/2022;0,02;0,22;0,21;0,15;6;25;16;1,1;12;6;7;1,9
28/07/2022;0,01;0,16;0,16;0,1;6;25;16;0,91;11;5;5;1,75
27/07/2022;0,01;0,14;0,13;0,09;7;23;12;0,85;11;4;4;1,57
26/07/2022;0;0,14;0,15;0,08;1;11;9;0,79;11;5;3;1,69
25/07/2022;0,08;0,19;0,19;0,09;1;6;6;0,93;12;7;4;1,67
24/07/2022;0,01;0,24;0,24;0,11;3;17;12;1,02;18;11;6;1,76
23/07/2022;0;0,17;0,16;0,07;3;18;13;0,91;16;9;4;1,71
22/07/2022;0;0,16;0,17;0,05;1;12;11;0,65;13;7;3;1,48
21/07/2022;0,01;0,23;0,23;0,18;1;10;9;1,47;16;10;3;2,69
20/07/2022;0;0,24;0,24;0,14;1;9;8;1,16;14;8;3;1,9
19/07/2022;0,16;0,24;0,23;0,2;3;17;12;1,65;20;12;4;2,9
18/07/2022;0,24;0,31;0,3;0,49;3;29;25;3,96;37;23;7;6,53
17/07/2022;0,9;0,48;0,6;0,62;2;29;26;4,36;49;41;7;7,51
16/07/2022;0,97;0,69;0,62;0,47;3;30;26;2,83;73;67;10;5,18
15/07/2022;0,78;0,6;0,56;0,53;5;33;26;3,11;69;60;8;5,96
14/07/2022;0,38;0,36;0,31;0,63;6;42;33;3,49;40;28;9;5,98
13/07/2022;0,26;0,29;0,29;0,73;6;45;38;3,46;30;20;13;6,16
12/07/2022;0,2;0,35;0,36;0,58;5;41;34;3,04;32;20;6;5,65
11/07/2022;0,08;0,32;0,31;0,39;5;34;27;2,23;27;16;6;4,1
10/07/2022;0,03;0,24;0,22;0,17;3;25;21;1,22;20;12;7;2,43
09/07/2022;0,03;0,21;0,2;0,17;4;24;19;0,9;19;11;6;1,42
08/07/2022;0,02;0,18;0,18;0,13;3;15;10;0,84;16;7;3;1,42
07/07/2022;0,03;0,2;0,21;0,08;4;22;15;0,67;18;9;3;1,23
06/07/2022;0,01;0,18;0,17;0,07;1;13;11;0,59;19;8;3;1,02
05/07/2022;0,03;0,13;0,12;0,07;2;15;12;0,62;15;6;5;1,62
04/07/2022;0;0,1;0,1;0,02;1;9;7;0,47;10;5;4;0,87
03/07/2022;0;0,15;0,16;0,02;1;7;6;0,51;10;5;2;0,92
02/07/2022;0,03;0,19;0,19;0,13;4;21;15;0,7;13;7;6;1,34
01/07/2022;0,05;0,12;0,11;0,16;7;25;15;0,87;12;6;5;1,6
30/06/2022;0,01;0,07;0,07;0,03;1;14;12;0,37;10;4;3;0,79
29/06/2022;0,08;0,13;0,14;0,14;6;27;18;0,72;15;7;7;1,13
28/06/2022;0,05;0,12;0,12;0,15;7;29;18;0,77;16;7;6;1,26
27/06/2022;0,02;0,1;0,09;0,07;3;20;16;0,48;12;5;4;0,88
26/06/2022;0,02;0,1;0,11;0,03;1;13;12;0,34;13;7;4;0,69
25/06/2022;0,09;0,16;0,17;0,09;1;13;12;0,69;12;7;3;1,2
24/06/2022;0,14;0,17;0,17;0,16;4;20;15;0,82;19;13;3;1,45
23/06/2022;0,1;0,16;0,16;0,17;3;21;16;0,81;16;10;3;1,3
22/06/2022;0,11;0,16;0,17;0,12;2;15;13;0,69;8;4;2;1,2
21/06/2022;0,01;0,16;0,16;0,09;3;16;13;0,62;10;6;2;1,14
20/06/2022;0,02;0,18;0,18;0,18;2;16;14;0,88;15;5;2;2,09
19/06/2022;0,03;0,19;0,19;0,11;2;13;10;0,8;21;11;3;1,35
18/06/2022;0,23;0,25;0,26;0,47;2;20;17;2,84;49;25;2;4,88
17/06/2022;0,31;0,26;0,26;0,54;5;38;31;3,11;52;27;3;5,37
16/06/2022;0,33;0,33;0,34;0,54;5;35;29;2,63;42;25;2;4,28
15/06/2022;0,16;0,32;0,3;0,45;9;38;25;1,99;38;23;2;3,64
14/06/2022;0,19;0,29;0,29;0,4;8;36;23;1,61;36;23;2;3,37
13/06/2022;0,04;0,2;0,18;0,1;2;18;15;0,55;25;15;1;1,32
12/06/2022;0,05;0,15;0,15;0,08;1;10;8;0,5;15;10;1;0,94
11/06/2022;0,02;0,16;0,16;0,08;2;12;9;0,54;13;8;1;0,95
10/06/2022;0,14;0,15;0,15;0,22;9;31;18;0,92;16;8;4;1,62
09/06/2022;0,04;0,13;0,12;0,13;4;18;13;0,62;10;6;1;1,1
08/06/2022;0,12;0,18;0,2;0,26;8;37;26;1,21;13;7;4;1,6
07/06/2022;0,04;0,17;0,16;0,11;3;23;19;0,55;16;9;3;1,04
06/06/2022;0,08;0,15;0,14;0,14;5;26;18;0,63;16;8;3;1,25
05/06/2022;0,09;0,14;0,15;0,06;1;12;10;0,4;15;11;1;0,85
04/06/2022;0,04;0,16;0,17;0,08;1;11;9;0,44;12;9;1;0,7
03/06/2022;0,14;0,19;0,19;0,14;3;20;16;0,66;17;10;3;0,97
02/06/2022;0,07;0,2;0,2;0,1;2;14;12;0,49;19;12;6;0,83
01/06/2022;0,15;0,2;0,19;0,17;5;32;25;0,8;23;12;8;1,41
31/05/2022;0,14;0,19;0,18;0,17;7;38;28;0,71;19;9;13;1,25
30/05/2022;0,11;0,19;0,2;0,12;5;27;20;0,58;17;8;7;1,19
29/05/2022;0,14;0,18;0,18;0,14;4;24;18;0,69;16;9;9;1,28
28/05/2022;0,06;0,17;0,17;0,09;2;17;14;0,49;11;7;5;0,93
27/05/2022;0,09;0,16;0,16;0,14;3;19;16;0,63;7;4;5;1,51
26/05/2022;0,15;0,21;0,21;0,13;3;26;21;0,56;10;5;6;1,12
25/05/2022;0,07;0,17;0,17;0,05;2;18;15;0,35;9;4;6;1,09
24/05/2022;0,03;0,13;0,13;0,06;2;17;14;0,36;8;4;6;0,78
23/05/2022;0,07;0,15;0,15;0,17;1;18;15;0,75;12;6;7;0,9
22/05/2022;0,41;0,25;0,26;0,16;3;22;17;0,81;28;17;6;1,48
21/05/2022;0,15;0,23;0,22;0,17;2;17;14;0,78;19;11;5;1,29
20/05/2022;0,09;0,22;0,23;0,22;2;17;15;1,45;19;12;5;1,55
19/05/2022;0,17;0,24;0,23;0,42;3;21;17;2,85;17;9;7;2,4
18/05/2022;0,09;0,26;0,26;1,28;4;23;17;6,84;18;9;5;7,61
17/05/2022;0,15;0,26;0,27;0,71;8;39;27;4,56;17;8;12;4,54
16/05/2022;0,13;0,23;0,22;0,41;3;33;28;3,09;17;9;8;3,38
15/05/2022;0,06;0,21;0,21;0,16;2;16;14;1,94;20;10;5;2,13
14/05/2022;0,19;0,28;0,26;0,27;3;23;18;2,11;21;13;4;2,2
13/05/2022;0,16;0,22;0,22;0,3;4;23;18;2,09;16;10;4;1,99
12/05/2022;0,12;0,19;0,17;0,2;3;24;20;1,67;17;10;4;1,78
11/05/2022;0,21;0,19;0,2;0,36;3;23;18;2,23;31;21;6;2,64
10/05/2022;0,25;0,25;0,26;0,45;10;45;30;2,86;27;16;14;2,89
09/05/2022;0,23;0,23;0,22;0,38;9;50;37;2,44;20;10;18;2,73
08/05/2022;0,12;0,2;0,21;0,15;4;26;20;1,52;18;11;7;1,58
07/05/2022;0,18;0,22;0,21;0,19;5;30;23;1,51;21;14;9;1,58
06/05/2022;0,22;0,21;0,22;0,28;10;39;25;2,04;20;12;8;1,85
05/05/2022;0,14;0,2;0,2;0,13;1;16;15;1,31;18;12;4;1,39
04/05/2022;0,17;0,19;0,18;0,13;1;16;14;1,35;24;18;4;1,86
03/05/2022;0,15;0,18;0,17;0,09;1;14;13;1,06;26;18;4;1,63
02/05/2022;0,3;0,2;0,22;0,02;1;12;11;0,65;22;15;3;1,17
01/05/2022;0,31;0,25;0,26;0,16;2;21;19;1,26;34;26;5;1,22
30/04/2022;0,42;0,32;0,29;0,32;4;28;23;1,95;34;25;8;1,99
29/04/2022;0,34;0,27;;0,36;12;42;23;2,23;24;16;8;2,35
28/04/2022;0,22;0,22;;0,26;2;24;22;1,67;16;11;2;1,98
27/04/2022;0,34;0,31;0,32;0,3;2;34;31;1,82;22;17;4;2,13
26/04/2022;0,37;0,31;0,27;0,56;12;53;35;3,2;28;15;8;3,95
25/04/2022;0,23;0,24;0,26;0,31;7;32;22;1,92;15;10;;2,12
24/04/2022;0,15;0,23;0,21;0,03;1;12;12;0,63;9;6;;0,84
23/04/2022;0,15;0,16;0,17;0,08;1;16;14;0,87;3;2;;0,96
22/04/2022;0,26;0,22;0,23;0,32;6;43;35;1,87;10;6;;1,85
21/04/2022;0,28;0,22;0,21;0,22;2;28;25;1,38;14;9;5;1,79
20/04/2022;0,24;0,19;0,21;0,02;1;13;12;0,6;10;6;4;0,81
19/04/2022;0,22;0,21;0,21;0,08;1;12;12;0,92;8;4;2;0,74
18/04/2022;0,17;0,22;0,21;0;0;8;8;0,48;15;11;4;0,69
17/04/2022;0,18;0,2;0,21;0,14;4;27;22;1,15;18;13;11;1,24
16/04/2022;0,29;0,26;0,24;0,2;4;32;26;1,37;27;23;17;1,51
15/04/2022;0,28;0,23;0,25;0,09;1;15;14;0,99;20;16;7;1,22
14/04/2022;0,21;0,24;0,22;0,05;1;12;11;0,86;11;8;4;1,08
13/04/2022;0,19;0,24;0,24;0,21;7;30;20;1,52;10;5;5;1,55
12/04/2022;0,21;0,16;0,16;0,39;2;19;17;2,41;6;3;2;2,04
11/04/2022;0,16;0,21;0,22;0,35;3;21;16;2,35;24;8;2;3,06
10/04/2022;0,2;0,2;0,19;0,27;2;18;15;1,82;13;7;2;1,95
09/04/2022;0,19;0,17;0,17;0,07;1;16;14;0,9;13;7;2;1,02
08/04/2022;0,18;0,2;0,22;0,2;1;14;13;1,33;13;6;2;1,46
07/04/2022;0,31;0,26;0,25;0,47;12;50;32;2,69;19;11;3;2,55
06/04/2022;0,38;0,27;0,26;0,42;13;54;35;2,37;26;17;6;2,37
05/04/2022;0,39;0,27;0,27;0,38;9;46;33;2,1;24;16;7;1,96
04/04/2022;0,39;0,23;0,22;0,21;4;32;26;1,37;20;14;2;1,52
03/04/2022;0,26;0,2;0,2;0,03;1;16;15;0,57;9;7;1;0,78
02/04/2022;0,21;0,2;0,19;0,03;1;15;14;0,56;7;4;2;0,77
01/04/2022;0,41;0,19;0,19;0,28;1;16;15;1,91;9;4;1;2,21
31/03/2022;0,19;0,17;0,17;0,15;1;20;18;1,05;12;8;2;1,43
30/03/2022;0,23;0,17;0,18;0,19;1;18;17;1,2;26;16;1;1,69
29/03/2022;0,31;0,27;0,28;0,37;6;29;21;2,12;47;24;3;2,1
28/03/2022;0,28;0,23;0,22;0,42;2;27;24;2,58;77;24;4;2,96
27/03/2022;0,21;0,2;0,2;0,21;1;14;13;1,43;33;14;5;1,71
26/03/2022;0,32;0,21;0,22;0,38;3;29;25;2,28;27;15;4;2,51
25/03/2022;0,34;0,28;0,27;0,38;4;36;31;2,22;26;13;4;2,75
24/03/2022;0,32;0,21;0,21;0,39;4;30;24;2,3;16;10;4;2,16
23/03/2022;0,33;0,19;0,18;0,49;2;22;19;2,91;16;11;3;3,7
22/03/2022;0,3;0,19;0,18;0,24;2;17;14;1,51;17;10;3;1,65
21/03/2022;0,25;0,21;0,21;0,21;2;15;12;1,41;12;6;3;2,02
20/03/2022;0,36;0,24;0,25;0,24;1;14;12;1,46;22;12;4;2,14
19/03/2022;0,44;0,16;0,14;0,37;2;27;23;2,07;30;15;4;2,84
18/03/2022;0,34;0,15;0,16;0,31;2;24;21;1,64;32;19;3;2,56
17/03/2022;0,2;0,16;0,16;0,1;1;12;11;0,76;17;9;3;
16/03/2022;0,23;0,2;0,2;0,38;2;20;17;2,08;67;20;4;
15/03/2022;;0,17;;;18;48;21;;152;36;3;
14/03/2022
13/03/2022
12/03/2022;;0,19;0,19;;2;22;18;;8;5;5;
11/03/2022;;0,16;0,15;;2;18;16;;7;4;3;
10/03/2022;0,11;0,22;0,23;0,15;4;29;24;0,85;8;5;4;1,54
09/03/2022;0,32;0,22;0,24;0,14;4;33;27;0,9;11;6;6;2,02
08/03/2022;0,3;0,24;0,22;0,11;4;35;30;0,62;11;6;4;1,32
07/03/2022;0,36;0,27;0,28;0,05;9;47;33;0,47;19;14;7;1,15
06/03/2022;0,19;0,22;0,2;0;2;27;25;0,14;8;6;4;0,56
05/03/2022;0,19;0,18;0,17;0,01;2;24;21;0,2;7;5;3;0,6
04/03/2022;0,13;0,15;0,15;0;1;16;14;0,09;11;5;3;0,43
03/03/2022;0,14;0,19;0,19;0,12;6;38;29;0,68;10;6;6;1,25
02/03/2022;0,17;0,26;0,29;0,15;3;33;29;0,83;14;9;5;1,42
01/03/2022;0,5;0,35;0,32;0,54;22;80;47;2,11;41;22;13;3,32
28/02/2022;0,45;0,28;0,27;1,54;19;69;41;6,37;31;16;11;2,72
27/02/2022;0,35;0,26;0,26;0,07;3;31;26;0,59;15;9;6;1,24
26/02/2022;0,59;0,29;0,28;0,27;10;52;38;1,2;25;14;8;1,92
25/02/2022;0,28;0,15;0,13;0,23;4;28;23;1,1;15;8;3;0,97
24/02/2022;0,54;0,28;0,32;0,55;21;68;37;2,33;26;14;7;3,12
23/02/2022;0,55;0,29;0,26;0,63;30;99;54;2,38;33;17;24;3,09
22/02/2022;0,48;0,2;0,19;0,32;15;63;40;1,33;31;15;14;3,02
21/02/2022;0,24;0,26;0,29;0,09;16;49;25;0,61;28;16;6;1,24
20/02/2022;0,4;0,32;0,3;0,15;13;61;41;0,78;16;11;11;1,27
19/02/2022;0,33;0,17;0,14;0,04;3;25;21;0,35;13;6;5;0,81
18/02/2022;0,49;0,24;0,25;0,42;29;77;34;1,75;22;12;8;2,73
17/02/2022;0,36;0,3;0,32;1,02;21;73;41;3,93;23;12;8;2,93
16/02/2022;0,27;0,27;0,26;0,48;6;47;38;1,82;14;7;8;1,5
15/02/2022;0,33;0,27;0,25;0,2;8;46;35;0,83;14;6;6;1,28
14/02/2022;0,22;0,22;0,21;0,11;5;29;22;0,61;7;4;4;0,88
13/02/2022;0,34;0,22;0,24;0,07;4;23;17;0,47;24;14;7;1,02
12/02/2022;0,56;0,29;0,28;0,26;17;60;34;1,06;29;20;9;1,81
11/02/2022;0,34;0,26;0,27;0,27;6;42;34;1,07;20;15;4;1,88
10/02/2022;0,49;0,3;0,3;0,58;19;79;51;2,1;34;20;9;2,93
