Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
02/09/2022;0,27;0,28;4;7;25;14;19;8;2
01/09/2022;0,3;0,3;3;8;30;18;21;10;2
31/08/2022;0,28;0,27;2;3;21;18;32;9;2
30/08/2022;0,29;0,3;3;6;25;17;32;13;2
29/08/2022;0,28;0,28;4;3;26;22;16;10;2
28/08/2022;0,31;0,31;3;5;30;22;28;11;2
27/08/2022;0,26;0,25;3;3;19;14;20;7;2
26/08/2022;0,23;0,22;3;3;12;8;14;5;2
25/08/2022;0,26;0,27;3;7;20;10;27;4;2
24/08/2022;0,29;0,29;2;6;22;13;33;9;2
23/08/2022;0,27;0,26;1;7;20;10;16;5;2
22/08/2022;0,23;0,24;2;3;12;7;30;4;2
21/08/2022;0,23;0,23;2;1;6;4;15;4;2
20/08/2022;0,27;0,29;1;4;16;11;28;6;2
19/08/2022;0,26;0,24;1;5;20;14;18;5;2
18/08/2022;0,22;0,21;2;2;12;10;20;6;2
17/08/2022;0,22;0,23;2;3;16;12;18;4;2
16/08/2022;0,26;0,26;2;3;15;11;21;7;2
15/08/2022;0,28;0,27;2;2;12;9;26;11;2
14/08/2022;0,24;0,24;3;1;6;5;14;8;2
13/08/2022;0,29;0,29;3;2;11;8;26;12;2
12/08/2022;0,34;0,37;5;3;14;9;;14;2
11/08/2022;0,37;0,38;4;7;29;19;;15;2
10/08/2022;0,39;0,37;3;6;33;25;;18;2
09/08/2022;0,32;0,3;2;5;31;24;36;14;2
08/08/2022;0,31;0,31;2;7;28;17;32;11;2
07/08/2022;0,29;0,29;2;3;19;15;21;10;2
06/08/2022;0,26;0,25;1;2;14;10;32;7;2
05/08/2022;0,24;0,24;2;4;13;8;15;4;2
04/08/2022;0,24;0,23;3;5;16;9;20;5;2
03/08/2022;0,28;0,29;3;7;23;13;;8;2
02/08/2022;0,56;0,54;3;13;34;14;;8;2
01/08/2022;0,27;0,26;2;6;21;11;15;6;2
31/07/2022;0,24;0,24;2;2;6;4;12;4;2
30/07/2022;0,24;0,24;2;2;9;6;13;3;2
29/07/2022;0,22;0,21;2;8;27;15;18;6;2
28/07/2022;0,23;0,24;1;13;38;18;18;6;2
27/07/2022;0,22;0,21;1;11;34;19;19;6;5
26/07/2022;0,21;0,23;2;6;22;14;11;4;2
25/07/2022;0,23;0,23;2;2;9;7;14;5;2
24/07/2022;0,28;0,27;1;4;19;13;28;9;2
23/07/2022;0,22;0,21;1;4;19;14;16;6;2
22/07/2022;0,23;;2;5;21;15;16;5;2
21/07/2022;0,29;0,29;3;7;23;12;27;9;2
20/07/2022;0,25;0,24;4;5;17;10;20;6;2
19/07/2022;0,25;0,26;5;8;28;16;28;10;2
18/07/2022;0,36;0,45;7;6;32;24;42;18;3
17/07/2022;0,81;0,87;7;4;35;29;46;28;3
16/07/2022;0,82;0,77;7;6;44;36;88;46;5
15/07/2022;0,66;0,59;8;8;46;34;59;37;3
14/07/2022;0,6;0,59;5;11;52;36;84;25;5
13/07/2022;0,39;0,4;5;11;61;45;36;21;4
12/07/2022;0,46;0,46;4;8;47;35;47;21;2
11/07/2022;0,35;0,34;3;11;46;30;43;18;2
10/07/2022;0,29;0,27;2;5;32;25;27;14;2
09/07/2022;0,25;0,24;2;6;29;20;22;11;2
08/07/2022;0,21;0,2;2;8;26;14;18;6;2
07/07/2022;0,22;0,22;2;7;24;15;20;8;2
06/07/2022;0,21;0,21;2;4;20;14;22;7;2
05/07/2022;0,21;0,2;1;5;24;16;21;5;2
04/07/2022;0,18;0,18;2;2;11;9;12;3;2
03/07/2022;0,2;0,21;3;1;10;8;11;3;2
02/07/2022;0,24;0,24;2;5;21;15;21;6;3
01/07/2022;0,2;0,19;1;9;32;19;18;5;3
30/06/2022;0,16;0,16;2;3;18;14;12;3;3
29/06/2022;0,21;0,22;2;10;34;19;21;7;4
28/06/2022;0,24;0,23;1;11;37;21;23;8;4
27/06/2022;0,18;0,17;1;5;25;17;16;4;3
26/06/2022;0,18;0,19;1;2;14;11;15;5;4
25/06/2022;0,24;0,25;2;2;16;14;17;7;2
24/06/2022;0,26;0,25;2;6;27;18;22;11;2
23/06/2022;0,24;0,24;2;7;28;18;19;8;2
22/06/2022;0,25;0,25;2;6;29;20;14;6;2
21/06/2022;0,23;0,21;2;6;25;17;15;5;2
20/06/2022;0,19;0,19;2;3;21;17;18;;2
19/06/2022;0,23;0,22;3;2;15;12;25;;2
18/06/2022;;;5;3;18;15;47;;2
17/06/2022;0,36;0,34;5;6;44;37;62;22;2
16/06/2022;0,37;0,37;5;9;52;39;56;21;2
15/06/2022;0,33;0,32;5;12;43;26;53;18;2
14/06/2022;0,31;0,31;4;11;39;23;46;19;2
13/06/2022;0,24;0,24;2;3;18;14;35;9;2
12/06/2022;0,22;0,22;2;1;11;9;20;6;2
11/06/2022;0,23;0,23;2;3;16;13;24;6;2
10/06/2022;0,25;0,25;2;13;39;20;28;8;2
09/06/2022;0,24;0,23;2;8;28;16;13;5;2
08/06/2022;0,25;0,24;2;8;34;23;27;7;3
07/06/2022;0,23;0,23;3;5;24;16;19;8;2
06/06/2022;0,24;0,24;3;7;25;14;24;10;2
05/06/2022;0,24;0,24;4;3;13;9;16;9;1
04/06/2022;0,24;0,25;3;2;10;8;14;6;1
03/06/2022;0,26;0,25;4;3;17;12;19;9;1
02/06/2022;0,24;0,25;4;3;16;12;25;11;1
01/06/2022;0,27;0,26;4;6;26;18;36;11;2
31/05/2022;0,24;0,23;4;7;30;19;28;10;7
30/05/2022;0,31;0,32;4;7;23;13;21;8;2
29/05/2022;0,23;0,23;4;4;16;10;21;9;2
28/05/2022;0,27;0,27;4;4;16;10;19;8;2
27/05/2022;0,22;0,21;3;9;25;12;21;8;2
26/05/2022;0,22;0,22;3;5;21;13;16;5;2
25/05/2022;0,22;0,23;3;3;16;12;16;4;2
24/05/2022;0,21;0,21;3;3;17;12;15;5;3
23/05/2022;0,22;0,22;4;3;16;12;16;6;3
22/05/2022;0,29;0,29;4;3;14;10;36;13;1
21/05/2022;0,27;0,26;4;3;12;8;29;8;2
20/05/2022;0,24;0,24;4;4;15;10;20;7;1
19/05/2022;0,26;0,26;4;8;26;14;26;7;2
18/05/2022;0,27;0,27;4;6;25;16;28;9;2
17/05/2022;0,26;0,27;4;6;25;16;25;9;6
16/05/2022;0,25;0,24;4;6;26;17;21;9;4
15/05/2022;0,23;0,23;4;2;12;9;23;9;1
14/05/2022;0,27;0,26;4;5;18;11;33;10;1
13/05/2022;0,26;0,25;5;6;22;12;22;8;1
12/05/2022;0,23;0,22;5;10;37;22;26;9;2
11/05/2022;0,27;0,28;6;8;31;20;30;15;3
10/05/2022;0,28;0,29;5;13;47;28;35;14;4
09/05/2022;0,27;0,26;4;18;62;34;29;11;5
08/05/2022;0,24;0,24;4;5;29;22;23;10;3
07/05/2022;0,25;0,24;3;4;25;19;21;10;4
06/05/2022;0,23;0,23;3;7;30;20;20;8;6
05/05/2022;0,23;0,22;4;7;28;19;17;9;3
04/05/2022;0,25;0,25;4;6;27;19;24;12;4
03/05/2022;0,2;0,19;5;4;23;17;26;13;2
02/05/2022;0,21;0,21;5;6;23;14;22;10;2
01/05/2022;0,24;0,25;6;3;18;13;23;14;5
30/04/2022;0,28;0,29;6;5;28;21;30;16;4
29/04/2022;0,35;0,35;5;23;63;28;28;13;3
28/04/2022;0,24;0,26;4;7;37;27;18;9;2
27/04/2022;0,37;0,4;7;11;49;33;29;12;2
26/04/2022;0,41;0,36;4;21;69;36;36;14;4
25/04/2022;0,31;0,29;2;15;50;27;23;10;3
24/04/2022;0,22;0,21;2;3;16;12;12;5;3
23/04/2022;0,23;0,25;3;3;15;11;6;2;2
22/04/2022;0,31;0,29;2;11;47;32;16;6;2
21/04/2022;0,24;0,22;2;6;32;24;18;6;2
20/04/2022;0,17;0,18;2;5;21;13;15;5;1
19/04/2022;0,19;0,18;3;5;19;11;11;4;2
18/04/2022;0,19;0,19;3;3;12;8;13;6;3
17/04/2022;0,31;0,34;2;5;21;15;17;9;4
16/04/2022;0,31;0,28;2;6;29;21;35;20;10
15/04/2022;0,24;0,25;3;3;15;10;24;12;3
14/04/2022;0,22;0,2;4;3;13;9;14;5;2
13/04/2022;0,22;0,21;4;10;32;17;12;5;4
12/04/2022;0,18;0,18;4;5;23;16;7;3;2
11/04/2022;0,17;0,17;4;5;21;14;27;7;2
10/04/2022;0,19;0,2;3;3;15;11;15;5;2
09/04/2022;0,2;0,19;3;4;22;16;21;4;2
08/04/2022;0,17;0,18;4;4;17;11;19;5;2
07/04/2022;0,24;0,24;4;13;45;27;24;9;4
06/04/2022;0,28;0,27;3;18;65;38;31;15;6
05/04/2022;0,29;0,28;3;12;47;29;25;12;7
04/04/2022;0,26;0,27;2;24;71;35;21;9;4
03/04/2022;0,23;0,22;1;3;23;18;9;5;3
02/04/2022;0,19;0,18;2;3;16;12;12;3;1
01/04/2022;0,18;0,18;2;6;23;15;13;2;1
31/03/2022;0,24;0,26;6;14;44;23;19;8;2
30/03/2022;0,23;0,22;5;7;31;21;29;11;2
29/03/2022;0,29;0,31;8;10;33;17;51;16;4
28/03/2022;0,23;0,2;5;10;45;31;68;21;3
27/03/2022;0,19;0,19;5;3;15;10;32;10;3
26/03/2022;0,23;0,24;5;5;28;21;31;12;4
25/03/2022;0,25;0,24;3;8;41;30;27;10;3
24/03/2022;0,21;0,21;3;7;29;19;19;8;3
23/03/2022;0,2;0,2;2;4;19;13;18;9;2
22/03/2022;0,2;0,2;3;4;15;9;16;8;1
21/03/2022;0,2;0,21;4;4;14;9;15;5;1
20/03/2022;0,23;0,23;4;3;13;8;22;9;2
19/03/2022;0,23;0,24;3;4;23;17;29;12;3
18/03/2022;0,22;0,21;3;8;32;20;28;8;1
17/03/2022
16/03/2022;0,23;0,23;4;5;22;15;63;14;2
15/03/2022;0,21;0,22;4;5;22;15;120;30;2
14/03/2022;0,23;0,23;3;8;44;33;15;6;4
13/03/2022;0,2;0,18;2;4;24;18;13;5;2
12/03/2022;0,18;0,18;2;4;19;14;10;4;2
11/03/2022;0,19;0,19;4;6;23;15;15;5;2
10/03/2022;0,2;0,2;4;9;32;19;9;3;2
09/03/2022;0,2;0,22;3;7;32;21;13;5;3
08/03/2022;0,23;0,21;3;10;45;30;20;7;3
07/03/2022;0,31;0,32;3;18;56;29;20;10;3
06/03/2022;0,23;0,2;1;4;25;20;8;4;3
05/03/2022;0,22;0,22;2;5;27;21;11;4;3
04/03/2022;0,18;0,19;3;6;23;14;19;5;2
03/03/2022;0,24;0,23;4;9;37;24;14;4;2
02/03/2022;0,24;0,27;6;12;53;35;23;8;3
01/03/2022;0,3;0,28;6;23;79;44;49;19;7
28/02/2022;0,3;0,3;5;23;75;40;37;14;6
27/02/2022;0,24;0,22;6;8;36;25;22;7;4
26/02/2022;0,25;0,24;4;10;44;29;28;10;6
25/02/2022
24/02/2022
23/02/2022;0,39;0,35;3;37;109;53;51;19;12
22/02/2022;0,21;0,21;3;18;70;43;43;13;7
21/02/2022;0,23;0,26;5;12;41;23;38;10;3
20/02/2022;0,3;0,27;3;12;55;38;21;8;4
19/02/2022;0,18;0,19;3;3;26;21;19;4;4
18/02/2022;0,28;;5;28;73;31;33;11;5
17/02/2022;0,23;0,25;4;26;74;36;28;10;5
16/02/2022;0,23;0,23;4;9;40;27;17;6;4
15/02/2022;0,24;0,23;3;9;47;34;21;8;5
14/02/2022;0,2;0,19;4;4;24;18;9;3;4
13/02/2022;0,21;0,25;5;4;20;15;24;12;3
12/02/2022;0,29;0,28;4;17;54;29;30;15;6
11/02/2022;0,26;0,26;7;14;57;36;20;11;3
10/02/2022;0,29;0,3;7;21;76;45;43;17;9
09/02/2022;0,26;0,24;6;19;67;38;39;15;4
08/02/2022;0,28;0,29;5;29;81;37;34;15;4
07/02/2022;0,3;0,3;4;22;78;45;28;10;8
06/02/2022;0,25;0,24;2;11;49;33;24;10;6
05/02/2022;0,2;0,19;4;4;26;20;16;6;3
04/02/2022;0,3;0,32;5;26;82;43;32;13;7
03/02/2022;0,33;0,31;3;41;108;46;35;14;7
02/02/2022;0,29;0,29;2;23;75;40;24;10;6
01/02/2022;0,22;0,2;3;9;39;26;25;7;3
31/01/2022;0,21;0,22;5;11;34;18;11;4;3
30/01/2022;0,28;0,29;4;6;29;21;26;15;7
29/01/2022;0,28;0,26;4;5;33;26;26;14;8
28/01/2022;0,28;0,28;5;14;49;28;24;12;10
27/01/2022;0,36;0,38;7;40;94;34;36;19;9
26/01/2022;0,38;0,37;7;52;126;47;47;21;9
25/01/2022;0,29;0,28;4;18;67;40;29;13;8
24/01/2022;0,27;0,25;5;16;58;35;25;13;5
23/01/2022;0,29;0,31;4;8;42;30;25;12;5
22/01/2022;0,25;0,22;3;12;47;29;21;9;3
21/01/2022;0,22;0,22;4;14;44;23;16;7;2
20/01/2022;0,32;0,34;6;27;76;36;25;12;9
19/01/2022;0,33;0,32;5;31;87;40;35;18;15
18/01/2022;0,32;0,33;5;35;96;43;36;19;8
17/01/2022;0,34;0,34;5;39;99;40;36;18;8
16/01/2022;0,27;0,27;5;14;57;37;25;13;8
15/01/2022;0,25;0,24;5;14;56;36;24;12;8
14/01/2022;0,21;0,19;4;10;48;33;19;9;9
13/01/2022;0,21;0,23;2;18;62;34;21;10;9
12/01/2022;0,26;0,24;3;27;82;40;31;14;3
11/01/2022;0,17;0,16;2;6;33;24;12;4;1
10/01/2022;0,16;0,15;3;4;17;12;10;3;1
09/01/2022;0,17;0,17;4;1;7;6;19;3;1
08/01/2022;0,17;0,17;2;2;17;14;11;3;2
07/01/2022;0,21;0,22;4;2;21;17;18;5;2
06/01/2022;0,24;0,25;2;4;32;26;15;7;2
05/01/2022;0,23;0,2;1;14;55;34;19;4;2
04/01/2022;0,15;0,14;3;2;14;11;14;3;2
03/01/2022;0,18;0,21;3;5;25;18;14;5;2
02/01/2022;0,21;0,18;4;9;40;27;24;9;2
01/01/2022;0,15;0,16;3;2;12;9;31;7;1
