Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
03/12/2022;0,45;0,19;4;23;18;38;40;7;4;3;1,13
02/12/2022;0,42;0,58;15;56;33;23;23;12;4;3;3,1
01/12/2022;0,36;0,27;5;34;28;32;29;10;4;2;2,39
30/11/2022;0,42;0,67;21;71;40;16;22;16;4;3;3,27
29/11/2022;;;2;18;14;62;65;7;6;9;
28/11/2022;0,27;0,34;2;17;13;66;66;9;8;10;0,53
27/11/2022;0,24;0,33;1;12;10;64;61;10;8;3;0,52
26/11/2022;0,66;1,32;13;56;37;20;15;12;7;4;2,8
25/11/2022;0,27;0,47;7;28;18;54;58;11;8;6;1,15
24/11/2022;0,38;1,02;5;29;22;38;37;17;8;3;1,93
23/11/2022;0,28;0,49;3;23;19;55;60;14;9;13;0,81
22/11/2022;0,18;0,23;2;9;7;65;67;4;8;3;0,32
21/11/2022;0,35;0,58;3;22;17;53;45;8;9;8;1,02
20/11/2022;0,25;0,39;2;18;15;53;60;9;7;2;0,63
19/11/2022;0,18;0,19;1;7;6;74;76;4;8;2;0,29
18/11/2022;0,22;0,33;2;14;11;68;67;5;8;6;0,48
17/11/2022;0,28;1,08;10;34;19;55;54;21;9;4;2,67
16/11/2022;0,24;0,63;2;12;9;56;48;10;9;1;2,31
15/11/2022;0,28;0,69;6;29;20;49;56;11;8;1;1,48
14/11/2022;0,24;0,62;5;28;21;54;58;9;8;2;1,02
13/11/2022;0,17;0,31;1;8;7;66;65;11;7;1;0,74
12/11/2022;0,26;0,51;1;12;11;66;62;9;7;1;0,69
11/11/2022;0,5;0,96;4;29;24;44;39;12;7;3;1,46
10/11/2022;1,42;2,27;26;81;42;15;14;27;7;4;4,04
09/11/2022;0,32;0,99;10;42;26;45;55;13;7;2;1,5
08/11/2022;0,11;0,3;1;7;5;69;69;6;8;1;0,35
07/11/2022;0,28;0,82;2;11;8;68;59;9;7;1;1,13
06/11/2022;0,28;0,67;4;27;22;44;44;11;7;3;1,05
05/11/2022;0,35;0,89;8;36;25;29;36;13;7;2;1,39
04/11/2022;0,27;0,47;2;14;11;63;65;10;7;7;0,76
03/11/2022;0,19;0,39;2;10;8;69;63;9;7;5;0,56
02/11/2022;0,3;1,15;10;42;27;33;35;13;7;5;2,11
01/11/2022;0,19;0,57;2;16;14;54;58;12;6;5;0,88
31/10/2022;0,28;0,59;2;12;10;59;52;12;7;4;1,01
30/10/2022;0,19;0,51;2;15;11;52;53;10;7;4;0,65
29/10/2022;0,21;0,52;3;19;15;63;64;21;7;5;0,69
28/10/2022;0,29;1,36;7;41;30;42;46;33;7;6;2,1
27/10/2022;0,15;0,69;2;15;12;55;51;30;7;4;0,99
26/10/2022;0,23;0,88;3;22;17;58;64;9;7;4;1,25
25/10/2022;0,22;0,65;4;19;13;63;59;13;7;4;1,06
24/10/2022;0,38;0,39;2;13;11;68;72;10;6;4;0,7
23/10/2022;0,42;0,2;1;7;5;78;79;16;7;4;0,38
22/10/2022;0,15;0,37;2;9;7;73;73;6;7;4;0,51
21/10/2022;0,14;0,37;2;8;5;76;75;8;7;4;0,57
20/10/2022;0,15;0,34;2;12;9;72;73;8;7;4;0,75
19/10/2022;0,21;0,61;4;17;11;65;61;27;7;4;0,9
18/10/2022;0,3;1,25;6;37;28;46;45;31;6;4;2,02
17/10/2022;0,21;0,82;5;26;19;54;58;16;6;4;2,19
16/10/2022;0,27;1,23;3;22;18;55;47;17;7;5;1,56
15/10/2022;0,36;1,64;8;36;24;24;24;14;7;4;2,07
14/10/2022;0,37;1,83;9;36;23;26;27;14;6;5;4,56
13/10/2022;0,55;2,21;21;57;26;27;29;20;6;5;2,83
12/10/2022;0,34;0,8;1;14;13;58;61;19;6;3;2,2
11/10/2022;0,35;1,94;13;46;27;44;44;35;6;3;2,99
10/10/2022;0,51;2,49;9;37;24;48;51;42;6;3;4,1
09/10/2022;0,44;0,62;2;14;11;58;50;31;6;4;0,96
08/10/2022;0,27;0,82;2;15;13;59;65;17;6;3;1,02
07/10/2022;0,35;1,4;15;41;18;44;40;23;5;4;2,49
06/10/2022;0,3;1,89;9;34;21;50;54;19;5;4;2,78
05/10/2022;0,38;1,61;7;28;18;45;43;29;5;5;2,07
04/10/2022;0,8;2,11;28;71;29;29;26;32;6;10;3,17
03/10/2022;0,58;1,86;20;50;20;30;29;19;5;5;2,85
02/10/2022;0,63;0,88;6;24;14;31;30;14;5;6;1,37
01/10/2022;0,32;0,82;6;23;14;38;41;9;5;4;1,26
30/09/2022;0,34;0,61;2;12;9;59;62;6;5;5;0,98
29/09/2022;0,17;0,33;2;9;6;62;61;6;6;4;0,51
28/09/2022;0,41;0,59;4;19;14;58;59;7;6;19;0,82
27/09/2022;0,26;0,42;3;15;11;67;69;13;6;11;0,64
26/09/2022;0,29;0,7;3;16;12;62;60;7;6;7;1,51
25/09/2022;0,22;0,44;2;11;8;63;63;4;5;4;0,63
24/09/2022;0,19;0,34;2;9;6;66;69;5;5;4;0,52
23/09/2022;0,5;1,38;7;31;21;63;61;14;5;6;2,89
22/09/2022;0,33;1,46;13;41;22;58;58;16;5;5;2,24
21/09/2022;0,51;1,48;10;34;19;59;59;16;5;5;2,47
20/09/2022;0,47;1,82;11;33;17;54;55;15;5;5;2,69
19/09/2022;0,69;1,33;11;34;18;57;56;17;5;5;2,98
18/09/2022;0,5;0,84;3;19;15;59;60;13;5;4;1,46
17/09/2022;0,2;0,51;1;10;8;78;79;9;5;3;0,76
16/09/2022;0,17;0,29;2;7;5;73;70;9;5;3;0,35
15/09/2022;0,24;0,52;3;11;7;56;57;6;5;3;0,72
14/09/2022;0,17;0,47;1;7;5;67;71;6;6;3;0,54
13/09/2022;0,18;0,79;2;9;6;72;69;13;6;3;1,5
12/09/2022;0,29;1,36;3;15;10;59;59;24;6;3;1,95
11/09/2022;0,34;0,94;5;22;15;55;54;15;5;4;1,54
10/09/2022;0,56;1,09;7;25;14;43;42;12;5;6;1,69
09/09/2022;0,14;0,59;2;11;8;57;59;8;4;3;0,63
08/09/2022;0,66;1,78;12;35;17;47;47;14;5;5;2,47
07/09/2022;0,2;1,1;4;18;12;56;56;10;5;3;1,41
06/09/2022;0,18;0,49;2;8;4;61;61;10;;4;0,72
05/09/2022;0,18;0,5;2;11;7;63;62;12;;3;0,77
04/09/2022;0,27;0,61;2;12;10;66;68;14;;4;0,94
03/09/2022;0,15;0,62;1;7;5;83;85;12;5;4;0,53
02/09/2022;0,19;0,58;1;8;6;72;70;9;4;4;0,62
01/09/2022;0,28;1,44;3;16;12;69;68;14;4;2;1,51
31/08/2022;0,24;0,72;1;11;9;77;79;13;5;2;0,96
30/08/2022;0,37;0,92;4;20;15;73;76;19;6;3;1,46
29/08/2022;0,38;0,49;1;13;11;88;83;17;6;3;0,77
28/08/2022;0,83;0,89;4;23;17;59;58;18;6;4;1,43
27/08/2022;0,28;0,7;2;12;9;59;61;10;6;2;1,1
26/08/2022;0,27;1,22;1;5;3;62;60;9;5;2;1,58
25/08/2022;0,2;0,51;1;7;5;59;60;11;5;2;0,61
24/08/2022
23/08/2022;0,21;0,77;6;17;8;34;32;7;5;2;1,06
22/08/2022;0,15;0,53;1;7;5;40;45;4;5;3;0,46
21/08/2022;0,14;0,21;1;5;3;56;53;10;5;2;0,32
20/08/2022;0,69;0,74;5;20;13;45;47;13;5;4;1,2
19/08/2022;0,34;0,82;5;20;13;54;55;11;5;3;1,17
18/08/2022;0,25;0,37;2;11;8;62;63;12;5;11;0,51
17/08/2022;0,22;0,52;2;11;9;68;66;7;5;5;0,79
16/08/2022;0,19;0,36;1;9;7;78;86;11;5;3;0,62
15/08/2022;0,16;0,5;1;6;4;101;97;17;5;2;0,84
14/08/2022;0,17;0,25;1;5;3;85;84;10;5;3;0,41
13/08/2022;0,28;1,27;2;11;8;72;71;19;5;2;1,19
12/08/2022;0,35;0,6;2;12;10;82;84;25;5;2;1,02
11/08/2022;0,42;1,32;4;25;20;89;86;22;5;2;1,99
10/08/2022;0,51;1,71;4;30;24;79;82;25;5;3;2,8
09/08/2022;0,43;1,27;2;19;16;95;95;18;4;4;1,71
08/08/2022;0,49;1,97;5;28;21;84;81;16;4;6;2,91
07/08/2022;0,28;0,72;2;13;10;87;87;15;4;3;1,23
06/08/2022;0,23;0,46;1;8;6;78;77;16;4;4;0,74
05/08/2022;0,15;0,27;1;6;4;64;61;11;4;2;0,39
04/08/2022;0,11;0,2;1;6;5;53;55;10;4;2;0,34
03/08/2022;;;3;15;11;55;53;14;4;2;
02/08/2022;;;;;;49;50;13;4;2;
01/08/2022;;;;;;56;56;9;3;2;
31/07/2022;;;1;4;2;68;70;6;3;2;
30/07/2022;;;1;7;4;57;53;4;3;2;
29/07/2022;;;3;15;10;54;56;5;3;3;
28/07/2022;;;4;19;12;59;60;6;3;2;
27/07/2022;;;2;11;8;69;70;4;4;3;
26/07/2022;;;1;6;4;67;63;5;3;2;
25/07/2022;;;1;5;3;61;65;9;3;2;
24/07/2022;;;3;14;10;62;59;13;4;2;
23/07/2022;;;2;10;8;61;62;8;3;2;
22/07/2022;;;1;8;6;68;68;;3;2;
21/07/2022;;;2;10;8;66;67;;3;2;
20/07/2022;;;1;7;5;65;;;2;2;
19/07/2022;;;4;19;12;56;57;19;3;3;
18/07/2022;;;3;21;17;82;86;30;3;3;
17/07/2022;0,9;0,68;3;26;22;109;112;44;4;4;0,94
16/07/2022;2,09;0,92;3;27;22;109;105;59;3;4;5,07
15/07/2022;1,15;1,68;6;31;22;82;79;40;3;4;3,62
14/07/2022;1,38;1,47;9;46;33;77;81;42;3;9;5,4
13/07/2022;0,52;1,18;7;39;29;82;83;26;3;6;5,29
12/07/2022;0,64;1,07;6;34;26;90;86;22;3;6;2
11/07/2022;0,89;1,09;7;35;25;74;77;25;3;4;2,25
10/07/2022;0,65;0,82;3;21;17;78;76;22;3;4;1,8
09/07/2022;0,55;0,65;3;20;16;70;69;21;2;5;1,44
08/07/2022;0,24;0,47;2;11;8;64;62;11;1;2;0,67
07/07/2022;0,27;0,34;3;15;10;71;76;14;1;2;0,93
06/07/2022;0,2;0,18;1;7;5;;;13;2;2;0,37
05/07/2022;0,25;0,27;1;8;5;;;10;2;2;0,52
04/07/2022;0,13;0,19;1;5;3;;;6;2;2;0,36
03/07/2022;0,13;0,25;1;8;7;;;8;2;2;0,38
02/07/2022;0,59;0,61;5;20;12;;;11;2;3;1,14
01/07/2022;0,22;1,06;8;25;14;;;11;2;3;1,44
30/06/2022;0,14;0,28;1;7;5;62;62;7;2;2;0,4
29/06/2022;0,43;0,89;8;24;13;50;50;9;2;4;1,56
28/06/2022;0,29;1,01;9;28;16;48;47;12;2;3;1,78
27/06/2022;0,17;0,33;1;8;5;60;62;8;1;2;0,53
26/06/2022;0,21;0,28;1;6;5;64;64;7;2;3;0,49
25/06/2022;0,26;0,32;1;9;7;65;65;10;2;3;0,56
24/06/2022;0,51;0,77;5;20;13;61;62;14;2;3;1,52
23/06/2022;0,37;0,6;5;19;12;58;57;12;2;2;1,57
22/06/2022;0,23;0,67;3;15;11;67;68;5;2;2;1,19
21/06/2022;0,23;0,33;4;16;10;58;56;6;2;2;0,62
20/06/2022;0,17;0,23;2;11;7;59;61;10;2;2;0,4
19/06/2022;0,23;0,39;4;13;7;53;50;15;2;3;0,75
18/06/2022;0,41;0,85;4;20;15;67;75;34;2;2;1,58
17/06/2022;1,06;1,73;7;41;31;87;85;44;2;2;3,17
16/06/2022;0,68;1,15;5;29;22;81;77;36;1;2;2,46
15/06/2022;0,49;1,3;6;26;18;48;;26;3;2;2,4
14/06/2022;0,52;1,93;3;21;16;57;58;26;4;1;3,66
13/06/2022;0,29;0,63;2;11;8;75;74;20;3;2;1,19
12/06/2022;0,22;0,24;1;7;5;57;54;13;3;1;0,52
11/06/2022;0,17;0,22;1;8;6;50;52;10;3;2;0,47
10/06/2022;0,36;1,18;11;34;17;46;43;16;3;3;1,97
09/06/2022;0,21;0,47;3;14;10;50;52;7;3;2;2,57
08/06/2022;0,28;0,74;2;13;10;43;42;8;4;3;1,97
07/06/2022;0,24;0,53;2;15;12;59;61;14;3;3;1,19
06/06/2022;0,3;0,83;6;25;16;50;50;13;3;3;1,65
05/06/2022;0,26;0,46;1;12;10;72;73;12;3;1;0,99
04/06/2022;0,18;0,24;1;8;7;85;88;11;3;2;0,69
03/06/2022;0,27;0,54;3;16;13;84;83;15;4;2;1,37
02/06/2022;0,26;0,47;2;13;10;83;81;17;4;2;1,17
01/06/2022;0,33;0,63;3;19;15;85;87;17;4;3;1,65
31/05/2022;0,3;1,07;6;29;20;72;72;15;4;5;1,85
30/05/2022;0,42;0,72;3;19;15;76;76;16;4;3;1,27
29/05/2022;0,61;0,7;2;16;13;74;69;17;4;4;1,49
28/05/2022;0,29;0,56;2;13;11;60;61;12;3;2;1,2
27/05/2022;0,23;0,8;3;17;13;57;58;9;2;2;1,45
26/05/2022;0,26;0,59;2;11;9;65;67;7;2;2;1,46
25/05/2022;0,31;0,4;1;8;6;78;79;8;2;2;0,75
24/05/2022;0,22;0,55;1;10;8;74;72;7;5;4;0,54
23/05/2022;0,26;0,34;2;13;10;70;72;10;8;4;0,75
22/05/2022;0,45;0,62;2;15;12;59;57;23;8;2;1,44
21/05/2022;0,23;0,55;2;11;8;65;65;15;7;1;1,01
20/05/2022;0,25;0,62;2;10;8;64;63;15;7;2;1,31
19/05/2022;0,26;0,9;3;17;12;57;56;16;7;2;1,89
18/05/2022;0,35;1,03;6;26;17;57;60;17;7;3;1,85
17/05/2022;0,24;0,58;2;11;8;76;71;14;7;4;1,11
16/05/2022;0,34;0,83;2;20;18;63;66;14;7;3;1,54
15/05/2022;0,22;0,49;1;9;7;82;79;17;7;2;0,82
14/05/2022;0,46;0,82;3;21;16;49;50;17;7;2;1,54
13/05/2022;0,33;1,06;5;21;14;51;48;13;6;2;1,96
12/05/2022;0,34;1,49;5;27;19;44;50;13;7;2;2,18
11/05/2022;0,55;1,34;3;21;16;60;57;23;7;7;2,28
10/05/2022;0,71;1,26;6;30;22;53;54;23;7;3;2,95
09/05/2022;0,4;2,17;12;41;24;51;49;17;7;3;3,14
08/05/2022;0,28;2,64;3;19;15;55;58;13;6;3;1,66
07/05/2022;0,32;6,42;3;18;14;67;67;16;6;4;1,65
06/05/2022;0,4;0,73;2;16;13;67;67;10;6;3;1,53
05/05/2022;0,34;0,5;2;13;11;82;84;15;6;2;1,02
04/05/2022;0,49;0,55;1;12;10;88;89;19;6;4;1,22
03/05/2022;0,37;0,32;1;9;8;92;92;22;6;2;0,73
02/05/2022;0,27;0,26;1;9;8;99;101;17;6;2;0,58
01/05/2022;0,39;0,5;1;11;10;88;83;25;6;4;1,1
30/04/2022;0,42;0,61;3;17;13;71;70;20;6;7;1,37
29/04/2022;0,73;1,26;11;39;23;48;44;20;6;5;2,53
28/04/2022;0,43;0,46;2;17;15;68;67;10;6;2;0,93
27/04/2022;0,47;0,79;4;33;28;51;57;16;7;2;1,68
26/04/2022;0,53;1,31;13;46;26;56;56;18;7;4;4,62
25/04/2022;0,45;0,9;10;39;24;56;55;16;7;4;1,86
24/04/2022;0,36;0,28;1;13;12;83;85;8;6;9;0,56
23/04/2022;0,32;0,23;1;10;8;78;74;4;8;4;0,47
22/04/2022;0,67;0,79;5;29;22;48;43;10;8;3;1,64
21/04/2022;0,52;0,6;2;22;20;64;74;10;7;4;1,15
20/04/2022;0,34;0,2;1;9;8;93;93;10;6;3;0,43
19/04/2022;0,24;0,11;1;9;8;91;90;7;6;2;0,27
18/04/2022;0,31;0,24;1;7;6;88;90;12;6;3;0,65
17/04/2022;0,42;0,59;2;15;13;80;73;15;6;5;1,42
16/04/2022;0,76;0,88;4;30;24;48;51;24;6;25;1,82
15/04/2022;0,48;0,35;2;13;10;68;67;13;5;4;0,92
14/04/2022;0,36;0,32;1;12;10;71;73;8;5;4;0,98
13/04/2022;0,43;0,62;5;21;13;68;69;5;6;3;2,78
12/04/2022;0,29;0,31;2;10;8;85;83;8;6;2;0,87
11/04/2022;0,27;0,35;1;10;8;76;77;17;7;2;0,56
10/04/2022;0,61;0,45;1;14;12;64;58;11;6;3;1,04
09/04/2022;0,55;0,52;1;14;12;75;83;13;5;2;1,07
08/04/2022;0,38;0,46;2;11;8;74;67;12;6;3;0,92
07/04/2022;0,58;1,13;4;27;21;55;59;12;6;3;2,43
06/04/2022;0,67;1,66;12;46;28;61;63;16;5;3;3,13
05/04/2022;0,75;1,34;9;35;22;69;70;16;5;3;3,85
04/04/2022;0,66;0,53;3;23;19;70;71;13;4;2;1,36
03/04/2022;0,54;0,34;1;12;10;78;76;6;4;3;0,68
02/04/2022;0,36;0,13;1;8;7;90;93;7;4;2;0,3
01/04/2022;0,42;0,16;1;9;7;88;87;8;5;2;0,34
31/03/2022;0,37;0,25;2;11;9;87;87;9;5;3;0,75
30/03/2022;0,44;0,24;1;11;9;90;92;18;6;2;0,67
29/03/2022;0,52;1,06;4;23;18;73;70;32;5;3;1,73
28/03/2022;0,4;0,35;1;11;9;88;90;46;5;4;0,83
27/03/2022;0,43;0,19;1;6;5;87;88;18;4;2;0,61
26/03/2022;0,68;0,73;2;17;15;82;75;19;5;3;1,58
25/03/2022;0,68;0,77;2;25;22;71;79;20;4;2;1,76
24/03/2022;0,54;0,63;2;14;12;93;92;11;4;3;1,18
23/03/2022;0,44;0,39;1;8;7;102;102;11;;2;0,73
22/03/2022;0,48;0,78;1;9;7;92;91;12;-3;2;1,47
21/03/2022;0,4;0,32;1;8;6;85;85;9;5;2;0,88
20/03/2022;0,54;0,25;1;6;5;81;81;13;5;1;0,77
19/03/2022;0,61;0,56;1;11;9;78;69;22;5;2;1,19
18/03/2022;0,57;1,01;3;22;18;48;56;22;4;2;1,37
17/03/2022;;;1;7;6;82;84;14;4;1;
16/03/2022;;;1;9;7;74;74;56;5;2;
15/03/2022;;;3;16;12;74;68;118;5;1;
14/03/2022;;;3;29;25;57;57;8;6;2;
13/03/2022;;;1;15;13;77;83;5;5;2;
12/03/2022;;;2;13;10;70;68;5;5;1;
11/03/2022;;;1;11;9;83;85;6;5;2;
10/03/2022;;;3;20;15;74;73;5;5;2;
09/03/2022;;;1;12;11;74;64;7;5;2;
08/03/2022;;;2;24;21;64;67;9;5;2;
07/03/2022;;;9;41;29;42;43;14;5;2;
06/03/2022;;;1;13;11;72;73;4;4;2;
05/03/2022;;;1;16;14;69;70;6;4;3;
04/03/2022;;;1;10;8;84;88;10;4;2;
03/03/2022;;;2;17;14;63;56;8;5;3;
02/03/2022;;;3;26;22;55;51;11;4;3;
01/03/2022;;;13;65;45;27;28;29;5;5;
28/02/2022;;;17;64;38;29;30;25;5;7;
27/02/2022;;;2;21;18;53;57;14;4;3;
26/02/2022;;;10;40;26;44;41;17;4;4;
25/02/2022;;;3;26;22;58;63;15;3;2;
24/02/2022;;;6;32;23;52;44;17;4;7;
23/02/2022;;;24;85;49;23;26;26;4;9;
22/02/2022;;;12;46;28;45;49;25;3;10;
21/02/2022;;;1;11;9;72;70;20;3;9;
20/02/2022;0,33;0,37;4;33;28;32;31;17;3;6;0,78
19/02/2022;0,12;0,1;1;10;9;70;75;9;3;4;0,28
18/02/2022;0,24;0,61;12;42;23;45;38;18;4;8;1,7
17/02/2022;0,19;1;15;51;29;35;38;15;3;6;2,66
16/02/2022;0,12;0,24;2;16;14;54;52;10;3;3;0,77
15/02/2022;;;3;27;22;57;65;8;3;8;
14/02/2022;;;2;13;10;76;77;5;3;14;
13/02/2022;;;2;15;12;58;51;18;4;5;
12/02/2022;;;9;42;28;20;17;23;4;8;
11/02/2022;;;8;45;33;38;41;15;3;2;
10/02/2022;0,23;2,84;19;71;42;29;27;33;3;6;20,25
09/02/2022;0,15;2,93;4;32;26;51;56;18;3;3;26,23
08/02/2022;0,25;1,16;14;55;34;31;29;19;3;3;7,76
07/02/2022;0,24;0,49;13;49;30;39;37;17;2;5;1,51
06/02/2022;0,34;0,34;4;32;27;35;38;16;2;7;0,99
05/02/2022;0,13;0,24;2;15;13;71;77;8;2;2;1,03
04/02/2022;0,21;1,19;26;72;32;37;30;16;3;3;5,92
03/02/2022;0,25;;29;84;40;27;24;22;3;5;
02/02/2022;0,26;1,13;32;91;43;8;11;19;3;3;3,52
01/02/2022;0,15;0,18;3;22;18;63;73;16;2;2;0,37
31/01/2022;0,12;0,12;2;13;10;58;52;8;2;3;0,21
30/01/2022;0,5;0,27;6;32;23;24;21;23;2;7;0,53
29/01/2022;0,25;0,3;4;29;24;35;40;19;1;7;0,61
28/01/2022;0,17;0,34;3;22;18;49;49;13;1;3;0,5
27/01/2022;;;21;62;30;27;22;20;2;4;
26/01/2022;;;24;77;42;19;18;23;2;5;
25/01/2022;;;16;67;42;27;29;25;2;5;
24/01/2022;0,34;0,48;7;37;27;44;50;18;2;5;2,35
23/01/2022;0,32;0,24;5;28;21;37;31;16;2;5;0,47
22/01/2022;0,23;0,29;4;27;22;49;56;14;1;3;0,53
21/01/2022;0,14;0,28;3;20;15;63;62;10;1;2;0,46
20/01/2022;0,48;3,28;24;62;26;38;31;15;2;4;5,02
19/01/2022;0,33;1,79;44;114;46;10;12;24;2;4;3,64
18/01/2022;0,3;0,88;25;74;37;24;23;22;2;4;2,2
17/01/2022;0,47;0,73;20;66;35;28;30;27;1;6;1,54
16/01/2022;0,77;0,38;9;46;33;29;25;27;2;10;0,69
15/01/2022;0,38;0,49;10;53;38;28;27;25;2;12;0,81
14/01/2022;0,17;0,3;7;38;28;44;47;12;2;3;0,5
13/01/2022;0,2;0,55;14;53;32;25;25;15;2;3;0,98
12/01/2022;0,19;0,8;12;40;22;45;50;12;2;2;2,69
11/01/2022;0,08;0,08;1;13;12;64;66;;2;1;0,14
10/01/2022;0,07;0,06;1;6;4;69;66;6;2;3;0,08
09/01/2022;0,17;0,17;1;9;7;71;73;8;3;6;0,22
08/01/2022;0,09;0,15;1;5;4;69;69;5;2;3;0,19
07/01/2022;;;1;12;11;67;58;10;1;5;
06/01/2022;0,32;1,08;3;30;26;34;33;7;2;2;2,86
05/01/2022;0,21;0,51;8;40;29;46;56;9;2;3;1,02
04/01/2022;0,11;0,09;1;8;7;69;67;8;3;4;0,13
03/01/2022;0,12;0,16;1;12;10;54;50;11;2;2;0,32
02/01/2022;0,13;0,2;2;16;14;53;56;12;2;3;0,37
01/01/2022;0,06;0,05;1;3;1;59;60;7;1;2;0,09
