Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
07/12/2022;0,55;2,2;3;20;16;27;26;14;;2;5;1,63
06/12/2022;0,5;1,07;2;11;8;38;43;10;;2;4;1,1
05/12/2022;0,32;0,69;1;7;4;48;47;8;;2;4;0,86
04/12/2022;0,51;0,76;1;7;5;35;34;5;;2;3;0,86
03/12/2022;0,48;0,8;1;8;5;39;;5;;2;4;0,85
02/12/2022;0,45;2,26;5;24;17;29;30;11;;2;4;2,78
01/12/2022;0,6;1,93;2;16;12;32;28;11;;2;8;2,46
30/11/2022;0,38;2,91;8;34;21;21;26;14;;2;4;3,52
29/11/2022;0,26;0,64;1;8;5;65;70;8;;2;3;0,66
28/11/2022;0,23;0,54;1;6;3;71;70;9;;2;3;0,63
27/11/2022;0,24;0,46;1;5;3;65;63;9;;2;3;0,43
26/11/2022;0,81;2,08;5;21;13;37;34;10;;2;4;1,87
25/11/2022;0,25;0,77;1;9;6;58;59;10;;2;3;0,92
24/11/2022;0,27;0,95;1;8;5;48;50;12;;2;3;1,17
23/11/2022;0,29;0,85;1;8;5;63;62;17;;2;3;0,92
22/11/2022;0,21;0,63;1;4;2;62;66;5;;1;3;0,86
21/11/2022;0,21;0,59;1;8;5;62;54;7;;1;3;0,57
20/11/2022;0,24;0,49;1;6;4;54;59;10;;2;3;0,51
19/11/2022;0,22;0,68;1;4;2;70;72;5;;2;3;0,47
18/11/2022;0,19;0,83;2;7;5;68;66;5;;2;3;0,81
17/11/2022;0,19;1,47;2;8;5;60;59;22;;1;4;1,33
16/11/2022;0,18;0,72;1;5;3;56;50;9;;1;3;0,9
15/11/2022;;;1;6;4;52;58;9;;1;3;
14/11/2022;0,2;0,62;2;15;11;55;59;10;;2;3;0,86
13/11/2022;0,18;0,27;1;5;3;62;62;11;;2;3;0,41
12/11/2022;0,17;0,47;1;5;3;62;59;8;;2;3;0,54
11/11/2022;0,47;2,17;1;10;8;52;47;8;;2;3;3,19
10/11/2022;0,34;0,94;3;18;13;33;35;8;;2;3;1,56
09/11/2022;0,3;0,92;2;10;8;50;55;9;;2;3;1,47
08/11/2022;0,11;0,23;1;4;2;64;64;5;;2;3;0,38
07/11/2022;0,18;0,17;1;5;3;64;58;4;;2;3;0,3
06/11/2022;0,27;0,47;1;8;6;50;46;9;;2;3;0,68
05/11/2022;0,24;0,37;2;12;9;35;41;6;;2;3;0,56
04/11/2022;0,16;0,17;1;6;4;63;64;11;;2;3;0,32
03/11/2022;0,16;0,25;1;6;3;64;62;9;;2;3;0,48
02/11/2022;0,25;0,49;2;11;8;42;43;8;;2;3;0,72
01/11/2022;0,22;0,43;2;9;6;47;51;12;;2;5;0,66
31/10/2022;0,14;0,25;1;6;4;60;53;11;;2;3;0,43
30/10/2022;0,22;0,53;1;8;6;53;55;10;;2;4;0,66
29/10/2022;0,2;0,49;1;9;6;62;62;27;;2;3;0,67
28/10/2022;0,26;1,07;3;17;12;46;49;41;;2;4;1,43
27/10/2022;0,13;0,47;1;8;6;53;50;36;;1;3;0,61
26/10/2022;0,15;0,42;1;7;5;59;64;9;;1;3;0,62
25/10/2022;0,18;0,43;2;7;4;64;61;12;;1;3;0,62
24/10/2022;0,23;0,23;1;5;2;68;71;7;;1;2;0,39
23/10/2022;0,14;0,19;1;3;1;75;74;10;;1;2;0,22
22/10/2022;0,13;0,32;1;4;2;70;69;5;;1;2;0,32
21/10/2022;0,13;0,46;1;3;2;72;71;7;;1;2;0,63
20/10/2022;0,17;0,46;1;6;4;67;69;6;;1;2;0,6
19/10/2022;0,19;0,57;2;11;7;63;58;36;;2;3;0,96
18/10/2022;0,17;0,63;2;11;8;51;51;35;;2;3;1,1
17/10/2022;0,14;0,45;1;7;5;52;57;18;;2;3;0,65
16/10/2022;0,21;0,73;1;9;7;50;41;19;;2;3;1
15/10/2022;0,46;1,04;3;16;12;22;23;15;;3;3;1,47
14/10/2022;0,22;0,58;2;10;7;31;31;9;;2;3;0,86
13/10/2022;0,34;0,94;3;15;11;34;35;18;;2;4;1,38
12/10/2022;0,23;0,47;1;7;5;44;45;22;;1;3;0,94
11/10/2022;0,29;0,76;2;14;10;41;43;33;;;3;1,36
10/10/2022;0,25;0,55;2;12;9;45;46;46;;;3;0,92
09/10/2022;0,26;0,45;1;8;6;54;49;41;;1;3;0,68
08/10/2022;0,26;0,99;1;9;7;44;50;18;;1;3;1,14
07/10/2022;0,43;1,44;4;18;11;42;36;27;;1;3;2,01
06/10/2022;0,36;1,7;3;18;14;42;46;18;;1;4;2,31
05/10/2022;0,51;1,18;4;20;14;43;40;31;;1;4;1,82
04/10/2022;0,67;1,33;7;29;18;33;29;26;;1;8;1,94
03/10/2022;0,25;0,65;4;17;11;31;29;14;;1;4;1,01
02/10/2022;0,28;0,76;2;12;9;30;31;9;;1;3;1,06
01/10/2022;0,25;0,56;1;8;5;41;44;8;;1;2;0,76
30/09/2022;0,21;0,38;2;9;6;56;60;9;;1;2;0,54
29/09/2022;0,13;0,23;1;5;3;61;63;6;;1;2;0,29
28/09/2022;0,12;0,17;2;7;4;66;66;6;;1;2;0,21
27/09/2022;0,13;0,22;2;8;5;69;71;15;;1;2;0,26
26/09/2022;0,16;0,29;2;9;6;58;53;7;;1;2;0,42
25/09/2022;0,2;0,38;1;6;4;54;55;6;;1;3;0,56
24/09/2022;0,16;0,3;1;6;4;57;60;4;;1;2;0,42
23/09/2022;0,31;0,92;2;16;12;55;53;14;;1;4;1,61
22/09/2022;0,29;0,68;2;14;11;60;62;13;;1;4;1,05
21/09/2022;0,45;0,74;2;11;8;59;57;17;;1;3;1,15
20/09/2022;0,37;1;3;16;11;51;51;12;;1;5;1,48
19/09/2022;0,8;2,97;5;21;14;49;49;16;;1;5;3,96
18/09/2022;0,38;0,75;2;13;10;52;54;12;;1;8;1,09
17/09/2022;0,26;0,51;2;12;10;67;68;11;;1;11;0,66
16/09/2022;0,23;0,45;2;12;10;66;62;11;;1;10;0,71
15/09/2022;0,29;0,99;2;10;7;52;52;8;;1;6;1,31
14/09/2022;0,13;0,36;1;6;4;60;64;7;;1;5;0,6
13/09/2022;0,19;0,51;1;6;4;69;68;14;;1;5;0,76
12/09/2022;0,53;1,28;2;13;9;57;56;29;;1;5;1,78
11/09/2022;0,82;1,1;1;12;10;61;59;16;;1;7;1,43
10/09/2022;0,31;0,69;3;16;11;49;47;12;;1;9;1,04
09/09/2022;0,26;0,6;2;9;6;53;56;9;;1;6;0,92
08/09/2022;0,28;0,6;1;8;6;62;60;12;;;5;0,98
07/09/2022;0,24;0,81;2;12;9;56;58;12;;;6;1,1
06/09/2022;0,25;0,52;1;7;5;63;63;11;;;5;0,79
05/09/2022;0,17;0,37;1;8;6;67;66;18;;;6;0,59
04/09/2022;0,23;0,47;1;9;7;61;62;15;;;7;0,8
03/09/2022;0,28;0,62;1;9;6;67;70;15;;;5;1,01
02/09/2022;0,2;1,63;3;12;7;55;53;17;;;4;0,98
01/09/2022;0,33;1,34;2;11;8;53;53;13;;;5;1,72
31/08/2022;0,21;0,86;2;12;8;56;58;20;;3;4;0,98
30/08/2022;0,27;0,77;1;10;8;63;66;18;;3;5;1,09
29/08/2022;0,27;0,57;1;9;7;79;80;20;;3;5;0,63
28/08/2022;0,85;1,03;2;16;13;55;52;20;;2;7;1,46
27/08/2022;0,3;0,58;2;11;8;46;46;12;;2;7;0,91
26/08/2022;0,28;0,56;1;8;5;48;47;10;;2;5;1,19
25/08/2022;0,36;0,64;1;8;5;46;48;13;;2;4;1,06
24/08/2022;0,44;1,57;3;13;9;44;40;17;;2;4;1,41
23/08/2022;0,24;0,6;3;11;6;26;25;7;;2;4;0,96
22/08/2022;0,19;0,63;3;11;6;34;38;6;;2;4;0,85
21/08/2022;0,3;0,56;1;7;5;46;42;9;;2;5;0,86
20/08/2022;0,38;0,54;2;13;10;42;41;13;;2;6;0,86
19/08/2022;0,24;0,46;2;13;10;51;52;10;;2;8;0,68
18/08/2022;0,13;0,21;1;6;4;59;63;15;;2;4;0,32
17/08/2022;0,13;0,17;1;6;4;67;63;9;;2;4;0,3
16/08/2022;0,27;0,51;1;7;5;63;72;14;;2;6;0,86
15/08/2022;0,37;0,57;1;6;4;90;87;21;;2;5;0,96
14/08/2022;0,29;0,55;1;6;4;71;72;12;;2;5;0,82
13/08/2022;0,4;0,85;1;8;6;58;55;19;;2;5;1,22
12/08/2022;0,49;1,2;2;11;9;54;53;25;;2;4;1,69
11/08/2022;2,92;1,37;1;14;11;73;78;27;;2;5;2,02
10/08/2022;0,59;1,39;1;13;11;78;78;24;;2;6;1,85
09/08/2022;0,49;0,84;1;11;9;82;84;21;;2;6;1,43
08/08/2022;0,4;0,95;2;12;10;76;74;18;;2;8;1,44
07/08/2022;0,35;0,84;1;10;8;67;66;18;;2;12;1,28
06/08/2022;0,34;0,6;1;7;5;58;58;20;;2;4;1,03
05/08/2022;0,29;0,76;1;8;5;47;46;16;;2;3;1,45
04/08/2022;0,21;0,75;1;7;5;43;46;14;;2;3;0,81
03/08/2022;0,41;1,2;2;10;7;45;41;18;;2;3;1,57
02/08/2022;0,35;1,03;3;15;10;36;37;15;;2;5;1,76
01/08/2022;0,22;0,67;2;12;9;40;41;12;;2;8;1,06
31/07/2022;0,37;0,8;2;9;6;50;50;8;;2;10;1,09
30/07/2022;0,33;0,91;1;7;4;45;42;6;;2;4;1,19
29/07/2022;0,32;0,82;1;8;6;47;48;8;;2;4;1,24
28/07/2022;0,5;0,96;1;9;7;52;53;8;;2;6;1,5
27/07/2022;0,46;0,75;1;8;6;57;57;6;;2;4;1,12
26/07/2022;0,3;0,68;1;7;5;51;47;9;;2;4;1,02
25/07/2022;0,27;0,78;1;5;3;45;50;14;;2;1;1,06
24/07/2022;0,45;1,21;2;10;7;55;49;19;;2;3;1,69
23/07/2022;0,39;0,82;1;9;7;48;52;15;;2;8;1,4
22/07/2022;0,31;0,68;1;7;5;58;59;14;;2;1;1,06
21/07/2022;0,61;1,14;2;12;9;50;49;14;;2;4;2,24
20/07/2022;;;1;7;5;58;60;10;;2;3;
19/07/2022;;;2;13;10;50;50;16;;2;4;
18/07/2022;2,09;1,58;1;13;11;74;78;29;;2;3;2,18
17/07/2022;8,06;2,33;1;17;14;94;98;41;;2;7;4,05
16/07/2022;3,95;1,91;1;15;13;93;88;61;;2;6;4,04
15/07/2022;1,15;1,49;2;19;16;69;70;40;;2;6;2,25
14/07/2022;1,99;2,93;2;22;18;84;84;34;;2;8;3,98
13/07/2022;0,92;1,89;3;22;17;70;71;21;;2;4;3,88
12/07/2022;0,97;1,11;2;19;16;82;81;22;;2;6;1,85
11/07/2022;0,58;0,68;3;21;17;68;69;21;;2;8;1,21
10/07/2022;0,45;0,66;2;13;11;65;65;19;;2;5;1,19
09/07/2022;0,26;0,41;1;10;8;62;61;14;;1;6;0,67
08/07/2022;0,2;0,37;2;8;6;53;51;11;;1;5;0,69
07/07/2022;0,19;0,31;1;7;5;60;63;14;;1;2;0,6
06/07/2022;0,12;0,42;1;7;5;65;66;16;;1;3;0,88
05/07/2022;0,15;0,27;1;7;5;59;54;13;;1;3;0,42
04/07/2022;0,13;0,18;1;5;3;49;46;7;;1;2;0,26
03/07/2022;0,25;0,32;2;11;9;47;53;8;;1;8;0,34
02/07/2022;0,27;0,39;2;10;7;59;55;12;;1;4;0,55
01/07/2022;0,18;0,36;2;13;9;47;46;9;;2;4;0,53
30/06/2022;0,12;0,23;1;7;5;53;55;7;;1;2;0,31
29/06/2022;0,14;0,37;2;10;7;44;42;8;;2;3;0,6
28/06/2022;0,15;0,29;2;11;7;49;48;10;;3;7;0,47
27/06/2022;0,12;0,27;2;8;5;47;50;9;;3;5;0,45
26/06/2022;0,15;0,22;1;5;3;53;51;9;;3;3;0,31
25/06/2022;0,15;0,31;1;7;4;55;56;9;;3;4;0,31
24/06/2022;0,33;0,39;2;11;7;53;54;15;;3;7;0,6
23/06/2022;0,29;0,58;2;10;7;52;50;11;;3;4;0,89
22/06/2022;0,21;0,34;1;8;5;53;57;6;;3;4;0,51
21/06/2022;0,37;0,44;2;12;8;51;49;6;;3;4;0,75
20/06/2022;0,12;0,25;1;9;7;54;56;14;;3;4;0,45
19/06/2022;0,17;0,29;1;8;6;48;43;18;;3;4;0,4
18/06/2022;0,48;0,82;1;11;9;61;68;43;;3;3;1,04
17/06/2022;2,09;2,23;2;23;19;78;78;55;;4;4;4,2
16/06/2022;0,98;1,49;3;23;19;65;59;40;;3;3;1,82
15/06/2022;0,39;0,55;2;13;9;51;48;24;;3;3;0,87
14/06/2022;0,25;0,4;2;12;9;46;49;27;;3;3;0,71
13/06/2022;0,19;0,41;1;9;6;63;64;23;;2;3;0,48
12/06/2022;0,12;0,29;1;6;4;50;46;15;;2;3;0,3
11/06/2022;0,15;0,33;1;7;5;38;40;12;;2;3;0,42
10/06/2022;0,17;0,52;5;18;11;43;39;16;;2;5;0,79
09/06/2022;0,3;0,39;2;8;5;42;45;7;;2;3;0,67
08/06/2022;0,14;0,37;1;8;6;41;42;8;;2;4;0,69
07/06/2022;0,14;0,48;2;9;6;53;53;13;;2;6;0,83
06/06/2022;0,19;0,38;2;11;8;50;49;12;;2;3;0,61
05/06/2022;0,15;0,3;1;7;5;52;55;12;;2;3;0,46
04/06/2022;0,13;0,34;1;6;4;72;76;11;;2;3;0,39
03/06/2022;0,17;0,56;1;9;7;75;75;12;;2;5;0,69
02/06/2022;0,14;0,36;2;10;7;69;67;16;;2;4;0,61
01/06/2022;0,25;0,66;2;11;8;68;69;20;;2;3;0,88
31/05/2022;0,14;0,46;3;16;12;63;66;16;;2;5;0,77
30/05/2022;0,2;1,23;3;15;10;65;65;16;;2;5;0,68
29/05/2022;0,18;0,33;2;13;10;63;59;17;;2;5;0,52
28/05/2022;0,17;0,41;2;10;7;47;49;11;;2;3;0,6
27/05/2022;0,17;0,36;2;12;9;47;48;;;2;3;0,47
26/05/2022;0,14;0,29;2;8;6;55;56;;;2;3;0,47
25/05/2022;0,12;0,2;1;7;5;67;71;;;2;2;0,38
24/05/2022;0,1;0,17;1;6;4;69;68;7;;2;2;0,3
23/05/2022;0,12;0,4;1;7;5;68;70;8;;1;3;0,41
22/05/2022;0,22;0,31;1;7;5;61;58;19;;1;4;0,54
21/05/2022;0,22;0,35;2;11;8;57;58;17;;1;3;0,56
20/05/2022;0,15;0,56;2;10;7;55;53;13;;1;3;0,6
19/05/2022;0,17;0,42;2;11;8;57;57;13;;1;4;0,71
18/05/2022;0,46;1,04;4;19;13;55;58;17;;1;3;1,52
17/05/2022;0,27;0,41;1;9;6;74;69;11;;1;4;0,62
16/05/2022;0,16;0,27;1;9;7;62;;11;;1;3;0,44
15/05/2022;0,16;0,27;1;5;3;74;72;18;;1;3;0,34
14/05/2022;0,29;0,43;2;14;10;43;44;16;;1;3;0,68
13/05/2022;0,12;0,35;3;13;9;43;41;11;;1;3;0,71
12/05/2022;0,12;0,36;2;14;11;44;51;12;;0;3;0,88
11/05/2022;0,2;0,43;2;12;9;58;54;20;;1;8;0,71
10/05/2022;0,34;0,54;2;13;10;56;56;19;;1;4;1,08
09/05/2022;0,31;0,7;7;26;16;47;47;15;;1;7;1,49
08/05/2022;0,17;0,4;2;12;9;51;54;11;;1;13;0,65
07/05/2022;0,19;0,45;2;10;7;60;61;11;;1;5;0,65
06/05/2022;0,17;0,27;1;8;6;60;61;7;;;3;0,43
05/05/2022;0,16;0,26;1;7;5;66;70;10;;;2;0,41
04/05/2022;0,19;0,39;1;9;6;74;76;15;;2;3;0,64
03/05/2022;0,18;0,22;1;9;7;88;90;19;;2;3;0,44
02/05/2022;0,16;0,22;1;9;7;98;100;14;;2;4;0,32
01/05/2022;0,19;0,23;1;8;6;87;81;17;;2;4;0,37
30/04/2022;0,26;0,51;2;11;8;69;64;19;;2;16;0,73
29/04/2022;0,26;0,52;2;13;9;52;49;13;;2;5;0,75
28/04/2022;0,17;0,27;1;10;8;65;65;11;;2;3;0,43
27/04/2022;0,24;0,51;2;14;11;55;60;14;;2;3;0,71
26/04/2022;0,77;0,91;8;29;17;60;54;19;;2;5;2,12
25/04/2022;0,24;0,49;4;21;14;60;61;18;;2;7;0,8
24/04/2022;0,14;0,32;1;5;3;85;90;9;;2;3;0,31
23/04/2022;0,14;0,14;1;5;3;77;71;4;;2;3;0,21
22/04/2022;0,18;0,2;1;9;7;56;52;6;;2;3;0,35
21/04/2022;0,16;0,27;2;11;9;69;80;10;;2;4;0,4
20/04/2022;0,22;0,27;1;8;6;93;92;13;;2;6;0,44
19/04/2022;0,17;0,24;1;8;6;91;89;8;;2;4;0,36
18/04/2022;0,17;0,21;1;6;5;80;81;9;;2;3;0,36
17/04/2022;0,24;0,32;1;8;6;74;70;12;;2;5;0,56
16/04/2022;0,83;0,68;3;18;13;52;57;23;;2;32;1,11
15/04/2022;0,27;0,27;1;9;7;69;67;16;;2;6;0,42
14/04/2022;0,28;0,41;1;9;7;62;63;12;;2;4;0,72
13/04/2022;0,16;0,29;2;9;7;64;68;8;;2;3;0,5
12/04/2022;0,11;0,14;1;5;3;84;79;8;;2;4;0,19
11/04/2022;0,17;0,18;1;5;4;72;75;20;;1;3;0,28
10/04/2022;0,16;0,13;1;6;4;68;64;8;;2;3;0,23
09/04/2022;0,48;0,32;1;7;4;73;79;12;;2;3;0,7
08/04/2022;0,13;0,15;1;5;3;75;70;9;;2;2;0,29
07/04/2022;0,2;0,42;1;9;7;67;70;11;;2;3;0,85
06/04/2022;0,3;1,47;2;14;11;74;70;12;;2;4;1,17
05/04/2022;0,44;0,9;2;14;11;70;71;9;;2;3;1,27
04/04/2022;0,35;0,34;1;11;9;69;70;8;;2;4;0,76
03/04/2022;0,23;0,24;1;8;6;76;75;5;;2;3;0,34
02/04/2022;0,35;0,46;1;7;5;87;90;9;;2;3;0,75
01/04/2022;0,43;0,74;1;9;7;87;86;11;;2;3;1,03
31/03/2022;0,28;6,63;1;7;5;91;90;9;;2;2;2,87
30/03/2022;0,19;0,17;1;9;7;91;94;19;;2;2;0,26
29/03/2022;0,97;0,8;2;13;10;73;69;39;;2;3;1,2
28/03/2022;0,18;0,16;1;5;3;87;89;61;;2;2;0,23
27/03/2022;0,19;0,08;0;3;2;87;88;21;;1;2;0,14
26/03/2022;0,4;0,36;1;10;8;88;81;22;;2;4;0,56
25/03/2022;0,33;0,3;1;8;6;77;85;21;;2;2;0,58
24/03/2022;0,22;0,13;1;5;4;96;98;11;;2;2;0,18
23/03/2022;0,21;0,11;1;4;3;103;102;14;;2;2;0,14
22/03/2022;0,22;0,1;1;5;3;94;92;13;;2;2;0,19
21/03/2022;0,21;0,1;1;4;3;84;84;9;;2;2;0,18
20/03/2022;0,3;0,1;1;4;3;79;79;17;;2;2;0,26
19/03/2022;0,28;0,22;1;6;5;76;66;24;;2;2;0,45
18/03/2022;0,67;0,92;2;18;15;52;59;26;;2;2;1,25
17/03/2022;0,44;0,7;1;8;6;81;83;21;;2;2;0,83
16/03/2022;0,26;0,22;1;8;6;75;75;72;;2;2;0,53
15/03/2022;0,19;0,36;1;5;4;78;70;145;;2;2;0,27
14/03/2022;0,35;0,95;1;14;12;55;57;9;;3;2;0,72
13/03/2022;0,2;0,15;1;6;4;75;81;6;;3;2;0,26
12/03/2022;0,17;0,12;1;4;3;74;74;5;;3;2;0,18
11/03/2022;0,26;0,31;1;8;7;83;85;12;;3;2;0,49
10/03/2022;0,35;0,63;2;14;11;72;71;6;;2;3;0,84
09/03/2022;0,27;0,22;1;7;5;71;66;7;;2;2;0,39
08/03/2022;0,37;0,29;1;10;7;67;70;11;;2;2;0,57
07/03/2022;0,31;0,37;2;16;12;57;58;10;;2;3;0,9
06/03/2022;0,24;0,14;1;6;4;74;74;5;;2;2;0,25
05/03/2022;0,23;0,2;1;8;6;68;71;7;;2;2;0,35
04/03/2022;0,26;0,29;1;9;7;83;87;12;;2;3;0,49
03/03/2022;0,19;0,21;1;8;6;72;67;6;;2;2;0,37
02/03/2022;0,3;0,43;1;12;9;61;60;10;;2;2;0,71
01/03/2022;0,87;1,62;4;29;22;41;40;35;;2;3;2,4
28/02/2022;0,55;1,14;7;31;19;34;32;23;;2;5;1,59
27/02/2022;0,3;0,27;1;10;8;52;57;15;;1;3;0,42
26/02/2022;0,3;0,43;3;13;9;49;44;14;;1;2;0,8
25/02/2022;0,38;0,57;2;17;14;57;61;19;;1;9;0,86
24/02/2022;0,41;0,89;3;19;14;47;41;18;;1;4;1,35
23/02/2022;0,67;1,5;10;43;28;30;33;26;;2;6;2,22
22/02/2022;0,33;0,91;3;18;13;50;54;25;;2;8;1,02
21/02/2022;0,23;0,69;1;8;6;73;72;28;;2;3;0,73
20/02/2022;0,25;0,19;1;6;4;56;55;9;;2;2;0,33
19/02/2022;0,34;0,29;1;7;5;69;73;12;;2;2;0,41
18/02/2022;1,64;1,18;3;20;15;54;47;18;;3;4;2,64
17/02/2022;0,2;0,48;2;12;9;47;49;12;;2;4;0,76
16/02/2022;0,28;0,37;1;8;6;59;60;12;;1;2;0,65
15/02/2022;0,23;0,19;1;8;6;66;70;10;;2;2;0,42
14/02/2022;0,19;0,12;1;5;4;80;81;7;;1;2;0,23
13/02/2022;0,25;0,17;1;7;5;63;52;18;;1;2;0,31
12/02/2022;0,48;0,56;4;26;19;25;26;19;;2;7;1,06
11/02/2022;0,41;0,79;1;14;12;49;53;12;;1;3;1,22
10/02/2022;0,37;0,96;6;30;22;46;43;38;;2;6;1,22
09/02/2022;0,37;0,48;2;14;11;57;64;22;;2;3;0,82
08/02/2022;0,29;0,71;7;25;14;45;42;13;;2;2;1,38
07/02/2022;0,28;0,4;1;10;8;56;57;12;;1;2;0,59
06/02/2022;0,29;0,28;1;9;7;49;49;10;;1;2;0,42
05/02/2022;0,36;0,36;1;10;8;65;70;12;;1;4;0,52
04/02/2022;0,22;0,32;1;10;8;60;58;13;;1;2;0,52
03/02/2022;0,31;0,84;9;30;16;37;31;23;;1;3;1,19
02/02/2022;0,31;1,07;12;45;27;17;20;14;;1;3;2,13
01/02/2022;0,46;0,56;1;12;9;65;73;16;;1;2;0,8
31/01/2022;0,22;0,23;1;9;6;57;51;7;;1;4;0,39
30/01/2022;0,52;0,37;4;21;16;26;22;13;;1;10;0,61
29/01/2022;0,34;0,23;1;11;8;42;46;13;;1;3;0,45
28/01/2022;0,31;0,35;2;12;9;50;48;8;;1;2;0,69
27/01/2022;0,54;1,01;5;26;18;31;26;16;;1;4;1,63
26/01/2022;0,45;0,99;10;39;23;26;26;17;;1;6;1,85
25/01/2022;0,31;0,29;2;12;9;49;51;11;;1;2;0,5
24/01/2022;0,34;0,3;1;11;9;53;58;12;;1;3;0,55
23/01/2022;0,45;0,45;3;15;11;41;36;12;;1;3;0,8
22/01/2022;0,38;0,47;2;11;9;49;55;10;;1;3;0,8
21/01/2022;0,26;0,26;2;13;10;64;62;11;;1;17;0,42
20/01/2022;0,31;0,34;1;12;10;49;43;7;;1;5;0,58
19/01/2022;0,32;0,34;2;13;10;34;35;11;;2;3;0,59
18/01/2022;0,5;0,68;9;33;20;30;31;17;;2;5;1,36
17/01/2022;0,53;0,59;5;23;16;34;34;17;;2;4;1,12
16/01/2022;0,82;0,42;3;21;16;40;39;16;;2;8;0,68
15/01/2022;0,39;0,36;2;14;11;48;54;11;;2;4;0,56
14/01/2022;0,24;0,2;1;8;6;58;58;8;;2;2;0,3
13/01/2022;0,25;0,26;2;11;7;45;41;7;;2;2;0,45
12/01/2022;0,35;0,43;2;12;8;41;45;10;;2;3;0,61
11/01/2022;0,34;0,46;2;12;9;61;63;6;;2;4;0,75
10/01/2022;0,14;0,27;1;6;4;68;66;6;;2;3;0,28
09/01/2022;0,17;0,13;1;3;2;74;76;7;;2;2;0,18
08/01/2022;0,19;0,11;1;3;2;65;65;7;;2;2;0,2
07/01/2022;0,22;0,17;1;6;4;72;66;13;;2;3;0,26
06/01/2022;0,32;0,24;1;8;6;43;42;9;;2;2;0,45
05/01/2022;0,29;0,29;1;10;8;56;65;9;;2;3;0,51
04/01/2022;0,17;0,16;1;6;4;71;68;9;;2;3;0,22
03/01/2022;0,18;0,18;1;4;3;59;56;8;;2;2;0,25
02/01/2022;0,23;0,34;1;10;8;49;52;17;;2;8;0,47
01/01/2022;0,1;0,08;0;2;1;58;60;9;;2;2;0,12
