Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
16/05/2022;1;11;9;12;7
15/05/2022;1;7;5;17;9
14/05/2022;3;15;12;18;14
13/05/2022;2;14;11;16;13
12/05/2022;2;14;12;17;11
11/05/2022;3;16;12;22;15
10/05/2022;3;19;15;23;14
09/05/2022;2;16;13;16;9
08/05/2022;1;8;7;12;8
07/05/2022;1;9;7;12;9
06/05/2022;2;12;9;12;7
05/05/2022;2;11;9;14;10
04/05/2022;2;12;10;19;13
03/05/2022;2;11;9;21;14
02/05/2022;1;8;7;15;10
01/05/2022;1;9;7;19;15
30/04/2022;2;19;15;21;16
29/04/2022;3;16;13;15;10
28/04/2022;1;15;13;13;7
27/04/2022;4;30;24;20;15
26/04/2022;3;21;17;18;11
25/04/2022;3;14;11;14;8
24/04/2022;1;9;7;10;6
23/04/2022;1;5;4;4;1
22/04/2022;2;12;9;8;4
21/04/2022;1;12;10;9;4
20/04/2022;1;7;6;9;3
19/04/2022;1;11;9;7;2
18/04/2022;1;7;6;11;8
17/04/2022;1;10;8;12;9
16/04/2022;3;16;13;21;20
15/04/2022;2;14;12;17;16
14/04/2022;1;11;9;12;9
13/04/2022;2;10;7;7;3
12/04/2022;1;6;4;5;2
11/04/2022;1;6;5;18;6
10/04/2022;1;6;4;8;4
09/04/2022;1;10;8;14;4
08/04/2022;1;6;4;10;3
07/04/2022;2;16;13;12;8
06/04/2022;2;17;14;23;13
05/04/2022;2;13;10;13;9
04/04/2022;2;13;10;13;9
03/04/2022;1;7;6;6;2
02/04/2022;1;7;5;7;1
01/04/2022;1;8;7;6;2
31/03/2022;1;7;6;9;4
30/03/2022;1;9;7;24;11
29/03/2022;2;16;13;46;21
28/03/2022;1;7;6;59;20
27/03/2022;1;4;3;25;11
26/03/2022;1;10;8;23;12
25/03/2022;1;12;10;22;11
24/03/2022;2;11;9;14;8
23/03/2022;1;6;5;16;8
22/03/2022;1;5;4;11;4
21/03/2022;1;4;3;9;
20/03/2022;1;5;4;17;
19/03/2022;1;8;7;27;
18/03/2022;2;15;13;21;
17/03/2022;1;8;7;17;
16/03/2022;1;9;8;63;
15/03/2022;3;15;10;147;
14/03/2022;2;19;16;8;
13/03/2022;1;8;6;7;
12/03/2022;1;6;4;4;
11/03/2022;1;8;6;7;
10/03/2022;2;17;14;6;
09/03/2022;1;9;8;7;
08/03/2022;1;12;10;10;
07/03/2022;2;13;10;9;
06/03/2022;1;10;8;6;
05/03/2022;1;10;8;6;
04/03/2022;1;10;8;9;
03/03/2022;1;9;7;5;
02/03/2022;2;19;16;14;
01/03/2022;3;29;24;28;
28/02/2022;3;20;15;20;
27/02/2022;2;14;11;16;
26/02/2022;2;16;13;15;
25/02/2022;2;15;12;13;
24/02/2022;5;25;18;19;
23/02/2022;5;28;20;15;
22/02/2022;2;17;13;19;
21/02/2022;2;14;11;22;
20/02/2022;2;13;10;10;
19/02/2022;2;10;8;9;
18/02/2022;7;23;12;11;
17/02/2022;5;23;16;16;
16/02/2022;4;20;15;12;
15/02/2022;2;13;11;8;
14/02/2022;1;8;6;6;
13/02/2022;1;8;6;17;
12/02/2022;4;24;18;16;
11/02/2022;3;20;16;14;
10/02/2022;4;27;22;24;
09/02/2022;3;21;16;17;
08/02/2022;3;20;15;10;
07/02/2022;3;22;17;11;
06/02/2022;2;14;11;9;
05/02/2022;2;12;10;8;
04/02/2022;5;29;21;16;
03/02/2022;5;28;20;13;
02/02/2022;5;20;13;8;
01/02/2022;2;18;15;15;
31/01/2022;2;14;11;6;
30/01/2022;4;24;19;20;
29/01/2022;4;20;13;15;
28/01/2022;3;20;16;16;
27/01/2022;5;28;21;19;
26/01/2022;7;32;21;19;
25/01/2022;5;24;18;15;
24/01/2022;4;20;14;15;
23/01/2022;2;15;12;13;
22/01/2022;3;15;12;12;
21/01/2022;2;13;10;9;
20/01/2022;4;24;19;12;
19/01/2022;6;25;16;16;
18/01/2022;5;25;17;16;
17/01/2022;4;24;18;17;
16/01/2022;4;22;16;15;
15/01/2022;3;19;14;14;
14/01/2022;3;18;14;12;
13/01/2022;2;14;11;8;
12/01/2022;3;16;12;10;
11/01/2022;1;16;14;6;
10/01/2022;1;7;6;3;
09/01/2022;1;5;4;4;
08/01/2022;1;5;4;5;
07/01/2022;1;9;8;10;
06/01/2022;2;13;10;9;
05/01/2022;2;13;11;9;
04/01/2022;1;6;5;7;
03/01/2022;1;7;6;9;
02/01/2022;3;18;14;13;
01/01/2022;2;7;4;9;
