Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
11/11/2022;0,2;0,22;6;35;25;17;10;12
10/11/2022;0,24;0,23;11;45;30;18;11;19
09/11/2022;0,21;0,2;5;32;25;14;7;10
08/11/2022;0,13;0,13;1;7;6;7;4;5
07/11/2022;0,14;0,16;2;19;16;11;6;9
06/11/2022;0,17;0,17;3;25;21;11;7;11
05/11/2022;0,2;0,18;7;31;21;13;8;11
04/11/2022;0,17;0,16;1;15;13;17;7;9
03/11/2022;0,15;0,16;1;10;10;12;5;7
02/11/2022;0,2;0,2;9;41;27;19;11;12
01/11/2022;0,18;0,17;1;11;10;13;6;9
31/10/2022;0,16;0,17;1;12;11;15;9;8
30/10/2022;0,18;0,18;1;10;9;12;6;6
29/10/2022;0,17;0,18;1;18;17;26;12;8
28/10/2022;0,25;0,23;10;46;30;43;20;11
27/10/2022;0,18;0,18;4;30;24;37;17;9
26/10/2022;0,18;0,16;2;18;16;14;7;7
25/10/2022;0,18;0,21;3;16;13;15;7;8
24/10/2022;0,22;0,19;2;19;15;9;5;7
23/10/2022;0,19;0,19;2;6;4;14;10;4
22/10/2022;0,2;0,19;2;12;10;7;4;7
21/10/2022;0,2;0,19;2;12;9;7;3;5
20/10/2022;0,18;0,18;3;17;13;9;5;6
19/10/2022;0,23;0,24;4;22;16;33;15;7
18/10/2022;0,32;0,32;5;35;27;40;19;9
17/10/2022;0,26;0,25;5;32;25;22;13;9
16/10/2022;0,33;0,34;8;39;28;25;15;11
15/10/2022;0,28;0,26;8;34;22;17;11;8
14/10/2022;0,27;0,28;12;40;23;19;11;9
13/10/2022;0,28;0,27;13;45;26;30;17;12
12/10/2022;0,22;0,22;2;17;14;22;14;6
11/10/2022;0,28;0,29;9;39;25;41;23;7
10/10/2022;0,29;0,29;7;35;26;49;25;8
09/10/2022;0,24;0,25;2;14;11;35;15;7
08/10/2022;0,26;0,25;2;16;13;22;11;6
07/10/2022;0,29;0,29;13;37;18;35;20;9
06/10/2022;0,31;0,31;8;32;20;26;15;6
05/10/2022;0,32;0,32;11;40;23;44;31;10
04/10/2022;0,3;0,3;13;46;27;36;26;11
03/10/2022;0,28;0,27;11;37;21;23;14;9
02/10/2022;0,23;0,24;6;24;16;15;9;8
01/10/2022;0,25;0,25;4;24;18;13;8;13
30/09/2022;0,24;0,22;3;22;18;12;6;7
29/09/2022;0,22;0,23;3;18;15;11;7;4
28/09/2022;0,24;0,24;2;12;9;13;8;8
27/09/2022;0,23;0,23;2;14;11;19;9;8
26/09/2022;0,24;0,24;6;29;20;14;8;11
25/09/2022;0,21;0,2;3;16;12;8;5;7
24/09/2022;0,22;0,24;2;14;12;7;4;7
23/09/2022;0,29;0,28;7;35;25;22;13;8
22/09/2022;0,29;0,28;6;31;22;22;11;10
21/09/2022;0,25;0,25;6;29;20;24;14;8
20/09/2022;0,23;0,23;6;27;19;19;10;8
19/09/2022;0,28;0,29;7;33;22;21;12;10
18/09/2022;0,24;0,23;3;20;15;14;9;7
17/09/2022;0,2;0,2;2;13;11;12;7;5
16/09/2022;0,24;0,25;2;10;8;16;8;6
15/09/2022;0,27;0,26;5;23;16;18;12;6
14/09/2022;0,2;0,2;2;11;9;9;5;5
13/09/2022;0,23;0,24;2;17;14;19;10;6
12/09/2022;0,28;0,29;4;26;21;30;17;6
11/09/2022;0,27;0,27;3;24;20;20;13;11
10/09/2022;0,26;0,26;4;26;20;15;9;15
09/09/2022;0,25;0,24;3;18;14;13;6;5
08/09/2022;0,25;0,25;4;23;16;15;8;9
07/09/2022;0,25;0,24;5;26;18;17;8;6
06/09/2022;0,23;0,23;2;12;9;14;8;5
05/09/2022;0,2;0,21;3;20;16;18;11;7
04/09/2022;0,26;0,26;2;16;13;17;11;8
03/09/2022;0,24;0,24;2;12;10;16;8;7
02/09/2022;0,28;0,27;4;20;14;16;9;6
01/09/2022;0,32;0,33;4;22;15;21;14;5
31/08/2022;0,29;0,3;2;16;14;22;14;6
30/08/2022;0,32;0,32;4;21;15;28;18;7
29/08/2022;0,3;0,29;2;21;19;23;14;9
28/08/2022;0,29;0,29;3;22;18;20;14;11
27/08/2022;0,24;0,23;2;15;12;15;9;7
26/08/2022;0,24;0,24;2;9;7;12;6;6
25/08/2022;0,27;0,27;4;17;11;17;8;7
24/08/2022;0,27;0,27;3;19;14;21;15;7
23/08/2022;0,25;0,25;4;16;10;13;10;7
22/08/2022;0,26;0,26;3;15;11;7;4;6
21/08/2022;0,25;0,25;2;8;6;12;6;6
20/08/2022;0,28;0,28;3;17;12;14;9;7
19/08/2022;0,25;0,24;3;19;14;14;8;8
18/08/2022;0,22;0,21;2;15;12;17;7;8
17/08/2022;0,22;0,22;2;14;11;11;5;9
16/08/2022;0,26;0,26;2;11;9;19;9;6
15/08/2022;0,26;0,26;2;10;8;22;14;6
14/08/2022;0,24;0,24;1;8;6;16;10;8
13/08/2022;0,28;0,28;2;13;10;25;17;6
12/08/2022;0,34;0,36;2;12;11;32;21;4
11/08/2022;0,35;0,36;4;27;22;31;20;4
10/08/2022;0,36;0,36;3;29;25;34;21;7
09/08/2022;0,32;0,3;3;27;23;27;16;8
08/08/2022;0,25;0,25;3;23;18;21;12;8
07/08/2022;0,24;0,25;2;16;13;21;12;6
06/08/2022;0,25;0,24;2;15;12;20;9;5
05/08/2022;0,24;0,24;2;12;10;18;7;5
04/08/2022;0,25;0,26;2;11;8;16;7;5
03/08/2022;0,31;0,3;4;23;17;29;16;6
02/08/2022;0,31;0,33;8;28;16;24;13;5
01/08/2022;0,31;0,3;2;12;9;13;7;4
31/07/2022;0,23;0,23;1;5;3;9;5;5
30/07/2022;0,24;0,25;2;10;7;8;6;5
29/07/2022;0,23;0,22;3;17;12;11;6;6
28/07/2022;0,21;0,21;5;21;14;13;7;6
27/07/2022;0,2;0,19;4;19;13;11;6;5
26/07/2022;0,21;0,22;2;14;11;12;6;4
25/07/2022;0,24;0,24;2;9;7;15;9;5
24/07/2022;0,29;0,28;3;19;14;24;14;6
23/07/2022;0,22;0,22;2;12;10;14;8;5
22/07/2022;0,25;0,26;1;14;12;17;10;6
21/07/2022
20/07/2022;0,25;0,24;2;13;10;19;11;3
19/07/2022;0,23;0,23;3;16;11;24;13;3
18/07/2022;0,34;0,37;3;30;25;41;25;7
17/07/2022;0,58;0,7;2;28;25;48;39;9
16/07/2022;0,77;0,72;3;32;28;77;64;12
15/07/2022;0,59;0,54;4;31;26;59;46;10
14/07/2022;0,39;0,37;5;37;30;47;31;12
13/07/2022;0,34;0,34;5;40;32;37;24;16
12/07/2022;0,32;0,32;5;36;29;38;26;9
11/07/2022;0,34;0,34;4;30;24;33;22;8
10/07/2022;0,28;0,27;3;23;19;24;17;9
09/07/2022;0,25;0,24;3;19;14;21;14;7
08/07/2022;0,22;0,21;4;17;11;19;10;5
07/07/2022;0,21;0,23;4;17;12;20;11;5
06/07/2022;0,26;0,25;2;15;12;29;13;5
05/07/2022;0,23;0,22;2;17;13;20;9;6
04/07/2022;0,19;0,19;2;11;9;13;7;6
03/07/2022;0,19;0,2;2;8;6;13;8;3
02/07/2022;0,22;0,22;3;17;12;19;12;8
01/07/2022;0,19;0,18;6;21;13;13;8;7
30/06/2022;0,17;0,17;2;15;11;12;7;5
29/06/2022;0,21;0,21;5;22;15;16;10;10
28/06/2022;0,2;0,19;6;24;16;17;10;7
27/06/2022;0,17;0,16;3;17;13;14;7;6
26/06/2022;0,17;0,17;2;12;10;14;8;7
25/06/2022;0,2;0,21;2;14;11;16;11;6
24/06/2022;0,25;0,25;4;19;14;20;14;6
23/06/2022;0,25;0,25;4;22;16;17;11;5
22/06/2022;0,23;0,24;4;22;16;16;10;6
21/06/2022;0,24;0,24;3;18;14;17;10;5
20/06/2022;0,23;0,22;2;16;12;15;5;3
19/06/2022;0,24;0,24;2;14;11;22;12;2
18/06/2022;0,29;0,32;2;17;14;51;29;1
17/06/2022;0,35;0,34;3;32;28;55;33;2
16/06/2022;0,35;0,35;5;37;30;55;33;2
15/06/2022;0,34;0,33;6;32;23;45;29;2
14/06/2022;0,34;0,34;7;32;21;47;29;3
13/06/2022;0,28;0,28;2;14;11;31;16;3
12/06/2022;0,26;0,26;2;11;9;21;12;2
11/06/2022;0,24;0,24;2;13;11;19;11;3
10/06/2022;0,24;0,24;8;28;16;20;11;6
09/06/2022;0,22;0,22;5;20;13;11;7;4
08/06/2022;0,23;0,23;5;25;18;12;7;
07/06/2022;0,23;0,23;2;16;13;20;11;
06/06/2022;0,26;0,26;5;25;17;22;15;11
05/06/2022;0,25;0,26;2;13;10;20;15;9
04/06/2022;0,25;0,25;1;11;9;18;12;8
03/06/2022;0,26;0,26;3;18;15;24;16;9
02/06/2022;0,27;0,27;3;18;14;27;18;9
01/06/2022;0,27;0,27;5;28;21;29;17;14
31/05/2022;0,25;0,23;5;28;21;25;14;20
30/05/2022;0,24;0,24;4;21;16;21;12;10
29/05/2022;0,23;0,23;3;14;11;19;12;9
28/05/2022;0,23;0,23;2;16;13;17;11;8
27/05/2022;0,23;0,23;5;21;13;13;8;8
26/05/2022;0,23;0,24;3;19;15;14;8;8
25/05/2022;0,22;0,22;2;14;11;18;9;8
24/05/2022;0,2;0,2;2;15;12;18;10;10
23/05/2022;0,23;0,24;2;17;14;16;9;10
22/05/2022;0,32;0,32;3;18;15;32;20;6
21/05/2022;0,29;0,28;2;15;12;24;14;6
20/05/2022;0,27;0,27;2;15;13;23;13;5
19/05/2022;0,26;0,26;5;22;16;21;12;5
18/05/2022;0,32;0,32;5;27;20;25;13;5
17/05/2022;0,27;0,27;3;24;19;19;12;9
16/05/2022;0,25;0,25;3;24;20;19;13;8
15/05/2022;0,27;0,27;2;13;11;22;14;2
14/05/2022;0,31;0,3;3;22;17;26;16;1
13/05/2022;0,28;0,28;4;22;16;19;12;1
12/05/2022;0,27;0,26;6;30;22;21;14;4
11/05/2022;0,3;0,3;4;24;18;34;23;8
10/05/2022;0,31;0,31;7;36;25;33;19;10
09/05/2022;0,27;0,26;7;37;27;25;16;9
08/05/2022;0,24;0,25;3;19;15;21;15;8
07/05/2022;0,25;0,24;3;19;15;23;17;8
06/05/2022;0,26;0,26;4;21;16;21;15;7
05/05/2022;0,28;0,28;4;21;15;28;20;6
04/05/2022;0,24;0,24;4;23;18;33;24;5
03/05/2022;0,28;0,27;2;16;13;41;26;4
02/05/2022;0,24;0,23;2;15;13;28;18;3
01/05/2022;0,25;0,25;2;15;13;33;26;4
30/04/2022;0,28;0,28;3;25;20;33;26;6
29/04/2022;0,32;0,32;10;37;22;27;19;4
28/04/2022;0,25;0,28;2;25;22;20;15;1
27/04/2022;0,55;0,57;4;39;34;28;22;2
26/04/2022;0,37;0,31;12;51;33;33;20;8
25/04/2022;0,28;0,28;7;31;20;20;14;6
24/04/2022;0,23;0,24;2;16;14;14;9;11
23/04/2022;0,25;0,25;1;13;11;7;5;7
22/04/2022;0,27;0,26;5;34;28;15;11;8
21/04/2022;0,25;0,24;2;23;20;23;10;9
20/04/2022;0,21;0,21;2;12;10;14;7;6
19/04/2022;0,21;0,2;1;13;12;14;7;6
18/04/2022;0,21;0,21;1;9;8;19;13;8
17/04/2022;0,24;0,25;2;17;14;22;16;11
16/04/2022;0,33;0,31;4;27;22;46;38;26
15/04/2022;0,24;0,25;2;15;13;23;19;9
14/04/2022;0,27;0,26;2;13;11;16;11;6
13/04/2022;0,24;0,24;4;21;15;18;8;6
12/04/2022;0,21;0,21;2;13;11;21;6;5
11/04/2022;0,22;0,21;2;15;12;35;12;5
10/04/2022;0,22;0,23;2;15;12;13;9;7
09/04/2022;0,23;0,22;2;17;14;17;7;6
08/04/2022;0,21;0,21;2;12;10;15;7;6
07/04/2022;0,27;0,28;6;34;25;22;14;9
06/04/2022;0,29;0,28;7;39;28;25;17;10
05/04/2022;0,25;0,25;5;27;20;20;15;5
04/04/2022;0,24;0,25;9;36;23;;;5
03/04/2022;0,2;0,2;1;13;12;;;3
02/04/2022;0,2;0,19;1;11;11;;;2
01/04/2022;0,2;0,2;1;14;13;;;4
31/03/2022;0,22;0,23;1;15;14;21;11;5
30/03/2022;0,24;0,24;1;13;12;30;17;5
29/03/2022;0,26;0,26;4;26;20;;;6
28/03/2022;0,23;0,22;2;25;22;;;6
27/03/2022;0,2;0,21;0;9;9;25;14;6
26/03/2022;0,22;0,24;0;18;17;26;16;7
25/03/2022;0,26;0,24;2;24;22;23;14;5
24/03/2022;0,23;0,22;2;20;18;17;11;6
23/03/2022;0,22;0,21;1;14;13;16;10;6
22/03/2022;0,21;0,21;0;9;9;14;9;6
21/03/2022;0,21;0,21;1;9;9;13;6;6
20/03/2022;0,23;0,24;0;8;8;18;12;5
19/03/2022;0,25;0,25;1;19;19;26;14;6
18/03/2022;0,22;0,21;1;17;16;33;19;4
17/03/2022;0,19;0,19;0;11;11;23;8;3
16/03/2022;0,21;0,21;0;13;12;61;18;3
15/03/2022;0,22;0,23;1;18;17;115;31;4
14/03/2022;0,23;0,23;2;29;27;11;7;4
13/03/2022;0,18;0,17;0;16;16;9;6;3
12/03/2022;0,17;0,18;1;11;10;9;6;2
11/03/2022;0,19;0,18;1;12;11;10;5;1
10/03/2022;0,2;0,21;1;18;16;8;5;7
09/03/2022;0,19;0,2;1;17;16;11;7;12
08/03/2022;0,22;0,22;2;24;22;13;8;11
07/03/2022;0,26;0,26;7;33;23;18;14;12
06/03/2022;0,2;0,2;1;18;18;8;6;10
05/03/2022;0,21;0,21;1;19;18;9;6;9
04/03/2022;0,2;0,2;1;14;14;17;7;9
03/03/2022;0,2;0,2;2;22;20;11;7;8
02/03/2022;0,26;0,29;2;29;26;18;12;8
01/03/2022;0,32;0,3;13;58;39;41;24;14
28/02/2022;0,28;0,28;12;52;33;32;19;12
27/02/2022;0,25;0,24;2;22;20;20;12;6
26/02/2022;0,33;0,33;4;33;27;23;15;7
25/02/2022;0,25;;3;29;25;17;9;7
24/02/2022;;;14;53;33;28;16;13
23/02/2022;0,3;0,28;22;78;46;38;20;23
22/02/2022;0,22;0,22;8;45;33;30;15;18
21/02/2022;0,25;0,26;3;28;23;32;16;11
20/02/2022;0,3;0,28;8;46;34;19;14;13
19/02/2022;0,21;0,21;2;20;18;17;9;9
18/02/2022;0,26;0,26;16;52;28;26;15;11
17/02/2022;0,26;0,27;14;51;31;27;16;9
16/02/2022;0,24;0,23;3;31;27;16;9;7
15/02/2022;0,24;0,23;4;33;29;16;8;8
14/02/2022;0,22;0,21;1;17;16;12;7;7
13/02/2022;0,21;0,23;2;15;12;23;15;8
12/02/2022;0,28;0,27;12;46;28;28;21;11
11/02/2022;0,26;0,26;4;33;28;22;16;4
10/02/2022;0,33;0,33;13;62;43;41;24;11
09/02/2022;0,26;0,24;7;44;34;30;17;9
08/02/2022;0,27;0,27;14;54;33;24;15;13
07/02/2022;0,27;0,27;9;50;37;21;11;16
06/02/2022;0,24;0,24;3;28;25;16;10;13
05/02/2022;0,22;0,21;1;17;16;11;6;8
04/02/2022;0,29;0,31;13;58;39;30;19;12
03/02/2022;0,34;0,33;24;79;43;29;18;16
02/02/2022;0,3;0,29;20;68;37;22;15;14
01/02/2022;0,22;0,21;3;28;25;19;9;7
31/01/2022;0,22;0,23;3;20;16;10;6;7
30/01/2022;0,29;0,3;4;28;22;28;25;13
29/01/2022;0,26;0,24;4;31;25;26;21;10
28/01/2022;0,26;0,26;5;35;27;20;15;8
27/01/2022;0,31;0,33;14;48;27;30;23;9
26/01/2022;0,34;0,34;24;74;39;33;23;11
25/01/2022;0,28;0,29;11;51;35;25;18;12
24/01/2022;0,3;0,28;10;45;31;22;16;9
23/01/2022;0,28;0,29;6;35;26;21;16;13
22/01/2022;0,25;0,23;6;29;21;15;11;7
21/01/2022;0,21;0,21;4;20;14;12;7;3
20/01/2022;0,29;0,3;14;51;31;20;14;7
19/01/2022;0,31;0,31;18;61;34;28;20;6
18/01/2022;0,3;0,3;14;51;31;26;20;11
17/01/2022;0,31;0,32;16;55;30;25;19;16
16/01/2022;0,32;0,31;11;52;36;23;17;22
15/01/2022;0,29;0,28;8;45;33;22;16;21
14/01/2022;0,24;0,23;7;37;27;17;12;18
13/01/2022;0,25;0,24;11;45;28;17;12;17
12/01/2022;0,23;0,23;14;52;31;24;16;7
11/01/2022;0,19;0,19;1;19;18;14;9;6
10/01/2022;0,18;0,17;0;8;8;8;5;9
09/01/2022;0,2;0,21;0;5;5;11;6;10
08/01/2022;0,2;0,2;1;10;9;7;4;11
07/01/2022;0,22;0,22;1;15;15;14;8;11
06/01/2022;0,23;0,23;2;24;21;11;8;10
05/01/2022;0,24;0,22;5;33;26;12;6;9
04/01/2022;0,19;0,19;0;7;7;9;5;8
03/01/2022;0,22;0,23;2;16;14;12;8;11
02/01/2022;0,25;0,23;2;20;18;16;11;9
01/01/2022;0,16;0,16;0;5;5;11;7;6
