Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
27/06/2022;0,12;0,11;1;7;5;53;57;23;6;3
26/06/2022;0,11;0,11;1;7;5;56;57;18;5;3
25/06/2022;0,13;0,14;1;5;3;67;68;17;6;3
24/06/2022;0,2;0,21;3;13;9;56;54;23;18;3
23/06/2022;0,18;0,16;3;14;10;51;49;17;10;3
22/06/2022;0,16;0,14;3;10;7;62;64;11;6;3
21/06/2022;0,12;0,13;5;16;9;55;55;14;8;3
20/06/2022;0,15;0,14;2;8;5;60;62;24;5;3
19/06/2022;0,12;0,12;3;9;5;56;55;28;10;3
18/06/2022;0,23;0,26;2;12;9;72;77;39;24;3
17/06/2022;0,28;0,3;3;20;15;87;86;58;32;3
16/06/2022;0,29;0,25;4;22;15;67;64;53;23;3
15/06/2022;0,22;0,21;5;19;12;52;53;59;30;3
14/06/2022;0,2;0,2;3;14;9;53;54;34;26;3
13/06/2022;0,15;0,14;2;7;4;68;68;56;13;3
12/06/2022;0,14;0,13;2;7;4;52;50;30;7;3
11/06/2022;0,11;0,11;3;9;5;40;42;52;9;3
10/06/2022;0,13;0,14;4;15;9;43;43;30;10;4
09/06/2022;0,14;0,14;3;11;6;44;46;11;5;3
08/06/2022;0,15;0,16;4;18;12;36;37;28;9;3
07/06/2022;0,14;0,14;2;8;5;57;60;15;6;3
06/06/2022;0,16;0,16;4;17;12;52;53;18;11;3
05/06/2022;0,15;0,15;2;8;5;69;70;;10;3
04/06/2022;0,15;0,15;2;6;3;78;80;13;7;4
03/06/2022;0,17;0,17;2;10;7;80;80;15;7;4
02/06/2022;0,17;0,17;2;10;6;79;78;16;9;4
01/06/2022;0,18;0,18;3;14;9;81;81;22;10;4
31/05/2022;0,19;0,19;4;17;11;72;71;18;10;4
30/05/2022;0,2;0,2;3;13;8;72;71;17;7;4
29/05/2022;0,16;0,17;3;15;10;66;61;18;9;4
28/05/2022;0,18;0,17;3;10;6;55;57;16;6;4
27/05/2022;0,15;0,15;3;11;7;55;53;13;6;4
26/05/2022;0,16;0,16;2;12;8;58;60;14;5;4
25/05/2022;0,13;0,12;2;7;5;74;75;14;4;3
