Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
15/08/2018;0,27;0,27;2;10;13;16;1
14/08/2018;0,2;0,17;2;11;14;11;2
13/08/2018;0,17;0,2;2;9;11;23;2
12/08/2018;0,26;0,25;2;13;15;19;3
11/08/2018;0,21;0,2;3;14;17;21;2
10/08/2018;0,23;0,22;6;15;23;20;3
09/08/2018;0,18;0,18;2;13;15;11;4
08/08/2018;0,2;0,2;4;12;17;17;2
07/08/2018;0,22;0,25;1;10;11;19;2
06/08/2018;0,33;0,32;4;27;33;53;3
05/08/2018;0,32;0,3;2;16;19;33;4
04/08/2018;0,27;0,28;3;19;24;35;4
03/08/2018;0,35;0,36;7;28;38;43;1
02/08/2018;0,27;0,25;9;22;35;37;2
01/08/2018;0,21;0,21;3;17;22;11;1
31/07/2018;0,21;0,21;3;15;20;21;3
30/07/2018;0,21;0,21;5;17;24;19;1
29/07/2018;0,16;0,18;2;11;13;22;1
28/07/2018;0,21;0,19;2;11;14;22;1
27/07/2018;0,27;0,27;5;19;25;23;0
26/07/2018;0,26;0,28;8;16;28;22;0
25/07/2018;0,28;0,25;2;10;12;17;0
24/07/2018;0,26;0,25;6;15;24;21;1
23/07/2018;0,23;0,22;10;20;34;30;3
22/07/2018;0,21;0,23;4;16;21;15;2
21/07/2018;0,21;0,19;2;16;19;15;3
20/07/2018;0,22;0,24;2;19;22;22;1
19/07/2018;0,25;0,24;3;15;18;28;0
18/07/2018;0,25;0,25;5;16;23;37;1
17/07/2018;0,25;0,24;8;13;25;17;2
16/07/2018;0,19;0,2;2;13;15;14;2
15/07/2018;0,26;0,27;2;12;15;28;1
14/07/2018;0,29;0,29;2;16;18;32;2
13/07/2018;0,25;0,27;8;23;35;38;2
12/07/2018;0,24;0,22;2;15;18;16;2
11/07/2018;0,23;0,24;4;19;24;30;2
10/07/2018;0,28;0,28;4;22;27;34;4
09/07/2018;0,28;0,3;6;22;30;31;4
08/07/2018;0,27;0,25;2;15;19;29;3
07/07/2018;0,28;0,29;3;17;21;29;1
06/07/2018;0,28;0,27;8;22;34;28;2
05/07/2018;0,2;0,22;5;19;26;22;2
04/07/2018;0,24;0,21;3;16;19;22;1
03/07/2018;0,21;0,21;4;14;19;18;0
02/07/2018;0,27;0,27;6;18;26;23;0
01/07/2018;0,26;0,28;1;13;15;35;0
30/06/2018;0,39;0,4;3;24;29;44;0
29/06/2018;0,36;0,33;5;25;31;37;0
28/06/2018;0,19;0,18;2;16;19;16;0
27/06/2018;0,27;0,28;2;20;23;28;1
26/06/2018;0,27;0,27;6;24;32;34;2
25/06/2018;0,29;0,3;8;32;43;31;4
24/06/2018;0,32;0,32;4;27;32;32;7
23/06/2018;0,22;0,2;3;21;25;25;4
22/06/2018;0,19;0,19;2;14;16;23;0
21/06/2018;0,28;0,26;3;19;24;31;0
20/06/2018;0,27;0,29;12;21;38;33;1
19/06/2018;0,27;0,24;4;19;24;12;1
18/06/2018;0,21;0,21;6;19;28;18;2
17/06/2018;0,16;0,17;2;12;15;16;1
16/06/2018;0,2;0,19;2;10;12;10;0
15/06/2018;0,2;0,2;10;21;36;22;2
14/06/2018;0,18;0,18;5;18;26;16;1
13/06/2018;0,17;0,16;2;10;12;19;1
12/06/2018;0,21;0,23;2;14;17;26;3
11/06/2018;0,22;0,21;3;18;21;13;1
10/06/2018;0,18;0,17;2;18;21;12;1
09/06/2018;0,21;0,22;2;15;18;15;0
08/06/2018;0,26;0,26;13;36;56;32;3
07/06/2018;0,23;0,23;7;28;38;25;1
06/06/2018;0,21;0,21;8;20;32;19;3
05/06/2018;0,17;0,16;2;16;18;11;2
04/06/2018;0,17;0,17;3;21;26;10;1
03/06/2018;0,22;0,23;2;14;16;23;0
02/06/2018;0,23;0,23;2;13;17;20;0
01/06/2018;0,35;0,35;6;30;39;25;1
31/05/2018;0,2;0,2;3;24;27;21;1
30/05/2018;0,23;0,24;9;28;42;25;1
29/05/2018;0,21;0,21;6;30;38;18;1
28/05/2018;0,21;0,22;2;22;25;14;0
27/05/2018;0,26;0,26;2;18;21;19;1
26/05/2018;0,27;0,27;3;23;27;23;0
25/05/2018;0,23;0,23;5;36;43;23;1
24/05/2018;0,32;0,31;6;24;33;37;2
23/05/2018;0,3;0,3;9;34;47;41;6
22/05/2018;0,37;0,36;11;34;50;43;6
21/05/2018;0,25;0,24;7;30;40;31;5
20/05/2018;0,23;0,23;2;19;22;29;5
19/05/2018;0,22;0,23;3;21;25;35;5
18/05/2018;0,23;0,22;2;19;22;32;2
17/05/2018;0,19;0,19;9;21;35;20;4
16/05/2018;0,21;0,22;6;24;32;13;3
15/05/2018;0,24;0,24;3;17;20;21;4
14/05/2018;0,23;0,22;7;23;33;13;3
13/05/2018;0,23;0,23;2;13;16;9;4
12/05/2018;0,19;0,19;1;16;18;15;4
11/05/2018;0,24;0,24;3;20;24;38;4
10/05/2018;0,24;0,25;2;19;23;38;2
09/05/2018;0,24;0,24;7;29;39;28;3
08/05/2018;0,23;0,24;3;24;27;39;2
07/05/2018;0,38;0,37;13;33;53;45;7
06/05/2018;0,26;0,27;2;27;30;36;9
05/05/2018;0,2;0,22;2;22;26;29;4
04/05/2018;0,21;0,17;2;15;17;30;2
03/05/2018;0,21;0,21;2;12;15;33;2
02/05/2018;0,26;0,26;14;35;57;18;6
01/05/2018;0,2;0,2;2;14;16;10;3
30/04/2018;0,24;0,24;3;21;24;6;2
29/04/2018;0,17;0,17;1;11;13;8;3
28/04/2018;0,25;0,24;2;23;25;17;2
27/04/2018;0,26;0,27;12;25;44;30;4
26/04/2018;0,32;0,31;13;26;45;36;2
25/04/2018;0,18;0,17;2;17;19;19;1
24/04/2018;0,22;0,25;8;20;31;36;1
23/04/2018;0,26;0,24;2;17;19;36;1
22/04/2018;0,25;0,25;2;19;21;54;5
21/04/2018;0,2;0,24;2;19;21;57;3
20/04/2018;0,33;0,3;4;29;34;56;3
19/04/2018;0,32;0,32;7;42;51;64;5
18/04/2018;0,3;0,29;11;49;65;;10
17/04/2018;0,23;0,22;7;44;54;;9
16/04/2018;0,22;0,23;4;26;32;;4
15/04/2018;0,24;0,24;1;14;16;;3
14/04/2018;0,26;0,24;4;29;34;;6
13/04/2018;0,29;0,3;18;39;66;;9
12/04/2018;0,25;0,24;4;32;39;19;4
11/04/2018;0,22;0,22;2;11;14;15;2
10/04/2018;0,34;0,33;4;27;33;11;3
09/04/2018;0,48;0,57;7;28;39;19;2
08/04/2018;0,4;0,31;2;19;21;13;5
07/04/2018;0,25;0,24;2;28;31;12;4
06/04/2018;0,2;0,22;2;19;21;21;3
05/04/2018;0,25;0,23;7;30;40;19;5
04/04/2018;0,2;0,19;2;14;18;18;3
03/04/2018;0,17;0,17;2;10;12;8;2
02/04/2018;0,19;0,19;1;12;13;9;3
01/04/2018;0,21;0,22;2;20;22;12;8
31/03/2018;0,23;0,22;1;10;12;13;4
30/03/2018;0,16;0,16;1;7;9;7;1
29/03/2018;0,2;0,2;2;16;18;13;4
28/03/2018;0,21;0,21;8;23;35;;4
27/03/2018;0,21;0,21;4;23;29;21;5
26/03/2018;0,24;0,23;2;21;24;22;4
25/03/2018;0,24;0,25;2;13;15;8;4
24/03/2018;0,25;0,25;2;13;15;14;4
23/03/2018;0,33;0,34;12;44;62;19;7
22/03/2018;0,29;0,28;6;33;42;22;3
21/03/2018;0,24;0,25;4;18;24;15;2
20/03/2018;0,29;0,3;2;16;19;17;2
19/03/2018;0,27;0,27;3;25;28;10;5
18/03/2018;0,22;0,21;1;15;17;6;3
17/03/2018;0,28;0,3;4;21;26;15;5
16/03/2018;0,29;0,27;5;25;31;14;2
15/03/2018;0,21;0,21;2;13;15;10;1
14/03/2018;0,19;0,3;2;16;19;12;2
13/03/2018;0,4;0,3;10;38;53;29;4
12/03/2018;0,24;0,24;2;;;22;4
11/03/2018;0,18;0,18;1;;;7;2
10/03/2018;0,16;0,17;1;;;4;1
09/03/2018;0,22;0,21;2;;;5;2
08/03/2018;0,21;0,23;2;;;10;3
07/03/2018;0,23;0,21;5;28;35;20;3
06/03/2018;0,2;0,21;2;15;18;12;3
05/03/2018;0,22;0,22;2;17;20;11;2
04/03/2018;0,21;0,21;2;18;20;9;2
03/03/2018;0,21;0,21;2;12;14;5;1
02/03/2018;0,28;0,29;11;28;44;12;3
01/03/2018;0,21;0,21;4;23;29;8;3
28/02/2018;0,32;0,33;7;35;45;18;5
27/02/2018;0,32;0,32;10;35;50;26;3
26/02/2018;0,34;0,37;13;37;56;30;4
25/02/2018;0,4;0,39;8;34;46;35;6
24/02/2018;0,37;0,35;4;28;33;26;2
23/02/2018;0,35;0,35;18;35;62;27;4
22/02/2018;0,31;0,3;3;27;31;26;2
21/02/2018;0,2;0,19;2;16;19;21;1
20/02/2018;0,18;0,18;2;18;21;25;3
19/02/2018;0,19;0,19;2;17;20;14;2
18/02/2018;0,24;0,25;3;23;27;12;5
17/02/2018;0,2;0,2;2;20;23;17;5
16/02/2018;0,36;0,36;37;42;99;53;12
15/02/2018;0,22;0,24;3;16;20;8;2
14/02/2018;0,3;0,29;9;32;46;8;6
13/02/2018;0,25;0,26;5;33;41;13;5
12/02/2018;0,32;0,3;16;45;69;14;5
11/02/2018;0,26;0,27;5;25;31;7;4
10/02/2018;0,26;0,25;4;31;36;17;4
09/02/2018;0,26;0,27;16;41;64;18;7
08/02/2018;0,35;0,38;14;49;70;14;4
07/02/2018;0,43;0,4;20;47;77;14;3
06/02/2018;0,24;0,24;5;28;34;12;2
05/02/2018;0,27;0,27;4;23;29;9;1
04/02/2018;0,22;0,21;3;27;31;7;4
03/02/2018;0,24;0,26;3;23;28;11;4
02/02/2018;0,28;0,3;7;35;45;11;5
01/02/2018;0,29;0,27;5;35;42;16;5
31/01/2018;0,32;0,32;19;35;64;31;9
30/01/2018;0,36;0,36;14;37;59;28;8
29/01/2018;0,35;0,35;27;40;81;28;13
28/01/2018;0,33;0,33;16;34;59;19;6
27/01/2018;0,25;0,22;5;21;28;14;1
26/01/2018;0,25;0,3;3;19;22;18;5
25/01/2018;0,28;;4;33;39;10;4
24/01/2018;0,18;0,2;7;24;34;11;4
23/01/2018;0,25;0,24;24;38;75;20;5
22/01/2018;0,26;0,28;20;30;60;15;3
21/01/2018;0,27;0,26;7;24;34;20;6
20/01/2018;0,27;0,27;6;30;39;15;4
19/01/2018;0,24;0,27;8;35;48;21;4
18/01/2018;0,34;0,32;22;43;76;;6
17/01/2018;0,24;0,24;7;35;45;;4
16/01/2018;0,23;0,21;10;32;47;15;5
15/01/2018;0,17;0,18;6;24;32;4;2
14/01/2018;0,23;0,23;3;27;31;6;3
13/01/2018;0,18;0,19;3;19;22;6;1
12/01/2018;0,45;0,54;38;58;115;24;5
11/01/2018;0,35;0,25;4;31;36;;2
10/01/2018;0,21;0,2;7;24;34;;2
09/01/2018;0,16;0,18;2;15;18;5;1
08/01/2018;0,26;0,29;20;43;72;11;6
07/01/2018;0,33;0,32;13;34;53;10;3
06/01/2018;0,23;0,21;2;29;32;6;2
05/01/2018;0,18;0,17;3;28;32;8;2
04/01/2018;0,27;0,31;21;30;62;20;3
03/01/2018;0,32;0,32;28;40;82;23;2
02/01/2018;0,26;0,24;12;29;47;9;2
01/01/2018;0,19;0,18;1;9;10;21;2
