Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
13/04/2018;4;18;24;10
12/04/2018;3;18;22;12
11/04/2018;1;7;9;7
10/04/2018;2;12;15;6
09/04/2018;3;14;18;8
08/04/2018;2;10;13;9
07/04/2018;1;11;13;8
06/04/2018;1;10;12;12
05/04/2018;2;13;17;9
04/04/2018;2;9;11;6
03/04/2018;1;5;7;6
02/04/2018;1;6;8;6
01/04/2018;1;7;9;7
31/03/2018;1;5;7;8
30/03/2018;1;5;7;3
29/03/2018;1;10;12;8
28/03/2018;4;17;23;13
27/03/2018;4;19;25;13
26/03/2018;2;14;16;12
25/03/2018;1;8;10;4
24/03/2018;1;7;9;8
23/03/2018;2;12;15;9
22/03/2018;2;20;24;15
21/03/2018;2;14;18;12
20/03/2018;1;16;18;14
19/03/2018;1;11;13;5
18/03/2018;1;8;10;4
17/03/2018;2;11;13;7
16/03/2018;2;12;15;7
15/03/2018;1;7;9;5
14/03/2018;1;6;8;8
13/03/2018;2;18;21;13
12/03/2018;1;10;12;13
11/03/2018;1;5;6;6
10/03/2018;1;4;6;5
09/03/2018;1;6;8;4
08/03/2018;1;9;11;6
07/03/2018;2;17;19;12
06/03/2018;1;8;10;6
05/03/2018;1;9;12;
04/03/2018;2;11;14;5
03/03/2018;1;7;9;4
02/03/2018;2;11;13;6
01/03/2018;7;17;28;6
28/02/2018;3;15;19;12
27/02/2018;2;16;19;14
26/02/2018;2;20;24;21
25/02/2018;2;18;22;25
24/02/2018;2;18;22;21
23/02/2018;3;18;22;18
22/02/2018;2;17;20;23
21/02/2018;2;17;19;18
20/02/2018;1;11;13;15
19/02/2018;2;17;20;8
18/02/2018;2;14;16;8
17/02/2018;1;13;15;12
16/02/2018;19;34;63;27
15/02/2018;1;9;11;5
14/02/2018;2;13;16;6
13/02/2018;2;14;17;6
12/02/2018;2;15;18;7
11/02/2018;1;8;10;6
10/02/2018;1;13;16;10
09/02/2018;2;15;18;10
08/02/2018;2;17;20;7
07/02/2018;5;24;31;10
06/02/2018;3;16;21;9
05/02/2018;2;20;23;9
04/02/2018;2;11;14;6
03/02/2018;1;8;10;6
02/02/2018;2;11;14;5
01/02/2018;2;14;17;10
31/01/2018;7;25;36;18
30/01/2018;11;28;45;24
29/01/2018;12;28;47;17
28/01/2018;6;19;29;11
27/01/2018;2;15;19;10
26/01/2018;2;13;16;9
25/01/2018;2;17;21;7
24/01/2018;3;15;20;7
23/01/2018;8;19;30;11
22/01/2018;4;19;26;8
21/01/2018;4;18;24;12
20/01/2018;2;13;17;8
19/01/2018;4;25;30;15
18/01/2018;8;25;37;19
17/01/2018;3;15;19;19
16/01/2018;3;16;20;10
15/01/2018;2;10;12;4
14/01/2018;2;11;13;5
13/01/2018;2;9;12;5
12/01/2018;3;19;24;8
11/01/2018;1;11;13;5
10/01/2018;2;10;13;6
09/01/2018;1;8;10;4
08/01/2018;3;15;20;8
07/01/2018;3;15;19;7
06/01/2018;1;11;13;5
05/01/2018;1;11;13;5
04/01/2018;4;13;19;9
03/01/2018;19;23;52;13
02/01/2018;2;10;13;7
01/01/2018;1;5;7;11
