Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
21/05/2018;5;23;31;30;25
20/05/2018;1;11;12;27;22
19/05/2018;1;13;15;30;28
18/05/2018;0;13;14;30;26
17/05/2018;11;19;35;23;19
16/05/2018;3;22;27;13;8
15/05/2018;1;15;16;12;2
14/05/2018;2;18;21;11;
13/05/2018;1;13;13;9;
12/05/2018;0;14;15;12;
11/05/2018;3;21;26;25;
10/05/2018;1;16;17;22;
09/05/2018;6;21;31;24;
08/05/2018;0;12;12;36;
07/05/2018;11;26;42;36;
06/05/2018;1;26;27;32;
05/05/2018;7;20;30;24;
04/05/2018;3;21;26;23;
03/05/2018;1;7;8;18;
02/05/2018;12;27;45;20;
01/05/2018;0;12;13;16;
30/04/2018;1;14;15;10;
29/04/2018;0;8;9;13;
28/04/2018;1;17;18;19;
27/04/2018;17;23;48;28;
26/04/2018;12;23;41;17;
25/04/2018;1;10;10;19;
24/04/2018;3;13;18;30;
23/04/2018;1;10;11;23;11
22/04/2018;1;11;13;36;17
21/04/2018;1;10;11;44;15
20/04/2018;5;24;31;44;18
19/04/2018;9;24;38;40;17
18/04/2018;9;28;43;30;13
17/04/2018;7;39;49;25;13
16/04/2018;3;18;22;16;8
15/04/2018;0;11;11;13;6
14/04/2018;5;24;31;18;10
13/04/2018;5;26;32;17;9
12/04/2018;4;24;30;15;7
11/04/2018;1;11;12;14;3
10/04/2018;1;17;20;10;3
09/04/2018;9;21;34;12;6
08/04/2018;2;15;18;13;7
07/04/2018;1;16;16;12;6
06/04/2018;1;7;8;19;7
05/04/2018;5;18;25;16;8
04/04/2018;0;7;7;11;4
03/04/2018;0;5;6;8;4
02/04/2018;0;4;4;10;4
01/04/2018;1;13;15;14;6
31/03/2018;0;9;9;15;5
30/03/2018;0;4;4;7;3
29/03/2018;1;12;14;11;5
28/03/2018;9;19;33;18;7
27/03/2018;3;17;22;16;6
26/03/2018;2;21;24;18;7
25/03/2018;0;10;10;11;5
24/03/2018;0;10;10;12;6
23/03/2018;6;35;45;20;11
22/03/2018;10;31;46;20;9
21/03/2018;12;17;35;18;7
20/03/2018;1;11;12;21;9
19/03/2018;2;26;29;10;8
18/03/2018;0;11;11;9;5
17/03/2018;2;13;16;11;5
16/03/2018;6;29;39;13;8
15/03/2018;1;12;13;9;5
14/03/2018;1;10;11;11;5
13/03/2018;10;41;56;20;11
12/03/2018;2;18;21;17;6
11/03/2018;0;7;7;8;4
10/03/2018;0;4;5;8;2
09/03/2018;0;9;9;7;2
08/03/2018;1;13;14;10;3
07/03/2018;6;27;36;16;7
06/03/2018;1;15;16;11;4
05/03/2018;1;13;14;8;4
04/03/2018;0;13;14;7;4
03/03/2018;0;6;6;7;3
02/03/2018;9;18;31;12;5
01/03/2018;1;7;8;8;3
28/02/2018;2;17;20;16;10
27/02/2018;15;29;52;23;14
26/02/2018;21;43;74;29;18
25/02/2018;10;31;46;39;25
24/02/2018;3;23;27;24;16
23/02/2018;30;34;80;32;18
22/02/2018;16;29;52;32;17
21/02/2018;4;19;25;22;11
20/02/2018;0;5;6;16;4
19/02/2018;1;16;17;12;4
18/02/2018;5;22;29;16;8
17/02/2018;1;17;19;16;7
16/02/2018;29;31;74;34;16
15/02/2018;7;21;31;10;7
14/02/2018;9;36;48;14;9
13/02/2018;5;34;40;12;7
12/02/2018;8;41;52;14;9
11/02/2018;;;19;11;4
10/02/2018;3;34;35;16;7
09/02/2018;16;42;55;21;10
08/02/2018;17;49;69;15;10
07/02/2018;24;45;68;14;9
06/02/2018;;;46;13;7
05/02/2018;;;21;13;6
04/02/2018;;;22;8;7
03/02/2018;;;15;10;6
02/02/2018;;;36;9;7
01/02/2018;;;36;17;9
31/01/2018;15;34;55;29;17
30/01/2018;31;39;86;27;15
29/01/2018;33;36;86;29;16
28/01/2018;20;29;60;17;11
27/01/2018;;;37;14;7
26/01/2018;;;24;13;6
25/01/2018;;;43;11;8
24/01/2018;28;31;64;18;10
23/01/2018;33;39;86;17;10
22/01/2018;20;31;61;12;8
21/01/2018;;;30;20;8
20/01/2018;;;37;16;7
19/01/2018;10;39;46;20;10
18/01/2018;24;43;80;29;12
17/01/2018;;;49;;
16/01/2018;;;24;;
15/01/2018;;;30;7;4
14/01/2018;;;21;10;4
13/01/2018;;;15;9;5
12/01/2018;23;50;86;23;14
11/01/2018;2;33;29;10;7
10/01/2018;;;24;11;6
09/01/2018;;;21;;
08/01/2018;29;44;87;;
07/01/2018;8;27;39;14;9
06/01/2018;1;21;22;9;4
05/01/2018;2;28;31;10;5
04/01/2018;24;28;65;17;10
03/01/2018;26;37;77;19;14
02/01/2018;12;28;46;9;7
01/01/2018;0;7;8;15;7
