Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
24/11/2025;0,15;0,19;0;4;4;63;61;4;2;2;4;0,4
23/11/2025;0,16;0,11;0;2;2;56;55;3;2;3;4;0,23
22/11/2025;0,13;0,16;0;3;3;56;54;3;2;3;4;0,21
21/11/2025;0,24;0,16;1;6;6;66;71;5;2;2;7;0,5
20/11/2025;0,15;0,1;0;5;4;74;73;5;2;2;4;0,38
19/11/2025;0,17;0,16;1;8;7;57;52;7;3;2;6;0,55
18/11/2025;0,23;0,26;1;12;11;44;48;10;5;2;8;0,76
17/11/2025;0,19;0,19;1;10;8;53;54;5;2;2;18;0,58
16/11/2025;0,09;0,09;0;1;1;71;72;2;1;2;3;0,2
15/11/2025;0,12;0,12;0;2;2;77;77;2;1;2;3;0,25
14/11/2025;0,15;0,12;0;2;2;79;77;9;2;2;3;0,29
13/11/2025;0,14;0,35;0;7;6;60;60;15;6;2;3;0,5
12/11/2025;0,15;0,26;0;5;5;67;68;10;4;2;3;0,34
11/11/2025;0,12;1,22;0;3;3;69;68;5;2;2;3;0,37
10/11/2025;0,12;0,13;0;3;3;59;58;4;2;2;3;0,25
09/11/2025;0,18;0,12;0;6;6;43;43;7;4;2;3;0,38
08/11/2025;0,1;0,09;0;3;3;61;63;7;3;2;3;0,21
07/11/2025;0,13;0,12;0;3;3;58;57;4;2;2;2;0,26
06/11/2025;0,1;0,12;0;3;2;65;71;4;2;2;2;0,35
05/11/2025;0,11;0,08;0;3;3;78;76;8;3;2;3;0,33
04/11/2025;0,13;0,12;0;4;4;73;71;8;3;2;3;0,31
03/11/2025;0,19;0,15;3;14;9;49;48;9;5;2;3;0,61
02/11/2025;0,08;0,11;0;3;3;52;52;6;3;2;2;0,2
01/11/2025;0,11;0,11;0;3;3;62;65;4;2;2;3;0,28
31/10/2025;0,08;0,1;0;2;2;76;76;4;1;2;2;0,21
30/10/2025;0,1;0,14;1;5;4;59;56;6;2;2;2;0,4
29/10/2025;0,14;0,14;0;6;5;66;66;8;4;2;2;0,42
28/10/2025;0,18;0,44;6;25;16;35;32;13;6;2;3;1,4
27/10/2025;0,17;0,16;1;7;6;52;54;8;4;2;2;0,54
26/10/2025;0,1;0,18;0;4;3;55;56;6;3;2;3;0,47
25/10/2025;0,1;0,13;0;4;4;54;55;8;4;2;2;0,33
24/10/2025;0,14;0,21;0;5;5;56;59;12;6;2;2;0,44
23/10/2025;0,08;0,13;0;4;4;72;72;17;8;2;2;0,38
22/10/2025;0,21;0,04;1;5;4;45;44;6;2;2;3;0,45
21/10/2025;0,17;0,09;1;7;6;54;53;8;3;2;4;0,59
20/10/2025;0,13;0,11;1;7;6;50;55;7;3;2;2;0,43
19/10/2025;0,1;0,07;0;2;2;79;77;14;7;2;2;0,28
18/10/2025;0,28;0,22;0;10;9;55;51;18;11;2;3;0,88
17/10/2025;0,26;0,25;2;13;11;43;44;23;16;3;4;1,24
16/10/2025;0,21;0,25;1;10;8;46;44;19;14;3;3;1,25
15/10/2025;0,23;0,22;1;10;9;47;44;17;12;3;5;1,42
14/10/2025;0,25;0,23;1;10;8;44;44;16;11;2;3;0,95
13/10/2025;0,25;0,2;2;18;16;48;45;16;9;2;5;1,02
12/10/2025;0,24;0,2;2;15;13;39;37;16;10;3;8;0,93
11/10/2025;0,18;0,25;2;13;11;35;37;13;8;2;5;0,81
10/10/2025;0,18;0,21;0;8;7;55;56;10;5;2;6;0,62
09/10/2025;0,17;0,3;0;7;6;63;64;13;7;2;3;0,75
08/10/2025;0,28;0,3;2;11;9;52;46;11;6;2;3;1,52
07/10/2025;0,39;0,39;3;24;20;38;39;17;7;2;8;1,83
06/10/2025;0,16;0,15;2;12;9;36;37;11;5;2;2;1,12
05/10/2025;0,12;0,1;0;3;3;49;54;9;4;2;2;0,38
04/10/2025;0,1;0,12;0;5;4;54;51;11;6;3;2;0,54
03/10/2025;0,2;0,16;1;9;8;49;50;15;9;4;3;1,38
02/10/2025;0,24;0,36;5;25;17;40;43;17;9;6;6;1,45
01/10/2025;0,18;0,28;1;13;11;51;53;11;7;6;8;0,81
30/09/2025;0,18;0,32;2;13;10;50;52;9;5;5;4;0,76
29/09/2025;0,15;0,16;1;7;7;62;66;10;5;4;6;0,6
28/09/2025;0,16;0,08;0;6;6;60;57;12;6;3;3;0,58
27/09/2025;0,16;0,27;1;11;10;57;54;13;6;3;4;0,74
26/09/2025;0,12;0,18;2;11;9;49;49;8;4;2;7;0,62
25/09/2025;0,15;0,14;1;6;6;50;48;6;3;2;4;0,61
24/09/2025;0,13;0,12;1;7;6;43;45;6;3;2;4;0,48
23/09/2025;0,15;0,16;1;8;7;46;48;7;3;2;6;0,56
22/09/2025;0,08;0,07;0;3;3;64;65;3;1;2;4;0,22
21/09/2025;0,09;0,08;0;2;2;59;57;5;2;2;4;0,27
20/09/2025;0,11;0,05;0;3;3;72;74;16;7;2;5;0,45
19/09/2025;0,58;0,11;1;14;13;65;58;26;14;2;10;1,82
18/09/2025;0,74;0,21;1;12;10;60;60;22;15;2;10;1,27
17/09/2025;0,4;0,32;2;11;9;54;48;16;9;2;7;1,22
16/09/2025;0,19;0,26;1;10;8;44;45;16;7;1;9;0,66
15/09/2025;0,21;0,35;1;6;5;43;40;8;4;2;5;0,65
14/09/2025;0,23;0,33;0;5;4;51;54;7;4;1;6;0,65
13/09/2025;0,18;0,34;0;5;5;58;58;11;6;1;10;0,47
12/09/2025;0,15;1,14;0;3;3;58;57;10;5;1;4;0,41
11/09/2025;0,16;0,2;0;4;3;57;58;12;6;1;4;0,53
10/09/2025;0,12;0,18;0;4;4;50;47;11;6;1;4;0,38
09/09/2025;0,14;0,29;1;7;6;44;45;7;3;1;6;0,49
08/09/2025;0,12;0,16;0;5;4;51;54;6;3;1;3;0,39
07/09/2025;0,21;0,27;0;3;3;73;76;14;7;1;5;0,46
06/09/2025;0,11;0,22;0;5;5;68;63;17;6;1;4;0,38
05/09/2025;0,25;0,35;2;13;10;45;48;12;6;1;10;0,93
04/09/2025;0,14;0,21;0;4;4;55;57;10;5;1;4;0,77
03/09/2025;0,13;0,16;0;4;4;64;61;15;7;2;4;0,44
02/09/2025;0,13;0,22;0;4;4;56;57;12;5;1;4;0,44
01/09/2025;0,09;0,16;1;4;3;55;53;10;4;1;3;0,31
31/08/2025;0,11;0,22;0;4;4;45;45;9;4;1;3;0,36
30/08/2025;0,16;0,38;0;4;4;52;54;6;3;1;4;0,71
29/08/2025;0,13;0,29;0;3;3;66;67;10;5;1;3;0,39
28/08/2025;0,33;1,3;0;4;3;68;66;11;5;1;3;2,42
27/08/2025;0,13;0,22;0;6;6;44;42;13;7;1;4;0,38
26/08/2025;0,16;0,25;1;6;5;59;60;16;10;1;3;0,81
25/08/2025;0,22;0,26;1;9;8;68;67;19;13;1;5;0,72
24/08/2025;0,33;0,29;1;10;8;58;55;15;9;1;8;0,76
23/08/2025;0,18;0,24;1;7;6;63;63;13;7;1;6;0,56
22/08/2025;0,19;0,17;0;5;4;57;60;11;6;1;4;0,46
21/08/2025;0,16;0,15;0;4;4;79;81;13;8;1;3;0,31
20/08/2025;0,11;0,12;0;3;2;60;56;8;5;1;2;0,26
19/08/2025;0,22;0,26;2;8;5;41;41;11;7;1;3;0,4
18/08/2025;0,2;0,34;0;5;4;60;65;16;11;1;3;0,37
17/08/2025;0,31;0,46;0;6;5;66;67;27;20;1;3;0,66
16/08/2025;0,31;0,7;1;8;7;68;67;32;23;1;3;0,9
15/08/2025;0,82;1,31;1;9;8;67;68;32;21;2;3;1,65
14/08/2025;0,26;0,64;1;9;8;44;42;25;16;1;3;0,68
13/08/2025;0,32;0,7;1;10;9;53;52;28;16;1;5;0,88
12/08/2025;0,68;1,23;2;17;15;55;57;33;17;2;7;2,05
11/08/2025;1,04;1,19;2;15;12;52;50;28;15;2;5;2,14
10/08/2025;1,76;0,65;0;7;6;47;47;18;11;3;5;1,38
09/08/2025;0,44;0,67;0;4;3;56;56;9;5;2;7;0,82
08/08/2025;0,19;0,95;1;9;8;59;57;11;6;2;8;1,09
07/08/2025;0,31;0,86;0;7;6;64;64;13;6;2;12;1,03
06/08/2025;0,22;0,92;1;10;9;53;48;13;6;2;17;1,03
05/08/2025;0,22;1,01;1;6;5;51;52;9;6;1;6;1,16
04/08/2025;0,38;1,9;3;13;9;63;62;14;8;1;6;2,05
03/08/2025;0,93;1,44;1;6;6;62;62;10;6;1;11;2,98
02/08/2025;0,24;0,41;0;5;4;59;53;8;5;1;8;0,65
01/08/2025;0,3;0,51;0;4;4;42;43;5;3;1;5;0,7
31/07/2025;0,14;0,47;1;5;4;44;40;6;3;1;7;0,56
30/07/2025;0,18;0,33;1;4;3;33;36;4;2;1;5;0,39
29/07/2025;0,17;0,56;0;5;4;55;56;8;5;1;7;0,75
28/07/2025;0,18;0,56;1;5;4;53;50;8;4;1;6;0,66
27/07/2025;0,11;0,34;0;3;3;44;45;9;7;1;4;0,39
26/07/2025;0,16;0,3;0;3;3;52;53;14;11;1;5;0,39
25/07/2025;0,14;0,32;0;4;3;51;51;14;10;1;5;0,34
24/07/2025;0,15;0,49;1;4;4;51;53;9;5;1;5;0,73
23/07/2025;0,09;0,3;0;3;3;59;57;7;3;1;4;0,36
22/07/2025;0,16;0,56;1;10;8;50;52;11;5;1;7;0,75
21/07/2025;0,13;0,26;0;4;3;56;57;10;5;1;4;0,42
20/07/2025;0,13;0,33;0;3;3;63;63;13;6;1;6;0,37
19/07/2025;0,16;0,4;0;5;4;51;50;7;4;1;7;0,46
18/07/2025;0,18;0,42;1;5;4;48;49;10;7;1;5;0,57
17/07/2025;0,27;0,54;1;9;7;50;48;19;12;1;9;0,86
16/07/2025;0,27;0,51;2;12;8;52;50;21;13;1;5;1,44
15/07/2025;0,22;0,6;1;6;5;52;51;12;8;1;7;0,66
14/07/2025;0,11;0,5;0;5;5;47;46;13;6;1;5;0,46
13/07/2025;0,2;0,52;0;5;5;55;55;16;10;1;6;0,65
12/07/2025;0,16;0,38;0;6;5;72;73;15;9;1;4;0,56
11/07/2025;0,21;0,8;1;13;12;78;78;17;10;1;8;1,1
10/07/2025;0,26;1,64;2;14;12;77;74;15;7;1;13;0,96
09/07/2025;0,17;0,66;2;12;9;61;60;11;5;1;15;0,72
08/07/2025;0,17;0,55;1;8;7;54;55;11;5;1;15;0,55
07/07/2025;0,13;0,28;1;5;4;54;52;8;4;1;5;0,31
06/07/2025;0,11;0,34;0;3;3;61;66;10;5;1;5;0,46
05/07/2025;0,25;0,73;1;5;5;73;72;15;7;1;7;0,69
04/07/2025;0,5;1,05;1;8;7;54;58;17;9;1;9;1,4
03/07/2025;0,21;0,5;1;5;4;62;64;14;6;1;7;0,56
02/07/2025;0,18;0,59;1;6;5;59;56;9;4;1;4;0,56
01/07/2025;0,26;0,74;1;10;8;55;57;18;13;1;4;0,79
30/06/2025;0,83;1,16;1;13;11;55;54;18;11;2;10;1,26
29/06/2025;4,1;1,15;2;13;11;49;47;16;8;1;8;1,92
28/06/2025;0,39;0,68;2;10;7;37;38;13;8;1;5;0,7
27/06/2025;0,16;0,64;2;10;7;40;40;11;6;1;6;0,63
26/06/2025;0,17;0,57;1;7;6;58;62;10;6;1;6;0,71
25/06/2025;0,13;0,52;1;6;5;61;60;16;8;1;5;0,57
24/06/2025;0,94;2,47;2;13;10;57;52;26;15;1;4;2,62
23/06/2025;0,3;0,68;1;12;10;38;40;21;15;1;8;0,7
22/06/2025;0,13;0,49;0;6;5;48;48;17;10;1;5;0,52
21/06/2025;0,31;0,77;1;8;7;59;63;21;14;1;5;0,7
20/06/2025;3,37;1,84;3;23;19;71;68;32;20;2;10;2,51
19/06/2025;1,08;1,61;3;22;18;70;68;29;18;2;6;1,73
18/06/2025;0,5;0,86;3;19;15;76;74;20;12;1;11;1,33
17/06/2025;0,3;0,78;2;14;12;63;61;16;10;1;9;1,27
16/06/2025;0,16;0,47;2;12;9;48;48;13;7;2;11;0,64
15/06/2025;0,21;0,49;1;6;5;60;62;9;5;3;12;0,54
14/06/2025;0,18;0,46;0;4;4;68;67;11;7;3;4;0,46
13/06/2025;0,54;0,73;2;10;8;56;55;28;20;3;9;1,11
12/06/2025;0,19;0,55;1;8;6;54;58;23;16;2;4;0,67
11/06/2025;0,46;1,01;2;17;14;60;58;25;14;3;6;1,53
10/06/2025;0,42;0,77;1;11;9;55;57;28;22;3;9;1,18
09/06/2025;0,25;0,66;2;10;8;52;56;24;18;3;8;1,29
08/06/2025;0,19;0,47;0;5;5;68;67;18;12;2;12;0,66
07/06/2025;0,16;0,37;0;4;4;66;67;8;5;1;7;0,47
06/06/2025;0,19;0,69;2;11;8;44;41;10;5;2;10;1
05/06/2025;0,19;0,58;1;8;6;58;59;9;4;2;11;0,7
04/06/2025;0,13;0,26;1;5;4;53;51;11;6;2;6;0,46
03/06/2025;0,15;0,2;1;8;7;52;51;14;8;2;7;0,58
02/06/2025;0,21;0,39;1;11;10;53;54;15;9;2;13;1,08
01/06/2025;0,13;0,32;1;4;3;42;44;7;3;2;7;0,46
31/05/2025;0,19;0,49;0;6;6;53;54;11;7;2;11;0,73
30/05/2025;0,85;1,23;2;17;14;57;51;20;12;2;14;1,69
29/05/2025;1,59;1,75;4;23;17;50;50;19;9;3;8;3,38
28/05/2025;0,27;0,62;2;11;9;52;51;12;6;2;10;1,03
27/05/2025;0,39;1,27;2;11;8;59;60;12;6;2;9;1,41
26/05/2025;0,16;0,59;1;9;8;62;60;10;5;2;15;0,64
25/05/2025;0,23;0,51;1;6;6;69;68;12;7;2;8;0,75
24/05/2025;0,14;0,94;1;6;6;75;75;9;6;1;8;1,16
23/05/2025;0,24;0,68;1;6;5;74;76;9;6;1;8;1
22/05/2025;0,18;0,55;1;7;7;88;87;10;5;1;10;1,05
21/05/2025;0,13;0,4;1;6;5;68;68;12;7;2;6;0,49
20/05/2025;0,14;0,33;1;6;5;84;89;10;7;2;6;0,48
19/05/2025;0,14;0,35;1;6;5;87;82;11;6;1;5;0,47
18/05/2025;0,79;1,74;1;12;10;57;57;18;12;1;10;2,27
17/05/2025;0,21;0,34;1;9;8;65;69;19;13;1;7;0,57
16/05/2025;0,14;0,34;1;7;6;76;78;17;10;1;6;0,63
15/05/2025;0,11;0,31;1;6;5;70;68;7;4;1;5;0,53
14/05/2025;0,19;3,26;1;8;7;50;53;9;5;1;10;0,81
13/05/2025;0,17;0,51;2;11;9;57;60;8;5;1;13;0,82
12/05/2025;0,15;0,35;1;7;6;79;83;8;4;1;11;0,57
11/05/2025;0,11;0,23;0;4;3;77;70;6;3;1;4;0,34
10/05/2025;0,21;0,4;1;8;7;52;50;9;5;1;6;0,82
09/05/2025;0,2;0,49;1;10;9;52;54;12;9;1;5;0,92
08/05/2025;0,26;0,53;1;9;8;72;69;12;7;1;10;1,14
07/05/2025;0,41;0,62;1;9;8;74;74;11;6;1;16;1,38
06/05/2025;0,15;0,39;1;6;5;83;85;8;4;1;5;0,5
05/05/2025;0,23;0,57;1;8;7;82;83;11;5;1;10;0,69
04/05/2025;0,18;0,55;1;6;5;68;63;10;5;1;5;0,63
03/05/2025;0,2;0,35;0;5;5;77;77;7;4;1;5;0,5
02/05/2025;0,16;0,33;0;5;5;71;68;17;7;1;5;0,55
01/05/2025;0,35;0,57;0;6;6;79;83;11;6;2;7;0,68
30/04/2025;0,12;0,26;0;3;3;92;91;10;4;1;4;0,31
29/04/2025;0,13;0,26;0;4;3;87;82;10;3;1;4;0,37
28/04/2025;0,22;0,52;4;17;12;48;45;13;8;1;6;0,87
27/04/2025;0,18;0,29;0;5;4;75;81;8;5;1;4;0,45
26/04/2025;0,13;0,14;0;3;2;76;73;5;3;1;3;0,21
25/04/2025;0,16;0,59;2;10;7;46;42;10;6;1;5;0,7
24/04/2025;0,13;0,37;1;8;7;48;53;8;4;1;9;0,54
23/04/2025;0,11;0,23;1;4;4;62;61;7;4;1;3;0,28
22/04/2025;0,19;0,31;0;5;5;71;74;8;4;1;4;0,46
21/04/2025;0,18;0,34;0;4;4;68;70;8;4;1;3;0,48
20/04/2025;0,13;0,14;0;3;2;79;79;6;3;1;3;0,24
19/04/2025;0,17;0,22;0;2;2;81;79;3;1;0;3;0,29
18/04/2025;0,2;0,27;0;3;3;65;63;3;2;1;3;0,37
17/04/2025;0,18;0,38;1;6;6;76;79;8;4;1;4;0,5
16/04/2025;0,16;0,26;0;3;3;84;84;4;2;0;3;0,41
15/04/2025;0,15;0,23;1;4;4;89;88;7;3;0;3;0,31
14/04/2025;0,34;0,64;1;9;7;61;57;11;6;0;4;0,73
13/04/2025;0,17;0,34;0;5;5;82;81;13;8;1;4;0,47
12/04/2025;0,32;0,39;0;7;6;63;66;13;9;1;3;0,64
11/04/2025;0,13;0,24;0;3;3;87;84;13;7;1;3;0,4
10/04/2025;0,23;0,82;2;15;13;60;61;16;8;1;5;1,25
09/04/2025;0,62;1,07;3;18;13;55;52;23;18;1;6;1,59
08/04/2025;0,48;0,96;5;23;16;55;54;22;15;1;6;1,47
07/04/2025;0,26;0,54;1;10;8;68;74;13;9;1;6;0,74
06/04/2025;0,28;0,57;1;7;7;71;69;5;4;1;6;0,88
05/04/2025;0,24;0,39;0;7;6;81;85;3;2;1;4;0,5
04/04/2025;0,19;0,3;0;5;4;91;91;12;5;1;2;0,35
03/04/2025;0,17;0,27;0;5;4;79;77;5;2;1;2;0,34
02/04/2025;0,24;0,56;1;10;9;68;66;13;7;1;5;0,84
01/04/2025;0,55;0,98;3;18;14;49;;15;9;1;7;1,55
31/03/2025;0,34;1,52;2;13;10;49;51;10;5;1;6;1,99
30/03/2025;0,3;1,21;1;7;6;59;63;10;5;1;4;1,63
29/03/2025;0,37;1,9;0;6;6;86;88;13;6;2;4;2,68
28/03/2025;0,16;0,33;0;6;6;68;63;10;7;2;2;0,47
27/03/2025;0,25;0,71;1;8;7;56;57;14;9;;2;0,98
26/03/2025;0,32;1,24;1;7;7;73;76;13;9;;2;1,89
25/03/2025;0,24;0,7;1;7;6;71;70;13;10;1;3;0,96
24/03/2025;0,22;0,32;1;8;6;75;75;9;5;1;3;0,52
23/03/2025;0,17;0,16;0;3;3;81;83;7;4;1;2;0,25
22/03/2025;0,16;0,12;0;2;2;85;86;3;1;1;2;0,22
21/03/2025;0,16;0,15;0;3;2;90;89;2;1;1;2;0,25
20/03/2025;0,23;0,21;0;3;3;83;83;28;11;1;2;0,33
19/03/2025;0,16;0,28;0;3;3;78;77;4;2;1;2;0,37
18/03/2025;0,24;0,24;0;4;4;73;71;4;2;1;2;0,33
17/03/2025;0,23;0,52;3;15;11;57;55;7;5;1;2;0,63
16/03/2025;0,22;0,37;0;5;4;66;68;7;6;2;2;0,48
15/03/2025;0,22;0,32;0;5;5;71;70;7;5;2;2;0,39
14/03/2025;0,25;0,48;1;7;6;70;69;5;4;1;3;0,6
13/03/2025;0,27;2,02;1;7;6;78;78;5;3;1;4;0,72
12/03/2025;0,24;0,32;1;6;5;73;73;7;4;1;1;0,45
11/03/2025;0,22;0,51;1;7;6;67;64;4;2;1;1;0,45
10/03/2025;0,19;0,32;0;4;4;68;71;3;2;1;1;0,42
09/03/2025;0,17;0,17;0;3;3;80;82;2;1;1;1;0,24
08/03/2025;0,17;0,19;0;3;3;79;78;4;2;1;1;0,3
07/03/2025;0,2;0,26;0;4;3;75;76;8;5;1;1;0,29
06/03/2025;0,23;0,25;0;3;3;81;82;12;6;1;2;0,28
05/03/2025;0,19;0,3;0;3;3;81;75;26;11;1;2;0,36
04/03/2025;0,26;0,76;2;16;13;39;39;19;10;1;3;1
03/03/2025;0,33;0,66;1;11;10;50;50;11;7;1;3;0,68
02/03/2025;0,27;0,4;1;11;10;65;67;9;6;1;12;0,43
01/03/2025;0,34;0,83;1;10;10;62;59;9;5;1;21;1,03
28/02/2025;0,31;1,04;2;15;11;49;46;12;7;2;8;1,15
27/02/2025;0,88;4,39;6;27;18;38;40;17;8;2;5;4,5
26/02/2025;0,26;0,58;1;7;6;65;68;6;3;2;3;0,55
25/02/2025;0,2;0,27;1;5;4;82;81;7;4;2;2;0,37
24/02/2025;0,27;0,34;0;4;4;70;70;5;3;2;2;0,48
23/02/2025;0,24;0,52;0;6;5;58;54;6;3;2;4;1
22/02/2025;0,27;0,53;0;4;4;70;75;6;3;2;2;0,66
21/02/2025;0,22;0,31;0;5;5;68;67;12;7;2;2;0,41
20/02/2025;0,23;0,25;0;3;3;71;68;8;5;2;2;0,38
19/02/2025;0,29;0,54;1;10;9;66;68;16;10;2;6;0,72
18/02/2025;0,21;0,39;0;6;6;65;61;14;9;2;2;0,54
17/02/2025;0,26;0,74;3;17;13;47;49;14;9;3;3;1,05
16/02/2025;0,84;1,13;1;11;10;54;56;11;7;2;4;1,36
15/02/2025;0,2;0,39;0;7;6;62;58;6;3;3;2;0,47
14/02/2025;0,33;0,97;4;23;16;33;35;10;6;3;3;1,24
13/02/2025;0,28;0,56;1;7;5;48;53;5;3;2;3;0,5
12/02/2025;0,27;0,37;1;8;7;64;64;9;5;2;4;0,46
11/02/2025;0,25;0,38;1;6;5;56;54;10;8;2;4;0,45
10/02/2025;0,23;0,55;2;11;8;37;33;7;4;3;4;0,63
09/02/2025;0,25;0,31;0;5;5;49;50;5;3;3;4;0,44
08/02/2025;0,28;0,46;1;9;8;57;61;6;4;2;4;0,54
07/02/2025;0,25;0,47;0;7;6;56;52;8;6;2;4;0,62
06/02/2025;0,33;0,88;2;15;13;44;42;15;9;3;6;1,27
05/02/2025;0,39;1,17;3;20;15;38;35;14;8;3;6;1,35
04/02/2025;0,48;1,06;2;15;13;37;37;13;8;2;4;1,09
03/02/2025;0,33;0,49;1;8;7;55;61;7;3;2;4;0,65
02/02/2025;0,19;0,37;0;5;4;60;55;5;3;2;4;0,45
01/02/2025;0,37;0,95;0;6;6;64;65;8;4;2;4;1,09
31/01/2025;0,32;0,9;1;10;8;56;60;11;5;2;4;1,04
30/01/2025;0,19;0,3;1;6;5;79;77;13;7;2;6;0,37
29/01/2025;0,28;0,31;0;6;5;73;73;5;3;2;5;0,41
28/01/2025;0,19;0,18;0;3;2;80;80;5;2;2;4;0,34
27/01/2025;0,28;0,63;1;9;8;68;66;11;6;2;5;0,86
26/01/2025;0,25;0,24;0;1;1;77;77;3;2;2;3;0,3
25/01/2025;0,22;0,25;0;2;2;76;77;4;2;2;4;0,25
24/01/2025;0,2;0,3;0;1;1;75;73;3;1;2;3;0,26
23/01/2025;0,25;0,65;1;5;5;61;62;7;4;2;4;0,6
22/01/2025;0,24;0,5;0;5;5;65;65;4;2;2;3;0,47
21/01/2025;0,23;0,59;0;4;4;56;56;5;4;2;3;0,41
20/01/2025;0,31;0,28;0;4;3;64;67;4;3;1;3;0,4
19/01/2025;0,3;0,34;0;6;5;63;55;6;5;2;4;0,46
18/01/2025;0,54;0,99;3;23;20;28;28;12;9;2;8;1,4
17/01/2025;0,44;1,65;10;38;23;18;19;15;10;3;4;2,12
16/01/2025;0,53;1;2;16;13;34;34;10;7;2;5;1,3
15/01/2025;0,43;0,99;2;16;14;29;30;10;9;2;8;1,09
14/01/2025;0,34;0,67;1;12;10;45;45;9;6;2;8;0,79
13/01/2025;0,35;0,45;1;7;6;45;44;7;5;2;8;0,65
12/01/2025;0,35;0,51;1;9;8;55;59;8;5;2;13;0,7
11/01/2025;0,17;0,26;0;4;4;70;66;12;7;2;6;0,4
10/01/2025;0,24;0,35;0;6;5;54;55;5;3;2;5;0,45
09/01/2025;0,21;0,28;1;5;4;65;69;6;4;1;5;0,4
08/01/2025;0,18;0,17;0;1;1;77;76;3;1;2;5;0,23
07/01/2025;0,21;0,24;0;2;2;65;64;3;1;1;5;0,27
06/01/2025;0,19;0,21;0;2;2;77;80;6;3;1;5;0,33
05/01/2025;0,15;0,22;0;1;1;83;82;5;3;1;5;0,23
04/01/2025;0,23;0,18;0;1;1;73;70;6;4;1;5;0,22
03/01/2025;0,25;0,27;0;2;2;59;58;4;3;1;5;0,33
02/01/2025;0,21;0,23;0;2;2;61;64;3;2;2;5;0,25
01/01/2025;0,21;0,24;0;2;2;61;54;4;3;1;5;0,39
