Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
17/04/2016;0,08;0,2;0,21;0,02;2;14;16;0,25;5;4;0,35
16/04/2016;0,1;0,23;0,22;0,04;4;24;31;0,4;6;2;0,78
15/04/2016;0,17;0,25;0,25;0,13;11;32;49;0,84;10;4;1,39
14/04/2016;0,13;0,23;0,23;0,09;7;29;39;0,67;12;3;0,88
13/04/2016;0,08;0,2;0,18;0,03;5;25;32;0,34;5;3;0,62
12/04/2016;0,17;0,21;0,21;0,23;9;30;43;1,3;6;3;1,2
11/04/2016;0,15;0,2;0,2;0,06;9;28;41;0,43;5;3;0,74
10/04/2016;0,12;0,2;0,22;0,03;5;22;30;0,23;10;3;0,59
09/04/2016;0,26;0,27;0,26;0,07;9;40;54;0,46;15;7;0,83
08/04/2016;0,21;0,24;0,24;0,04;7;30;40;0,31;9;6;0,79
07/04/2016;0,26;0,21;0,22;0,03;4;27;33;0,29;12;4;0,7
06/04/2016;0,27;0,3;0,29;0,13;19;32;61;0,8;18;9;1,25
05/04/2016;0,12;0,22;0,23;0,01;4;21;27;0,16;10;5;0,47
04/04/2016;0,18;0,26;0,24;0,04;11;33;50;0,4;8;4;0,91
03/04/2016;0,11;0,2;0,21;0,01;4;23;29;0,27;6;4;0,49
02/04/2016;0,28;0,24;0,25;0,18;8;37;50;0,99;13;10;1,01
01/04/2016;0,17;0,24;0,21;0,06;7;34;44;0,39;13;5;0,91
31/03/2016;0,14;0,18;0,2;0;2;17;21;0,19;9;3;0,46
30/03/2016;0,11;0,27;0,27;0,15;16;37;61;0,88;18;6;2,1
29/03/2016;0,1;0,29;0,28;0,05;13;35;55;0,41;14;6;0,92
28/03/2016;0,04;0,21;0,19;0;2;15;17;0,06;15;4;0,17
27/03/2016;0,12;0,18;0,19;0;3;18;22;0,13;7;6;0,29
26/03/2016;0,16;0,25;0,27;0,04;7;23;33;0,36;10;9;0,62
25/03/2016;0,41;0,33;0,33;0,1;15;48;71;0,65;21;14;0,95
24/03/2016;0,18;0,33;0,35;0,11;9;36;50;0,68;18;8;1,27
23/03/2016;0,38;0,29;0,26;0;2;19;22;0,11;14;6;0,36
22/03/2016;0,44;0,28;0,28;0;2;18;22;0,16;15;3;0,67
21/03/2016;0,39;0,36;0,36;0,19;19;30;60;0,95;24;7;1,38
20/03/2016;0,36;0,26;0,28;0,04;7;31;42;0,33;10;6;0,73
19/03/2016;0,46;0,34;0,33;0,09;8;46;59;0,62;14;9;1,12
18/03/2016;0,37;0,32;0,32;0,13;21;44;76;0,73;21;11;1,57
17/03/2016;0,45;0,33;0,33;0,15;22;45;78;0,8;19;6;1,69
16/03/2016;0,48;0,41;0,42;0,18;16;44;68;0,88;26;8;1,75
15/03/2016;0,39;0,34;0,35;0,14;13;47;66;0,78;15;8;1,62
14/03/2016;0,55;0,39;0,36;0,15;17;44;70;0,73;24;6;1,52
13/03/2016;0,62;0,33;0,34;0,05;3;27;32;0,32;21;6;0,93
12/03/2016;0,48;0,29;0,28;0,03;5;32;41;0,34;15;6;0,86
11/03/2016;0,38;0,28;0,28;0,02;8;28;40;0,24;10;5;0,74
10/03/2016;0,27;0,26;0,24;0,02;3;19;23;0,23;11;5;0,53
09/03/2016;0,33;0,23;0,25;0,01;4;27;32;0,25;14;6;0,69
08/03/2016;0,38;0,32;0,31;0,07;18;46;73;0,49;14;7;1,16
07/03/2016;0,25;0,25;0,25;0,01;4;26;32;0,13;8;4;0,39
06/03/2016;0,23;0,24;0,24;0;2;18;21;0,06;4;6;0,31
05/03/2016;0,2;0,22;0,23;0;2;17;21;0,06;5;4;0,34
04/03/2016;0,26;0,27;0,29;0,05;7;37;48;0,51;12;6;0,89
03/03/2016;0,31;0,29;0,27;0,05;11;40;56;0,44;20;7;1,2
02/03/2016;0,3;0,33;0,34;0,21;19;40;69;1,08;22;8;1,73
01/03/2016;0,22;0,27;0,25;0,12;13;42;61;0,7;23;9;1,38
29/02/2016;0,46;0,26;0,26;0;1;16;19;0,06;16;3;0,45
28/02/2016;0,69;0,36;0,37;0;1;12;14;0,04;15;2;0,47
27/02/2016;0,36;0,23;0,22;0;1;11;13;0,07;9;2;0,38
26/02/2016
25/02/2016
24/02/2016;0,35;0,28;0,32;0,22;23;34;69;1,15;22;10;1,9
23/02/2016;0,21;0,35;0,32;0,16;20;42;73;0,87;19;9;1,55
22/02/2016;0,29;0,43;0,48;0,24;29;45;90;1,25;38;10;2,56
21/02/2016;0,48;0,39;0,39;0,14;20;44;75;0,86;19;12;1,58
20/02/2016;0,4;0,4;0,38;0,18;24;46;82;1,01;18;15;1,7
19/02/2016;0,5;0,38;0,35;0,19;31;50;98;1,03;20;13;1,8
18/02/2016;0,45;0,27;0,26;0,04;5;33;40;0,34;8;7;1,01
17/02/2016;0,51;0,3;0,32;0,1;20;45;76;0,73;16;13;1,47
16/02/2016;0,57;0,3;0,27;0,04;11;34;50;0,35;10;5;0,86
15/02/2016;;0,26;0,26;;2;18;21;;9;2;
14/02/2016;;0,2;0,22;;1;17;19;;7;3;
13/02/2016;;0,36;0,37;;19;46;75;;17;4;
12/02/2016;;0,32;0,31;;6;36;45;;8;4;
11/02/2016;;0,3;0,29;;9;42;55;;13;9;
10/02/2016;;0,3;0,29;;11;48;65;;11;4;
09/02/2016;;0,25;0,26;;2;19;22;;7;1;
08/02/2016;;0,26;0,25;;3;16;19;;5;1;
07/02/2016;;0,24;0,24;;3;22;27;;9;2;
06/02/2016;;0,24;0,28;;3;21;26;;13;3;
05/02/2016;;0,43;0,42;;45;58;127;;23;10;
04/02/2016;;0,35;0,34;;34;53;105;;21;7;
03/02/2016;;0,24;0,24;;7;37;47;;13;5;
02/02/2016;;0,39;0,4;;26;46;86;;32;7;
01/02/2016;;0,4;0,39;;23;38;73;;27;8;
31/01/2016;;0,37;0,38;;14;36;58;;14;8;
30/01/2016;;0,38;0,38;;31;48;95;;22;14;
29/01/2016;;0,4;0,4;;18;43;70;;20;5;
28/01/2016;;0,29;0,27;;10;42;58;;9;4;
27/01/2016;;0,26;0,28;;12;36;54;;15;3;
26/01/2016;;0,33;0,33;;21;36;68;;20;8;
25/01/2016;;0,28;0,26;;10;35;49;;17;3;
24/01/2016;;0,28;0,33;;16;29;54;;13;9;
23/01/2016;;0,46;0,48;;54;41;123;;25;11;
22/01/2016;;0,49;0,45;;66;54;156;;18;9;
21/01/2016;;0,42;0,42;;52;60;140;;19;9;
20/01/2016;;0,4;0,38;;50;61;137;;24;13;
19/01/2016;;0,29;0,26;;15;41;65;;12;6;
18/01/2016;;0,25;0,26;;7;30;41;;7;3;
17/01/2016;;0,31;0,32;;12;39;58;;13;13;
16/01/2016;;0,28;0,27;;7;28;39;;12;4;
15/01/2016;;0,28;0,28;;5;28;35;;10;2;
14/01/2016;;0,27;0,26;;3;31;37;;6;2;
13/01/2016;;0,32;0,32;;27;43;84;;19;14;
12/01/2016;;0,27;0,27;;8;33;44;;9;3;
11/01/2016;;0,23;0,23;;14;39;60;;8;2;
10/01/2016;;0,25;0,25;;2;20;23;;5;0;
09/01/2016;;0,26;0,27;;5;30;37;;9;2;
08/01/2016;;0,27;0,28;;8;42;53;;8;3;
07/01/2016;;0,31;0,29;;5;32;40;;5;1;
