Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
12/05/2016;4;21;27;20;8;3
11/05/2016;3;16;20;11;4;2
10/05/2016;7;23;34;17;3;3
09/05/2016;6;22;31;13;4;3
08/05/2016;4;13;20;8;4;3
07/05/2016;6;20;28;13;7;3
06/05/2016;11;38;55;30;8;4
05/05/2016;4;25;31;28;12;3
04/05/2016;3;22;27;23;11;2
03/05/2016;4;14;21;14;7;2
02/05/2016;5;13;21;14;6;2
01/05/2016;1;4;7;8;4;2
30/04/2016;1;4;6;11;5;2
29/04/2016;2;12;16;11;5;2
28/04/2016;1;8;11;9;4;3
27/04/2016;1;9;12;14;7;2
26/04/2016;3;15;20;15;8;2
25/04/2016;3;19;24;16;8;2
24/04/2016;1;3;6;12;7;2
23/04/2016;2;9;12;15;10;2
22/04/2016;7;17;28;21;12;2
21/04/2016;3;22;27;12;6;3
20/04/2016;7;32;42;17;6;3
19/04/2016;13;34;53;26;12;2
18/04/2016;2;16;19;14;8;2
17/04/2016;1;5;8;8;3;2
16/04/2016;3;16;21;8;3;2
15/04/2016;6;24;34;15;8;2
14/04/2016;4;19;25;17;5;6
13/04/2016;2;20;24;11;3;3
12/04/2016;3;11;16;8;2;2
11/04/2016;5;11;19;8;3;3
10/04/2016;2;7;11;17;7;2
09/04/2016;2;10;13;16;9;2
08/04/2016;2;10;13;9;4;2
07/04/2016;2;11;14;11;6;2
06/04/2016;3;12;17;15;8;3
05/04/2016;2;10;13;12;7;2
04/04/2016;3;11;15;12;5;2
03/04/2016;1;3;5;9;4;2
02/04/2016;2;13;17;20;8;2
01/04/2016;3;16;21;13;8;2
31/03/2016;2;6;9;12;7;2
30/03/2016;8;25;38;19;10;2
29/03/2016;5;19;28;11;7;2
28/03/2016;1;4;6;7;5;2
27/03/2016;1;3;6;4;2;2
26/03/2016;1;7;9;12;7;2
25/03/2016;2;16;19;27;20;2
24/03/2016;1;10;13;32;27;2
23/03/2016;2;11;14;27;23;2
22/03/2016;2;11;14;24;20;2
21/03/2016;9;25;39;25;21;2
20/03/2016;4;24;30;15;12;2
19/03/2016;8;35;48;21;17;2
18/03/2016;9;31;45;24;19;2
17/03/2016;6;25;35;28;22;2
16/03/2016;3;30;35;33;27;2
15/03/2016;8;29;41;18;13;3
14/03/2016;5;26;33;19;17;2
13/03/2016;2;13;16;46;41;2
12/03/2016;2;15;19;34;29;2
11/03/2016;7;21;31;14;10;2
10/03/2016;3;18;23;7;4;5
09/03/2016;3;14;18;9;6;2
08/03/2016;4;24;30;10;6;2
07/03/2016;3;20;25;6;3;2
06/03/2016;2;9;12;5;3;4
05/03/2016;2;9;12;4;2;2
04/03/2016;3;15;19;7;4;2
03/03/2016;2;16;19;11;7;2
02/03/2016;3;15;19;12;8;2
01/03/2016;8;26;37;18;8;2
29/02/2016;2;15;19;25;20;2
28/02/2016;2;14;17;29;24;2
27/02/2016;2;8;11;7;4;2
26/02/2016;4;16;22;11;8;2
25/02/2016;3;20;25;8;6;2
24/02/2016;14;33;55;20;14;3
23/02/2016;4;21;27;11;7;2
22/02/2016;22;31;65;38;20;2
21/02/2016;7;27;38;18;12;2
20/02/2016;5;24;32;19;12;2
19/02/2016;12;31;49;15;11;2
18/02/2016;4;28;35;9;6;2
17/02/2016;11;28;44;13;9;2
16/02/2016;4;22;28;13;9;2
15/02/2016;3;19;24;9;6;2
14/02/2016;2;8;12;5;3;2
13/02/2016;3;18;23;10;6;2
12/02/2016;6;27;35;7;4;2
11/02/2016;5;25;33;10;7;2
10/02/2016;6;29;37;4;3;2
09/02/2016;8;20;33;6;2;2
08/02/2016;8;22;33;7;3;2
07/02/2016;5;18;25;8;4;3
06/02/2016;9;21;34;20;11;2
05/02/2016;24;38;75;23;13;3
04/02/2016;11;33;50;13;10;2
03/02/2016;4;20;26;8;5;2
02/02/2016;20;33;65;24;18;2
01/02/2016;15;30;53;15;12;2
31/01/2016;4;14;19;11;7;2
30/01/2016;10;25;40;13;10;2
29/01/2016;8;27;39;11;9;2
28/01/2016;10;31;45;11;8;2
27/01/2016;10;22;37;14;7;2
26/01/2016;9;26;39;21;15;2
25/01/2016;16;34;59;20;12;3
24/01/2016;15;22;44;11;8;2
23/01/2016;34;27;79;17;13;3
22/01/2016;15;31;54;15;10;3
21/01/2016;29;37;82;24;15;2
20/01/2016;22;34;67;16;12;2
19/01/2016;18;35;63;11;7;2
18/01/2016;9;24;37;5;3;3
17/01/2016;8;25;37;12;9;2
16/01/2016;7;23;34;8;6;2
15/01/2016;4;20;26;5;3;2
14/01/2016;7;25;36;4;3;2
13/01/2016;16;30;54;10;6;9
12/01/2016;7;25;36;7;4;2
11/01/2016;14;29;51;9;4;3
10/01/2016;13;28;47;3;1;2
09/01/2016;10;28;42;12;9;2
08/01/2016;10;31;45;6;4;2
07/01/2016;6;28;37;6;4;2
06/01/2016;8;21;33;3;1;2
05/01/2016;9;28;42;6;3;3
04/01/2016;7;30;41;4;2;2
03/01/2016;15;26;50;4;2;3
02/01/2016;5;21;29;7;4;2
01/01/2016;15;26;48;9;5;3
