Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
01/08/2016;2;9;13;38;36;9;5
31/07/2016;1;7;10;37;36;6;5
30/07/2016;2;9;11;31;34;10;4
29/07/2016;2;12;16;39;37;10;5
28/07/2016;3;14;17;35;38;11;5
27/07/2016;2;10;13;42;42;9;4
26/07/2016;3;13;18;33;34;9;5
25/07/2016;3;11;15;37;38;10;5
24/07/2016;3;9;13;39;39;9;5
23/07/2016;2;8;12;34;37;7;4
22/07/2016;4;13;20;35;36;12;5
21/07/2016;3;16;21;48;49;15;5
20/07/2016;3;19;23;52;;22;5
19/07/2016;3;15;20;91;92;20;5
18/07/2016;3;14;19;79;85;17;5
17/07/2016;4;20;25;73;73;19;4
16/07/2016;3;11;16;63;62;12;4
15/07/2016;4;11;17;54;50;10;5
14/07/2016;4;9;15;43;43;10;5
13/07/2016;3;10;15;46;47;11;5
12/07/2016;2;9;12;44;44;10;4
11/07/2016;4;18;23;30;31;13;4
10/07/2016;2;11;15;43;44;19;4
09/07/2016;3;15;19;49;48;18;4
08/07/2016;2;16;20;43;47;18;4
07/07/2016;4;17;23;43;41;22;4
06/07/2016;4;13;19;29;26;11;4
05/07/2016;3;13;18;25;27;8;4
04/07/2016;3;12;16;41;42;18;4
03/07/2016;3;9;13;43;42;10;4
02/07/2016;2;9;12;39;41;10;4
01/07/2016;3;15;19;34;36;18;4
30/06/2016;4;15;21;41;39;16;4
29/06/2016;2;16;20;35;38;13;4
28/06/2016;4;14;20;41;44;12;4
27/06/2016;;;;40;41;11;4
26/06/2016;;;;42;45;10;4
25/06/2016;;;;48;47;9;4
24/06/2016;;;;37;38;12;4
23/06/2016;;;;33;;21;4
22/06/2016;45;19;88;34;40;29;4
21/06/2016;9;27;41;39;37;17;7
20/06/2016;;;;32;34;10;6
19/06/2016;;;;38;39;10;4
18/06/2016;7;7;17;53;57;9;4
17/06/2016;;;;47;48;9;4
16/06/2016;;;;52;49;8;4
15/06/2016;19;8;38;35;36;8;5
14/06/2016;9;11;24;49;54;14;4
13/06/2016;7;11;22;40;35;12;4
12/06/2016;10;12;27;46;45;12;5
11/06/2016;6;9;18;48;49;11;4
10/06/2016;0;10;10;57;62;16;4
09/06/2016;4;16;22;66;63;24;4
08/06/2016;3;18;23;59;59;21;4
07/06/2016;5;18;25;50;50;18;5
06/06/2016;10;18;34;39;;;4
05/06/2016;17;10;35;53;48;;4
04/06/2016;11;11;28;50;58;25;4
03/06/2016;5;17;24;66;60;35;5
02/06/2016;5;17;24;62;;16;5
01/06/2016;4;10;16;71;72;14;4
31/05/2016;3;9;14;85;88;15;5
30/05/2016;4;7;13;58;54;8;4
29/05/2016;3;8;12;54;58;8;4
28/05/2016;3;7;11;73;74;12;4
27/05/2016;5;19;27;56;51;19;5
26/05/2016;5;19;26;50;51;14;4
25/05/2016;6;17;26;48;46;12;4
24/05/2016;3;13;18;53;51;11;3
23/05/2016;4;11;17;47;49;11;4
22/05/2016;2;6;9;55;56;11;3
21/05/2016;3;13;18;53;53;17;4
20/05/2016;5;19;27;38;38;12;5
19/05/2016;3;11;15;57;66;10;3
18/05/2016;3;12;16;68;65;15;4
17/05/2016;3;11;16;79;82;16;4
16/05/2016;4;13;19;71;69;17;3
15/05/2016;2;8;11;80;81;14;3
14/05/2016;2;9;12;74;75;9;3
13/05/2016;2;11;14;57;51;9;4
12/05/2016;4;16;21;48;50;10;5
11/05/2016;3;12;17;72;75;8;5
10/05/2016;2;7;10;83;80;5;5
09/05/2016;2;10;14;68;70;6;4
08/05/2016;1;5;7;85;84;16;4
07/05/2016;1;6;9;78;82;8;5
06/05/2016;2;12;15;82;78;13;5
05/05/2016;4;29;35;61;60;23;6
04/05/2016;4;20;26;49;49;18;6
03/05/2016;3;10;15;55;60;9;5
02/05/2016;3;11;16;62;67;10;5
01/05/2016;2;7;9;63;61;10;4
30/04/2016;2;7;9;68;71;9;4
29/04/2016;3;11;15;63;64;9;5
28/04/2016;3;14;18;61;65;10;4
27/04/2016;2;13;16;65;63;11;5
26/04/2016;2;11;15;61;62;10;5
25/04/2016;2;11;15;64;63;10;5
24/04/2016;2;8;10;69;69;9;4
23/04/2016;3;11;16;50;47;11;5
22/04/2016;4;18;25;40;38;13;5
21/04/2016;4;20;26;54;62;10;4
20/04/2016;3;11;16;75;68;8;4
19/04/2016;6;14;23;43;46;13;4
18/04/2016;3;14;17;64;64;9;4
17/04/2016;1;8;10;57;59;5;4
16/04/2016;2;10;13;66;68;5;4
15/04/2016;2;10;13;58;58;8;4
14/04/2016;1;9;11;76;76;7;4
13/04/2016;1;7;9;82;86;4;4
12/04/2016;3;12;18;69;69;5;4
11/04/2016;2;7;9;77;76;4;4
10/04/2016;1;6;8;72;63;6;4
09/04/2016;2;12;15;50;53;9;4
08/04/2016;2;11;15;65;70;8;5
07/04/2016;2;11;14;77;73;10;4
06/04/2016;3;15;20;55;53;12;5
05/04/2016;2;11;15;70;73;9;4
04/04/2016;2;11;15;65;64;6;4
03/04/2016;1;7;9;77;76;6;4
02/04/2016;2;13;16;63;59;8;4
01/04/2016;3;15;21;51;55;9;4
31/03/2016;2;9;12;73;75;8;4
30/03/2016;4;14;20;57;50;11;4
29/03/2016;2;15;18;49;51;;4
28/03/2016;2;7;10;63;68;25;4
27/03/2016;1;5;7;69;69;6;4
26/03/2016;2;6;9;52;44;7;4
25/03/2016;3;13;16;41;47;14;4
24/03/2016;2;14;17;60;60;19;5
23/03/2016;2;16;19;66;70;14;4
22/03/2016;2;15;18;55;55;15;4
21/03/2016;4;16;22;43;38;17;4
20/03/2016;2;11;14;43;45;8;4
19/03/2016;5;23;30;33;32;13;4
18/03/2016;5;24;31;38;36;16;4
17/03/2016;4;20;26;40;45;14;5
16/03/2016;3;18;22;50;45;19;4
15/03/2016;3;19;24;52;51;12;4
14/03/2016;4;22;28;38;47;25;4
13/03/2016;2;12;15;64;56;21;4
12/03/2016;2;15;19;42;44;15;4
11/03/2016;3;18;23;50;53;10;4
10/03/2016;2;12;14;67;70;11;4
09/03/2016;1;6;8;73;71;10;4
08/03/2016;3;16;21;50;50;7;4
07/03/2016;2;12;14;69;71;6;4
06/03/2016;1;6;8;74;74;4;4
05/03/2016;1;6;8;76;76;4;4
04/03/2016;1;9;11;58;51;7;4
03/03/2016;2;13;15;66;75;15;4
02/03/2016;2;12;15;61;54;15;4
01/03/2016;3;21;27;46;50;17;5
29/02/2016;2;12;14;73;75;16;4
28/02/2016;2;11;14;58;56;16;4
27/02/2016;1;5;7;77;79;6;4
26/02/2016;2;12;15;49;45;6;3
25/02/2016;2;12;15;51;54;5;4
24/02/2016;4;11;17;42;38;10;4
23/02/2016;3;17;22;39;43;11;4
22/02/2016;8;26;38;32;31;49;6
21/02/2016;3;18;23;37;36;12;5
20/02/2016;4;19;26;35;37;10;5
19/02/2016;4;18;23;39;43;10;4
18/02/2016;1;12;13;60;62;7;3
17/02/2016;2;12;15;54;53;7;4
16/02/2016;3;16;20;47;53;10;3
15/02/2016;;;;66;68;9;3
14/02/2016;5;5;12;77;77;6;3
13/02/2016;10;13;29;42;38;11;3
12/02/2016;;;;41;40;7;3
11/02/2016;;;;45;51;11;4
10/02/2016;7;;12;61;64;4;3
09/02/2016;9;;16;73;72;5;3
08/02/2016;11;;18;70;68;4;3
07/02/2016;9;;16;61;62;7;3
06/02/2016;8;;14;74;65;10;4
05/02/2016;12;;20;29;29;11;4
04/02/2016;11;;19;30;34;16;4
03/02/2016;10;;17;57;54;10;4
02/02/2016;12;;21;19;18;27;4
01/02/2016;16;;26;25;31;21;3
31/01/2016;15;;24;41;42;9;3
30/01/2016;19;;30;26;21;8;3
29/01/2016;18;;32;38;46;15;3
28/01/2016;16;9;34;63;64;7;3
27/01/2016;11;7;25;57;51;9;3
26/01/2016;13;20;40;22;21;16;3
25/01/2016;9;15;29;34;39;17;3
24/01/2016;15;8;30;36;34;6;3
23/01/2016;18;15;41;15;17;9;3
22/01/2016;16;14;38;30;39;6;3
21/01/2016;10;9;24;48;42;6;3
20/01/2016;10;17;33;38;39;10;3
19/01/2016;6;14;23;49;53;9;3
18/01/2016;9;11;25;59;58;6;3
17/01/2016;10;8;23;44;40;5;3
16/01/2016;8;13;25;48;55;10;3
15/01/2016;10;13;27;54;51;9;3
14/01/2016;10;12;28;55;57;6;3
13/01/2016;7;10;21;44;43;6;3
12/01/2016;7;16;26;51;50;7;3
11/01/2016;;;;45;;7;3
10/01/2016;;;;67;67;6;3
09/01/2016;;;;55;51;5;3
08/01/2016;10;13;29;56;54;5;3
07/01/2016;8;16;28;54;57;7;3
06/01/2016;7;5;17;65;65;5;3
05/01/2016;8;10;22;56;55;7;3
04/01/2016;11;14;31;45;;6;3
03/01/2016;11;5;22;66;58;5;3
02/01/2016;12;13;31;45;51;9;3
01/01/2016;13;9;29;51;48;7;3
