Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
29/03/2016;0,34;0,33;;;;15;6
28/03/2016;0,24;0,22;;;;17;4
27/03/2016;0,2;0,21;;;;5;4
26/03/2016;0,19;0,21;;;;8;5
25/03/2016;0,32;0,3;6;35;44;16;9
24/03/2016;0,32;0,33;;;;21;5
23/03/2016;0,34;0,32;;;;27;4
22/03/2016;0,26;0,27;;;;25;4
21/03/2016;0,34;0,34;21;31;63;21;6
20/03/2016;0,26;0,27;4;26;32;7;5
19/03/2016;0,37;0,38;4;41;47;12;8
18/03/2016;0,36;0,34;16;41;66;16;7
17/03/2016;0,29;0,29;;;;15;6
16/03/2016;0,32;0,33;;;;25;5
15/03/2016;0,32;0,32;;;;15;6
14/03/2016;0,35;0,33;;;;26;4
13/03/2016;0,3;0,32;;;;23;4
12/03/2016;0,29;0,27;;;;14;4
11/03/2016;0,28;0,27;;;;14;4
10/03/2016;0,23;0,23;;;;14;3
09/03/2016;0,22;0,22;;;;16;4
08/03/2016;0,25;0,25;;;;9;5
07/03/2016;0,22;0,21;;;;6;4
06/03/2016;0,21;0,21;;;;4;7
05/03/2016;0,21;0,2;;;;4;4
04/03/2016;0,19;0,21;;;;8;6
03/03/2016;0,26;0,24;;;;24;8
02/03/2016;0,25;0,26;;;;17;6
01/03/2016;0,29;0,29;;;;22;7
29/02/2016;0,24;0,23;;;;15;3
28/02/2016;0,25;0,26;;;;16;3
27/02/2016;0,22;0,22;;;;8;4
26/02/2016;0,25;0,26;;;;8;4
25/02/2016;0,25;0,24;;;;7;4
24/02/2016;0,24;0,25;;;;15;6
23/02/2016;0,29;0,28;;;;18;7
22/02/2016;0,34;0,37;;;;40;10
21/02/2016;0,34;0,34;6;27;35;16;8
20/02/2016;0,36;0,32;10;37;52;14;14
19/02/2016;0,29;0,28;;;;10;7
18/02/2016;0,26;0,27;;;;8;8
17/02/2016;0,29;0,27;;;;10;8
16/02/2016;0,27;0,28;;;;8;3
15/02/2016;0,26;0,24;2;14;16;8;3
14/02/2016;0,24;0,25;2;15;17;9;7
13/02/2016;0,28;0,28;6;31;40;15;4
12/02/2016;0,29;0,3;6;33;41;7;4
11/02/2016;0,24;0,22;6;30;39;9;6
10/02/2016;0,31;0,31;7;35;46;15;5
09/02/2016;0,2;0,2;2;13;15;7;3
08/02/2016;0,23;0,24;1;10;12;8;3
07/02/2016;0,27;0,25;2;16;18;10;7
06/02/2016;0,2;0,24;1;12;14;8;4
05/02/2016;0,3;0,28;16;40;63;15;7
04/02/2016;0,31;0,3;17;38;64;12;5
03/02/2016;0,25;0,23;2;24;27;14;4
02/02/2016;0,32;0,32;25;41;80;32;6
01/02/2016;0,41;0,4;32;38;87;31;6
31/01/2016;0,26;0,25;5;22;29;9;5
30/01/2016;0,29;0,31;15;30;53;11;8
29/01/2016;0,29;0,28;13;36;55;19;3
28/01/2016;0,26;0,25;4;24;30;6;3
27/01/2016;0,26;0,27;2;15;18;8;2
26/01/2016;0,3;0,31;12;29;48;20;6
25/01/2016;0,28;0,26;5;22;29;13;3
24/01/2016;0,24;0,27;5;21;29;11;7
23/01/2016;0,41;0,41;38;36;94;31;14
22/01/2016;0,35;0,3;34;37;88;14;6
21/01/2016;0,25;0,28;5;25;32;5;6
20/01/2016;0,34;0,32;29;50;94;21;12
19/01/2016;0,25;0,24;6;31;40;9;4
18/01/2016;0,23;0,22;3;21;25;6;3
17/01/2016;0,26;0,28;6;26;34;7;8
16/01/2016;0,24;0,23;5;24;30;11;3
15/01/2016;0,23;0,24;3;21;25;12;4
14/01/2016;0,23;0,22;3;23;26;7;3
13/01/2016;0,24;0,25;12;24;43;9;9
12/01/2016;0,23;0,22;7;28;39;10;7
11/01/2016;0,23;0,24;12;32;49;6;6
10/01/2016;0,22;0,22;3;13;18;6;5
09/01/2016;0,18;0,2;4;19;25;6;5
08/01/2016;0,21;0,23;7;34;44;6;6
07/01/2016;0,27;0,23;5;26;33;6;5
06/01/2016;0,18;0,17;4;9;14;5;5
05/01/2016;0,17;0,17;6;22;32;7;7
04/01/2016;0,23;0,23;11;34;51;7;10
03/01/2016;0,16;0,17;3;8;13;5;6
02/01/2016;0,22;0,2;8;24;36;9;7
01/01/2016;0,21;0,22;5;20;27;13;8
