Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
03/11/2020;0,13;0,16;0,16;0,08;2;26;29;0,53;11;6;8;1,37
02/11/2020;0,04;0,19;0,19;0,24;3;14;18;1,25;9;4;6;2,26
01/11/2020;0,12;0,21;0,22;0,56;1;12;14;2,38;6;4;6;3,93
31/10/2020;0,35;0,24;0,26;0,57;5;30;38;2,18;14;9;7;3,9
30/10/2020;0,71;0,4;0,4;0,99;38;38;96;3,34;39;23;11;5,58
29/10/2020;0,59;0,32;0,3;0,61;22;41;74;2,05;31;17;21;3,48
28/10/2020;0,2;0,29;0,27;0,42;10;35;50;1,57;20;11;12;3,51
27/10/2020;0,2;0,21;0,2;0,24;4;25;31;1,11;9;4;10;1,76
26/10/2020;0,11;0,15;0,14;0,06;3;23;26;0,44;9;4;7;1,34
25/10/2020;0,06;0,18;0,18;0,01;1;14;15;0,28;6;3;7;0,82
24/10/2020;0,16;0,16;0,17;0,2;4;17;23;0,96;9;6;10;1,94
23/10/2020;0,14;0,27;0,28;0,38;9;29;42;1,31;12;6;9;2,29
22/10/2020;0,33;0,29;0,29;0,6;8;36;49;2,18;10;4;9;3,76
21/10/2020;0,16;0,25;0,23;0,33;3;25;29;1,38;7;3;7;2,44
20/10/2020;0,2;0,26;0,27;0,46;3;18;22;1,78;24;9;7;2,95
19/10/2020;0,44;0,25;0,28;0,44;4;30;36;1,64;28;10;8;2,69
18/10/2020;0,56;0,32;0,31;0,31;10;33;48;1,09;17;9;13;2,39
17/10/2020;0,54;0,26;0,25;0,38;13;29;48;1,24;18;12;10;2,3
16/10/2020;0,45;0,28;0,27;0,54;19;37;66;1,6;19;13;8;3,13
15/10/2020;0,4;0,24;0,24;0,34;8;37;49;1,09;13;8;7;2,24
14/10/2020;0,13;0,19;0,18;0,1;3;23;28;0,47;10;5;6;1,21
13/10/2020;0,1;0,21;0,22;0,1;1;16;17;0,43;9;4;3;1,32
12/10/2020;0,08;0,17;0,15;0,03;0;11;11;0,2;9;5;3;0,76
11/10/2020;0,02;0,13;0,14;0,01;0;7;8;0,21;8;4;3;0,66
10/10/2020;0,06;0,18;0,19;0,14;0;11;11;0,58;9;5;2;1,35
09/10/2020;0,41;0,29;0,3;0,59;5;29;37;1,83;25;15;1;3,87
08/10/2020;0,34;0,28;0,28;0,59;11;27;44;1,69;20;11;2;3,7
07/10/2020;0,13;0,27;0,27;0,35;2;23;26;1,04;9;5;1;2,46
06/10/2020;0,36;0,37;0,37;0,59;30;34;80;1,6;22;11;6;4,31
05/10/2020;0,09;0,22;0,19;0,13;2;22;26;0,44;12;6;2;1,34
04/10/2020;0,08;0,14;0,15;0,04;0;8;9;0,22;5;3;1;0,71
03/10/2020;0,06;0,16;0,14;0,03;1;12;13;0,19;9;5;1;0,66
02/10/2020;0,03;0,11;0,12;0,04;0;9;10;0,31;5;2;1;0,95
01/10/2020;0,32;0,33;0,36;0,42;4;28;33;1,15;17;10;3;3,05
30/09/2020;0,39;0,35;0,35;0,63;17;28;54;1,74;25;15;10;3,59
29/09/2020;0,29;0,28;0,27;0,5;12;30;48;1,38;21;12;13;3,09
28/09/2020;0,24;0,2;0,18;0,35;7;24;34;1,03;15;7;10;2,58
27/09/2020;0,04;0,14;0,15;0,04;1;12;14;0,26;12;6;9;0,9
26/09/2020;0,03;0,2;0,2;0,03;1;8;9;0,24;6;3;7;0,81
25/09/2020;0,08;0,16;0,16;0,02;0;8;8;0,24;12;5;7;1,01
24/09/2020;0,08;0,24;0,25;0,22;1;12;13;0,71;12;6;6;2,71
23/09/2020;0,14;0,31;0,3;0,35;3;25;29;1,05;19;11;4;3,24
22/09/2020;0,3;0,32;0,32;0,43;8;25;37;1,19;21;13;7;3,07
21/09/2020;0,11;0,3;0,3;0,28;3;20;24;0,83;13;9;3;2,34
20/09/2020;0,09;0,25;0,25;0,35;3;15;19;1,03;10;6;6;2,58
19/09/2020;0,06;0,25;0,26;0,42;1;20;22;1,22;8;4;5;3,61
18/09/2020
17/09/2020
16/09/2020;0,47;0,44;0,44;0,87;9;33;46;2,6;39;24;1;7,63
15/09/2020;0,24;0,4;0,38;0,61;4;25;30;1,95;31;20;0;5,49
14/09/2020
13/09/2020
12/09/2020;0,16;0,29;0,28;0,49;7;22;32;1,69;22;12;11;4,54
11/09/2020;0,19;0,3;0,3;0,5;8;24;36;1,67;23;12;10;4,45
10/09/2020;0,25;0,31;0,32;0,54;8;30;43;1,69;25;14;11;4,39
09/09/2020;0,25;0,31;0,29;0,5;9;33;47;1,96;25;14;8;3,57
08/09/2020;0,08;0,2;0,18;0,24;11;25;41;0,8;17;8;;2,51
07/09/2020
06/09/2020
05/09/2020
04/09/2020
03/09/2020;0,38;0,28;0,25;0,55;6;38;48;1,67;21;11;12;4,91
02/09/2020;0,16;0,24;0,24;0,35;8;22;33;1,14;16;8;8;3,53
01/09/2020;0,14;0,23;0,24;0,33;9;24;38;1,07;15;7;11;2,73
31/08/2020;0,13;0,21;0,2;0,3;7;23;34;1,01;13;6;8;2,5
30/08/2020;0,01;0,14;0,13;0,07;1;10;11;0,4;8;4;6;1,15
29/08/2020;0;0,13;0,13;0,07;0;6;7;0,39;8;4;5;1,1
28/08/2020;0,17;0,2;0,22;0,23;0;9;10;0,81;12;6;6;2,26
27/08/2020;0,16;0,29;0,29;0,44;5;13;21;1,48;14;8;5;4,06
26/08/2020;0,21;0,3;0,3;0,38;4;14;21;1,36;11;5;5;4,15
25/08/2020;0,09;0,25;0,24;0,38;7;18;28;1,29;13;6;6;3,93
24/08/2020;0,28;0,22;0,22;0,38;5;16;23;1,34;11;6;6;4,03
23/08/2020;0,03;0,2;0,2;0,15;2;9;11;0,61;11;7;6;1,93
22/08/2020;0,03;0,21;0,21;0,19;2;10;13;0,77;13;8;6;2,19
21/08/2020;0,05;0,28;0,29;0,28;1;10;11;1,09;12;6;5;3,1
20/08/2020;0,07;0,28;0,26;0,34;5;19;26;1,36;18;7;5;3,35
19/08/2020;0,05;0,18;0,22;0,18;3;25;29;0,81;12;4;3;2,13
18/08/2020;0,1;0,26;0,25;;5;22;29;1,72;9;4;4;2,7
17/08/2020;0,13;0,24;0,24;;6;25;34;1,89;14;5;6;2,85
16/08/2020;0,07;0,19;0,18;;1;11;12;1,06;9;5;5;1,93
15/08/2020;0,08;0,23;0,24;;1;7;8;1,24;10;6;4;2,14
14/08/2020;0,1;0,24;0,23;;4;13;20;1,51;13;7;4;2,49
13/08/2020;0,12;0,18;0,19;;1;10;12;1,32;9;4;4;2,02
12/08/2020;0,22;0,33;0,34;;5;21;28;2,64;16;8;4;4,52
11/08/2020;0,79;0,37;0,36;;3;25;30;3,03;24;12;4;5,51
10/08/2020;0,1;0,33;0,33;;0;9;9;1,53;15;9;4;2,85
09/08/2020;0,12;0,3;0,3;;1;7;8;1,46;16;10;4;2,87
08/08/2020;0,12;0,38;0,4;;2;13;16;2,26;18;12;3;4,47
07/08/2020;0,07;0,3;0,28;;2;17;19;0,87;26;14;5;1,83
06/08/2020;0,1;0,14;0,12;;9;42;56;1,02;26;12;12;1,22
05/08/2020;0,09;0,19;0,21;;7;20;31;1,23;16;7;7;1,96
04/08/2020;0,1;0,14;0,13;;3;17;22;0,93;9;5;5;1,71
03/08/2020;0,08;;;;5;12;20;0,62;11;4;5;1,04
02/08/2020;0,14;0,13;0,14;;1;6;7;0,61;6;3;4;1,09
01/08/2020;0,09;0,16;0,16;;1;9;11;0,39;11;8;5;1,03
31/07/2020;;0,29;;;2;10;12;;21;14;4;
30/07/2020;;;;;9;27;41;;28;12;3;
29/07/2020;;0,17;0,14;;2;11;14;;14;7;2;
28/07/2020;;;;;;;;;11;6;;
27/07/2020;0,11;;0,18;0,25;;;;0,7;14;8;;1,66
26/07/2020;0,09;0,15;0,14;0,22;3;12;17;0,58;9;6;12;1,39
25/07/2020;0,1;0,12;0,12;0,23;3;13;17;0,62;14;8;11;1,39
24/07/2020;0,14;0,12;0,12;0,25;4;17;23;0,73;16;8;11;1,54
23/07/2020;0,16;0,11;0,12;0,28;3;12;16;0,78;23;12;10;1,62
22/07/2020;0,16;0,19;0,18;0,31;5;17;24;0,95;30;17;9;2,32
21/07/2020;0,15;0,14;0,15;0,29;7;14;24;0,83;27;12;12;1,7
20/07/2020;0,09;0,14;0,16;0,27;3;12;17;0,81;22;11;7;1,75
19/07/2020;0,11;0,24;0,24;0,28;3;13;17;1,06;17;11;8;3,08
18/07/2020;0,11;0,23;0,24;0,32;3;14;18;1,1;15;9;7;3,13
17/07/2020;0,11;0,19;0,17;0,27;1;8;10;1;9;5;6;2,86
16/07/2020;0,11;0,15;0,16;0,3;2;11;14;1,08;9;5;8;2,85
15/07/2020;0,12;0,21;0,19;0,23;3;16;21;0,77;11;6;9;1,99
14/07/2020;0,22;0,17;0,2;0,26;6;16;25;0,82;14;8;9;2,17
13/07/2020;0,22;0,24;0,21;0,22;5;16;23;0,64;17;8;9;1,73
12/07/2020;0,15;0,17;0,16;0,2;2;15;18;0,56;13;8;8;1,31
11/07/2020;0,11;0,1;;0,25;3;10;14;0,78;10;5;7;1,83
10/07/2020;0,11;0,16;0,14;0,22;3;13;16;0,6;9;5;6;1,22
09/07/2020;0,24;0,16;0,15;0,32;4;15;21;0,99;25;11;9;2,51
08/07/2020;0,21;0,17;0,18;0,38;7;18;29;1,25;21;11;8;2,84
07/07/2020;0,09;0,18;0,19;0,25;5;13;21;0,89;18;9;6;2,39
06/07/2020;0,08;0,19;0,2;0,14;2;7;10;0,45;12;6;9;1,13
05/07/2020;0,22;;;0,28;3;15;19;0,94;9;6;18;2,61
04/07/2020;0,17;0,19;0,19;0,26;4;15;21;0,89;10;6;12;2,29
03/07/2020;0,32;0,19;0,18;0,22;4;13;18;0,69;9;4;10;1,9
02/07/2020;0,26;0,15;0,16;0,22;2;13;17;0,69;9;4;10;1,44
01/07/2020;0,16;0,24;0,24;0,32;6;14;23;1,08;11;5;12;2,9
30/06/2020;0,16;0,2;0,19;0,3;7;15;26;1,01;13;6;12;2,36
29/06/2020;0,12;0,16;0,15;0,16;2;12;15;0,42;9;4;10;1,05
28/06/2020;0,04;0,11;0,11;0,14;2;5;7;0,42;6;3;10;1
27/06/2020;0,16;0,17;0,2;0,35;3;12;17;1,12;11;7;11;2,55
26/06/2020;0,14;0,25;0,24;0,24;2;15;17;0,74;14;8;9;2,12
25/06/2020;0,1;0,26;0,27;0,43;2;18;21;1,8;25;16;10;4,4
24/06/2020;0,24;0,37;0,36;0,51;5;27;34;2;36;24;11;5
23/06/2020;0,06;0,23;0,2;0,37;9;30;43;1,52;23;13;16;3,07
22/06/2020;0,03;0,14;0,16;0,26;5;15;22;1,54;10;5;11;3,23
21/06/2020;0,02;0,21;0,21;0,01;3;12;17;0,56;8;5;13;1,89
20/06/2020;0,03;0,19;0,19;0,11;4;15;21;0,85;11;7;11;1,94
19/06/2020;0,02;0,22;0,21;0,09;7;16;25;0,78;13;7;11;1,84
18/06/2020;0,01;0,2;0,2;0,04;3;13;17;0,47;10;6;9;1,35
17/06/2020;0,01;0,2;0,19;0,05;4;14;20;0,51;12;6;10;1,41
16/06/2020;0,06;0,21;0,22;0,04;4;19;25;0,63;11;6;12;1,73
15/06/2020;0,04;0,22;0,21;0,06;4;18;23;0,66;11;7;11;1,81
14/06/2020;0,01;0,2;0,21;0,01;2;10;12;0,35;13;8;10;1,52
13/06/2020;0,04;0,22;0,21;0,05;6;23;31;0,68;13;8;11;1,99
12/06/2020;0,01;0,16;0,16;0,01;3;17;22;0,44;9;4;10;1,5
11/06/2020;0,14;0,23;0,23;0,08;7;26;36;0,73;15;9;11;1,84
10/06/2020;0,11;0,23;0,23;0,09;6;20;30;0,63;17;10;12;1,57
09/06/2020;0,08;0,16;0,17;0,09;4;14;19;0,67;13;8;11;1,37
08/06/2020;0,01;0,17;0,15;0;2;12;15;0,24;9;5;9;1,5
07/06/2020;0,01;0,12;0,14;0;1;5;6;0,17;7;3;9;2,29
06/06/2020;0,18;0,27;0,26;0;1;6;8;0,24;7;4;9;1
05/06/2020;0,01;0,17;0,17;0,01;1;9;11;0,28;15;7;9;1,04
04/06/2020;0,06;0,2;0,2;0,03;1;11;13;0,38;12;7;9;1,2
03/06/2020;0,23;0,26;0,29;0,24;2;14;16;0,74;26;17;10;1,5
02/06/2020;0,16;0,27;0,24;0,27;4;19;25;0,82;36;26;12;1,76
01/06/2020;0,1;0,22;0,23;0,2;2;14;18;0,6;24;18;9;1,54
31/05/2020;0,14;0,24;0,23;0,25;2;15;18;0,81;25;19;13;2,01
30/05/2020;0,13;0,17;0,18;0,3;3;21;24;1,08;22;15;15;2,25
29/05/2020;;0,26;;;7;30;41;;32;19;16;
28/05/2020;0,33;;;0,68;6;28;37;2,96;23;13;10;6,95
27/05/2020;0,46;0,35;0,37;0,43;7;30;41;1,79;25;15;12;3,99
26/05/2020;0,25;0,35;0,27;0,25;6;19;27;1,12;21;13;12;2,32
25/05/2020;0,11;0,24;0,23;0,09;6;15;24;0,66;20;11;9;1,71
24/05/2020;0,02;0,15;0,16;0,08;1;8;10;0,72;12;7;8;1,91
23/05/2020;0,1;0,24;0,25;0,09;1;5;7;0,59;6;3;6;1,52
22/05/2020;0,22;0,3;0,3;0,26;3;11;14;1,21;18;12;6;2,97
21/05/2020;0,28;0,3;0,27;0,45;3;24;28;1,76;25;16;9;4,97
20/05/2020;0,25;0,21;0,22;0,43;5;26;33;1,57;23;13;12;3,16
19/05/2020;0,28;0,25;0,23;0,33;5;25;33;1,27;24;14;10;2,7
18/05/2020;0,2;0,19;0,2;0,14;6;21;29;0,69;18;11;8;1,65
17/05/2020;0,21;0,2;0,18;0,01;1;10;12;0,26;14;9;8;1,1
16/05/2020;0,15;0,16;0,17;0;0;8;8;0,13;18;9;12;0,69
15/05/2020;0,24;0,24;0,25;0,01;1;12;13;0,2;19;10;7;0,97
14/05/2020;0,15;0,22;0,21;0,06;1;11;13;0,36;9;5;6;1,14
13/05/2020;0,15;0,22;0,21;0,08;2;13;16;0,44;11;7;7;1,78
12/05/2020;0,25;0,22;0,25;0,02;1;10;12;0,25;17;9;6;0,88
11/05/2020;0,41;0,26;0,23;0,09;2;11;15;0,51;9;5;8;1,5
10/05/2020;0,35;0,21;0,25;0,06;1;7;8;0,43;6;4;6;1,05
09/05/2020;0,23;0,3;0,27;0,26;1;7;9;1,3;15;11;5;2,62
08/05/2020;0,36;0,32;0,33;0,65;2;19;22;2,65;18;9;6;6,21
07/05/2020;0,21;0,3;0,3;0,58;6;25;34;2,6;30;17;5;5,6
06/05/2020;0,19;0,28;0,26;0,51;5;18;25;2,22;21;11;9;4,65
05/05/2020;0,09;0,21;0,2;0,45;2;14;17;1,98;13;7;6;4,14
04/05/2020;0,12;0,23;0,22;0,66;4;18;25;2,41;21;8;7;4,84
03/05/2020;0,09;0,14;0,15;0,39;2;9;12;1,48;10;5;6;3,15
02/05/2020;0,03;0,19;0,19;0,2;2;8;11;0,86;7;5;6;1,96
01/05/2020;0,01;0,18;0,17;0,11;1;5;6;0,54;7;3;5;1,14
30/04/2020;0,09;0,15;0,15;0,12;1;8;9;0,52;10;4;5;1,04
29/04/2020;0,08;0,16;0,15;0,16;2;14;17;0,63;9;4;6;1,29
28/04/2020;0,14;0,16;0,16;0,14;3;17;22;0,54;13;7;8;1,03
27/04/2020;0,15;0,19;0,19;0,2;2;16;19;0,66;15;11;5;1,24
26/04/2020;0,08;0,18;0,18;0,04;0;5;5;0,22;20;15;5;0,75
25/04/2020;0,38;0,23;0,24;0,16;1;10;11;0,48;26;21;8;1,12
24/04/2020;0,79;0,27;0,27;0,44;8;23;36;1,17;25;16;9;3,35
23/04/2020;0,37;0,21;0,2;0,3;3;17;22;0,97;17;13;10;2,12
22/04/2020;0,24;0,21;0,2;0,1;1;12;14;0,37;13;8;7;0,89
21/04/2020;0,1;0,16;0,17;0,02;1;11;11;0,2;11;8;5;0,64
20/04/2020;0,12;0,16;0,16;0,11;2;13;15;0,4;9;5;7;1,1
19/04/2020;0,02;0,15;0,16;0,05;0;7;7;0,23;5;3;5;0,67
18/04/2020;0,17;0,18;0,17;0,2;1;11;13;0,68;6;3;5;1,36
17/04/2020;0,09;0,14;0,14;0,26;1;10;12;0,99;5;3;4;1,83
16/04/2020;0,2;0,14;0,14;0,31;2;13;16;1,16;9;5;4;2,48
15/04/2020;0,22;0,14;0,15;0,31;2;14;16;1,16;12;7;5;2,27
14/04/2020;0,24;0,17;0,16;0,2;3;18;23;0,63;17;12;5;1,44
13/04/2020;0,15;0,14;0,14;0,11;1;10;11;0,35;13;9;4;0,93
12/04/2020;0,1;0,17;0,17;0,08;0;7;7;0,3;12;10;4;0,86
11/04/2020;0,12;0,21;0,22;0,12;1;8;9;0,41;13;12;4;0,97
10/04/2020;0,18;0,19;0,18;0,3;1;11;12;1,07;12;9;4;2,28
09/04/2020;0,22;0,16;0,17;0,39;1;11;13;1,38;13;10;4;2,89
08/04/2020;0,24;0,2;0,19;0,28;3;16;20;0,73;16;14;4;1,67
07/04/2020;0,25;0,2;0,2;0,25;4;16;22;0,91;10;8;4;1,68
06/04/2020;0,18;0,21;0,21;0,11;1;12;13;0,43;9;6;4;0,93
05/04/2020;0,19;0,18;0,17;0,23;1;6;7;0,94;8;5;4;1,97
04/04/2020;0,29;0,16;0,17;0,21;1;12;14;0,79;13;10;5;1,68
03/04/2020;0,35;0,2;0,2;0,15;3;16;20;0,52;21;17;5;0,96
02/04/2020;0,36;0,23;0,25;0,1;2;15;18;0,34;15;10;4;0,98
01/04/2020;0,46;0,28;0,27;0,15;3;22;26;0,49;6;5;3;1,17
31/03/2020;0,41;0,22;0,21;0,07;4;21;27;0,26;12;11;3;0,65
30/03/2020;0,31;0,17;0,17;0,01;1;12;14;0,1;9;6;3;0,39
29/03/2020;0,54;0,29;0,3;0,05;3;19;23;0,24;35;26;10;0,69
28/03/2020;0,61;0,29;0,29;0,13;3;23;27;0,46;27;21;9;1,01
27/03/2020;0,58;0,27;0,25;0,19;4;26;32;0,61;27;19;8;1,1
26/03/2020;0,48;0,16;0,15;0,02;1;11;12;0,14;23;15;6;0,51
25/03/2020;0,52;0,23;0,25;0,23;10;22;37;0,65;26;15;9;1,35
24/03/2020;0,6;0,24;0,23;0,32;9;23;36;0,87;30;19;5;2,24
23/03/2020;0,35;0,22;0,21;0,07;1;11;12;0,25;23;16;3;0,7
22/03/2020;0,52;0,27;0,27;0,11;2;12;14;0,33;41;26;6;0,86
21/03/2020;0,26;0,19;;0,22;1;15;16;0,75;31;14;5;1,55
20/03/2020;0,3;;;0,26;1;16;18;0,83;20;10;4;1,68
19/03/2020;0,38;0,27;0,28;0,45;8;33;45;1,37;43;28;6;2,54
18/03/2020;0,53;0,33;0,34;0,41;13;34;54;1,18;30;21;6;2,31
17/03/2020;0,34;0,28;0,26;0,26;7;31;41;0,81;15;9;3;1,61
16/03/2020;0,24;0,21;0,21;0,03;1;14;14;0,25;7;4;4;0,55
15/03/2020;0,37;0,23;0,24;0,12;2;19;22;0,43;13;9;6;0,92
14/03/2020;0,52;0,23;0,21;0,23;8;25;36;0,8;17;10;8;1,37
13/03/2020;0,46;0,14;0,15;0,16;3;20;24;0,53;15;7;3;1,11
12/03/2020;0,58;0,25;0,26;0,36;8;33;45;1,1;19;12;4;2,06
11/03/2020;0,65;0,35;0,36;0,59;26;36;76;2,03;33;22;9;3,42
10/03/2020;0,72;0,3;0,29;0,42;22;40;72;1,42;29;18;7;2,43
09/03/2020;0,38;0,22;0,2;0,17;3;26;31;0,57;19;10;4;1,2
08/03/2020;0,45;0,24;0,26;0,19;8;23;35;0,67;17;11;7;1,23
07/03/2020;0,49;0,24;0,22;0,12;4;22;28;0,44;18;10;4;0,84
06/03/2020;0,49;0,16;0,15;0,09;2;16;18;0,34;13;7;3;0,7
05/03/2020;0,33;0,13;0,16;0,19;3;19;24;0,65;9;4;3;1,22
04/03/2020;0,42;0,33;0,32;0,41;21;38;70;1,38;14;8;3;2,4
03/03/2020;0,29;0,2;0,18;0,12;3;17;21;0,41;12;6;3;0,7
02/03/2020;0,29;0,14;0,16;0,12;2;15;18;0,42;7;3;2;0,88
01/03/2020;0,33;0,2;0,22;0,13;3;17;21;0,45;14;7;2;0,9
29/02/2020;0,28;0,21;0,2;0,2;2;20;23;0,75;68;22;3;1,35
28/02/2020;0,49;0,28;0,29;0,73;24;39;75;2,53;79;29;4;4,67
27/02/2020;;0,28;0,27;;10;35;50;;32;12;3;
26/02/2020;0,38;0,21;;0,21;4;26;31;0,76;11;5;4;1,59
25/02/2020;0,63;0,35;0,38;0,32;14;35;56;1,09;28;22;6;2,07
24/02/2020;0,89;0,44;0,43;0,36;24;39;74;1,15;53;42;12;2,4
23/02/2020;1,04;0,37;0,38;0,27;11;32;49;0,8;35;30;12;1,66
22/02/2020;0,85;0,41;0,39;0,36;17;31;56;1,17;30;23;10;2,1
21/02/2020;0,52;0,33;0,33;0,42;15;44;66;1,36;22;15;10;2,63
20/02/2020;0,56;0,33;0,32;0,54;28;44;85;2;21;13;11;3,21
19/02/2020;0,57;0,3;0,28;0,4;23;44;78;1,32;21;12;13;2,49
18/02/2020;0,48;0,23;0,21;0,26;11;30;47;0,84;16;9;9;1,42
17/02/2020;0,37;0,22;0,22;0,15;3;18;22;;10;5;7;0,98
16/02/2020;0,13;0,15;0,15;0,13;1;7;9;;5;3;5;1,13
15/02/2020;0,38;0,21;0,23;0,42;9;28;41;;11;8;8;2,92
14/02/2020;0,32;0,29;0,28;0,41;9;33;47;;21;13;9;1,99
13/02/2020;0,34;0,22;0,23;0,31;6;22;31;;15;9;7;1,82
12/02/2020;0,44;0,26;0,25;0,36;12;35;53;;18;14;8;2,52
11/02/2020;0,28;0,21;0,22;0,24;3;27;31;;26;15;7;1,2
10/02/2020;0,3;0,28;0,26;0,27;20;26;57;;23;11;6;1,49
09/02/2020;0,29;0,19;0,22;0,19;1;15;16;;6;4;6;1,26
08/02/2020;0,46;0,3;0,3;0,3;4;34;39;;19;13;8;1,62
07/02/2020;;0,29;0,28;;12;42;60;;22;14;7;
06/02/2020;;0,25;0,24;;18;49;76;;17;9;8;
05/02/2020;0,53;0,22;0,22;0,33;14;36;57;;20;12;6;2,17
04/02/2020;0,36;0,22;0,22;0,25;3;26;31;;21;9;6;1,41
