Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
30/04/2020;0,19;0,19;3;4;9;73;73;26;4;4
29/04/2020;0,21;0,2;3;7;12;60;61;12;4;4
28/04/2020;0,24;0,24;4;10;16;62;61;18;7;4
27/04/2020;0,24;0,24;3;8;12;73;77;11;6;4
26/04/2020;0,24;0,25;3;2;6;81;82;15;9;4
25/04/2020;0,26;0,26;3;5;10;69;68;22;14;4
24/04/2020;0,28;0,27;4;8;13;65;67;21;9;4
23/04/2020;0,26;0,25;5;10;17;59;59;18;9;4
22/04/2020;0,24;0,23;3;4;8;83;85;18;7;4
21/04/2020;0,2;0,2;2;3;6;80;76;;5;4
20/04/2020;0,19;0,19;3;4;8;78;81;;4;4
19/04/2020;0,19;0,2;2;3;6;76;74;18;3;4
18/04/2020;0,22;0,23;3;6;10;66;68;11;4;4
17/04/2020;0,18;0,17;3;5;10;74;73;7;;4
16/04/2020;0,21;0,2;3;7;11;71;73;10;5;4
15/04/2020;0,19;0,2;3;9;14;72;70;8;;4
14/04/2020;0,23;0,23;5;10;17;55;54;21;11;4
13/04/2020;0,22;0,23;2;6;9;68;68;12;7;4
12/04/2020;0,23;0,22;3;6;10;61;61;11;7;4
11/04/2020;0,25;0,26;2;5;7;64;65;9;7;4
10/04/2020;0,25;0,25;3;8;12;68;69;17;9;4
09/04/2020;0,21;0,22;5;7;14;69;67;13;8;4
08/04/2020;0,24;0,22;3;6;10;62;63;18;10;4
07/04/2020;0,18;0,18;4;8;15;60;61;17;8;4
06/04/2020;0,22;0,23;2;7;10;74;75;11;4;4
05/04/2020;0,21;0,21;3;4;9;81;83;12;5;4
04/04/2020;0,22;0,2;6;7;15;83;83;10;7;4
03/04/2020;0,23;0,23;6;10;19;83;87;19;12;4
02/04/2020;0,22;0,24;3;5;10;80;76;17;8;4
01/04/2020;0,28;0,28;4;8;15;68;64;;5;4
31/03/2020;0,25;0,22;6;13;23;43;44;10;9;4
30/03/2020;0,17;0,17;6;10;19;64;71;14;6;4
29/03/2020;0,24;0,27;7;13;23;66;66;30;20;5
28/03/2020;0,3;0,29;5;15;23;69;69;25;19;5
27/03/2020;0,29;0,28;6;18;27;71;76;25;17;5
26/03/2020;0,19;0,18;4;4;11;98;95;21;11;4
25/03/2020;0,26;0,28;6;15;24;60;52;26;15;4
24/03/2020;0,26;0,25;7;15;26;46;49;34;17;4
23/03/2020;0,24;0,24;2;5;8;69;70;20;12;4
22/03/2020;0,27;0,28;3;7;12;64;62;30;16;4
21/03/2020;0,2;0,19;2;7;11;79;80;30;12;4
20/03/2020;0,16;0,16;2;7;10;80;75;17;10;4
19/03/2020;0,26;0,27;4;15;21;38;37;34;15;4
18/03/2020;0,37;0,38;5;16;24;36;33;24;14;4
17/03/2020;0,27;0,26;4;11;17;52;63;14;6;4
16/03/2020;0,2;0,18;5;3;11;85;85;14;2;4
15/03/2020;0,24;0,24;5;7;15;68;65;18;8;4
14/03/2020;0,19;0,19;7;17;27;44;42;22;9;4
13/03/2020;0,17;0,17;5;9;16;66;71;26;8;4
12/03/2020;0,19;0,2;4;18;24;51;52;22;8;4
11/03/2020;0,28;0,28;15;22;46;42;40;34;16;4
10/03/2020;0,27;0,27;10;25;41;42;43;42;15;4
09/03/2020;0,19;0,18;4;10;15;74;80;38;9;4
08/03/2020;0,22;0,22;5;16;24;50;44;22;9;4
07/03/2020;0,21;0,21;5;11;18;71;79;35;9;4
06/03/2020;0,16;0,15;5;3;11;79;79;27;8;4
05/03/2020;0,13;0,17;3;5;10;65;56;21;6;4
04/03/2020;0,26;0,23;6;22;31;38;46;21;8;4
03/03/2020;0,18;0,19;5;7;14;69;69;28;8;4
02/03/2020;0,15;0,16;6;5;14;70;68;22;6;4
01/03/2020;0,2;0,21;4;9;16;67;65;26;8;4
29/02/2020;0,2;0,19;3;10;14;66;69;70;28;4
28/02/2020;0,19;0,18;10;21;36;42;44;76;30;4
27/02/2020;0,24;0,24;5;12;19;60;59;55;16;4
26/02/2020;0,17;0,14;6;9;18;72;73;28;8;4
25/02/2020;0,26;0,3;6;14;23;59;55;27;14;4
24/02/2020;0,34;0,35;8;19;32;40;40;50;36;5
23/02/2020;0,45;0,44;8;18;30;44;46;43;29;5
22/02/2020;0,42;0,4;9;18;31;42;37;31;16;5
21/02/2020;0,33;0,34;7;26;36;43;45;22;12;5
20/02/2020;0,34;0,34;13;24;43;46;42;33;13;5
19/02/2020;0,45;0,42;12;33;51;30;36;30;11;6
18/02/2020;0,31;0,3;9;18;31;52;54;41;11;5
17/02/2020;0,16;0,16;4;5;11;78;74;51;12;4
16/02/2020;0,16;0,16;3;5;9;48;49;20;7;4
15/02/2020;0,21;0,24;5;10;17;52;48;34;11;4
14/02/2020;0,23;0,2;7;21;32;43;51;57;15;4
13/02/2020;0,18;0,18;3;9;14;54;49;38;10;4
12/02/2020;0,23;0,23;6;17;26;44;46;31;10;4
11/02/2020;0,19;0,19;3;6;10;63;62;100;22;4
10/02/2020;0,23;0,22;7;14;25;47;49;80;19;4
09/02/2020;0,21;0,22;4;6;11;60;58;12;5;4
08/02/2020;0,22;0,22;4;14;20;56;55;19;9;4
07/02/2020;0,2;0,2;6;19;29;49;53;22;12;4
06/02/2020;0,22;0,21;5;19;27;49;45;15;9;4
05/02/2020;0,21;0,2;8;25;37;40;46;22;10;4
04/02/2020;0,18;0,2;4;7;12;68;64;26;7;4
03/02/2020;0,2;0,18;5;16;24;39;42;56;22;4
02/02/2020;0,2;0,21;4;7;13;50;49;18;10;3
01/02/2020;0,21;0,21;4;11;17;46;49;16;6;4
31/01/2020;0,21;0,21;5;13;22;47;48;16;4;4
30/01/2020;0,19;0,18;3;7;11;62;60;14;4;3
29/01/2020;0,24;0,25;7;24;35;36;32;38;10;4
28/01/2020;0,2;0,2;6;16;24;65;72;59;15;4
27/01/2020;0,21;0,19;5;6;13;61;61;13;5;4
26/01/2020;0,27;0,31;7;13;24;42;36;15;9;4
25/01/2020;0,26;0,25;7;16;27;42;43;27;12;4
24/01/2020;0,22;0,21;7;16;27;46;47;33;12;4
23/01/2020;0,36;0,42;14;31;52;18;13;30;13;4
22/01/2020;0,56;0,51;23;37;71;14;19;30;18;4
