Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
17/10/2020;0,29;0,27;9;24;38;20;15;8
16/10/2020;0,25;0,24;17;31;57;20;15;8
15/10/2020;0,27;0,27;7;27;37;16;11;7
14/10/2020;0,19;0,2;2;14;16;15;9;6
13/10/2020;0,21;0,2;2;10;12;15;10;5
12/10/2020;0,19;0,18;1;9;10;14;8;5
11/10/2020;0,18;0,18;1;5;7;12;8;5
10/10/2020;0,22;0,22;1;7;9;12;8;4
09/10/2020;0,28;0,28;3;20;24;29;17;5
08/10/2020;0,28;0,28;8;16;28;24;15;8
07/10/2020;0,26;0,25;3;17;21;16;11;4
06/10/2020;0,29;0,29;15;20;44;24;16;9
05/10/2020;0,21;0,19;3;15;19;16;9;5
04/10/2020;0,16;0,16;1;4;5;7;5;4
03/10/2020;0,19;0,18;1;6;8;12;7;6
02/10/2020;0,17;0,18;2;7;9;14;9;4
01/10/2020;0,27;0,29;2;16;20;22;15;8
30/09/2020;0,34;0,33;11;20;37;33;22;9
29/09/2020;0,27;0,26;11;23;39;26;16;9
28/09/2020;0,18;0,17;3;17;21;19;11;6
27/09/2020;0,15;0,16;1;7;8;15;9;5
26/09/2020;0,2;0,19;1;5;7;10;7;5
25/09/2020;0,19;0,2;1;6;8;18;9;5
24/09/2020;0,31;0,32;2;9;11;18;10;8
23/09/2020;0,29;0,29;2;14;17;20;13;5
22/09/2020;0,31;0,3;5;14;21;20;15;6
21/09/2020;0,28;0,27;3;12;16;17;12;7
20/09/2020;0,26;0,26;2;9;11;13;9;6
19/09/2020;0,25;0,24;1;12;14;9;7;5
18/09/2020;0,25;0,25;2;15;18;16;10;5
17/09/2020;0,38;0,39;10;34;49;41;27;7
16/09/2020;0,34;0,34;4;20;25;32;22;5
15/09/2020;0,33;0,33;3;18;21;30;20;6
14/09/2020;0,27;0,28;2;18;20;29;16;7
13/09/2020;0,3;0,28;3;23;26;26;16;8
12/09/2020;0,27;0,27;4;14;20;20;12;5
11/09/2020;0,28;0,28;3;15;19;23;13;5
10/09/2020;0,29;0,3;3;17;21;24;14;7
09/09/2020;0,3;0,3;5;22;30;26;17;9
08/09/2020;0,23;0,23;6;14;23;23;17;5
07/09/2020;0,2;0,2;3;10;14;18;13;3
06/09/2020;0,19;0,2;1;2;3;18;12;3
05/09/2020;0,26;0,28;1;3;5;21;15;3
04/09/2020;0,32;0,32;5;22;28;35;23;8
03/09/2020;0,26;0,24;5;27;34;29;20;12
02/09/2020;0,23;0,24;5;15;22;20;15;5
01/09/2020;0,28;0,28;7;18;28;21;15;9
31/08/2020;0,21;0,2;5;15;23;19;15;5
30/08/2020;0,19;0,18;1;7;8;17;13;5
29/08/2020;0,18;0,19;1;4;5;15;12;4
28/08/2020;0,25;0,25;1;8;9;17;11;7
27/08/2020;0,27;0,27;5;11;17;20;15;5
26/08/2020;0,27;0,27;5;11;19;18;13;6
25/08/2020;0,23;0,23;5;15;22;21;14;6
24/08/2020;0,22;0,22;4;11;17;17;13;4
23/08/2020;0,2;0,2;2;6;8;18;13;5
22/08/2020;0,24;0,24;3;8;11;19;13;4
21/08/2020;0,27;0,28;1;9;10;18;11;3
20/08/2020;0,31;0,29;4;17;23;23;14;4
19/08/2020;0,19;0,2;2;17;20;19;14;4
18/08/2020;0,25;0,25;2;17;20;15;12;5
17/08/2020;0,26;0,25;4;20;26;19;13;6
16/08/2020;0,2;0,2;2;7;9;15;12;5
15/08/2020;0,27;0,28;1;5;7;16;12;4
14/08/2020;0,26;0,26;4;8;14;17;11;4
13/08/2020;0,25;0,25;1;7;9;14;9;5
12/08/2020;0,29;0,29;3;13;17;19;13;3
11/08/2020;0,31;0,31;3;18;21;26;16;3
10/08/2020;0,28;0,28;1;7;8;21;13;3
09/08/2020;0,27;0,27;1;7;8;23;15;2
08/08/2020;0,28;0,28;2;11;14;25;18;3
07/08/2020;0,34;0,35;2;15;17;32;18;2
06/08/2020;0,34;0,32;4;28;33;31;18;5
05/08/2020;0,26;0,26;5;14;21;19;12;4
04/08/2020;0,24;0,24;3;10;14;11;8;2
03/08/2020;0,23;0,23;4;9;14;13;9;3
02/08/2020;0,21;0,21;1;3;5;10;8;2
01/08/2020;0,25;0,25;2;8;10;16;11;2
31/07/2020;0,33;0,33;1;8;10;25;15;2
30/07/2020;0,28;0,27;7;18;29;31;17;2
29/07/2020;0,24;0,24;2;9;11;18;10;2
28/07/2020;0,35;0,35;5;10;18;18;11;2
27/07/2020;0,28;0,28;4;10;17;18;12;2
26/07/2020;0,26;0,26;2;8;11;14;11;3
25/07/2020;0,24;0,23;2;7;9;15;12;3
24/07/2020;0,27;0,28;6;16;25;21;13;2
23/07/2020;0,28;0,28;2;10;12;23;14;1
22/07/2020;0,3;0,3;4;15;21;31;17;2
21/07/2020;0,26;0,26;3;13;17;25;13;1
20/07/2020;0,26;0,27;3;14;18;22;14;1
19/07/2020;0,29;0,28;2;12;14;21;14;3
18/07/2020;0,26;0,26;2;10;13;17;12;2
17/07/2020;0,23;0,22;2;8;11;14;9;1
16/07/2020;0,22;0,22;5;10;17;16;9;3
15/07/2020;0,23;0,23;3;9;13;14;8;2
14/07/2020;0,21;0,21;2;10;12;16;10;2
13/07/2020;0,25;0,26;3;12;15;22;11;2
12/07/2020;0,26;0,26;1;9;11;17;11;2
11/07/2020;0,23;0,23;2;7;10;14;9;3
10/07/2020;0,24;0,24;2;10;12;13;8;1
09/07/2020;0,26;0,26;3;12;16;20;11;3
08/07/2020;0,25;0,25;6;15;23;26;14;3
07/07/2020;0,22;0,21;3;10;15;21;11;3
06/07/2020;0,24;0,24;1;5;7;14;7;2
05/07/2020;0,24;0,24;2;12;15;14;11;10
04/07/2020;0,2;0,21;3;14;19;14;10;6
03/07/2020;0,2;0,2;4;10;16;13;8;3
02/07/2020;0,25;0,25;2;11;13;13;7;2
01/07/2020;0,27;0,28;5;14;21;13;8;4
30/06/2020;0,28;0,27;6;13;22;16;9;3
29/06/2020;0,24;0,24;2;9;11;12;6;2
28/06/2020;0,24;0,24;1;6;7;11;7;2
27/06/2020;0,26;0,27;3;12;16;14;10;2
26/06/2020;0,28;0,27;1;13;15;17;9;1
25/06/2020;0,3;0,3;1;15;17;29;16;1
24/06/2020;0,37;0,41;2;20;23;36;24;1
23/06/2020;0,36;0,31;7;23;34;28;17;4
22/06/2020;0,27;0,25;6;14;23;17;9;5
21/06/2020;0,23;0,23;2;8;12;10;8;5
20/06/2020;0,21;0,21;3;10;14;12;8;3
19/06/2020;0,21;0,21;5;13;20;12;7;3
18/06/2020;0,28;0,28;3;13;17;12;8;3
17/06/2020;0,23;0,24;3;12;17;13;7;3
16/06/2020;0,27;0,26;4;14;19;12;7;4
15/06/2020;0,24;0,24;5;16;22;13;8;4
14/06/2020;0,21;0,22;2;7;10;12;8;3
13/06/2020;0,26;0,25;4;17;23;12;8;4
12/06/2020;0,21;0,21;2;13;16;11;6;2
11/06/2020;0,25;0,25;4;16;21;14;9;5
10/06/2020;0,22;0,22;3;12;17;15;9;4
09/06/2020;0,21;0,22;2;10;14;14;7;5
08/06/2020;0,24;0,23;2;8;11;12;6;4
07/06/2020;0,16;0,17;1;4;5;9;4;2
06/06/2020;0,23;0,23;1;6;8;8;5;3
05/06/2020;0,23;0,23;1;8;10;18;7;3
04/06/2020;0,27;0,27;1;9;11;14;8;2
03/06/2020;0,35;0,35;1;10;11;21;14;1
02/06/2020;0,32;0,32;3;13;17;27;18;1
01/06/2020;0,32;0,31;2;12;14;25;18;2
31/05/2020;0,31;0,31;1;13;15;32;27;4
30/05/2020;0,28;0,27;2;14;16;29;23;6
29/05/2020;0,31;0,32;4;20;25;34;25;6
28/05/2020;0,31;0,3;3;18;22;29;21;4
27/05/2020;0,27;0,26;4;19;25;29;21;5
26/05/2020;0,25;0,26;4;13;18;24;16;4
25/05/2020;0,26;0,26;4;11;16;24;15;2
24/05/2020;0,24;0,23;1;5;7;16;12;2
23/05/2020;0,22;0,21;1;4;5;10;7;1
22/05/2020;0,28;0,29;5;10;17;21;15;1
21/05/2020;0,31;0,3;3;21;26;33;22;3
20/05/2020;0,32;0,32;4;21;27;28;18;6
19/05/2020;0,27;0,26;4;17;22;23;16;3
18/05/2020;0,25;0,25;3;13;17;20;14;2
17/05/2020;0,2;0,21;1;6;7;19;14;3
16/05/2020;0,25;0,26;1;6;7;31;17;8
15/05/2020;0,26;0,25;1;9;10;30;18;3
14/05/2020;0,27;0,28;1;8;9;13;10;1
13/05/2020;0,27;0,28;2;10;12;13;11;1
12/05/2020;0,27;0,25;2;8;10;18;11;2
11/05/2020;0,23;0,24;1;7;9;14;9;5
10/05/2020;0,27;0,27;1;4;6;9;7;3
09/05/2020;0,27;0,27;1;7;9;17;13;2
08/05/2020;0,44;0,45;2;15;17;26;16;2
07/05/2020;0,32;0,3;3;19;23;30;20;2
06/05/2020;0,27;0,27;5;15;23;26;15;5
05/05/2020;0,22;0,21;2;12;15;19;11;4
04/05/2020;0,28;0,28;3;14;17;25;14;4
03/05/2020;0,26;0,25;2;9;12;15;11;3
02/05/2020;0,25;0,25;2;6;9;11;8;3
01/05/2020;0,23;0,22;1;4;6;9;6;2
30/04/2020;0,18;0,18;1;5;7;14;7;2
29/04/2020;0,18;0,17;1;8;10;10;7;2
28/04/2020;0,21;0,22;3;13;17;15;10;4
27/04/2020;0,26;0,26;1;11;13;17;13;3
26/04/2020;0,26;0,26;1;3;5;22;17;3
25/04/2020;0,3;0,31;1;9;11;29;23;5
24/04/2020;0,33;0,33;6;20;29;;;7
23/04/2020;0,3;0,29;7;16;27;;;7
22/04/2020;0,27;0,27;1;9;11;23;14;4
21/04/2020;0,25;0,24;1;8;9;18;12;3
20/04/2020;0,22;0,21;1;9;11;11;7;6
19/04/2020;0,21;0,22;1;9;10;8;6;4
18/04/2020;0,23;0,22;2;10;13;9;7;4
17/04/2020;0,22;0,22;1;10;12;8;6;3
16/04/2020;0,23;0,22;2;9;11;11;8;2
15/04/2020;0,21;0,22;2;14;16;15;10;3
14/04/2020;0,24;0,24;5;15;22;19;14;2
13/04/2020;0,23;0,23;1;12;14;14;10;2
12/04/2020;0,26;0,25;2;9;11;14;12;2
11/04/2020;0,28;0,29;2;11;13;16;15;2
10/04/2020;0,26;0,25;2;12;14;14;12;3
09/04/2020;0,23;0,23;2;12;14;16;13;3
08/04/2020;0,25;0,25;2;13;16;24;22;2
07/04/2020;0,25;0,24;5;18;25;26;23;3
06/04/2020;0,23;0,24;1;13;15;22;19;3
05/04/2020;0,22;0,21;1;6;7;17;15;2
04/04/2020;0,19;0,19;2;11;13;21;19;3
03/04/2020;0,21;0,2;3;15;20;28;24;3
02/04/2020;0,24;0,25;3;15;18;27;21;2
01/04/2020;0,24;0,25;3;16;19;16;16;3
31/03/2020;0,25;0,23;3;19;23;19;18;2
30/03/2020;0,19;0,18;2;11;13;14;12;2
29/03/2020;0,25;0,26;2;12;15;35;28;5
28/03/2020;0,3;0,3;3;19;22;31;24;6
27/03/2020;0,28;0,27;3;20;25;30;22;7
26/03/2020;0,23;0,23;1;12;13;26;17;6
25/03/2020;0,22;0,22;5;16;23;30;20;5
24/03/2020;0,24;0,25;7;19;30;31;22;5
23/03/2020;0,25;0,25;2;14;17;29;21;2
22/03/2020;0,26;0,26;2;11;13;36;24;5
21/03/2020;0,21;0,2;1;13;15;28;15;8
20/03/2020;0,18;0,19;1;14;16;;;5
19/03/2020;0,3;0,29;6;27;35;;;8
18/03/2020;0,3;0,3;9;30;44;;;7
17/03/2020;0,29;0,27;9;30;43;;;3
16/03/2020;0,19;0,19;1;12;14;;;3
15/03/2020;0,22;0,24;2;14;16;;;6
14/03/2020;0,24;0,24;6;21;30;;;7
13/03/2020;0,21;0,2;2;16;19;;;2
12/03/2020;0,25;0,27;11;31;47;;;5
11/03/2020;0,34;0,34;19;33;61;;;7
10/03/2020;0,3;0,28;17;33;58;36;22;7
09/03/2020;0,21;0,2;3;22;26;26;14;4
08/03/2020;0,25;0,26;6;21;30;24;18;8
07/03/2020;0,24;0,22;3;18;21;23;14;4
06/03/2020;0,2;0,2;2;9;12;20;12;3
05/03/2020;0,19;0,21;2;11;14;18;12;4
04/03/2020;0,29;0,27;14;32;53;23;16;3
03/03/2020;0,17;0,16;2;11;14;19;11;3
02/03/2020;0,16;0,18;2;12;14;14;10;5
01/03/2020;0,21;0,21;2;14;16;21;13;4
29/02/2020;0,2;0,2;2;16;18;58;26;4
28/02/2020;0,26;0,26;19;34;62;70;35;7
27/02/2020;0,21;0,2;3;22;25;37;18;7
26/02/2020;0,19;0,19;2;18;21;19;13;10
25/02/2020;0,38;0,41;11;29;45;33;26;7
24/02/2020;0,38;0,37;16;28;52;50;40;9
23/02/2020;0,35;0,35;6;25;34;35;30;10
22/02/2020;0,33;0,34;11;26;41;23;20;10
21/02/2020;0,39;0,48;17;41;67;22;16;10
20/02/2020;0,49;0,38;30;44;89;31;17;13
19/02/2020;0,26;0,25;14;36;57;15;11;10
18/02/2020;0,21;0,2;8;28;40;12;9;8
17/02/2020;0,2;0,2;2;16;19;6;5;5
16/02/2020;0,15;0,16;1;4;6;6;5;3
15/02/2020;0,18;0,2;2;14;17;9;7;5
14/02/2020;0,3;0,29;16;33;56;26;14;7
13/02/2020;0,21;0,21;4;19;25;19;10;5
12/02/2020;0,3;0,3;12;34;52;24;15;6
11/02/2020;0,23;0,23;3;25;29;33;15;5
10/02/2020;0,32;0,31;31;30;78;29;12;5
09/02/2020;0,19;0,2;1;8;10;7;5;3
08/02/2020;0,26;0,27;4;27;31;20;12;6
07/02/2020;0,27;0,25;6;31;40;23;15;5
06/02/2020;0,23;0,23;5;31;38;18;12;5
05/02/2020;0,22;0,21;15;32;54;19;10;4
04/02/2020;0,21;0,22;3;24;28;22;10;5
03/02/2020;0,21;0,19;8;27;39;46;19;9
02/02/2020;0,18;0,2;1;5;7;9;5;4
01/02/2020;0,28;0,26;8;28;40;16;10;6
31/01/2020;0,21;0,21;5;21;28;9;5;6
30/01/2020;0,17;0,17;2;7;9;6;4;4
29/01/2020;0,26;0,26;15;30;53;19;11;9
28/01/2020;0,25;0,25;4;29;34;21;9;7
27/01/2020;0,22;0,21;2;9;11;7;4;4
26/01/2020;0,21;0,23;3;14;17;11;7;5
25/01/2020;0,25;0,24;4;23;29;22;13;5
24/01/2020;0,21;0,21;4;22;27;27;12;5
23/01/2020;0,31;0,35;21;34;65;29;17;8
22/01/2020;0,77;0,76;51;48;125;39;26;9
21/01/2020;0,54;0,52;49;45;119;27;18;8
20/01/2020;0,21;0,19;2;18;21;12;6;4
19/01/2020;0,15;0,17;1;5;6;11;5;4
18/01/2020;0,28;0,28;2;20;23;9;6;6
17/01/2020;0,24;0,22;3;23;28;14;7;6
16/01/2020;0,18;0,21;2;14;17;11;6;5
15/01/2020;0,25;0,23;6;18;27;13;7;4
14/01/2020;0,2;0,19;1;9;10;8;6;2
13/01/2020;0,2;0,22;5;21;28;10;7;4
12/01/2020;0,26;0,25;13;32;51;16;11;4
11/01/2020;0,24;0,26;8;30;42;17;11;2
10/01/2020;0,32;0,34;6;27;35;25;12;8
09/01/2020;0,28;0,27;3;17;21;15;9;3
08/01/2020;0,38;0,39;43;41;106;26;18;9
07/01/2020;0,37;0,36;33;40;91;24;16;9
06/01/2020;0,3;0,29;12;30;47;15;12;6
05/01/2020;0,28;0,28;7;26;35;14;10;4
04/01/2020;0,32;0,33;9;29;43;14;10;3
03/01/2020;0,34;0,35;22;39;72;21;15;7
02/01/2020;0,34;0,31;36;42;97;24;15;8
01/01/2020;0,29;0,3;7;27;38;28;24;7
