Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
30/04/2024;0,34;0,85;1;9;8;71;67;6;3;1;3;0,89
29/04/2024;0,34;0,91;1;10;8;64;;7;3;2;7;0,98
28/04/2024;0,44;0,67;1;5;5;73;74;6;3;1;3;0,83
27/04/2024;0,2;0,5;0;5;4;71;70;6;3;1;2;0,59
26/04/2024;0,36;1,11;2;13;10;62;61;6;3;1;3;1,36
25/04/2024;0,19;0,57;1;6;5;67;71;7;4;1;2;0,72
24/04/2024;0,24;0,63;1;6;5;79;78;6;3;2;3;0,86
23/04/2024;0,35;0,98;1;9;8;79;85;6;3;2;5;1,07
22/04/2024;0,58;1,49;1;10;8;;;9;4;2;15;2,02
21/04/2024;0,39;0,81;0;6;5;70;67;9;5;2;4;1,04
20/04/2024;0,38;1,1;1;8;7;62;62;9;5;2;6;1,29
19/04/2024;0,29;1,15;1;11;9;53;52;9;4;2;4;1,24
18/04/2024;0,27;0,88;1;8;6;64;;7;3;2;2;0,85
17/04/2024;0,25;0,59;1;7;6;81;85;6;3;2;1;0,57
16/04/2024;0,22;0,59;1;7;6;90;87;12;6;2;1;0,52
15/04/2024;0,19;1,03;1;6;5;73;73;8;4;3;2;0,6
14/04/2024;0,88;2,12;1;11;10;62;59;15;11;3;6;1,76
13/04/2024;1,19;3,17;1;17;15;63;60;16;10;3;9;2,91
12/04/2024;1,77;4,46;5;28;20;48;48;14;7;3;6;4,49
11/04/2024;0,39;1,58;3;18;13;53;54;11;5;3;5;1,63
10/04/2024;0,31;0,95;1;11;9;63;64;10;5;2;8;1
09/04/2024;0,29;0,42;1;5;4;81;88;10;5;2;1;0,57
08/04/2024;0,25;0,63;0;5;5;78;66;7;4;2;1;0,62
07/04/2024;0,41;0,91;0;8;8;64;76;14;7;2;3;0,95
06/04/2024;0,58;1,46;0;6;5;96;97;23;8;2;3;1,32
05/04/2024;;;0;7;6;84;82;7;3;2;1;
04/04/2024;;;0;3;2;87;;7;4;2;1;
03/04/2024;0,19;0,37;0;3;2;81;80;4;2;1;1;0,39
02/04/2024;0,23;0,35;0;2;2;84;83;4;2;1;1;0,43
01/04/2024;0,25;0,37;0;3;2;85;83;4;2;1;1;0,37
31/03/2024;0,29;0,39;0;4;4;66;65;3;1;1;1;0,4
30/03/2024;0,25;0,33;0;3;3;69;74;2;1;1;1;0,4
29/03/2024;0,29;0,53;0;2;2;91;92;2;1;1;1;0,74
28/03/2024;0,18;0,3;0;1;1;89;89;4;2;1;1;0,26
27/03/2024;0,3;0,76;0;3;3;79;76;6;2;1;0;1,07
26/03/2024;0,28;0,48;0;5;4;74;76;3;1;1;1;0,52
25/03/2024;0,25;0,58;0;8;7;63;60;10;5;1;1;0,75
24/03/2024;0,33;0,6;0;6;5;66;67;8;4;1;4;0,73
23/03/2024;0,31;0,87;0;5;4;76;77;15;7;2;2;0,78
22/03/2024;0,42;1,49;2;15;11;40;36;19;15;2;3;1,56
21/03/2024;0,31;1,18;1;11;9;;;15;9;2;5;1,42
20/03/2024;0,38;1,09;1;9;8;47;48;15;10;2;6;1,09
19/03/2024;0,29;1,31;2;12;9;45;43;17;12;2;5;1,18
18/03/2024;0,87;2,84;2;15;12;44;47;13;8;2;4;2,97
17/03/2024;0,69;1,82;0;8;7;63;65;10;6;2;0;1,59
16/03/2024;0,26;0,92;1;9;8;57;52;7;4;2;0;1,05
15/03/2024;0,43;1,58;2;14;11;63;66;10;5;2;0;1,36
14/03/2024;0,35;1,09;1;8;7;76;72;9;5;1;0;1,04
13/03/2024;0,54;1,89;2;21;17;46;43;9;5;2;2;1,74
12/03/2024;0,34;1,34;1;11;9;54;60;7;4;1;7;1,06
11/03/2024;0,26;0,24;0;4;4;80;83;8;5;1;3;0,35
10/03/2024;0,27;0,18;0;2;2;84;85;3;1;1;3;0,26
09/03/2024;0,29;0,17;0;1;1;86;85;2;1;1;3;0,28
08/03/2024;0,37;0,36;0;3;2;82;83;2;1;1;3;0,45
07/03/2024;0,29;0,75;0;8;7;77;68;10;5;1;4;0,85
06/03/2024;0,39;1,17;1;15;13;49;52;11;6;1;5;1,29
05/03/2024;0,37;1,73;1;7;5;65;;9;4;1;3;3,34
04/03/2024;0,29;0,39;0;4;4;73;74;6;3;1;3;0,59
03/03/2024;0,27;0,24;0;3;3;81;82;3;1;1;3;0,33
02/03/2024;0,24;0,24;0;3;3;83;82;3;2;1;3;0,29
01/03/2024;0,29;0,34;0;4;3;71;73;5;3;1;3;0,39
29/02/2024;0,23;0,4;0;4;3;70;68;5;2;1;3;0,54
28/02/2024;0,29;0,6;1;8;7;76;79;7;3;1;5;0,83
27/02/2024;0,4;1,06;1;8;6;82;81;13;6;1;18;2,01
26/02/2024;0,28;0,45;1;5;4;78;78;9;5;1;7;0,72
25/02/2024;0,23;0,27;0;2;2;69;67;8;4;1;3;0,34
24/02/2024;0,29;0,21;0;2;2;80;83;4;2;1;3;0,27
23/02/2024;0,26;0,36;1;4;4;77;77;4;2;1;3;0,36
22/02/2024;0,3;0,45;0;3;3;78;74;11;6;1;3;0,43
21/02/2024;0,4;1,4;1;10;9;51;43;11;5;1;3;1,26
20/02/2024;0,37;1,38;2;17;13;36;41;14;8;2;5;1,41
19/02/2024;0,4;1,45;0;8;7;63;64;8;4;1;4;1,51
18/02/2024;0,68;1,22;2;15;12;43;38;10;7;2;7;1,44
17/02/2024;0,36;0,89;1;10;9;43;46;9;5;1;4;0,98
16/02/2024;0,38;0,83;1;8;7;69;77;11;6;1;3;1,02
15/02/2024;0,23;0,45;0;4;4;64;58;13;5;1;3;0,49
14/02/2024;0,22;0,4;0;4;3;56;57;4;3;1;3;0,48
13/02/2024;0,28;0,77;0;8;7;51;47;5;3;2;3;0,76
12/02/2024;0,34;0,49;0;6;6;64;70;7;3;2;3;0,7
11/02/2024;0,36;0,41;0;3;3;71;73;7;4;1;3;0,64
10/02/2024;0,27;0,38;0;3;3;82;77;8;5;1;6;0,38
09/02/2024;0,24;0,57;0;4;4;65;67;4;1;1;2;0,5
08/02/2024;0,18;0,26;0;2;2;72;70;26;10;1;2;0,32
07/02/2024;0,38;1,05;1;10;8;44;;21;13;1;4;1,12
06/02/2024;0,55;1,72;3;25;20;30;34;32;24;1;10;1,94
05/02/2024;0,54;1,12;2;12;10;35;36;25;19;0;9;1,29
04/02/2024;0,43;0,85;1;12;10;35;37;24;20;0;9;0,99
03/02/2024;0,32;0,79;1;9;8;45;44;13;9;0;6;0,84
02/02/2024;0,37;1,22;1;8;7;52;52;14;8;0;5;1,16
01/02/2024;0,49;1,57;1;14;12;40;35;32;18;1;6;1,57
31/01/2024;0,7;1,38;1;13;11;41;44;27;20;1;5;1,45
30/01/2024;0,37;0,85;1;8;7;48;52;17;12;0;5;1,03
29/01/2024;0,31;0,42;0;5;4;59;60;14;10;0;5;0,54
28/01/2024;0,27;0,36;0;4;4;60;59;13;10;0;5;0,51
27/01/2024;0,44;1,7;5;24;16;32;25;17;12;1;6;1,8
26/01/2024;0,62;2,55;8;31;19;19;18;21;15;1;8;2,69
25/01/2024;0,57;2,3;4;20;14;36;33;18;11;1;6;2,01
24/01/2024;0,69;3,06;11;41;24;13;;14;8;1;7;3,05
23/01/2024;0,31;0,64;0;5;5;44;48;5;3;2;5;0,8
22/01/2024;0,39;0,62;0;4;4;63;63;7;4;1;5;0,75
21/01/2024;0,31;0,25;0;2;2;66;65;3;2;1;4;0,34
20/01/2024;0,44;0,76;2;14;11;47;43;8;6;1;6;0,98
19/01/2024;0,45;0,63;1;13;11;54;59;7;5;1;11;0,72
18/01/2024;0,46;0,7;0;5;4;73;76;7;4;1;6;1,08
17/01/2024;0,2;0,31;0;2;1;81;77;3;1;1;4;0,34
16/01/2024;0,28;1,2;6;17;8;46;43;9;4;1;4;1,4
15/01/2024;0,4;1,17;1;9;8;40;40;5;2;1;4;1,24
14/01/2024;0,36;0,56;0;6;6;47;53;7;4;1;5;0,71
13/01/2024;0,28;0,27;0;2;2;68;63;5;3;1;4;0,35
12/01/2024;0,59;1,06;2;14;11;34;34;9;7;1;5;1,13
11/01/2024;0,53;0,78;0;7;6;40;41;8;6;1;5;0,78
10/01/2024;0,59;1,43;2;18;15;28;21;11;8;1;11;1,5
09/01/2024;0,63;1,45;4;26;20;14;16;13;10;2;4;1,63
08/01/2024;0,49;0,72;1;10;8;42;49;6;4;2;5;0,85
07/01/2024;0,49;1,07;0;5;5;70;74;6;3;2;6;1,31
06/01/2024;0,32;0,51;0;3;3;73;71;6;3;2;4;0,7
05/01/2024;0,27;0,3;0;4;3;74;71;3;2;2;4;0,41
04/01/2024;0,27;0,52;0;4;4;65;63;5;3;2;4;0,66
03/01/2024;0,43;1,26;1;11;10;49;53;11;6;2;5;1,43
02/01/2024;0,33;0,4;0;3;2;66;67;6;3;2;4;0,5
01/01/2024;0,32;0,32;0;2;2;55;55;5;3;2;4;0,43
