Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
26/09/2024;0,2;0,19;2;21;20;;5;6
25/09/2024;0,16;0,17;1;13;12;;4;3
24/09/2024;0,19;0,19;4;31;26;;11;6
23/09/2024;0,2;0,2;2;23;20;;14;5
22/09/2024;0,22;0,23;1;15;14;22;12;4
21/09/2024;0,25;0,25;4;31;25;22;14;4
20/09/2024;0,26;0,26;6;36;28;27;16;7
19/09/2024;0,24;0,24;7;33;23;24;13;6
18/09/2024;0,26;0,26;14;44;23;;16;5
17/09/2024;0,37;0,37;15;46;23;;12;6
16/09/2024;0,22;0,22;7;30;20;;9;5
15/09/2024;0,2;0,21;3;22;18;;6;4
14/09/2024;0,2;0,19;7;27;18;;6;5
13/09/2024;0,19;0,19;3;22;18;;5;3
12/09/2024;0,2;0,2;1;21;19;;5;4
11/09/2024;0,18;0,18;1;16;14;;6;4
10/09/2024;0,22;0,22;3;21;18;;7;3
09/09/2024;0,22;0,23;4;32;26;;10;7
08/09/2024;0,21;0,21;2;17;15;;6;4
07/09/2024;0,21;0,21;2;19;17;;7;4
06/09/2024;0,21;0,2;2;20;17;;5;3
05/09/2024;0,2;0,2;1;22;20;;5;3
04/09/2024;0,21;0,21;1;14;13;2;5;4
03/09/2024;0,22;0,22;1;16;15;;4;5
02/09/2024;0,23;0,24;6;28;20;;11;3
01/09/2024;0,23;0,23;2;15;12;;9;2
31/08/2024;0,25;0,25;2;16;14;;11;2
30/08/2024;0,3;0,3;5;25;19;21;13;2
29/08/2024;0,24;0,24;2;21;19;18;8;3
28/08/2024;0,22;0,23;2;20;17;27;11;3
27/08/2024;0,23;0,22;4;26;22;26;11;4
26/08/2024;0,19;0,19;4;21;16;16;6;3
25/08/2024;0,18;0,18;1;9;8;12;5;4
24/08/2024;0,23;0,24;3;20;15;20;10;4
23/08/2024;0,26;0,25;4;25;19;21;9;3
22/08/2024;0,22;0,21;5;24;16;19;8;3
21/08/2024;0,21;0,2;1;10;9;16;5;2
20/08/2024;0,23;0,23;4;25;19;25;15;4
19/08/2024;0,23;0,22;5;25;17;21;8;4
18/08/2024;0,19;0,2;1;10;8;15;4;2
17/08/2024;0,21;0,2;4;25;19;20;10;6
16/08/2024;0,19;0,19;4;29;23;24;10;8
15/08/2024;0,16;0,16;2;13;10;21;5;4
14/08/2024;0,19;0,2;1;13;11;20;5;3
13/08/2024;0,22;0,21;5;24;17;24;9;2
12/08/2024;0,21;0,23;1;15;14;34;14;3
11/08/2024;0,24;0,23;2;22;19;41;18;2
10/08/2024;0,23;0,21;3;22;18;30;12;2
09/08/2024;0,2;0,2;4;18;13;23;6;1
08/08/2024;0,2;0,2;3;19;14;27;6;1
07/08/2024;0,22;0,22;4;24;18;20;9;1
06/08/2024;0,22;0,22;3;19;15;21;8;1
05/08/2024;0,21;0,21;3;19;15;29;10;2
04/08/2024;0,19;0,18;3;17;13;22;8;1
03/08/2024;0,16;0,15;2;15;12;21;7;1
02/08/2024;0,17;0,18;2;16;14;23;6;1
01/08/2024;0,25;0,25;2;17;15;28;10;1
31/07/2024;0,27;0,28;2;19;16;41;21;2
30/07/2024;0,33;0,33;6;41;33;57;21;2
29/07/2024;0,27;0,26;2;19;16;47;25;1
28/07/2024;0,23;0,21;2;15;13;29;17;1
27/07/2024;0,19;0,19;4;17;12;19;6;1
26/07/2024;0,18;0,18;3;16;12;16;6;2
25/07/2024;0,17;0,17;2;8;5;17;4;2
24/07/2024;0,2;0,2;3;15;11;23;8;2
23/07/2024;0,21;0,2;9;33;20;29;10;4
22/07/2024;0,16;0,15;5;23;16;22;7;4
21/07/2024;0,12;0,14;2;10;8;22;5;4
20/07/2024;0,21;0,21;3;17;13;32;17;3
19/07/2024;0,23;0,23;5;23;16;33;14;2
18/07/2024;0,23;0,23;6;28;19;38;15;3
17/07/2024;0,19;0,18;6;26;17;28;9;3
16/07/2024;0,18;0,18;5;24;16;22;6;3
15/07/2024;0,19;0,19;4;23;17;26;8;3
14/07/2024;0,18;0,18;4;21;16;26;11;3
13/07/2024;0,15;0,15;4;17;11;16;6;3
12/07/2024;0,16;0,17;2;15;12;16;4;2
11/07/2024;0,21;0,21;6;27;18;26;13;2
10/07/2024;0,22;0,22;8;29;18;25;11;2
09/07/2024;0,21;0,21;6;31;23;27;10;3
08/07/2024;0,2;0,2;9;36;23;27;9;4
07/07/2024;0,14;0,14;3;16;11;20;6;3
06/07/2024;0,15;0,16;2;14;10;17;6;2
05/07/2024;0,19;0,19;5;23;15;23;9;2
04/07/2024;0,21;0,2;7;28;18;22;9;7
03/07/2024;0,15;0,15;4;20;14;19;8;7
02/07/2024;0,15;0,15;4;21;15;18;7;3
01/07/2024;0,17;0,16;8;31;19;19;6;2
30/06/2024;0,15;0,16;4;18;13;17;6;2
29/06/2024;0,15;0,15;2;12;9;19;4;1
28/06/2024;0,2;0,2;4;20;14;24;6;1
27/06/2024;0,24;0,24;4;28;22;33;13;1
26/06/2024;0,25;0,25;9;37;24;37;17;2
25/06/2024;0,25;0,24;10;41;25;34;14;3
24/06/2024;0,19;0,19;3;18;12;18;7;1
23/06/2024;0,2;0,2;4;21;16;16;7;2
22/06/2024;0,16;0,16;4;20;15;23;8;3
21/06/2024;0,18;0,18;3;16;12;21;6;2
20/06/2024;0,17;0,18;4;22;17;23;7;3
19/06/2024;0,19;0,19;5;23;15;20;6;2
18/06/2024;0,21;0,21;5;27;20;24;10;2
17/06/2024;0,2;0,19;8;31;20;22;8;5
16/06/2024;0,17;0,17;3;23;18;18;6;6
15/06/2024;0,16;0,15;2;15;12;24;6;4
14/06/2024;0,2;0,21;6;30;21;22;7;5
13/06/2024;0,18;0,17;4;23;17;21;8;4
12/06/2024;0,21;0,2;5;22;16;23;8;5
11/06/2024;0,16;0,17;3;18;14;15;6;4
10/06/2024;0,16;0,16;3;16;12;23;10;5
09/06/2024;0,15;0,15;2;11;9;18;5;4
08/06/2024;0,22;0,22;2;20;17;32;15;3
07/06/2024;0,21;0,21;5;27;19;31;14;4
06/06/2024;0,21;0,21;4;20;14;23;8;4
05/06/2024;0,24;0,24;8;35;23;30;12;6
04/06/2024;0,22;0,21;5;27;19;26;11;3
03/06/2024;0,2;0,2;4;25;19;21;9;3
02/06/2024;0,17;0,17;2;9;7;18;8;3
01/06/2024;0,19;0,19;3;16;13;17;6;3
31/05/2024;0,18;0,19;3;18;14;22;6;4
30/05/2024;0,22;0,23;3;19;16;20;7;3
29/05/2024;0,25;0,24;7;36;25;26;9;7
28/05/2024;0,23;0,22;8;36;24;24;8;8
27/05/2024;0,18;0,18;3;21;16;21;5;4
26/05/2024;0,2;0,2;2;19;15;16;6;5
25/05/2024;0,23;0,23;4;29;22;23;10;8
24/05/2024;0,19;0,18;5;26;18;21;7;7
23/05/2024;0,19;0,19;4;23;18;19;6;9
22/05/2024;0,21;0,2;6;35;26;18;8;
21/05/2024;0,19;0,19;4;25;20;18;6;7
20/05/2024;0,21;0,21;3;25;20;19;7;2
19/05/2024;0,17;0,17;2;16;13;13;3;5
18/05/2024;0,17;0,17;4;22;17;17;7;4
17/05/2024;0,19;0,18;5;29;22;18;8;6
16/05/2024;0,16;0,17;4;21;16;11;4;5
15/05/2024;0,22;0,22;6;36;26;17;7;8
14/05/2024;0,19;0,18;3;25;20;14;5;6
13/05/2024;0,22;0,23;8;41;29;25;12;12
12/05/2024;0,19;0,19;2;17;14;25;9;8
11/05/2024;0,26;0,26;4;35;30;34;16;11
10/05/2024;0,22;0,23;7;43;33;34;16;13
09/05/2024;0,24;0,24;8;45;32;29;12;4
08/05/2024;0,17;0,15;4;25;18;16;7;6
07/05/2024
06/05/2024
05/05/2024;0,19;0,19;2;13;11;9;4;5
04/05/2024;0,18;0,17;2;9;7;7;4;5
03/05/2024;0,21;0,21;4;25;19;11;4;6
02/05/2024;0,2;0,2;4;24;18;11;5;6
01/05/2024;0,18;0,18;2;12;10;8;4;7
30/04/2024;0,22;0,22;5;28;21;15;7;8
29/04/2024;0,21;0,2;5;28;20;18;8;7
28/04/2024;0,2;0,21;4;24;18;13;5;9
27/04/2024;0,23;0,22;3;22;19;13;7;6
26/04/2024;0,29;0,29;12;41;23;19;8;8
25/04/2024;0,23;0,23;5;38;31;;8;7
24/04/2024;0,22;0,22;4;26;20;;6;8
23/04/2024;0,23;0,23;2;25;22;13;6;7
22/04/2024;0,19;0,19;2;11;9;13;6;4
21/04/2024;0,2;0,2;2;13;10;16;6;5
20/04/2024;0,22;0,22;4;23;17;18;8;6
19/04/2024;0,22;0,22;9;38;24;17;7;9
18/04/2024;0,19;0,19;2;22;19;13;5;5
17/04/2024;0,19;0,2;2;16;14;11;5;6
16/04/2024;0,21;0,21;2;16;13;21;6;6
15/04/2024;0,2;0,19;2;17;15;18;8;6
14/04/2024;0,26;0,27;5;34;27;29;16;14
13/04/2024;0,28;0,28;6;41;32;32;17;18
12/04/2024;0,3;0,29;11;65;49;36;15;15
11/04/2024;0,24;0,24;8;40;28;22;8;10
10/04/2024;0,21;0,21;6;30;21;21;8;6
09/04/2024;0,19;0,19;2;15;13;18;5;6
08/04/2024;0,19;0,22;2;17;14;14;8;7
07/04/2024;0,24;0,24;3;28;25;23;11;7
06/04/2024;0,2;0,19;2;16;14;32;11;5
05/04/2024;0,25;0,26;2;18;16;12;6;5
04/04/2024;0,21;0,2;2;11;9;13;5;4
03/04/2024;0,2;0,2;2;14;11;8;4;4
02/04/2024;0,18;0,19;1;12;10;9;4;4
01/04/2024;0,19;0,19;1;10;8;7;3;4
31/03/2024;0,2;0,21;2;15;13;6;3;5
30/03/2024;0,23;0,22;2;21;18;7;4;4
29/03/2024;0,2;0,19;1;9;8;5;2;3
28/03/2024;0,18;0,18;1;6;5;7;3;3
27/03/2024;0,19;0,18;2;10;8;9;4;3
26/03/2024;0,2;0,2;2;19;17;8;5;6
25/03/2024;0,23;0,23;4;30;25;17;7;9
24/03/2024;0,2;0,19;1;14;12;13;5;8
23/03/2024;0,2;0,21;1;10;9;20;5;7
22/03/2024;0,27;0,27;11;45;28;45;;11
21/03/2024;0,25;0,25;13;48;30;29;13;10
20/03/2024;0,22;0,22;3;21;18;24;9;6
19/03/2024;0,23;0,24;4;25;20;24;12;7
18/03/2024;0,29;0,28;5;32;25;22;11;8
17/03/2024;0,24;0,23;3;22;18;20;11;10
16/03/2024;0,22;0,23;4;25;19;15;7;9
15/03/2024;0,26;0,26;6;44;36;28;14;10
14/03/2024;0,25;0,26;5;41;34;23;10;10
13/03/2024;0,27;0,27;11;60;45;25;14;15
12/03/2024;0,27;0,26;6;39;30;13;7;8
11/03/2024;0,24;0,23;2;22;19;17;6;9
10/03/2024;0,19;0,19;1;9;7;5;3;7
09/03/2024;0,17;0,17;1;7;6;3;3;4
08/03/2024;0,18;0,18;2;13;11;4;3;4
07/03/2024;0,19;0,22;2;23;20;17;8;7
06/03/2024;0,29;0,27;10;53;40;21;10;11
05/03/2024;0,23;0,22;6;32;24;17;7;7
04/03/2024;0,2;0,2;2;24;21;11;4;6
03/03/2024;0,2;0,2;2;14;12;6;4;5
02/03/2024;0,19;0,2;2;14;12;6;3;5
01/03/2024;0,21;0,2;2;17;14;9;4;5
29/02/2024;0,2;0,21;3;24;21;13;6;7
28/02/2024;0,22;0,22;2;22;20;15;7;5
27/02/2024;0,21;0,21;2;17;14;24;8;6
26/02/2024;0,21;0,21;2;13;11;15;6;5
25/02/2024;0,19;0,19;1;7;6;10;5;5
24/02/2024;0,19;0,18;2;15;13;6;4;4
23/02/2024;0,19;0,19;2;17;14;9;5;5
22/02/2024;0,17;0,17;1;11;9;14;8;6
21/02/2024;0,27;0,28;19;71;43;27;12;12
20/02/2024;0,25;0,23;17;62;38;28;12;10
19/02/2024;0,21;0,23;2;19;17;14;7;5
18/02/2024;0,27;0,27;7;40;30;15;7;12
17/02/2024;0,23;0,22;6;38;30;19;10;7
16/02/2024;0,22;0,21;2;25;21;17;7;7
15/02/2024;0,19;0,19;2;20;16;17;10;5
14/02/2024;0,22;0,23;5;35;29;12;7;6
13/02/2024;0,24;0,24;9;44;31;18;9;8
12/02/2024;0,2;0,19;3;23;19;12;4;5
11/02/2024;0,18;0,18;1;11;9;8;4;3
10/02/2024;0,19;0,19;1;12;10;12;5;12
09/02/2024;0,19;0,18;2;18;15;6;4;5
08/02/2024;0,16;0,15;1;8;7;26;13;4
07/02/2024;0,25;0,28;13;43;23;32;16;7
06/02/2024;0,29;0,28;16;62;39;46;22;6
05/02/2024;0,29;0,28;25;62;24;36;17;7
04/02/2024;0,24;0,24;3;24;20;29;16;7
03/02/2024;0,23;0,23;4;26;21;18;8;6
02/02/2024;0,24;0,23;4;35;30;22;10;6
01/02/2024;0,28;0,3;14;53;32;45;17;7
31/01/2024;0,26;0,25;14;60;39;34;14;8
30/01/2024;0,22;0,21;3;28;23;26;13;6
29/01/2024;0,19;0,19;1;17;15;20;10;3
28/01/2024;0,18;0,18;1;12;11;17;9;4
27/01/2024;0,28;0,29;14;49;29;30;16;8
26/01/2024;0,31;0,32;31;85;39;45;22;11
25/01/2024;0,29;0,31;19;66;38;36;14;9
24/01/2024;0,37;0,33;45;108;40;33;17;11
23/01/2024;0,25;0,24;7;38;27;11;6;5
22/01/2024;0,23;0,22;2;17;15;11;5;4
21/01/2024;0,2;0,19;1;11;10;6;3;4
20/01/2024;0,22;0,24;4;32;25;13;7;6
19/01/2024;0,23;0,21;6;35;27;13;6;4
18/01/2024;0,17;0,16;1;11;10;10;5;3
17/01/2024;0,14;0,13;1;7;6;6;3;3
16/01/2024;0,22;0,25;14;50;29;18;8;5
15/01/2024;0,38;0,38;42;107;43;18;10;8
14/01/2024;0,28;0,25;6;36;26;12;6;5
13/01/2024;0,2;0,22;2;22;19;11;4;4
12/01/2024;0,32;0,32;19;65;36;18;10;5
11/01/2024;0,28;0,27;12;57;40;14;7;9
10/01/2024;0,31;0,32;27;73;33;22;12;5
09/01/2024;0,32;0,32;23;72;38;28;15;6
08/01/2024;0,26;0,25;11;55;39;11;5;4
07/01/2024;0,21;0,2;1;20;18;7;4;5
06/01/2024;0,19;0,19;1;13;12;9;3;6
05/01/2024;0,2;0,2;1;21;19;7;4;5
04/01/2024;0,2;0,21;1;20;19;10;6;5
03/01/2024;0,31;0,29;14;61;40;22;10;6
02/01/2024;0,19;0,18;1;8;7;10;3;2
01/01/2024;0,2;0,21;1;16;14;13;10;4
