Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
26/04/2014;0,22;3;14;18;77;20;8;
25/04/2014;0,25;3;18;24;80;16;10;
24/04/2014;0,25;10;27;42;54;15;9;
23/04/2014;0,22;8;30;42;52;19;10;
22/04/2014;0,24;5;32;40;48;12;7;
21/04/2014;0,22;6;21;30;44;15;7;
20/04/2014;0,21;3;19;24;70;13;7;
19/04/2014;0,27;5;20;27;76;20;12;
18/04/2014;0,24;6;26;35;70;23;14;
17/04/2014;0,26;7;29;39;61;27;15;
16/04/2014;0,29;15;45;68;48;33;16;
15/04/2014;0,3;20;50;80;38;32;22;
14/04/2014;0,3;9;31;45;56;23;7;
13/04/2014;0,3;5;22;28;64;31;9;
12/04/2014;0,27;4;23;29;73;26;7;
11/04/2014;0,24;5;24;31;76;28;6;
10/04/2014;0,3;24;47;84;33;35;11;
09/04/2014;0,27;14;36;56;43;24;10;
08/04/2014;0,22;5;21;29;68;15;5;
07/04/2014;0,3;9;32;45;46;31;14;
06/04/2014;0,25;8;26;39;40;19;11;
05/04/2014;0,28;7;31;41;37;17;10;
04/04/2014;0,28;13;36;55;56;30;16;
03/04/2014;0,31;11;27;44;51;14;11;
02/04/2014;0,21;4;30;37;55;17;7;
01/04/2014;0,2;4;26;32;63;17;8;
31/03/2014;0,22;5;32;39;53;12;7;
30/03/2014;0,23;3;16;21;74;29;6;
29/03/2014;0,22;3;16;20;84;15;7;
28/03/2014;0,28;11;31;48;47;16;8;
27/03/2014;0,23;6;30;39;56;17;8;0,22
26/03/2014;0,23;4;20;26;70;32;8;
25/03/2014;0,37;4;20;26;72;28;10;
24/03/2014;0,35;7;31;41;46;18;10;
23/03/2014;0,25;4;19;25;68;11;8;
22/03/2014;0,26;4;18;24;68;11;8;
21/03/2014;0,36;12;32;50;53;30;10;
20/03/2014;0,3;19;41;69;39;30;11;
19/03/2014;0,27;8;35;48;47;17;6;
18/03/2014;0,25;5;23;30;69;24;7;
17/03/2014;0,34;20;44;74;36;37;13;
16/03/2014;0,27;8;30;42;59;38;11;
15/03/2014;0,35;13;37;56;59;47;12;
14/03/2014;0,27;18;59;86;38;45;17;
13/03/2014;0,16;10;58;73;43;38;14;
12/03/2014;0,19;13;47;67;52;34;12;
11/03/2014;0,2;13;40;60;58;33;14;
10/03/2014;0,23;15;52;74;49;32;15;
09/03/2014;0,09;5;22;31;84;9;8;
08/03/2014;0,16;11;36;52;47;18;9;
07/03/2014;;33;43;94;26;32;11;
06/03/2014;0,17;20;42;72;25;22;8;
05/03/2014;0,11;7;19;29;63;21;6;
04/03/2014;0,13;9;27;41;56;26;8;
03/03/2014;0,15;7;17;27;73;14;6;
02/03/2014;0,22;10;30;45;44;9;4;
01/03/2014;0,16;9;29;42;50;7;5;
28/02/2014;0,15;10;26;41;58;22;7;
27/02/2014;0,2;13;42;60;40;28;7;
26/02/2014;0,15;11;36;53;47;13;7;
25/02/2014;0,14;5;22;29;65;7;5;
24/02/2014;0,24;5;33;41;51;19;6;
23/02/2014;0,15;1;19;21;62;10;7;
22/02/2014;0,23;6;28;36;48;15;7;
21/02/2014;0,16;5;29;35;54;28;9;
20/02/2014;0,13;8;29;41;38;15;9;
19/02/2014;0,2;24;47;83;17;24;9;
18/02/2014;0,2;22;41;74;25;23;7;
17/02/2014;0,12;6;23;33;56;7;5;
16/02/2014;0,25;10;32;47;29;18;9;
15/02/2014;0,12;6;25;35;53;18;5;
14/02/2014;0,06;6;13;22;59;10;4;
13/02/2014;0,16;6;25;35;55;19;5;
12/02/2014;0,11;4;19;25;52;10;5;
11/02/2014;0,13;3;19;25;62;14;5;
10/02/2014;0,1;4;18;23;67;12;6;
09/02/2014;0,09;3;12;16;66;6;5;
08/02/2014;0,17;5;24;30;55;13;7;
07/02/2014;0,11;5;16;24;63;7;6;
06/02/2014;0,1;3;10;14;68;5;4;
05/02/2014;0,24;11;30;45;50;19;6;
04/02/2014;0,16;4;14;20;64;6;4;
03/02/2014;0,2;5;23;31;54;8;4;
02/02/2014;0,16;7;25;36;41;12;6;
01/02/2014;0,15;4;19;25;64;11;8;
31/01/2014;0,21;14;39;59;39;22;8;
30/01/2014;0,16;7;30;40;51;9;10;
29/01/2014;0,16;9;31;45;44;8;9;
28/01/2014;0,16;5;21;29;56;7;8;
27/01/2014;0,11;5;20;28;66;13;12;
26/01/2014;0,16;6;23;31;42;11;8;
25/01/2014;0,18;5;12;19;60;5;8;
24/01/2014;0,14;6;20;29;63;32;13;
23/01/2014;0,19;8;27;38;56;29;11;
22/01/2014;0,16;10;33;48;43;11;11;
21/01/2014;0,15;10;27;43;41;8;10;
20/01/2014;0,17;9;34;47;51;9;10;
