Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);CO 8h (mg/m3)
06/07/2014;0,15;3;11;16;50;22;9;5;
05/07/2014;;3;12;17;55;29;18;5;
04/07/2014;0,2;2;8;11;85;26;23;4;
03/07/2014;0,2;3;9;13;59;18;11;4;
02/07/2014;0,21;3;11;16;46;16;7;5;
01/07/2014;0,22;4;13;19;48;14;8;5;
30/06/2014;0,19;5;14;22;50;20;10;6;
29/06/2014;;2;7;11;56;19;7;5;
28/06/2014;0,23;3;8;12;61;13;7;5;
27/06/2014;0,26;5;14;22;57;20;14;5;
26/06/2014;0,18;2;8;12;70;17;11;4;
25/06/2014;0,23;2;6;10;92;21;;4;
24/06/2014;0,24;3;7;12;89;30;26;4;
23/06/2014;0,28;4;11;17;76;25;21;5;
22/06/2014;0,24;2;6;10;88;22;;5;
21/06/2014;0,26;3;10;14;82;31;22;4;
20/06/2014;0,32;4;22;28;84;41;23;5;
19/06/2014;0,28;4;17;24;80;26;17;5;
18/06/2014;0,35;6;19;28;69;28;17;5;
17/06/2014;0,25;4;14;19;76;27;14;5;
16/06/2014;0,19;3;7;11;86;26;10;4;
15/06/2014;0,22;3;5;9;86;21;9;4;
14/06/2014;0,21;3;7;11;95;28;16;4;
13/06/2014;0,33;3;13;17;69;36;22;5;
12/06/2014;0,27;5;13;21;68;34;17;4;
11/06/2014;0,22;4;12;18;56;24;8;5;
10/06/2014;0,16;3;8;12;62;17;5;4;
09/06/2014;0,24;4;10;16;68;20;9;4;
08/06/2014;0,26;4;13;19;67;22;11;6;
07/06/2014;0,26;4;15;20;73;18;7;6;
06/06/2014;0,25;5;25;34;62;45;17;6;
05/06/2014;0,24;5;19;28;58;29;;5;
04/06/2014;0,17;3;8;13;72;25;;5;
03/06/2014;0,37;8;20;33;62;24;;6;
02/06/2014;0,25;5;12;20;74;17;13;5;
01/06/2014;0,21;3;6;11;83;16;9;4;
31/05/2014;0,19;3;5;10;79;13;6;4;
30/05/2014;0,2;2;6;9;70;11;6;5;
29/05/2014;0,28;4;13;19;60;13;6;6;
28/05/2014;0,19;0;7;7;77;9;5;4;
27/05/2014;0,29;4;13;20;74;21;9;7;
