Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3);Ortoxileno (µg/m3)
20/08/2014;0,23;0,66;3;22;26;57;14;7;2,36;
19/08/2014;0,34;1,52;12;23;42;55;19;8;2,65;
18/08/2014;0,23;0,84;6;31;40;48;21;8;1,54;
17/08/2014;0,19;0,59;4;19;24;62;14;8;1,07;
16/08/2014;0,24;0,32;2;15;18;71;11;8;0,49;
15/08/2014;0,17;0,04;2;10;13;78;13;8;0,15;
14/08/2014;0,19;0,13;3;12;17;69;15;8;0,25;
13/08/2014;0,35;0,43;3;17;21;69;16;19;0,37;
12/08/2014;0,32;4,35;6;25;34;56;20;10;1,5;
11/08/2014;0,32;0,31;3;17;21;59;13;6;0,46;
10/08/2014;0,36;0,77;3;16;20;59;21;5;1,6;
09/08/2014;0,23;0,85;3;19;24;55;19;6;1,43;
08/08/2014;0,32;2,05;9;23;37;46;18;7;3,23;
07/08/2014;0,42;4,43;10;29;45;42;22;8;4,26;
06/08/2014;0,36;2,12;10;27;43;55;23;10;3,6;
05/08/2014;0,29;2,53;9;22;36;54;19;7;4,82;
04/08/2014;0,2;0,38;3;19;24;59;14;6;0,67;
03/08/2014;0,2;0,52;3;16;20;54;14;6;1,04;
02/08/2014;0,2;1,18;3;19;24;63;17;6;1,45;
01/08/2014;0,37;0,67;4;22;29;61;18;6;1,47;
31/07/2014;0,25;1,42;6;20;29;62;20;6;2,57;
30/07/2014;0,5;1,54;5;24;32;60;18;9;1,93;
29/07/2014;0,34;0,46;3;16;20;70;15;6;0,68;
28/07/2014;0,45;0,61;2;19;23;80;22;8;1,35;
27/07/2014;0,49;1,22;3;22;27;95;30;12;1,94;
26/07/2014;0,7;0,64;2;17;20;106;30;7;1,12;
25/07/2014;0,37;0,38;3;15;19;99;25;7;0,94;
24/07/2014;0,43;0,69;4;22;29;88;27;9;1,29;
23/07/2014;0,28;1,27;6;25;34;73;29;8;2,45;
22/07/2014;0,42;1,91;8;22;35;46;22;9;2,65;
21/07/2014;0,14;0,09;3;13;18;55;14;9;0,32;
20/07/2014;0,2;0,1;3;12;16;61;17;12;0,44;
19/07/2014;0,27;0,72;3;18;23;58;21;7;1,19;
18/07/2014;0,33;1,61;4;23;29;66;35;6;2,59;
17/07/2014;0,36;1,2;4;21;27;84;40;7;2,03;
16/07/2014;0,28;1,25;7;25;36;66;33;8;2,27;
15/07/2014;0,34;3,67;12;23;42;48;27;7;3,18;
14/07/2014;0,15;0,17;3;16;21;48;11;6;0,39;
13/07/2014;0,35;0,6;5;18;25;53;22;15;1,06;
12/07/2014;0,19;0,17;2;10;13;58;11;7;0,32;
11/07/2014;0,18;0,16;3;12;16;49;11;8;0,22;
10/07/2014;0,3;0,33;2;11;15;66;18;9;0,36;
09/07/2014;0,17;0,12;2;9;13;69;18;8;0,14;
08/07/2014;0,25;0,61;5;19;26;51;18;13;1,18;
07/07/2014;0,22;0,67;3;17;21;58;16;10;0,79;
06/07/2014;0,44;0,76;2;18;22;50;18;11;1,07;
05/07/2014;0,77;2,22;6;26;34;50;35;14;3,46;
04/07/2014;0,5;0,44;3;19;23;91;26;12;0,88;
03/07/2014;0,35;0,51;5;21;28;60;20;7;0,83;
02/07/2014;0,33;0,81;3;19;24;48;15;6;1,25;
01/07/2014;0,24;0,3;3;24;29;51;16;7;1;
30/06/2014;0,39;1,35;11;23;40;52;30;9;2,66;
29/06/2014;0,17;0,11;3;12;16;59;20;13;0,24;
28/06/2014;0,33;0,38;3;15;19;61;21;9;0,82;
27/06/2014;0,27;1,54;11;22;39;68;30;7;3,89;
26/06/2014;0,28;0,36;3;14;18;75;21;5;0,7;
25/06/2014;0,31;0,23;2;13;16;103;29;7;0,56;
24/06/2014;0,59;0,67;2;14;18;97;38;5;1,07;
23/06/2014;0,78;1,15;4;26;33;71;36;6;2,27;
22/06/2014;0,39;0,32;2;13;16;97;29;5;0,7;
21/06/2014;0,54;0,65;3;19;23;87;33;4;1,28;
20/06/2014;0,48;2,98;10;40;56;83;41;7;4,53;
19/06/2014;0,38;2,33;10;31;45;83;35;7;3,16;
18/06/2014;0,43;1,71;8;24;36;82;33;10;4,55;
17/06/2014;0,63;2,1;4;29;35;82;29;8;2,86;
16/06/2014;0,29;0,29;2;14;18;95;28;7;0,55;
15/06/2014;0,28;0,34;2;10;13;94;22;6;0,57;
14/06/2014;0,49;0,76;2;15;18;107;33;5;1,3;
13/06/2014;0,77;1,75;5;22;29;82;38;5;2,4;
12/06/2014;1,13;6,65;9;30;43;76;39;9;6,55;
11/06/2014;0,34;0,7;5;22;30;64;21;6;1,02;
10/06/2014;0,24;0,38;3;19;24;67;14;7;0,66;
09/06/2014;0,51;1,48;6;21;31;72;24;8;2,68;
08/06/2014;0,86;0,94;4;21;27;78;32;13;2,68;0,94
07/06/2014;0,35;0,77;3;21;26;84;17;8;2,61;0,77
06/06/2014;0,43;2,53;10;33;48;75;47;9;4,13;2,53
05/06/2014;0,49;2;10;32;47;60;29;10;3,38;2
04/06/2014;0,54;0,57;3;18;22;75;19;13;0,95;0,57
03/06/2014;0,47;2,5;13;31;51;69;29;10;4,38;2,5
02/06/2014;0,42;0,77;4;20;25;91;19;6;1,56;0,77
01/06/2014;0,34;0,27;2;12;15;93;17;5;0,36;0,27
31/05/2014;0,28;0,25;2;10;13;89;12;4;0,31;0,25
30/05/2014;0,27;0,21;3;12;16;76;9;4;0,33;0,21
29/05/2014;0,27;0,64;7;20;30;66;13;8;1,14;0,64
28/05/2014;0,36;0,64;3;22;27;74;12;6;0,82;0,64
27/05/2014;0,43;1,17;9;25;40;78;22;10;2,01;1,17
26/05/2014;0,35;0,26;3;16;21;86;11;22;0,38;0,26
25/05/2014;0,31;0,05;2;14;16;82;11;9;0,19;0,05
24/05/2014;0,21;0,39;2;15;18;80;16;7;0,63;0,39
23/05/2014;0,28;0,33;3;16;21;88;11;18;0,66;0,33
22/05/2014;0,29;0,83;3;21;26;79;10;6;1,26;0,83
21/05/2014;0,36;3,18;3;19;23;88;22;5;1,68;3,18
20/05/2014;0,35;1,05;5;23;30;82;20;5;1,32;1,05
19/05/2014;0,46;0,6;3;20;24;102;33;5;1,07;0,6
18/05/2014;0,44;0,6;3;21;26;98;26;8;1,13;0,6
17/05/2014;0,62;1,13;4;25;32;85;25;9;1,99;1,13
16/05/2014;0,37;0,72;4;21;28;91;27;7;1,3;0,72
15/05/2014;0,43;1,19;7;25;35;84;26;5;2,03;1,19
14/05/2014;0,46;2,43;8;24;36;68;25;9;2,38;2,43
13/05/2014;0,39;0,34;3;16;20;80;13;6;0,66;0,34
12/05/2014;0,68;3,58;9;24;38;59;25;7;4,5;3,58
11/05/2014;0,23;0,09;2;12;15;80;18;8;0,2;0,09
10/05/2014;0,44;0,59;4;17;23;47;21;7;0,97;0,59
09/05/2014;0,5;2,34;9;28;43;50;25;11;3,98;2,34
08/05/2014;0,51;1,64;11;28;44;66;26;12;2,81;1,64
07/05/2014;0,44;0,92;5;28;35;69;27;11;1,3;0,92
06/05/2014;0,65;1,51;4;33;39;68;36;9;2;1,51
05/05/2014;0,52;1,18;8;29;42;79;27;8;1,57;1,18
04/05/2014;0,46;0,74;3;21;26;81;24;6;1,33;0,74
03/05/2014;0,44;0,41;2;12;15;92;13;5;0,5;0,41
