Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
16/09/2014;6;18;28;49;25;5
15/09/2014;5;15;23;49;14;6
14/09/2014;5;16;24;58;21;7
13/09/2014;5;17;25;61;23;7
12/09/2014;6;19;28;57;40;7
11/09/2014;5;22;31;51;42;6
10/09/2014;6;18;26;56;34;7
09/09/2014;9;22;36;42;30;6
08/09/2014;9;17;30;39;24;5
07/09/2014;6;16;25;47;33;6
06/09/2014;7;19;29;53;30;6
05/09/2014;7;16;26;58;28;5
04/09/2014;7;18;29;56;28;5
03/09/2014;7;20;31;56;24;6
02/09/2014;7;18;28;45;22;5
01/09/2014;6;15;24;45;23;4
31/08/2014;4;10;17;50;21;4
30/08/2014;4;11;17;40;14;4
29/08/2014;5;11;18;34;19;4
28/08/2014;9;17;30;28;21;5
27/08/2014;8;16;28;35;15;4
26/08/2014;13;20;40;33;25;5
25/08/2014;13;20;40;49;20;6
24/08/2014;11;12;29;50;12;5
23/08/2014;11;7;24;52;10;4
22/08/2014;12;15;33;31;14;4
21/08/2014;12;12;32;45;15;4
20/08/2014;12;14;34;40;18;5
19/08/2014;13;12;32;48;20;6
18/08/2014;12;12;31;44;18;5
17/08/2014;12;8;27;57;13;5
16/08/2014;12;7;26;54;12;5
15/08/2014;12;6;25;63;13;5
14/08/2014;14;8;29;55;16;5
13/08/2014;10;6;22;69;15;5
12/08/2014;11;12;28;53;18;5
11/08/2014;9;8;23;51;15;5
10/08/2014;10;9;23;52;;5
09/08/2014;10;11;26;46;20;5
08/08/2014;11;12;29;34;18;5
07/08/2014;10;14;29;43;20;6
06/08/2014;11;14;31;44;22;8
05/08/2014;10;12;28;40;20;6
04/08/2014;10;12;28;37;16;6
03/08/2014;8;6;19;44;14;6
02/08/2014;9;7;20;45;16;6
01/08/2014;9;13;27;45;18;6
31/07/2014;8;9;21;53;21;6
30/07/2014;9;11;26;43;19;6
29/07/2014;8;11;24;43;17;6
28/07/2014;8;14;27;49;25;6
27/07/2014;7;8;20;81;28;6
26/07/2014;7;11;22;74;31;6
25/07/2014;8;11;23;66;30;6
24/07/2014;8;15;28;65;36;7
23/07/2014;7;13;25;63;35;6
22/07/2014;8;11;23;41;22;6
21/07/2014;7;9;20;43;19;5
20/07/2014;6;5;15;51;16;6
19/07/2014;6;11;21;43;21;6
18/07/2014;8;17;29;50;41;7
17/07/2014;7;13;23;68;;7
16/07/2014;9;19;33;50;45;7
15/07/2014;9;18;32;33;26;6
14/07/2014;8;14;27;29;17;5
13/07/2014;7;9;21;45;;6
12/07/2014;6;9;18;35;14;5
11/07/2014;6;11;20;38;12;5
10/07/2014;8;11;22;43;23;5
09/07/2014;7;8;20;48;20;5
08/07/2014;7;10;20;43;20;5
07/07/2014;5;10;17;43;17;6
06/07/2014;5;12;20;35;17;6
05/07/2014;7;16;27;45;30;7
04/07/2014;5;18;27;58;29;6
03/07/2014;7;17;27;37;22;6
02/07/2014;6;16;25;27;13;6
01/07/2014;7;15;26;40;18;7
30/06/2014;7;15;26;48;18;6
29/06/2014;5;7;16;44;15;6
28/06/2014;8;9;21;54;15;5
27/06/2014;10;15;30;60;21;5
26/06/2014;8;14;26;54;33;5
25/06/2014;8;13;26;75;26;5
24/06/2014;8;14;27;75;29;5
23/06/2014;9;16;31;56;30;5
22/06/2014;7;11;22;78;30;5
21/06/2014;8;17;29;62;36;5
20/06/2014;8;23;35;75;34;5
19/06/2014;8;15;27;75;26;5
18/06/2014;8;12;25;66;24;5
17/06/2014;7;14;25;67;27;5
16/06/2014;7;12;22;72;27;5
15/06/2014;6;7;17;75;23;6
14/06/2014;6;11;21;84;29;7
13/06/2014;9;25;40;58;39;7
12/06/2014;8;20;33;67;32;6
11/06/2014;8;18;30;42;23;5
10/06/2014;8;13;26;50;18;6
09/06/2014;11;16;33;58;29;7
08/06/2014;9;11;26;72;20;6
07/06/2014;10;11;26;72;18;6
06/06/2014;15;19;43;57;54;7
05/06/2014;12;27;45;54;26;9
04/06/2014;10;14;30;59;32;5
03/06/2014;11;15;31;56;22;5
02/06/2014;10;12;28;65;21;4
01/06/2014;9;11;24;58;18;4
31/05/2014;9;9;22;61;13;4
30/05/2014;9;12;27;55;13;4
29/05/2014;10;14;30;49;12;6
28/05/2014;9;17;31;49;17;6
27/05/2014;10;17;33;59;20;9
26/05/2014;9;9;23;59;13;5
25/05/2014;7;10;21;53;12;5
24/05/2014;8;9;22;60;17;5
23/05/2014;8;7;19;75;11;4
22/05/2014;9;12;27;63;11;4
21/05/2014;9;7;22;86;12;4
20/05/2014;10;14;28;65;15;6
19/05/2014;10;20;35;81;27;7
18/05/2014;8;14;27;76;20;7
17/05/2014;9;11;25;71;19;6
16/05/2014;12;16;34;63;21;5
15/05/2014;9;12;26;64;16;4
14/05/2014;9;11;24;57;13;4
13/05/2014;8;11;24;55;13;5
12/05/2014;10;15;30;43;21;6
11/05/2014;8;8;20;61;19;6
10/05/2014;10;15;30;39;23;7
09/05/2014;10;19;34;41;23;6
08/05/2014;11;20;37;49;24;7
07/05/2014;10;21;37;48;26;8
06/05/2014;12;27;46;53;33;9
05/05/2014;9;19;34;69;24;7
04/05/2014;7;10;21;63;14;4
03/05/2014;7;10;20;61;13;7
02/05/2014;6;9;18;72;9;6
01/05/2014;5;7;15;59;10;6
30/04/2014;7;15;26;48;12;8
29/04/2014;8;18;30;32;17;6
28/04/2014;8;19;31;47;9;4
27/04/2014;7;4;14;81;18;4
26/04/2014;5;7;15;77;15;4
25/04/2014;8;11;23;83;15;5
24/04/2014;16;13;36;57;15;5
23/04/2014;11;14;32;55;16;5
22/04/2014;12;18;37;38;19;6
21/04/2014;12;11;30;45;15;4
20/04/2014;15;12;35;55;18;5
19/04/2014;23;10;45;80;19;7
18/04/2014;18;12;41;73;19;8
17/04/2014;19;17;46;65;29;12
16/04/2014;26;28;69;56;31;12
15/04/2014;30;27;73;47;30;10
14/04/2014;23;18;53;60;27;6
13/04/2014;25;12;50;64;28;6
12/04/2014;18;14;41;66;28;6
11/04/2014;18;20;48;60;27;7
10/04/2014;23;30;65;39;32;12
09/04/2014;17;23;48;45;24;8
08/04/2014;19;14;43;66;16;4
07/04/2014;19;14;42;60;14;6
06/04/2014;20;14;45;42;13;5
05/04/2014;18;13;41;50;15;6
04/04/2014;10;15;30;62;13;4
03/04/2014;6;12;22;51;9;3
02/04/2014;4;12;17;66;20;4
01/04/2014;3;10;15;77;17;4
31/03/2014;4;13;18;68;12;4
30/03/2014;4;9;15;79;42;3
29/03/2014;4;8;15;89;16;4
28/03/2014;6;13;22;60;15;4
27/03/2014;5;18;26;57;12;4
26/03/2014;6;13;21;73;23;4
25/03/2014;5;10;18;81;17;3
24/03/2014;10;10;25;62;14;3
23/03/2014;9;9;22;69;9;4
22/03/2014;8;8;20;70;10;5
21/03/2014;11;25;42;50;33;10
20/03/2014;13;30;50;43;28;7
19/03/2014;9;23;36;43;18;5
18/03/2014;6;24;33;45;34;8
17/03/2014;11;40;57;35;38;10
16/03/2014;6;19;29;58;38;7
15/03/2014;4;17;23;67;44;6
14/03/2014;7;31;41;54;35;8
13/03/2014;5;27;36;63;37;7
12/03/2014;5;23;31;61;35;7
11/03/2014;7;25;36;58;35;14
10/03/2014;7;37;47;54;32;10
09/03/2014;3;9;15;94;12;6
08/03/2014;4;15;21;59;18;7
07/03/2014;13;32;52;22;31;8
06/03/2014;7;22;33;28;20;6
05/03/2014;3;13;18;60;15;6
04/03/2014;2;8;12;69;15;5
03/03/2014;2;6;9;79;13;5
02/03/2014;5;20;28;35;16;6
01/03/2014;2;13;16;53;7;5
28/02/2014;2;8;12;64;21;6
27/02/2014;3;16;20;51;24;6
26/02/2014;4;17;22;46;12;6
25/02/2014;2;10;14;66;10;6
24/02/2014;4;18;24;62;18;6
23/02/2014;2;6;9;74;11;6
22/02/2014;3;13;17;53;14;6
21/02/2014;3;17;23;53;16;6
20/02/2014;3;12;16;46;11;6
19/02/2014;9;24;38;27;18;6
18/02/2014;5;22;30;30;19;8
17/02/2014;3;10;14;68;10;6
16/02/2014;3;15;20;41;16;6
15/02/2014;2;13;17;63;15;7
14/02/2014;2;7;10;60;11;5
13/02/2014;3;14;19;60;21;6
12/02/2014;3;8;13;59;7;5
11/02/2014;3;9;14;65;12;5
10/02/2014;2;7;11;76;8;5
09/02/2014;3;5;9;67;7;5
08/02/2014;3;9;13;62;12;6
07/02/2014;3;7;12;66;6;5
06/02/2014;3;4;9;71;5;5
05/02/2014;5;20;27;54;19;8
04/02/2014;2;7;11;68;6;5
03/02/2014;2;9;13;64;8;5
02/02/2014;3;13;18;41;13;5
01/02/2014;2;9;13;65;10;5
31/01/2014;4;13;19;56;11;5
30/01/2014;4;11;17;64;6;4
29/01/2014;5;13;20;50;8;5
28/01/2014;4;10;16;62;7;4
27/01/2014;4;8;14;76;11;4
26/01/2014;4;8;14;44;8;5
25/01/2014;3;10;15;59;4;5
24/01/2014;5;8;15;72;16;5
23/01/2014;4;15;21;63;18;5
22/01/2014;4;13;19;54;10;5
21/01/2014;4;9;15;55;6;5
20/01/2014;5;12;19;67;5;4
19/01/2014;5;9;16;49;6;4
18/01/2014;5;8;16;56;8;5
17/01/2014;5;8;16;67;8;5
16/01/2014;5;9;17;67;8;5
15/01/2014;7;12;22;48;9;5
14/01/2014;5;14;22;53;8;5
13/01/2014;5;11;19;53;8;5
12/01/2014;4;8;14;52;18;6
11/01/2014;10;25;41;12;34;7
10/01/2014;37;35;91;10;41;10
09/01/2014;6;20;29;44;18;6
08/01/2014;5;11;19;51;11;5
07/01/2014;4;7;13;58;4;4
06/01/2014;4;4;11;70;7;4
05/01/2014;23;4;40;67;5;4
04/01/2014;9;5;18;75;9;5
03/01/2014;16;23;48;30;16;6
02/01/2014;17;16;42;48;19;6
01/01/2014;10;6;21;61;9;5
