Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
30/03/2019;6;30;38;79;15;10;7
29/03/2019;7;24;35;68;20;12;7
28/03/2019;15;37;60;43;26;13;6
27/03/2019;15;37;60;38;22;11;6
26/03/2019;7;29;39;52;18;10;7
25/03/2019;5;28;35;54;24;17;5
24/03/2019;8;35;46;41;23;16;5
23/03/2019;12;46;63;40;26;17;4
22/03/2019;19;50;78;36;23;14;5
21/03/2019;21;41;73;33;21;11;5
20/03/2019;9;32;44;48;13;8;5
19/03/2019;2;12;15;73;5;4;5
18/03/2019;7;25;35;56;11;5;5
17/03/2019;3;16;20;68;15;8;5
16/03/2019;13;34;53;40;17;10;5
15/03/2019;13;36;55;42;17;7;5
14/03/2019;11;36;51;44;13;8;5
13/03/2019;4;20;27;65;11;6;4
12/03/2019;7;24;33;55;13;6;5
11/03/2019;15;38;59;40;16;7;4
10/03/2019;17;24;49;22;12;7;4
09/03/2019;16;31;54;22;13;10;8
08/03/2019;12;35;53;40;11;6;6
07/03/2019;19;40;68;43;13;7;5
06/03/2019;3;10;14;66;8;6;5
05/03/2019;8;27;39;54;18;8;5
04/03/2019;4;20;25;64;27;10;5
03/03/2019;5;23;29;56;12;8;5
02/03/2019;15;40;62;29;18;12;6
01/03/2019;21;45;75;25;22;14;6
28/02/2019;36;50;104;25;30;17;6
27/02/2019;13;47;66;43;21;14;7
26/02/2019;18;50;77;37;30;19;7
25/02/2019;20;53;82;27;46;28;8
24/02/2019;10;38;52;38;48;25;4
23/02/2019;16;45;68;30;53;30;6
22/02/2019;30;58;102;23;59;31;7
21/02/2019;17;49;74;34;41;23;7
20/02/2019;17;50;74;30;33;19;5
19/02/2019;20;39;68;28;26;15;5
18/02/2019;8;32;43;56;23;13;5
17/02/2019;2;6;10;84;5;5;5
16/02/2019;8;26;38;56;19;11;4
15/02/2019;17;42;66;50;16;10;3
14/02/2019;4;19;24;72;10;8;3
13/02/2019;39;44;103;16;23;13;3
12/02/2019;26;37;76;18;19;9;3
11/02/2019;15;40;61;36;14;8;3
10/02/2019;4;20;27;55;10;6;3
09/02/2019;10;31;45;37;13;9;4
08/02/2019;21;43;74;19;20;12;4
07/02/2019;50;39;114;14;23;12;3
06/02/2019;43;40;104;11;18;10;3
05/02/2019;38;49;106;7;17;11;3
04/02/2019;23;44;78;14;15;10;5
03/02/2019;9;24;36;44;12;8;5
02/02/2019;2;8;12;73;11;4;4
01/02/2019;6;36;43;47;7;5;3
31/01/2019;9;29;42;42;4;4;3
30/01/2019;12;38;56;43;10;6;3
29/01/2019;10;31;46;49;12;5;3
28/01/2019;2;9;13;77;13;5;3
27/01/2019;3;9;13;66;13;7;3
26/01/2019;21;37;68;24;13;7;3
25/01/2019;3;13;18;61;5;4;3
24/01/2019;11;40;56;36;12;8;3
23/01/2019;3;10;14;71;9;3;3
22/01/2019;20;48;76;24;11;7;3
21/01/2019;11;34;50;31;10;7;3
