Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
21/08/2019;4;15;20;18;9
20/08/2019;1;14;16;15;6
19/08/2019;1;15;17;15;4
18/08/2019;1;11;13;11;4
17/08/2019;2;14;17;13;10
16/08/2019;4;16;21;14;8
15/08/2019;0;8;8;12;5
14/08/2019;2;14;17;14;6
13/08/2019;5;14;21;16;0
12/08/2019;1;14;15;15;0
11/08/2019;0;5;5;11;2
10/08/2019;0;6;7;20;7
09/08/2019;1;8;9;18;8
08/08/2019;2;15;18;19;11
07/08/2019;3;13;18;18;14
06/08/2019;6;12;21;18;12
05/08/2019;7;11;21;16;9
04/08/2019;0;8;9;17;9
03/08/2019;3;9;13;22;15
02/08/2019;2;15;18;20;9
01/08/2019;2;14;18;19;6
31/07/2019;2;9;13;18;7
30/07/2019;4;13;19;19;5
29/07/2019;8;14;26;19;8
28/07/2019;1;9;11;13;6
27/07/2019;1;11;12;11;6
26/07/2019;1;14;15;11;4
25/07/2019;0;7;7;25;16
24/07/2019;4;21;27;36;23
23/07/2019;2;19;22;37;23
22/07/2019;3;15;20;25;14
21/07/2019;0;6;6;10;5
20/07/2019;1;8;10;14;8
19/07/2019;7;17;27;21;12
18/07/2019;6;18;28;19;9
17/07/2019;4;15;21;19;9
16/07/2019;5;17;26;23;11
15/07/2019;5;18;25;23;11
14/07/2019;1;10;11;18;10
13/07/2019;1;12;14;15;8
12/07/2019;6;24;33;22;12
11/07/2019;6;24;34;28;15
10/07/2019;5;19;27;27;14
09/07/2019;2;13;16;26;14
08/07/2019;1;10;11;19;9
07/07/2019;0;3;3;18;12
06/07/2019;0;5;5;25;14
05/07/2019;2;13;16;33;22
04/07/2019;7;19;30;36;26
03/07/2019;4;19;25;27;15
02/07/2019;1;7;8;21;7
01/07/2019;2;8;11;16;6
30/06/2019;0;4;4;15;9
29/06/2019;0;5;5;21;12
28/06/2019;4;15;21;25;13
27/06/2019;3;15;19;38;20
26/06/2019;2;11;13;34;21
25/06/2019;8;15;28;27;14
24/06/2019;1;14;16;27;14
23/06/2019;0;14;14;40;19
22/06/2019;2;14;17;14;9
21/06/2019;2;10;13;12;5
20/06/2019;0;7;7;11;4
19/06/2019;4;15;22;27;17
18/06/2019;4;15;20;30;20
17/06/2019;3;12;16;25;15
16/06/2019;1;10;12;16;9
15/06/2019;2;14;18;13;7
14/06/2019;7;17;28;14;5
13/06/2019;6;17;27;18;6
12/06/2019;3;16;20;24;6
11/06/2019;1;12;13;15;5
10/06/2019;5;17;24;14;5
09/06/2019;0;6;7;16;6
08/06/2019;2;13;15;20;8
07/06/2019;0;5;6;17;4
06/06/2019;6;16;25;22;7
05/06/2019;2;18;21;14;4
04/06/2019;3;12;16;21;9
03/06/2019;5;15;23;22;12
02/06/2019;1;15;16;22;15
01/06/2019;3;21;25;27;19
31/05/2019;8;24;36;24;15
30/05/2019;8;20;32;21;11
29/05/2019;1;14;15;17;6
28/05/2019;2;13;16;20;6
27/05/2019;2;15;18;16;7
26/05/2019;0;5;5;9;4
25/05/2019;0;4;4;15;6
24/05/2019;1;9;10;15;
23/05/2019;8;19;32;28;
22/05/2019;8;26;37;25;14
21/05/2019;8;19;31;22;11
20/05/2019;10;20;36;19;11
19/05/2019;0;11;11;15;8
18/05/2019;0;10;10;10;5
17/05/2019;0;16;17;20;9
16/05/2019;5;23;30;29;16
15/05/2019;8;35;47;32;16
14/05/2019;9;31;45;27;13
13/05/2019;9;19;33;17;8
12/05/2019;1;12;14;14;8
11/05/2019;0;7;7;13;4
10/05/2019;15;18;40;20;12
09/05/2019;11;24;41;25;11
08/05/2019;1;14;15;16;6
07/05/2019;12;43;60;34;21
06/05/2019;5;25;32;19;8
05/05/2019;0;9;9;11;4
04/05/2019;1;9;10;11;4
03/05/2019;1;15;16;9;3
02/05/2019;1;11;12;16;5
01/05/2019;3;15;19;17;9
30/04/2019;7;25;36;21;8
29/04/2019;7;20;31;22;8
28/04/2019;1;14;16;19;7
27/04/2019;3;24;28;20;7
26/04/2019;1;14;15;16;5
25/04/2019;0;7;7;11;3
24/04/2019;1;12;13;7;2
23/04/2019;1;17;19;22;5
22/04/2019;1;13;14;31;13
21/04/2019;1;17;19;23;12
20/04/2019;3;17;22;20;9
19/04/2019;1;17;18;19;10
18/04/2019;0;12;13;17;9
17/04/2019;0;7;7;17;7
16/04/2019;6;20;30;16;7
15/04/2019;7;18;28;18;8
14/04/2019;3;23;27;26;15
13/04/2019;2;23;25;27;15
12/04/2019;8;27;40;31;16
11/04/2019;7;21;31;26;12
10/04/2019;9;21;36;15;7
09/04/2019;1;21;22;15;6
08/04/2019;2;21;24;14;
07/04/2019;0;9;9;11;
06/04/2019;1;16;18;9;4
05/04/2019;2;15;17;;2
04/04/2019;0;8;9;;2
03/04/2019;0;10;11;9;3
02/04/2019;14;19;40;27;11
01/04/2019;1;19;20;18;6
31/03/2019;1;22;24;25;12
30/03/2019;0;14;14;22;8
29/03/2019;7;31;43;39;18
28/03/2019;13;31;52;35;13
27/03/2019;12;29;47;32;11
26/03/2019;5;24;31;23;8
25/03/2019;0;16;16;34;17
24/03/2019;4;21;27;31;18
23/03/2019;5;40;47;31;14
22/03/2019;15;44;66;;11
21/03/2019;20;36;65;;7
20/03/2019;16;27;51;;5
19/03/2019;21;7;39;;2
18/03/2019;26;23;63;;3
17/03/2019;20;9;39;;4
16/03/2019;23;23;57;;7
15/03/2019;19;25;53;;3
14/03/2019;19;23;51;;3
13/03/2019;10;18;33;;3
12/03/2019;15;24;46;;5
11/03/2019;17;22;48;;
10/03/2019;20;18;49;12;
09/03/2019;13;31;51;15;
08/03/2019
07/03/2019
06/03/2019;1;8;9;10;2
05/03/2019;5;21;29;22;6
04/03/2019;1;19;21;27;7
03/03/2019;1;15;17;18;6
02/03/2019;10;39;54;21;10
01/03/2019;19;43;72;25;13
28/02/2019;30;47;93;36;17
27/02/2019;7;39;49;29;13
26/02/2019;20;38;68;37;18
25/02/2019;37;58;115;56;27
24/02/2019;7;37;47;45;20
23/02/2019;9;38;52;49;22
22/02/2019;23;47;82;49;21
21/02/2019;26;42;81;40;17
20/02/2019;20;48;79;36;16
19/02/2019;13;40;60;;8
18/02/2019;11;27;43;;7
17/02/2019;0;12;12;14;5
16/02/2019;4;30;37;26;14
15/02/2019;4;32;37;21;11
14/02/2019;1;17;18;22;12
13/02/2019;42;43;108;33;17
12/02/2019;16;34;58;19;11
11/02/2019;12;41;59;18;7
10/02/2019;0;10;10;15;5
09/02/2019;3;19;24;15;7
08/02/2019;28;37;79;29;15
07/02/2019;47;40;111;33;15
06/02/2019;43;41;106;27;15
05/02/2019;19;34;62;18;9
04/02/2019;9;33;46;16;8
03/02/2019;2;18;21;13;5
02/02/2019;0;4;4;14;4
01/02/2019;1;18;19;11;5
31/01/2019;1;16;17;9;3
30/01/2019;1;14;15;14;5
29/01/2019;4;18;24;17;4
28/01/2019;1;11;11;19;5
27/01/2019;2;8;11;18;5
26/01/2019;10;31;45;16;9
25/01/2019;1;21;23;13;3
24/01/2019;7;37;47;10;5
23/01/2019;1;6;7;15;4
22/01/2019;5;30;37;16;7
21/01/2019;15;31;53;18;6
20/01/2019;1;15;16;9;4
19/01/2019;1;12;13;8;4
18/01/2019;22;42;75;20;9
17/01/2019;23;40;74;18;8
16/01/2019;27;31;72;25;13
15/01/2019;33;39;90;21;11
14/01/2019;7;34;44;14;5
13/01/2019;10;28;43;16;9
12/01/2019;27;39;80;23;15
11/01/2019;57;56;142;28;16
10/01/2019;22;30;64;17;6
09/01/2019;4;21;27;18;6
08/01/2019;21;45;77;29;15
07/01/2019;11;37;53;24;14
06/01/2019;24;31;68;30;22
05/01/2019;51;40;118;38;28
04/01/2019;48;37;110;34;25
03/01/2019;28;30;73;21;12
02/01/2019;22;32;66;19;12
01/01/2019;24;26;63;31;26
