Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3)
20/05/2019;2;8;11;12
19/05/2019;1;5;7;7
18/05/2019;1;5;7;9
17/05/2019;1;6;7;8
16/05/2019;3;14;19;19
15/05/2019;3;19;23;17
14/05/2019;3;15;19;14
13/05/2019;2;11;15;15
12/05/2019;1;6;8;11
11/05/2019;1;6;8;11
10/05/2019;5;14;22;11
09/05/2019;3;14;19;13
08/05/2019;1;12;14;7
07/05/2019;3;31;36;26
06/05/2019;3;17;21;12
05/05/2019;1;5;7;9
04/05/2019;1;7;9;7
03/05/2019;1;12;14;9
02/05/2019;2;9;12;9
01/05/2019;2;8;10;10
30/04/2019;2;11;14;12
29/04/2019;3;13;18;15
28/04/2019;1;7;9;15
27/04/2019;1;7;9;11
26/04/2019;1;6;8;14
25/04/2019;1;3;4;4
24/04/2019;1;6;7;5
23/04/2019;2;9;11;16
22/04/2019;1;7;8;24
21/04/2019;1;9;11;17
20/04/2019;2;11;14;19
19/04/2019;1;10;12;12
18/04/2019;1;8;10;13
17/04/2019;1;10;11;12
16/04/2019;3;13;16;9
15/04/2019;3;12;16;9
14/04/2019;2;16;19;15
13/04/2019;2;14;17;12
12/04/2019;2;13;15;17
11/04/2019;2;13;15;11
10/04/2019;2;9;12;9
09/04/2019;1;8;9;7
08/04/2019;2;13;15;11
07/04/2019;1;7;9;7
06/04/2019;1;5;7;5
05/04/2019;1;10;12;6
04/04/2019;1;5;7;7
03/04/2019;1;4;6;7
02/04/2019;2;11;15;15
01/04/2019;2;14;17;11
31/03/2019;1;11;13;15
30/03/2019;1;11;13;16
29/03/2019;2;20;24;20
28/03/2019;2;15;18;21
27/03/2019;3;13;17;17
26/03/2019;2;12;14;15
25/03/2019;1;13;15;18
24/03/2019;2;18;22;21
23/03/2019;2;21;25;19
22/03/2019;2;18;21;15
21/03/2019;2;15;18;14
20/03/2019
19/03/2019;1;9;11;9
18/03/2019;2;10;13;9
17/03/2019;1;9;11;16
16/03/2019;4;21;26;18
15/03/2019;3;17;21;17
14/03/2019;1;9;11;11
13/03/2019;1;8;11;11
12/03/2019;2;13;16;11
11/03/2019;2;16;19;15
10/03/2019;2;11;14;11
09/03/2019;3;15;20;13
08/03/2019;2;18;21;11
07/03/2019;2;7;10;8
06/03/2019;1;4;6;4
05/03/2019;1;8;10;11
04/03/2019;1;11;13;25
03/03/2019;1;5;7;10
02/03/2019;3;19;23;18
01/03/2019;3;18;22;16
28/02/2019;3;22;26;25
27/02/2019;2;16;19;21
26/02/2019;3;21;25;26
25/02/2019;7;36;46;39
24/02/2019;2;20;23;42
23/02/2019;3;21;25;40
22/02/2019;3;17;21;39
21/02/2019;2;15;18;28
20/02/2019;3;16;20;24
19/02/2019;3;20;25;12
18/02/2019;2;11;14;15
17/02/2019;1;10;12;10
16/02/2019;1;7;9;19
15/02/2019;2;14;18;16
14/02/2019;1;8;10;15
13/02/2019;15;26;49;17
12/02/2019;5;16;24;12
11/02/2019;2;15;18;11
10/02/2019;1;5;7;8
09/02/2019;1;4;6;6
08/02/2019;6;19;27;14
07/02/2019;7;23;34;16
06/02/2019;13;21;40;15
05/02/2019;3;15;20;11
04/02/2019;1;7;10;6
03/02/2019;2;10;12;11
02/02/2019;1;6;8;11
01/02/2019;1;10;12;9
31/01/2019;2;12;15;8
30/01/2019;2;7;9;7
29/01/2019;1;5;7;8
28/01/2019;1;4;5;10
27/01/2019;1;4;6;10
26/01/2019;3;15;19;10
25/01/2019;2;9;11;7
24/01/2019;5;33;40;8
23/01/2019;1;6;7;6
22/01/2019;1;9;11;4
21/01/2019;2;17;20;10
20/01/2019;2;9;11;6
19/01/2019;1;6;8;5
18/01/2019;3;14;18;8
17/01/2019;3;13;17;6
16/01/2019;3;13;18;10
15/01/2019;9;23;37;12
14/01/2019;5;22;29;9
13/01/2019;3;14;18;9
12/01/2019;4;21;27;10
11/01/2019;11;31;47;17
10/01/2019;3;18;23;14
09/01/2019;3;19;23;9
08/01/2019;7;26;36;14
07/01/2019;4;27;33;18
06/01/2019;4;23;29;17
05/01/2019;10;28;43;21
04/01/2019;11;26;43;18
03/01/2019;10;23;39;18
02/01/2019;6;22;31;10
01/01/2019;11;24;41;23
