Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
15/05/2019;0,25;0,25;8;37;49;27;16;10
14/05/2019;0,26;0,25;8;34;46;26;14;8
13/05/2019;0,21;0,21;7;23;32;17;10;2
12/05/2019;0,19;0,21;2;12;14;13;9;1
11/05/2019;0,19;0,17;1;9;11;13;6;4
10/05/2019;0,25;0,27;18;25;51;18;13;2
09/05/2019;0,24;0,23;10;30;45;16;11;3
08/05/2019;0,22;0,28;2;18;20;10;7;1
07/05/2019;0,41;0,36;10;48;63;29;21;9
06/05/2019;0,27;0,25;8;28;39;14;11;12
05/05/2019;0,17;0,16;1;10;12;7;5;1
04/05/2019;0,18;0,18;2;13;15;7;5;4
03/05/2019;0,21;0,21;2;17;19;8;6;1
02/05/2019;0,2;0,2;2;13;15;10;7;3
01/05/2019;0,23;0,23;3;15;19;11;9;4
30/04/2019;0,27;0,27;11;27;43;18;13;7
29/04/2019;0,26;0,25;9;24;38;16;11;6
28/04/2019;0,22;0,22;2;15;17;13;9;2
27/04/2019;0,24;0,24;3;22;25;13;8;3
26/04/2019;0,2;0,2;1;15;17;10;6;3
25/04/2019;0,14;0,13;0;8;8;5;3;1
24/04/2019;0,14;0,14;1;15;16;4;3;1
23/04/2019;0,18;0,19;2;22;24;13;9;2
22/04/2019;0,2;0,19;1;17;18;23;17;3
21/04/2019;0,22;0,22;1;21;23;18;16;8
20/04/2019;0,23;0,22;2;19;22;17;15;8
19/04/2019;0,28;0,28;1;20;21;15;12;1
18/04/2019;0,24;0,24;0;16;16;12;11;1
17/04/2019;0,21;0,22;1;20;21;13;10;1
16/04/2019;0,22;0,21;5;24;31;11;9;2
15/04/2019;0,25;0,27;25;32;70;15;10;6
14/04/2019;0,34;0,34;41;79;140;29;21;16
13/04/2019;0,27;0,25;28;82;124;28;20;20
12/04/2019;0,22;0,22;35;68;121;29;21;2
11/04/2019;0,25;0,27;15;59;81;25;17;4
10/04/2019;0,27;0,25;32;55;104;17;10;3
09/04/2019;0,22;0,23;10;53;69;13;8;3
08/04/2019;0,21;0,2;20;62;92;13;7;2
07/04/2019;0,18;0,19;15;56;79;9;5;5
06/04/2019;0,17;0,19;15;61;83;6;4;1
05/04/2019;0,24;0,21;28;66;108;;;1
04/04/2019;0,14;0,15;5;38;45;;;2
03/04/2019;0,17;0,19;1;14;15;9;5;5
02/04/2019;0,23;0,22;7;21;32;28;17;5
01/04/2019;0,26;0,27;4;30;36;22;13;6
31/03/2019;0,27;0,27;2;30;32;25;16;8
30/03/2019;0,25;0,25;0;27;27;29;19;7
29/03/2019;0,26;0,25;7;35;45;33;21;9
28/03/2019;0,26;0,26;9;31;44;33;20;4
27/03/2019;0,3;0,31;10;29;44;29;17;4
26/03/2019;0,34;0,33;1;21;22;20;11;2
25/03/2019;0,2;0,2;0;12;13;31;22;2
24/03/2019;0,27;0,29;3;26;31;30;22;8
23/03/2019;0,29;0,29;5;45;51;28;18;11
22/03/2019;0,25;0,23;5;49;56;26;17;10
21/03/2019;0,22;0,22;8;31;43;23;14;4
20/03/2019;0,19;0,19;5;24;32;14;9;2
19/03/2019;0,17;0,17;0;9;9;7;4;3
18/03/2019;0,19;0,18;3;22;26;12;6;7
17/03/2019;0,17;0,18;0;13;13;18;9;6
16/03/2019;0,25;0,26;8;35;47;31;19;17
15/03/2019;0,22;0,2;2;28;31;19;10;5
14/03/2019;0,25;0,25;1;19;21;19;8;7
13/03/2019;0,21;0,2;1;17;19;17;8;5
12/03/2019;0,19;0,2;6;28;36;22;11;10
11/03/2019;0,2;0,2;6;31;40;19;9;4
10/03/2019;0,21;0,23;8;22;35;17;11;6
09/03/2019;0,25;0,25;10;34;48;19;13;10
08/03/2019;0,25;0,23;3;29;33;17;10;4
