Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
13/09/2019;0,41;0,4;4;20;31;61;27;12;3
12/09/2019;0,36;0,37;2;22;32;65;21;10;2
11/09/2019;0,23;0,21;1;3;15;19;13;7;1
10/09/2019;0,23;0,23;1;3;13;16;17;9;4
09/09/2019;0,31;0,38;1;14;22;42;16;7;4
08/09/2019;0,33;0,28;1;1;15;17;8;6;3
07/09/2019;0,38;0,4;2;3;20;24;12;7;4
06/09/2019;0,39;0,38;2;16;29;52;16;8;6
05/09/2019;0,21;0,18;2;8;22;33;13;5;2
04/09/2019;0,33;0,35;3;14;28;49;22;9;6
03/09/2019;0,28;0,25;2;20;30;61;21;10;4
02/09/2019;0,23;0,22;1;11;24;41;15;6;6
01/09/2019;0,39;0,4;3;3;15;18;8;5;2
31/08/2019;0,39;0,39;2;5;21;28;15;8;3
30/08/2019;0,24;0,23;2;8;20;32;15;6;2
29/08/2019;0,23;0,23;2;7;17;28;12;8;2
28/08/2019;0,31;0,32;2;9;18;32;17;12;2
27/08/2019;0,38;0,39;2;15;25;48;19;10;2
26/08/2019;0,29;0,28;1;7;22;32;20;10;2
25/08/2019;0,25;0,26;1;1;7;8;16;9;1
24/08/2019;0,45;0,48;2;4;21;26;22;11;5
23/08/2019;0,33;0,3;2;8;38;49;21;11;5
22/08/2019;0,31;0,3;2;13;33;53;22;10;4
21/08/2019;0,33;0,34;2;12;24;42;16;8;2
20/08/2019;0,26;0,25;1;5;22;29;10;5;1
19/08/2019;0,24;0,24;1;10;26;42;10;4;2
18/08/2019;0,32;0,32;1;3;15;20;6;3;2
17/08/2019;0,28;0,36;1;5;23;30;10;7;5
16/08/2019;0,32;0,27;1;8;22;34;10;6;3
15/08/2019;0,22;0,2;1;1;10;10;7;5;2
14/08/2019;0,32;0,31;1;9;22;35;14;7;4
13/08/2019;0,2;0,21;1;12;22;40;13;5;2
12/08/2019;0,2;0,18;1;4;17;24;10;4;3
11/08/2019;0,28;0,3;0;0;9;9;8;4;1
10/08/2019;0,24;0,25;1;1;9;11;17;5;2
09/08/2019;0,2;0,21;2;5;14;22;13;4;2
08/08/2019;0,3;0,24;1;6;21;30;9;5;4
07/08/2019;0,32;0,32;1;10;24;38;16;9;3
06/08/2019;0,26;0,25;1;9;18;32;15;9;5
05/08/2019;0,24;0,24;1;11;16;32;11;7;3
04/08/2019;0,41;0,4;0;3;11;16;8;7;2
03/08/2019;0,27;0,28;1;7;13;24;15;9;3
02/08/2019;0,25;0,24;1;11;19;36;15;7;2
01/08/2019;0,29;0,28;1;9;18;32;16;5;2
31/07/2019;0,31;0,41;0;7;13;22;15;6;2
30/07/2019;0,33;0,27;1;7;14;24;15;5;4
29/07/2019;0,31;0,3;1;16;20;44;15;6;3
28/07/2019;0,2;0,19;0;3;11;16;9;4;1
27/07/2019;0,21;0,21;0;3;13;17;6;4;3
26/07/2019;0,23;0,23;0;6;17;25;8;4;2
25/07/2019;0,29;0,33;1;3;9;14;18;13;2
24/07/2019;0,63;0,6;3;13;28;47;32;17;3
23/07/2019;0,48;0,5;1;6;22;31;28;14;3
22/07/2019;0,34;0,3;1;11;20;37;22;11;2
21/07/2019;0,28;0,27;0;3;9;13;6;4;1
20/07/2019;0,25;0,25;0;4;11;16;11;9;3
19/07/2019;0,27;0,28;0;11;22;38;22;11;3
18/07/2019;0,22;0,2;0;7;18;29;19;10;3
17/07/2019;0,2;0,2;1;6;15;24;13;10;3
16/07/2019;0,24;0,24;1;13;22;42;22;11;4
15/07/2019;0,19;0,19;1;9;23;37;18;10;7
14/07/2019;0,22;0,22;1;5;12;19;10;7;3
13/07/2019;0,33;0,34;2;6;15;23;13;6;3
12/07/2019;0,23;0,22;1;11;27;43;24;11;11
11/07/2019;0,24;0,25;2;13;32;52;24;14;8
10/07/2019;0,2;0,2;3;10;23;38;22;13;2
09/07/2019;0,19;0,19;1;6;16;26;21;12;1
08/07/2019;0,22;0,22;1;4;14;21;14;10;1
07/07/2019;0,21;0,21;0;2;6;9;13;10;1
06/07/2019;0,24;0,24;1;3;8;13;15;10;2
05/07/2019;0,31;0,34;3;7;18;29;27;16;2
04/07/2019;0,44;0,45;3;18;36;63;36;20;2
03/07/2019;0,28;0,25;1;10;25;41;24;11;2
02/07/2019;0,19;0,19;0;4;9;15;15;7;2
01/07/2019;0,19;0,19;0;4;12;18;11;5;2
30/06/2019;0,19;0,19;0;3;8;12;13;9;2
29/06/2019;0,21;0,2;1;4;10;16;15;11;3
28/06/2019;0,37;0,38;3;12;23;41;20;11;5
27/06/2019;0,49;0,51;4;15;28;50;39;16;4
26/06/2019;0,37;0,34;2;13;31;50;34;17;3
25/06/2019;0,25;0,28;3;17;23;49;22;12;3
24/06/2019;0,29;0,34;2;11;23;38;24;14;3
23/06/2019;0,37;0,32;2;5;19;26;21;16;4
22/06/2019;0,28;0,25;0;8;25;36;15;9;3
21/06/2019;0,15;0,14;1;9;16;29;7;4;1
20/06/2019;0,17;0,17;2;7;14;24;6;5;1
19/06/2019;0,52;0,56;2;15;22;45;28;16;2
18/06/2019;0,32;0,3;1;9;21;35;28;17;2
17/06/2019;0,22;0,2;1;10;18;33;21;12;3
16/06/2019;0,21;0,21;1;6;16;25;15;9;5
15/06/2019;0,16;0,15;1;6;16;24;9;8;4
14/06/2019;0,33;0,34;2;15;24;46;22;14;3
13/06/2019;0,31;0,45;1;19;24;53;21;10;4
12/06/2019;0,27;0,14;0;5;13;21;15;7;4
11/06/2019;0,14;0,14;1;5;14;21;8;5;6
10/06/2019;0,23;0,24;1;9;19;33;9;5;5
09/06/2019;0,16;0,15;1;3;10;13;12;4;3
08/06/2019;0,18;0,18;0;4;15;21;16;6;5
07/06/2019;0,13;0,12;0;3;9;13;11;5;3
06/06/2019;0,14;0,14;0;7;19;29;11;8;4
05/06/2019;0,15;0,16;1;5;21;29;6;5;6
04/06/2019;0,17;0,16;2;9;17;31;14;7;4
03/06/2019;0,24;0,27;3;13;22;41;18;10;8
02/06/2019;0,35;0,43;2;6;23;32;18;12;8
01/06/2019;0,29;0,21;1;7;29;40;20;14;9
31/05/2019;0,21;0,22;1;19;37;65;22;11;9
30/05/2019;0,23;0,22;0;18;32;59;18;8;7
29/05/2019;0,15;0,14;1;7;20;30;13;6;5
28/05/2019;0,14;0,14;1;5;18;26;16;7;4
27/05/2019;0,16;0,16;1;6;19;28;10;6;4
26/05/2019;0,14;0,14;0;3;12;16;5;3;3
25/05/2019;0,14;0,14;1;2;10;13;7;5;2
24/05/2019;0,14;0,14;1;4;14;20;8;5;3
23/05/2019;0,31;0,34;2;19;26;54;24;14;7
22/05/2019;0,26;0,25;1;15;34;55;22;12;6
21/05/2019;0,27;0,29;1;18;27;53;21;12;4
20/05/2019;0,23;0,2;1;11;26;42;17;12;8
19/05/2019;0,18;0,18;0;1;14;15;9;6;9
18/05/2019;0,16;0,15;0;1;11;12;4;3;4
17/05/2019;0,18;0,18;1;3;17;21;9;5;5
16/05/2019;0,45;0,46;3;10;28;42;28;15;7
15/05/2019;0,46;0,47;2;21;46;77;33;17;11
14/05/2019;0,32;0,28;1;18;41;67;27;14;12
13/05/2019;0,22;0,22;1;12;27;45;14;9;5
12/05/2019;0,21;0,22;1;3;16;20;10;7;4
11/05/2019;0,15;0,14;2;2;9;11;10;5;4
10/05/2019;0,25;0,28;5;25;24;62;18;11;7
09/05/2019;0,3;0,29;2;17;30;55;20;9;5
08/05/2019;0,2;0,39;3;6;23;31;11;7;3
07/05/2019;0,73;0,56;3;19;48;76;42;22;10
06/05/2019;0,27;0,27;1;11;32;48;19;9;10
05/05/2019;0,22;0,2;0;2;12;14;5;4;2
04/05/2019;0,16;0,16;0;2;11;14;5;5;5
03/05/2019;0,16;0,16;1;3;15;20;4;2;2
02/05/2019;0,17;0,17;1;3;11;16;6;4;4
01/05/2019;0,23;0,24;1;4;18;24;9;6;6
30/04/2019;0,28;0,28;1;20;30;60;21;11;7
29/04/2019;0,23;0,24;1;13;27;46;20;8;6
28/04/2019;0,28;0,25;1;2;16;18;19;7;3
27/04/2019;0,25;0,24;0;3;21;25;17;5;4
26/04/2019;0,2;0,2;1;4;16;21;11;4;4
25/04/2019;0,17;0,17;0;1;8;10;4;3;2
24/04/2019;0,2;0,2;1;4;17;22;4;2;2
23/04/2019;0,22;0,23;2;8;26;38;20;8;3
22/04/2019;0,23;0,23;1;3;17;21;31;14;5
21/04/2019;0,31;0,33;1;3;21;25;19;13;8
20/04/2019;0,41;0,39;2;5;20;27;15;12;7
19/04/2019;0,35;0,35;2;3;22;26;13;9;4
18/04/2019;0,27;0,29;3;2;15;17;11;7;2
17/04/2019;0,26;0,26;3;4;19;25;18;10;2
16/04/2019;0,3;0,27;2;13;31;50;13;8;4
15/04/2019;0,29;0,32;4;19;26;54;18;10;8
14/04/2019;0,47;0,49;3;7;33;44;24;16;12
13/04/2019;0,28;0,25;1;3;31;35;19;12;13
12/04/2019;0,26;0,25;1;11;31;47;22;14;7
11/04/2019;0,26;0,25;1;5;23;31;19;12;6
10/04/2019;0,29;0,3;1;21;26;57;13;8;4
09/04/2019;0,26;0,29;0;3;26;29;10;6;3
08/04/2019;0,26;0,21;1;4;26;32;12;5;3
07/04/2019;0,2;0,21;1;1;12;13;7;5;4
06/04/2019;0,21;0,23;1;2;18;20;6;5;3
05/04/2019;0,26;0,22;1;6;26;34;8;5;2
04/04/2019;0,2;0,2;0;4;15;20;4;4;2
03/04/2019;0,21;0,21;1;2;14;17;6;5;5
02/04/2019;0,25;0,24;3;13;22;41;21;11;6
01/04/2019;0,42;0,4;5;11;32;49;;10;5
31/03/2019;0,36;0,41;2;4;32;37;;13;5
30/03/2019;0,29;0,25;3;2;22;25;;12;4
29/03/2019;0,3;0,3;3;14;41;62;28;16;7
28/03/2019;0,61;0,59;3;19;36;64;33;16;6
27/03/2019;0,39;0,41;2;17;32;57;26;11;4
26/03/2019;0,39;0,36;2;7;29;39;16;9;2
25/03/2019;0,21;0,21;3;5;18;25;17;10;1
24/03/2019;0,44;0,46;3;5;23;30;23;16;6
23/03/2019;0,37;0,38;2;12;50;68;28;16;9
22/03/2019;0,38;0,37;1;12;49;66;23;15;8
21/03/2019;0,36;0,34;1;20;38;68;22;11;7
20/03/2019;0,23;0,22;1;11;30;46;11;7;4
19/03/2019;0,18;0,18;0;1;8;8;4;2;2
18/03/2019;0,24;0,23;1;8;24;35;12;5;6
17/03/2019;0,2;0,21;1;1;12;13;15;8;5
16/03/2019;0,29;0,57;1;10;36;50;31;17;14
15/03/2019;0,58;0,28;0;7;29;40;20;9;5
14/03/2019;0,19;0,18;1;6;22;31;21;9;9
13/03/2019;0,2;0,2;1;4;17;22;16;7;5
12/03/2019;0,23;0,24;1;8;25;36;18;8;5
11/03/2019;0,25;0,23;1;11;31;48;21;8;3
10/03/2019;0,23;0,24;2;11;19;34;17;9;5
09/03/2019;0,26;0,26;2;13;31;50;18;11;7
08/03/2019;0,25;0,22;2;8;28;40;13;6;3
07/03/2019;0,19;0,19;1;4;17;23;11;6;3
06/03/2019;0,17;0,17;2;2;8;10;5;4;2
05/03/2019;0,19;0,2;2;5;22;29;18;8;3
04/03/2019;0,2;0,18;3;4;20;27;28;9;4
03/03/2019;0,18;0,21;2;2;13;14;15;10;5
02/03/2019;0,37;0,38;4;13;38;57;20;11;9
01/03/2019;0,35;0,37;4;19;44;71;25;14;8
28/02/2019;0,42;0,48;6;30;47;92;40;18;7
27/02/2019;0,4;0,31;5;10;42;56;31;17;8
26/02/2019;0,6;0,67;6;22;54;87;44;23;8
25/02/2019;0,53;0,53;4;36;60;114;57;29;12
24/02/2019;0,4;0,39;3;10;41;56;54;24;11
23/02/2019;0,5;0,46;5;18;42;70;54;23;15
22/02/2019;0,28;0,29;4;14;47;67;52;22;10
21/02/2019;0,29;0,31;4;15;42;64;38;17;5
20/02/2019;0,38;0,38;3;19;44;72;33;18;6
19/02/2019;0,28;0,22;4;15;38;62;17;7;5
18/02/2019;0,28;0,31;7;11;26;43;23;9;4
17/02/2019;0,22;0,19;4;2;20;24;9;7;4
16/02/2019;0,2;0,22;5;1;24;25;20;11;5
15/02/2019;0,21;0,18;6;4;30;36;14;9;4
14/02/2019;0,21;0,28;4;7;30;39;15;10;3
13/02/2019;0,4;0,37;2;62;53;147;41;19;17
12/02/2019;0,43;0,52;2;26;45;84;24;13;5
11/02/2019;0,33;0,23;2;8;34;47;16;7;6
10/02/2019;0,17;0,15;3;;;;10;6;5
09/02/2019;0,16;0,18;4;0;8;8;4;4;2
08/02/2019;0,42;0,46;4;38;37;96;29;15;7
07/02/2019;0,54;0,55;4;46;46;115;42;23;6
06/02/2019;0,32;0,29;2;35;66;119;25;13;8
05/02/2019;0,25;0,23;;;;;19;10;7
04/02/2019;0,35;0,43;;;;;11;7;6
03/02/2019;0,3;0,21;;;;;10;7;5
02/02/2019;0,2;0,22;;;;;11;6;4
01/02/2019;0,26;0,29;;;;;8;5;2
31/01/2019;0,27;0,21;;;;;8;4;2
30/01/2019;0,2;0,2;;;;;13;7;4
29/01/2019;0,23;0,23;;;;;15;8;3
28/01/2019;0,19;0,2;;;;;14;6;5
27/01/2019;0,24;0,27;;;;;13;7;6
26/01/2019;0,3;0,3;;;;;14;10;6
25/01/2019;0,2;0,24;;;;;11;6;2
24/01/2019;0,36;0,3;;;;;8;6;2
23/01/2019;0,21;0,22;;;;;13;7;4
22/01/2019;0,24;0,26;1;9;31;44;9;5;4
21/01/2019;0,25;0,22;2;16;30;54;14;8;2
20/01/2019;0,19;0,19;2;5;17;24;7;4;4
19/01/2019;0,17;0,18;1;5;13;21;2;3;2
18/01/2019;0,27;0,29;2;20;37;68;10;7;4
17/01/2019;0,29;0,27;4;16;36;61;9;6;4
16/01/2019;0,35;0,43;4;45;36;105;29;18;6
15/01/2019;0,4;0,33;4;41;45;107;18;10;5
14/01/2019;0,21;0,2;4;10;33;48;7;4;9
13/01/2019;0,36;0,43;6;15;32;54;11;8;7
12/01/2019;0,5;0,5;7;32;46;93;19;13;7
11/01/2019;0,61;0,56;6;81;63;186;38;19;7
10/01/2019;0,28;0,24;4;21;39;71;16;8;4
09/01/2019;0,23;0,23;6;8;28;39;16;8;3
08/01/2019;0,44;0,52;8;30;47;92;29;16;7
07/01/2019;0,36;0,33;5;15;45;67;20;12;6
06/01/2019;0,5;0,53;4;17;36;62;22;17;14
05/01/2019;0,48;0,46;4;41;46;108;30;21;16
04/01/2019;0,46;0,46;4;47;45;117;31;20;9
03/01/2019;0,36;0,33;4;29;37;82;18;13;11
02/01/2019;0,4;0,44;6;23;43;78;11;9;6
01/01/2019;0,65;0,74;5;29;31;74;50;34;7
