Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
11/03/2012;11;16;32;48;25;5
10/03/2012;6;18;27;48;24;5
09/03/2012;7;20;30;40;22;5
08/03/2012;3;20;25;56;28;5
07/03/2012;5;17;25;51;11;5
06/03/2012;5;21;29;49;11;5
05/03/2012;4;17;23;56;17;5
04/03/2012;3;9;14;60;12;5
03/03/2012;4;20;26;45;32;7
02/03/2012;10;34;49;27;56;8
01/03/2012;13;47;66;19;52;9
29/02/2012;13;40;57;26;43;7
28/02/2012;24;33;70;26;33;6
27/02/2012;17;23;51;25;24;5
26/02/2012;19;17;48;23;22;5
25/02/2012;10;23;41;21;30;6
24/02/2012;12;33;52;28;30;8
23/02/2012;9;36;51;29;24;9
22/02/2012;13;37;59;24;27;12
21/02/2012;10;30;47;28;24;6
20/02/2012;6;18;29;39;15;5
19/02/2012;6;15;25;44;17;5
18/02/2012;6;19;31;31;20;6
17/02/2012;11;28;46;23;18;5
16/02/2012;7;26;39;37;16;5
15/02/2012;7;21;35;43;13;6
14/02/2012;5;20;30;55;12;5
13/02/2012;9;24;40;38;13;5
12/02/2012;17;16;41;63;19;6
11/02/2012;19;21;51;42;22;6
10/02/2012;22;30;65;25;40;6
09/02/2012;27;36;76;12;44;5
08/02/2012;17;32;59;38;24;7
07/02/2012;18;25;53;45;15;5
06/02/2012;23;24;59;47;16;5
05/02/2012;21;9;42;64;22;5
04/02/2012;23;20;55;38;17;5
03/02/2012;20;19;51;59;20;8
02/02/2012;17;23;49;54;30;8
01/02/2012;9;21;34;47;16;5
31/01/2012;9;27;41;15;17;5
30/01/2012;10;24;39;25;15;5
29/01/2012;3;13;17;48;12;5
28/01/2012;2;11;14;46;8;4
27/01/2012;21;23;55;32;11;5
26/01/2012;8;19;31;26;15;5
25/01/2012;13;22;42;21;16;5
24/01/2012;10;25;41;29;15;5
23/01/2012;;;;28;12;5
22/01/2012;;;;30;10;4
21/01/2012;2;17;20;28;10;5
20/01/2012;18;24;51;31;10;4
19/01/2012;21;26;58;17;13;5
18/01/2012;45;29;99;11;28;9
17/01/2012;21;23;56;20;19;4
16/01/2012;22;35;68;13;18;5
15/01/2012;16;21;45;30;21;5
14/01/2012;12;24;42;18;24;5
13/01/2012;32;31;81;9;34;5
12/01/2012;37;28;85;10;27;5
11/01/2012;27;24;66;9;21;4
10/01/2012;27;18;59;13;24;5
09/01/2012;12;5;23;39;17;5
08/01/2012;10;4;20;30;9;5
07/01/2012;7;10;21;29;14;5
06/01/2012;5;8;15;54;15;4
05/01/2012;9;5;18;42;8;5
04/01/2012;6;5;15;38;15;14
03/01/2012;6;3;11;43;9;4
02/01/2012;7;9;20;42;15;4
01/01/2012;5;2;10;44;9;4
