Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);NO (µg/m3);NO2 (µg/m3)
13/05/2012;273;7;22;6;11;38
12/05/2012;202;3;23;4;11;33
11/05/2012;282;7;23;5;;
10/05/2012;;15;23;7;;
09/05/2012;199;6;14;5;;
08/05/2012;405;6;20;5;10;45
07/05/2012;263;;15;5;6;43
06/05/2012;344;;17;7;14;40
05/05/2012;227;;10;4;7;36
04/05/2012;194;;7;3;6;36
03/05/2012;264;;18;8;;
02/05/2012;430;14;20;8;;
01/05/2012;377;6;8;4;;
30/04/2012;277;7;19;6;;
29/04/2012;266;6;10;4;;
28/04/2012;238;4;11;5;;
27/04/2012;354;5;16;6;;
26/04/2012;210;3;9;4;;
25/04/2012;202;3;21;6;;
24/04/2012;306;5;21;5;;
23/04/2012;218;6;18;4;;
22/04/2012;225;5;11;3;;
21/04/2012;423;7;16;5;;
20/04/2012;277;6;13;4;;
19/04/2012;254;4;11;5;;
18/04/2012;228;6;14;5;;
17/04/2012;399;8;21;6;;
16/04/2012;196;3;18;5;;
15/04/2012;195;4;11;3;;
14/04/2012;250;4;9;4;;
13/04/2012;257;5;9;4;;
12/04/2012;250;4;13;4;;
11/04/2012;208;5;10;3;;
10/04/2012;316;5;14;4;;
09/04/2012;267;4;12;4;;
08/04/2012;185;4;11;2;;
07/04/2012;226;3;15;7;;
06/04/2012;428;3;11;5;;
05/04/2012;317;6;11;4;;
04/04/2012;268;10;23;11;;
03/04/2012;254;6;22;5;;
02/04/2012;356;6;36;12;;
01/04/2012;224;14;32;13;;
31/03/2012;314;9;35;14;;
30/03/2012;364;7;51;19;;
29/03/2012;541;7;53;19;;
28/03/2012;520;16;53;18;;
27/03/2012;313;11;33;15;;
26/03/2012;;10;43;14;;
25/03/2012;420;9;32;11;;
24/03/2012;313;8;20;11;;
23/03/2012;556;10;32;17;;
22/03/2012;430;7;21;8;;
21/03/2012;581;6;26;8;;
20/03/2012;1093;8;27;11;;
19/03/2012;437;4;12;5;;
18/03/2012;336;2;7;4;;
17/03/2012;424;3;27;16;;
16/03/2012;431;5;43;13;;
15/03/2012;464;6;44;15;;
14/03/2012;816;7;55;19;;
13/03/2012;582;8;45;20;;
12/03/2012;333;5;30;8;;
11/03/2012;377;9;25;7;;
10/03/2012;535;7;30;9;;
09/03/2012;488;8;34;10;;
08/03/2012;254;3;23;4;;
07/03/2012;541;7;24;10;;
06/03/2012;309;6;19;7;;
05/03/2012;378;5;21;5;;
04/03/2012;292;4;17;4;;
03/03/2012;513;8;33;12;;
02/03/2012;889;9;59;26;;
01/03/2012;597;9;49;21;;
29/02/2012;673;11;48;17;;
28/02/2012;1109;9;44;15;;
27/02/2012;591;7;31;14;;
