Date;CO (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
11/04/2012;165;3;10;15;74;22;5
10/04/2012;161;3;8;14;76;16;4
09/04/2012;233;4;12;19;60;15;5
08/04/2012;165;3;7;11;78;13;4
07/04/2012;169;4;12;18;81;16;4
06/04/2012;318;5;20;27;48;11;4
05/04/2012;143;3;9;14;79;9;4
04/04/2012;213;11;21;38;60;21;5
03/04/2012;133;3;8;13;86;20;4
02/04/2012;184;8;19;31;60;30;5
01/04/2012;179;6;14;23;52;35;5
31/03/2012;319;;;;56;35;6
30/03/2012;216;;;;57;41;5
29/03/2012;334;;;;73;50;7
28/03/2012;412;10;39;54;64;47;11
27/03/2012;265;5;26;33;88;34;7
26/03/2012;357;11;38;54;61;43;9
25/03/2012;348;6;29;38;75;32;8
24/03/2012;222;4;21;27;83;18;6
23/03/2012;225;9;32;46;49;24;6
22/03/2012;347;8;34;47;48;18;5
21/03/2012;297;11;35;51;46;19;4
20/03/2012;343;13;23;43;59;22;5
19/03/2012;179;5;13;21;77;13;5
18/03/2012;205;4;8;14;80;13;4
17/03/2012;307;5;18;26;63;31;5
16/03/2012;298;5;15;22;71;36;11
15/03/2012;410;11;25;41;60;35;5
14/03/2012;472;22;30;64;44;38;6
13/03/2012;411;20;32;63;36;37;6
12/03/2012;206;5;14;22;57;32;4
11/03/2012;204;6;15;24;59;33;4
10/03/2012;446;10;37;53;46;39;6
09/03/2012;387;14;35;56;48;45;5
08/03/2012;185;5;7;15;76;34;4
07/03/2012;330;12;28;46;47;18;6
06/03/2012;158;6;15;24;69;24;5
05/03/2012;143;3;6;11;81;23;4
04/03/2012;206;4;12;18;60;27;4
03/03/2012;320;5;25;32;51;37;5
02/03/2012;597;19;34;64;38;54;7
01/03/2012;374;10;34;48;46;47;8
29/02/2012;456;27;40;81;38;47;8
28/02/2012;439;14;38;60;32;35;6
27/02/2012;400;19;30;59;34;28;4
26/02/2012;250;5;13;20;40;24;4
25/02/2012;585;14;34;55;29;37;8
24/02/2012;446;20;50;81;36;45;10
23/02/2012;437;25;52;90;34;34;10
22/02/2012;358;20;49;79;32;29;8
21/02/2012;393;14;46;67;31;28;8
20/02/2012;519;20;44;75;30;26;6
19/02/2012;209;5;19;27;59;23;5
18/02/2012;284;10;32;48;37;26;6
17/02/2012;423;21;41;74;29;26;5
16/02/2012;227;5;16;24;63;17;4
15/02/2012;245;5;11;19;66;22;4
14/02/2012;219;5;5;12;75;15;4
13/02/2012;230;12;23;42;57;18;5
12/02/2012;188;4;7;12;79;15;4
11/02/2012;375;15;28;51;45;27;5
10/02/2012;488;21;38;69;36;42;7
09/02/2012;728;45;49;117;22;54;7
08/02/2012;219;3;11;17;61;20;4
07/02/2012;238;8;23;35;50;18;4
06/02/2012;211;5;12;20;61;15;4
05/02/2012;176;4;4;10;76;24;4
04/02/2012;160;3;6;11;73;14;4
03/02/2012;127;4;8;14;72;18;4
02/02/2012;211;3;8;13;70;27;4
01/02/2012;234;4;11;17;62;17;4
31/01/2012;345;18;30;57;37;23;7
30/01/2012;506;23;42;77;22;22;7
29/01/2012;120;4;7;13;64;14;4
28/01/2012;314;7;22;33;48;19;5
27/01/2012;345;12;41;60;31;29;6
26/01/2012;479;19;25;53;40;28;6
25/01/2012;446;33;41;92;16;26;5
24/01/2012;259;10;29;45;39;15;4
23/01/2012;143;3;7;12;63;14;3
22/01/2012;170;3;7;12;58;21;3
21/01/2012;194;3;4;8;64;18;3
20/01/2012;167;3;8;13;61;15;3
19/01/2012;304;16;24;50;38;17;5
18/01/2012;424;28;43;87;13;31;11
17/01/2012;409;30;36;83;35;31;7
16/01/2012;192;6;14;23;56;15;4
15/01/2012;287;5;21;29;37;23;6
14/01/2012;377;10;33;49;24;26;6
13/01/2012;310;28;45;88;14;36;8
12/01/2012;382;45;46;115;10;36;10
11/01/2012;396;50;40;117;12;40;7
10/01/2012;237;24;33;69;20;27;5
09/01/2012;178;5;20;27;48;17;3
08/01/2012;202;5;17;24;44;14;3
07/01/2012;209;8;22;34;40;26;3
06/01/2012;166;3;5;10;65;34;3
05/01/2012;196;4;13;18;54;36;5
04/01/2012;209;7;20;31;50;43;17
03/01/2012;266;7;25;36;37;48;4
02/01/2012;197;5;10;18;63;29;3
01/01/2012;167;6;12;21;44;22;4
