Date;CO (mg/m3);SO2 (µg/m3);PM10 (µg/m3);NO (µg/m3);NO2 (µg/m3)
26/06/2012;258;3;46;;
25/06/2012;255;;35;;
24/06/2012;237;;29;;
23/06/2012;269;;25;;
22/06/2012;135;;22;;
21/06/2012;145;;15;;
20/06/2012;271;;29;;
19/06/2012;268;;25;;
18/06/2012;243;5;11;;
17/06/2012;266;4;16;;
16/06/2012;308;3;13;;
15/06/2012;319;4;18;;
14/06/2012;299;4;17;;
13/06/2012;231;4;14;;
12/06/2012;329;3;14;;
11/06/2012;308;3;;;
10/06/2012;309;3;;;
09/06/2012;312;4;20;;
08/06/2012;350;3;21;;
07/06/2012;242;3;15;;
06/06/2012;295;3;18;;
05/06/2012;270;4;21;;
04/06/2012;223;3;13;;
03/06/2012;155;3;10;;
02/06/2012;198;3;21;;
01/06/2012;303;3;34;;
31/05/2012;293;3;25;29;30
30/05/2012;232;3;20;38;18
29/05/2012;261;3;28;40;20
28/05/2012;285;3;19;38;22
27/05/2012;219;3;18;30;21
26/05/2012;214;3;14;22;23
25/05/2012;346;3;30;36;28
24/05/2012;339;3;32;;
23/05/2012;322;3;20;40;25
22/05/2012;217;2;26;28;25
21/05/2012;195;3;16;11;27
20/05/2012;179;2;6;23;31
19/05/2012;200;2;10;30;33
18/05/2012;211;2;21;18;44
17/05/2012;213;3;30;13;33
16/05/2012;256;3;26;10;32
15/05/2012;282;3;21;7;32
14/05/2012;246;3;22;13;33
13/05/2012;226;2;18;7;30
12/05/2012;195;1;21;6;30
11/05/2012;214;2;23;18;34
10/05/2012;249;3;14;17;39
09/05/2012;266;2;10;10;33
08/05/2012;258;1;15;12;31
07/05/2012;220;2;11;11;32
06/05/2012;196;2;14;12;31
05/05/2012;156;2;10;7;28
04/05/2012;123;2;6;4;32
03/05/2012;164;3;13;17;35
02/05/2012;275;3;15;27;30
01/05/2012;141;2;8;13;24
30/04/2012;180;3;16;;
29/04/2012;161;3;10;;
28/04/2012;191;5;9;;
27/04/2012;219;4;15;;
26/04/2012;244;3;9;17;19
25/04/2012;251;3;14;21;17
24/04/2012;279;3;16;34;14
23/04/2012;272;3;18;18;24
22/04/2012;261;3;11;12;22
21/04/2012;379;3;17;18;26
20/04/2012;324;3;11;21;34
19/04/2012;275;3;10;14;24
18/04/2012;251;3;12;23;21
17/04/2012;258;4;18;22;21
16/04/2012;250;4;14;7;11
15/04/2012;271;4;10;7;12
14/04/2012;298;4;10;17;23
13/04/2012;278;3;8;9;16
12/04/2012;252;3;11;16;16
11/04/2012;254;3;7;11;14
10/04/2012;259;3;14;14;17
09/04/2012;241;4;14;22;14
08/04/2012;189;3;9;10;12
07/04/2012;217;4;18;10;17
06/04/2012;340;5;12;26;28
05/04/2012;214;4;11;13;20
04/04/2012;226;5;18;21;20
03/04/2012;245;3;24;10;23
02/04/2012;244;4;30;19;19
01/04/2012;242;4;35;19;30
31/03/2012;270;4;34;21;35
30/03/2012;373;5;42;31;39
29/03/2012;293;5;43;29;39
28/03/2012;294;6;40;38;49
27/03/2012;243;5;31;20;45
26/03/2012;308;5;35;30;39
25/03/2012;271;5;30;18;40
24/03/2012;210;4;18;14;36
23/03/2012;323;5;28;36;30
22/03/2012;229;4;18;26;32
21/03/2012;293;4;24;27;31
20/03/2012;319;4;24;18;26
19/03/2012;199;4;12;16;31
18/03/2012;182;3;8;8;21
17/03/2012;268;3;28;17;24
16/03/2012;363;3;48;22;35
15/03/2012;;4;55;51;40
14/03/2012;;5;57;38;36
13/03/2012;;4;42;35;28
12/03/2012;;3;31;24;24
11/03/2012;;3;25;15;24
10/03/2012;;4;27;20;28
09/03/2012;;4;26;19;26
08/03/2012;;3;23;9;24
07/03/2012;;4;18;28;37
06/03/2012;;4;17;24;31
05/03/2012;;3;17;18;25
04/03/2012;;3;16;13;23
03/03/2012;;4;37;25;27
02/03/2012;;5;60;35;30
01/03/2012;672;4;52;42;25
29/02/2012;573;5;49;30;30
28/02/2012;588;5;40;;
27/02/2012;555;4;29;;
26/02/2012;393;3;15;;
25/02/2012;481;4;34;;
24/02/2012;542;8;47;;
23/02/2012;440;8;34;55;24
