Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);SO2 (µg/m3);PM10 (µg/m3)
29/03/2012;10;41;58;8;29
28/03/2012;28;52;98;14;41
27/03/2012;20;49;81;17;44
26/03/2012;25;42;81;16;38
25/03/2012;9;45;60;12;37
24/03/2012;7;35;48;12;29
23/03/2012;25;41;80;13;31
22/03/2012;18;39;68;6;19
21/03/2012;24;44;83;4;15
20/03/2012;21;33;67;5;23
19/03/2012;9;31;46;4;8
18/03/2012;4;12;20;4;8
17/03/2012;6;20;30;4;25
16/03/2012;11;38;57;5;37
15/03/2012;33;52;104;5;45
14/03/2012;48;66;141;8;50
13/03/2012;38;47;107;8;34
12/03/2012;16;44;70;5;24
11/03/2012;9;30;45;6;23
10/03/2012;13;38;59;8;23
09/03/2012;29;40;85;6;25
08/03/2012;6;24;34;4;16
07/03/2012;18;44;73;6;17
06/03/2012;27;49;91;5;18
05/03/2012;24;38;77;5;17
04/03/2012;7;28;39;6;16
03/03/2012;11;38;56;8;32
02/03/2012;33;42;94;7;45
01/03/2012;46;64;136;8;44
29/02/2012;43;52;119;7;38
28/02/2012;26;47;88;6;25
27/02/2012;35;42;98;5;22
26/02/2012;7;26;37;4;15
25/02/2012;26;38;79;6;32
24/02/2012;47;52;126;9;32
23/02/2012;49;63;140;11;32
22/02/2012;41;56;121;7;35
21/02/2012;39;51;112;7;27
20/02/2012;34;41;95;5;25
19/02/2012;9;34;50;3;18
18/02/2012;18;36;64;5;18
17/02/2012;36;45;101;4;18
16/02/2012;9;39;55;3;10
15/02/2012;33;54;106;4;17
14/02/2012;6;31;41;3;7
13/02/2012;37;60;118;5;25
12/02/2012;4;20;28;5;12
11/02/2012;23;30;67;6;27
10/02/2012;43;45;113;7;39
09/02/2012;52;51;133;4;38
08/02/2012;6;29;40;4;13
07/02/2012;16;37;64;4;11
06/02/2012;7;26;38;3;9
05/02/2012;5;23;32;3;18
04/02/2012;13;40;62;4;17
03/02/2012;4;17;25;5;12
02/02/2012;5;20;29;4;17
01/02/2012;15;35;59;3;14
31/01/2012;61;49;145;6;23
30/01/2012;38;41;101;4;20
29/01/2012;8;28;42;4;10
28/01/2012;14;32;55;4;14
27/01/2012;30;55;103;3;14
26/01/2012;47;43;117;8;22
25/01/2012;47;37;110;4;21
24/01/2012;19;42;72;3;11
23/01/2012;11;45;63;2;8
22/01/2012;9;35;50;3;11
21/01/2012;8;33;47;2;8
20/01/2012;16;52;77;2;11
19/01/2012;43;46;113;4;18
18/01/2012;69;41;148;7;28
17/01/2012;61;48;143;4;27
16/01/2012;48;57;133;2;17
15/01/2012;24;41;79;7;20
14/01/2012;23;37;73;6;24
13/01/2012;63;46;144;7;31
12/01/2012;92;39;182;6;32
11/01/2012;84;34;165;5;34
10/01/2012;63;34;132;5;31
09/01/2012;6;25;35;3;12
08/01/2012;7;27;39;2;6
07/01/2012;12;33;53;2;10
06/01/2012;6;26;37;2;11
05/01/2012;26;34;75;4;16
04/01/2012;18;44;73;3;15
03/01/2012;14;33;56;4;10
02/01/2012;12;37;57;3;14
01/01/2012;7;18;31;4;10
