Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);O3 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
01/08/2012;13;8;27;62;30;
31/07/2012;15;8;29;49;22;
30/07/2012;19;8;36;41;19;
29/07/2012;12;7;24;44;13;
28/07/2012;8;7;19;64;21;
27/07/2012;12;7;25;83;26;
26/07/2012;13;9;28;70;33;
25/07/2012;21;10;42;52;33;
24/07/2012;17;10;37;56;29;
23/07/2012;19;8;37;53;20;
22/07/2012;13;7;27;35;11;
21/07/2012;16;7;32;31;9;
20/07/2012;11;6;24;40;8;
19/07/2012;10;7;22;52;11;
18/07/2012;21;9;42;44;29;
17/07/2012;20;11;43;45;28;
16/07/2012;20;8;39;39;18;
15/07/2012;8;7;20;37;10;
14/07/2012;8;6;20;50;17;
13/07/2012;14;9;31;47;18;
12/07/2012;19;8;38;41;16;
11/07/2012;9;8;22;47;11;
10/07/2012;12;7;27;46;10;
09/07/2012;19;8;39;46;12;
08/07/2012;10;6;21;60;12;
07/07/2012;13;7;28;47;17;
06/07/2012;19;8;37;36;18;
05/07/2012;13;7;27;48;18;
04/07/2012;21;10;43;38;23;
03/07/2012;23;9;45;44;26;
02/07/2012;19;8;38;38;19;
01/07/2012;10;6;21;50;13;
30/06/2012;13;7;29;42;17;
29/06/2012;16;7;33;34;22;
28/06/2012;16;6;31;35;31;
27/06/2012;25;9;47;44;51;
26/06/2012;21;8;41;35;32;
25/06/2012;19;9;38;41;31;
24/06/2012;14;7;29;55;47;
23/06/2012;15;7;31;39;36;
22/06/2012;14;8;30;39;24;
21/06/2012;11;7;25;53;19;
20/06/2012;15;7;31;48;25;
19/06/2012;13;7;27;52;20;
18/06/2012;11;6;23;52;11;
17/06/2012;11;6;23;53;18;
16/06/2012;12;6;25;47;15;
15/06/2012;15;8;32;55;22;
14/06/2012;16;8;33;58;24;
13/06/2012;10;6;21;68;16;
12/06/2012;11;7;24;45;14;
11/06/2012;15;7;30;37;16;
10/06/2012;11;6;23;38;17;
09/06/2012;11;8;25;41;22;
08/06/2012;12;6;25;53;21;
07/06/2012;11;6;23;55;21;
06/06/2012;13;8;27;46;19;
05/06/2012;17;8;34;48;22;
04/06/2012;16;8;33;40;17;
03/06/2012;8;5;18;67;11;
02/06/2012;10;6;22;59;21;
01/06/2012;20;9;39;62;32;
31/05/2012;13;7;28;47;23;
30/05/2012;16;6;31;55;22;
29/05/2012;17;7;34;57;30;
28/05/2012;16;7;32;48;22;
27/05/2012;11;7;24;57;16;
26/05/2012;10;6;22;56;14;
25/05/2012;18;8;36;65;35;
24/05/2012;24;9;46;32;28;
23/05/2012;24;7;44;39;22;
22/05/2012;13;6;27;37;16;
21/05/2012;7;6;18;69;15;
20/05/2012;7;6;18;71;9;
19/05/2012;7;6;18;68;14;
18/05/2012;7;5;18;72;22;
17/05/2012;6;6;16;82;36;
16/05/2012;11;7;24;67;19;
15/05/2012;13;7;27;60;23;
14/05/2012;15;6;29;51;24;
13/05/2012;5;5;14;54;19;
12/05/2012;4;5;10;69;26;
11/05/2012;11;6;23;40;18;
10/05/2012;12;7;26;56;17;
09/05/2012;6;6;16;56;14;
08/05/2012;9;7;21;40;14;
07/05/2012;8;7;20;55;17;
06/05/2012;7;7;18;49;14;
05/05/2012;4;5;12;74;8;
04/05/2012;6;5;14;85;7;
03/05/2012;8;7;20;63;15;
02/05/2012;11;8;25;68;14;
01/05/2012;4;5;12;78;7;
30/04/2012;10;8;23;52;20;
29/04/2012;6;6;15;61;10;
28/04/2012;7;7;18;59;11;
27/04/2012;12;9;28;44;14;
26/04/2012;8;6;18;92;12;
25/04/2012;7;5;16;86;17;
24/04/2012;5;6;14;72;15;
23/04/2012;6;6;16;68;;
22/04/2012;4;5;12;74;;
21/04/2012;6;7;17;58;;
20/04/2012;7;7;17;65;;
19/04/2012;5;7;16;73;;
18/04/2012;7;6;18;67;;
17/04/2012;9;6;21;53;;
16/04/2012;4;6;13;80;;
15/04/2012;4;5;12;85;;
14/04/2012;6;7;16;58;;
13/04/2012;6;7;17;57;;
12/04/2012;9;6;21;62;;
11/04/2012;8;6;18;56;;
10/04/2012;8;7;20;54;;
09/04/2012;6;7;16;45;;
08/04/2012;4;5;11;70;;
07/04/2012;4;6;13;75;;
06/04/2012;6;7;16;39;;
05/04/2012;6;6;15;53;;
04/04/2012;22;7;42;44;;
03/04/2012;6;8;16;57;;
02/04/2012;19;7;36;57;;
01/04/2012;8;8;20;51;;
31/03/2012;11;8;25;45;;
30/03/2012;26;10;49;40;;
29/03/2012;9;10;23;60;;
28/03/2012;25;12;51;38;;
27/03/2012;6;9;18;73;;
26/03/2012;21;10;43;54;;
25/03/2012;5;10;18;53;;
24/03/2012;5;8;16;70;;
23/03/2012;16;9;34;41;;
22/03/2012;16;10;36;39;;
21/03/2012;32;12;61;27;;
20/03/2012;18;9;37;47;;
19/03/2012;8;8;21;51;;
18/03/2012;2;6;10;74;;
17/03/2012;5;8;16;55;;
16/03/2012;4;8;15;64;;
15/03/2012;19;10;40;47;;
14/03/2012;35;11;65;33;;
13/03/2012;37;10;67;23;11;
12/03/2012;13;9;28;34;10;
11/03/2012;9;8;22;43;6;
10/03/2012;17;9;35;38;7;
09/03/2012;33;10;60;36;7;
08/03/2012;8;7;19;59;10;
07/03/2012;16;11;35;36;7;
06/03/2012;18;9;37;38;6;
05/03/2012;33;10;60;37;;
04/03/2012;5;7;14;58;;
03/03/2012;11;10;27;39;;
02/03/2012;39;10;71;25;;
01/03/2012;25;10;49;28;;
29/02/2012;42;11;76;31;;3
28/02/2012;47;12;84;18;;2
27/02/2012;41;9;72;21;;2
26/02/2012;8;6;19;31;;1
25/02/2012;23;9;45;23;;2
24/02/2012;54;13;95;24;;2
23/02/2012;54;13;95;20;;2
22/02/2012;53;14;95;22;;2
21/02/2012;48;11;85;19;28;2
20/02/2012;46;11;82;26;16;2
19/02/2012;9;7;22;35;16;2
18/02/2012;17;8;34;27;19;2
17/02/2012;43;9;75;17;20;2
16/02/2012;8;7;19;42;14;2
15/02/2012;26;9;49;32;17;1
14/02/2012;6;6;15;56;;2
13/02/2012;32;10;58;19;;1
12/02/2012;7;7;18;58;17;2
11/02/2012;34;8;60;43;17;2
10/02/2012;47;11;83;23;38;1
09/02/2012;47;11;84;9;38;2
08/02/2012;9;6;20;49;15;1
07/02/2012;16;8;33;39;12;2
06/02/2012;9;7;21;44;11;2
05/02/2012;5;5;14;62;15;2
04/02/2012;11;7;25;39;16;1
03/02/2012;6;8;16;66;15;1
02/02/2012;5;10;18;63;20;2
01/02/2012;6;11;21;42;14;2
31/01/2012;61;15;109;11;20;2
28/01/2012;17;8;34;36;10;2
27/01/2012;31;11;59;16;14;2
26/01/2012;44;9;77;;24;1
25/01/2012;76;10;127;6;27;4
24/01/2012;32;10;59;11;14;2
23/01/2012;12;14;33;12;10;2
22/01/2012;8;9;21;14;10;2
21/01/2012;6;7;16;17;7;2
20/01/2012;8;9;21;14;8;3
19/01/2012;39;10;70;8;15;3
18/01/2012;65;11;110;6;31;2
17/01/2012;74;11;125;7;25;2
16/01/2012;51;12;90;8;16;2
15/01/2012;19;8;38;9;17;3
14/01/2012;23;8;43;9;16;2
13/01/2012;57;10;97;6;26;2
12/01/2012;96;11;158;8;37;2
11/01/2012;112;11;183;8;28;1
10/01/2012;70;10;117;10;23;2
09/01/2012;13;8;27;18;14;3
08/01/2012;6;7;16;18;10;3
07/01/2012;11;7;24;17;15;3
06/01/2012;5;6;14;27;19;2
05/01/2012;17;7;33;23;14;1
04/01/2012;13;9;29;18;18;2
03/01/2012;20;8;39;20;13;2
02/01/2012;6;8;17;24;18;2
01/01/2012;5;6;14;23;13;3
