Date;NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
26/03/2023;0;5;5;12;5
25/03/2023;2;18;21;13;10
24/03/2023;1;19;21;8;6
23/03/2023;1;12;14;9;7
22/03/2023;11;32;49;20;16
21/03/2023;9;26;40;16;12
20/03/2023;12;30;49;14;12
19/03/2023;0;7;7;4;2
18/03/2023;0;4;4;4;2
17/03/2023;0;8;9;13;6
16/03/2023;1;14;15;15;8
15/03/2023;6;26;36;20;12
14/03/2023;1;17;19;19;9
13/03/2023;1;11;13;10;7
12/03/2023;1;9;10;3;5
11/03/2023;2;11;14;6;8
10/03/2023;1;13;15;10;8
09/03/2023;3;21;26;11;7
08/03/2023;1;10;11;6;4
07/03/2023;3;21;25;21;16
06/03/2023;8;32;44;34;29
05/03/2023;4;21;26;29;27
04/03/2023;6;24;32;29;30
03/03/2023;17;42;67;24;19
02/03/2023;4;31;36;;
01/03/2023;7;21;31;;
28/02/2023;7;15;26;13;10
27/02/2023;1;12;14;10;6
26/02/2023;0;3;3;8;6
25/02/2023;1;18;20;7;7
24/02/2023;1;12;13;4;4
23/02/2023;1;22;23;4;5
22/02/2023;11;27;45;37;27
21/02/2023;4;22;28;33;24
20/02/2023;16;33;57;35;24
19/02/2023;2;20;24;29;25
18/02/2023;3;27;32;27;22
17/02/2023;24;45;82;35;23
16/02/2023;23;42;77;33;22
15/02/2023;7;29;39;19;13
14/02/2023;1;12;13;12;8
13/02/2023;7;17;27;14;10
12/02/2023;2;16;18;9;11
11/02/2023;2;22;25;14;15
10/02/2023;22;34;67;23;17
09/02/2023;24;32;67;20;16
08/02/2023;30;29;75;24;18
07/02/2023;25;37;75;22;17
06/02/2023;7;21;31;12;7
05/02/2023;8;24;36;12;12
04/02/2023;16;27;51;19;15
03/02/2023;29;29;73;21;17
02/02/2023;31;27;74;20;13
01/02/2023;11;25;42;10;8
31/01/2023;14;29;50;17;14
30/01/2023;18;29;57;17;15
29/01/2023;1;14;16;7;9
28/01/2023;1;10;11;3;5
27/01/2023;3;14;19;6;5
26/01/2023;2;14;17;11;8
25/01/2023;16;25;50;23;18
24/01/2023;7;19;30;12;12
23/01/2023;3;18;22;10;10
22/01/2023;5;17;25;8;10
21/01/2023;9;17;30;9;10
20/01/2023;21;26;58;11;8
19/01/2023;0;9;9;6;5
18/01/2023;3;22;27;8;7
17/01/2023;0;9;9;6;6
16/01/2023;3;23;26;9;9
15/01/2023;1;12;14;6;5
14/01/2023;0;6;6;3;3
13/01/2023;8;26;39;11;8
12/01/2023;26;35;75;27;14
11/01/2023;10;33;49;19;9
10/01/2023;15;32;54;19;10
09/01/2023;8;28;39;19;6
08/01/2023;1;10;10;7;3
07/01/2023;0;7;7;7;4
06/01/2023;11;24;41;13;11
05/01/2023;27;37;78;20;15
04/01/2023;31;40;87;20;14
03/01/2023;26;31;71;15;10
02/01/2023;8;26;39;10;4
01/01/2023;0;6;6;21;6
