Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NO2 (µg/m3);NOX (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
02/11/2023;0,17;0,16;1;5;7;;5;6
01/11/2023;0,16;0,16;1;1;2;;4;5
31/10/2023;0,17;0,17;2;4;6;;4;4
30/10/2023;0,21;0,2;3;10;15;;8;6
29/10/2023;0,17;0,16;1;4;7;;4;4
28/10/2023;0,14;0,14;1;1;;;3;4
27/10/2023;0,17;0,17;2;10;14;;6;5
26/10/2023;0,21;0,2;2;22;25;;7;5
25/10/2023;0,19;0,19;4;12;18;;5;5
24/10/2023;0,16;0,16;2;8;11;;3;5
23/10/2023;0,17;0,17;4;16;21;;5;6
22/10/2023;0,18;0,18;2;17;19;;5;7
21/10/2023;0,16;0,15;1;9;11;;4;4
20/10/2023;0,18;0,18;1;5;7;;2;5
19/10/2023;0,17;0,16;1;7;9;;4;4
18/10/2023;0,15;0,15;1;4;6;;4;4
17/10/2023;0,15;0,15;2;10;12;;7;4
16/10/2023;0,18;0,19;3;15;19;;5;4
15/10/2023;0,19;0,19;2;12;13;;4;5
14/10/2023;0,25;0,28;3;15;18;;14;4
13/10/2023;0,27;0,24;3;23;27;;16;7
12/10/2023;0,26;0,27;4;35;40;;19;13
11/10/2023;0,26;0,27;8;43;54;;19;18
10/10/2023;0,28;0,27;11;48;65;;21;24
09/10/2023;0,26;0,26;8;38;50;;18;16
08/10/2023;0,26;0,28;4;29;34;;19;10
07/10/2023;0,35;0,35;6;32;41;;24;5
06/10/2023;0,34;0,32;14;26;47;;23;4
05/10/2023;0,31;0,31;8;24;36;;16;5
04/10/2023;0,26;0,25;3;16;20;;6;6
03/10/2023;0,27;0,27;7;19;29;;10;7
02/10/2023;0,27;0,28;3;21;25;;12;8
01/10/2023;0,29;0,29;3;24;29;;18;9
30/09/2023;0,29;0,28;6;26;35;;14;7
29/09/2023;0,26;0,25;10;24;38;;12;9
28/09/2023;0,26;0,25;6;29;39;;17;14
27/09/2023;0,29;0,29;5;22;29;;12;10
26/09/2023;0,27;0,27;10;21;36;;11;9
25/09/2023;0,26;0,26;10;30;44;;13;14
24/09/2023;0,23;0,23;3;22;26;;10;14
23/09/2023;0,22;0,21;2;13;16;;7;8
22/09/2023;0,17;0,16;2;13;15;;6;7
21/09/2023;0,15;0,16;1;8;10;;7;7
20/09/2023;0,23;0,24;6;17;26;8;11;8
19/09/2023;0,24;0,24;5;17;24;;9;8
18/09/2023;0,18;0,19;1;6;8;;7;7
17/09/2023;0,23;0,22;3;16;20;;8;8
16/09/2023;0,19;0,19;1;12;14;;6;6
15/09/2023;0,29;0,29;7;22;33;;11;6
14/09/2023;0,28;0,29;8;14;26;;8;6
13/09/2023;0,26;0,25;4;15;20;;6;6
12/09/2023;0,23;0,24;3;16;20;;9;5
11/09/2023;0,26;0,26;4;19;24;;13;5
10/09/2023;0,26;0,26;2;10;12;;16;5
09/09/2023;0,27;0,29;2;18;22;;16;5
08/09/2023;0,3;0,29;3;19;24;;14;5
07/09/2023;0,29;0,3;3;26;30;;16;7
06/09/2023;0,32;0,32;6;30;40;;20;7
05/09/2023;0,27;0,26;4;22;28;;23;6
04/09/2023;0,22;0,22;1;12;14;;17;5
03/09/2023;0,26;0,26;4;17;22;;5;9
02/09/2023;0,23;0,23;2;15;17;;5;6
01/09/2023;0,23;0,23;4;11;17;;8;7
31/08/2023;0,24;0,25;3;12;17;;5;8
30/08/2023;0,23;0,22;2;11;14;;4;6
29/08/2023;0,24;0,24;1;9;11;;6;7
28/08/2023;0,2;0,2;2;7;9;;4;7
27/08/2023;0,18;0,18;1;4;6;;4;6
26/08/2023;0,2;0,19;1;6;8;;4;6
25/08/2023;0,22;0,23;1;5;6;;5;4
24/08/2023;0,32;0,33;3;14;18;;14;4
23/08/2023;0,31;0,29;3;20;24;;20;4
22/08/2023;0,26;0,26;3;12;16;;9;5
21/08/2023;0,26;0,26;3;11;15;;8;7
20/08/2023;0,25;0,25;1;6;8;;6;5
19/08/2023;0,25;0,25;2;8;10;;13;4
18/08/2023;0,27;0,27;4;15;20;;17;6
17/08/2023;0,22;0,22;3;11;15;;7;4
16/08/2023;0,21;0,21;1;7;8;;3;4
15/08/2023;0,22;0,22;2;7;9;;6;5
14/08/2023;0,22;0,22;2;9;12;;5;5
13/08/2023;0,21;0,21;1;4;5;;4;5
12/08/2023;0,2;0,2;4;14;20;;7;10
11/08/2023;0,24;0,23;4;17;23;;13;8
10/08/2023;0,21;0,21;2;9;11;;8;6
09/08/2023;0,28;0,28;4;20;27;;16;8
08/08/2023;0,21;0,2;4;12;18;;8;9
07/08/2023;0,17;0,17;3;9;14;;5;5
06/08/2023;0,16;0,16;1;4;7;;4;5
05/08/2023;0,16;0,16;2;8;11;;6;6
04/08/2023;0,16;0,16;1;7;9;;3;7
03/08/2023;0,17;0,18;1;6;8;;4;9
02/08/2023;0,23;0,23;4;11;17;;8;6
01/08/2023;0,26;0,26;3;16;20;;9;5
31/07/2023;0,22;0,21;2;11;14;;7;6
30/07/2023;0,2;0,2;0;6;6;;4;5
29/07/2023;0,21;0,21;3;12;17;;6;7
28/07/2023;0,23;0,23;5;15;22;;10;6
27/07/2023;0,24;0,24;7;14;24;;7;6
26/07/2023;0,2;0,19;3;13;19;;5;6
25/07/2023;0,16;0,16;0;6;6;;4;6
24/07/2023;0,23;0,23;1;12;13;;5;8
23/07/2023;0,19;0,18;2;12;15;;6;8
22/07/2023;0,18;0,18;2;12;16;;6;7
21/07/2023;0,22;0,21;6;16;24;;7;6
20/07/2023;0,23;0,23;6;17;27;;6;5
19/07/2023;0,38;;6;15;23;;8;5
18/07/2023;0,2;0,22;3;14;18;;8;4
17/07/2023;0,23;0,2;2;13;16;;11;5
16/07/2023;0,18;0,18;1;9;9;;11;7
15/07/2023;0,19;0,19;1;12;12;;6;7
14/07/2023;0,23;0,23;4;19;25;;12;6
13/07/2023;0,18;0,18;1;12;14;;6;5
12/07/2023;0,2;0,2;4;9;15;;9;6
11/07/2023;0,21;0,21;2;11;14;;10;6
10/07/2023;0,21;0,2;2;10;14;;9;4
09/07/2023;0,19;0,19;1;7;8;;6;3
08/07/2023;0,22;0,23;1;10;12;;13;2
07/07/2023;0,25;0,24;5;17;25;;17;4
06/07/2023;0,22;0,22;4;12;18;;7;5
05/07/2023;0,19;0,19;3;11;15;;5;6
04/07/2023;0,21;0,21;4;13;18;;9;9
03/07/2023;0,22;0,22;5;11;19;;11;4
02/07/2023;0,2;0,19;1;8;9;;8;5
01/07/2023;0,19;0,18;1;9;10;;8;6
30/06/2023;0,18;0,19;2;8;11;;8;7
29/06/2023;0,23;0,22;2;8;11;;12;5
28/06/2023;0,2;0,18;3;9;13;;10;5
27/06/2023;0,16;0,16;1;6;7;;6;4
26/06/2023;0,21;0,21;2;10;13;;6;3
25/06/2023;0,23;0,25;1;11;11;;12;3
24/06/2023;0,28;0,28;2;19;22;;21;4
23/06/2023;0,29;0,27;4;15;21;;14;4
22/06/2023;0,21;0,22;1;11;13;;12;4
21/06/2023;0,28;0,27;2;20;22;;11;2
20/06/2023;0,24;0,24;4;22;27;;9;2
19/06/2023;0,23;0,22;2;22;25;;9;3
18/06/2023;0,21;0,21;1;13;15;;10;2
17/06/2023;0,23;0,23;1;13;14;;10;2
16/06/2023;0,22;0,21;5;19;26;;13;5
15/06/2023;0,18;0,18;3;14;18;;9;6
14/06/2023;0,2;0,21;1;10;11;;14;4
13/06/2023;0,23;0,22;3;16;20;;9;3
12/06/2023;0,22;0,22;2;16;19;;9;3
11/06/2023;0,21;0,21;1;10;10;;6;3
10/06/2023;0,24;0,25;2;11;14;;9;3
09/06/2023;0,22;0,21;1;14;16;39;6;4
08/06/2023;0,22;0,23;1;20;22;36;8;3
07/06/2023;0,25;0,26;3;22;25;52;13;6
06/06/2023;0,31;0,3;3;20;25;60;15;5
05/06/2023;0,25;0,24;2;18;20;45;16;6
04/06/2023;0,24;0,24;1;12;12;58;19;4
03/06/2023;0,25;0,25;2;17;19;54;18;7
02/06/2023;0,25;0,25;5;21;28;23;11;5
01/06/2023;0,25;0,24;1;21;23;53;26;8
31/05/2023;0,25;0,25;2;18;21;48;18;4
30/05/2023;0,27;0,27;4;24;30;51;20;5
29/05/2023;0,32;0,31;4;25;31;60;23;4
28/05/2023;0,25;0,25;2;17;20;48;17;3
27/05/2023;0,24;0,24;2;17;19;30;12;4
26/05/2023;0,23;0,22;4;17;23;21;8;4
25/05/2023;0,19;0,2;1;17;18;28;10;5
24/05/2023;0,24;0,24;1;12;13;38;18;3
23/05/2023;0,23;0,22;1;13;15;40;15;3
22/05/2023;0,23;0,22;2;18;21;26;11;4
21/05/2023;0,2;0,2;0;9;10;26;11;6
20/05/2023;0,21;0,22;0;10;10;29;11;7
19/05/2023;0,24;0,22;1;9;10;29;11;4
18/05/2023;0,21;0,21;5;17;25;23;9;4
17/05/2023;0,19;0,18;5;14;21;22;7;5
16/05/2023;0,18;0,19;1;10;11;23;9;5
15/05/2023;0,19;0,19;1;11;12;32;10;5
14/05/2023;0,2;0,21;0;8;8;31;10;3
13/05/2023;0,19;0,18;1;9;9;20;6;4
12/05/2023;0,19;0,2;1;14;16;19;6;7
11/05/2023;0,21;;1;12;13;21;6;6
10/05/2023;0,17;0,17;1;9;10;27;7;8
09/05/2023;0,19;0,2;6;19;27;37;9;11
08/05/2023;0,21;0,21;6;16;24;24;9;11
07/05/2023;0,21;0,21;1;7;9;27;7;8
06/05/2023;0,24;0,25;3;17;22;32;10;12
05/05/2023;0,25;0,23;4;18;24;29;10;10
04/05/2023;0,2;0,2;1;9;11;22;7;9
03/05/2023;0,22;0,22;2;18;21;37;11;11
02/05/2023;0,24;0,23;5;15;22;22;7;9
01/05/2023;0,17;0,17;1;6;8;15;4;7
30/04/2023;0,18;0,18;2;5;7;17;5;6
29/04/2023;0,19;0,19;2;10;12;15;5;6
28/04/2023;0,25;0,26;5;20;27;39;13;8
27/04/2023;0,28;0,27;9;27;40;55;19;8
26/04/2023;0,27;0,26;7;20;31;32;10;8
25/04/2023;0,25;0,25;9;20;33;30;10;9
24/04/2023;0,24;0,24;7;20;30;26;9;10
23/04/2023;0,21;0,22;1;8;10;20;4;8
22/04/2023;0,23;0,22;2;14;16;19;8;11
21/04/2023;0,27;0,27;7;24;34;44;15;15
20/04/2023;0,27;0,28;7;21;31;39;13;11
19/04/2023;0,28;0,28;7;21;32;35;14;17
18/04/2023;0,26;0,25;4;14;19;26;10;7
17/04/2023;0,27;0,26;7;14;24;17;7;8
16/04/2023;0,2;0,2;2;7;10;14;4;7
15/04/2023;0,21;0,21;1;8;9;24;6;8
14/04/2023;0,21;0,22;1;7;8;24;7;9
13/04/2023;0,22;0,22;1;9;10;15;4;
12/04/2023;0,23;0,23;2;14;17;19;6;
11/04/2023;0,22;0,22;2;15;18;29;6;9
10/04/2023;0,24;0,24;2;11;14;26;7;10
09/04/2023;0,25;0,25;2;18;21;32;11;18
08/04/2023;0,26;0,26;3;24;29;28;10;23
07/04/2023;0,26;0,26;3;18;22;24;10;21
06/04/2023;0,25;0,25;3;16;20;20;8;16
05/04/2023;0,26;0,26;5;20;28;24;9;15
04/04/2023;0,26;0,25;6;15;23;16;7;9
03/04/2023;0,22;0,22;2;13;15;12;5;9
02/04/2023;0,21;0,21;0;6;6;22;5;9
01/04/2023;0,23;0,24;0;6;6;27;7;12
31/03/2023;0,29;0,27;0;11;11;54;15;11
30/03/2023;0,26;0,26;9;22;36;33;10;14
29/03/2023;0,24;0,25;1;16;17;36;12;10
28/03/2023;0,27;0,27;4;31;37;38;15;18
27/03/2023;0,24;0,24;1;13;14;26;8;10
26/03/2023;0,23;0,23;0;5;5;21;6;14
25/03/2023;0,26;0,27;2;17;19;26;8;16
24/03/2023;0,25;0,23;0;17;17;19;7;11
23/03/2023;0,19;0,21;0;10;10;10;6;8
22/03/2023;0,39;0,38;16;37;61;41;16;19
21/03/2023;0,25;0,25;6;25;34;23;9;14
20/03/2023;0,29;0,28;8;31;42;24;10;14
19/03/2023;0,21;0,21;0;7;7;9;3;9
18/03/2023;0,19;0,19;0;6;6;10;3;9
17/03/2023;0,2;0,19;1;16;17;22;9;8
16/03/2023;0,23;0,21;1;26;28;24;11;9
15/03/2023;0,24;;3;36;40;34;13;15
14/03/2023;0,26;0,26;1;17;18;26;9;14
13/03/2023;0,21;0,2;1;13;13;16;6;7
12/03/2023;0,22;0,23;1;14;15;18;6;6
11/03/2023;0,28;0,27;4;20;26;25;7;7
10/03/2023;0,26;0,29;1;16;18;23;9;8
09/03/2023;0,27;0,25;1;21;22;17;6;7
08/03/2023;0,26;0,24;1;15;17;13;5;7
07/03/2023;0,34;0,34;4;31;36;31;12;13
06/03/2023;0,35;0,36;10;33;48;47;22;15
05/03/2023;0,33;0,34;3;26;31;41;20;14
04/03/2023;0,34;0,33;5;27;34;36;18;8
03/03/2023;0,3;0,3;2;31;33;28;12;9
02/03/2023;0,33;0,32;1;21;22;;12;13
01/03/2023;0,26;0,25;6;22;31;;9;5
28/02/2023;0,26;0,27;3;18;21;18;7;6
27/02/2023;0,24;0,23;0;11;11;16;6;4
26/02/2023;0,19;0,2;0;5;5;13;6;4
25/02/2023;0,22;0,21;1;18;19;11;7;7
24/02/2023;0,17;0,18;1;14;14;;4;5
23/02/2023;0,19;0,2;1;25;26;8;5;8
22/02/2023;0,27;0,28;5;29;36;49;22;11
21/02/2023;0,29;0,28;5;26;33;48;27;12
20/02/2023;0,31;0,31;11;39;56;50;29;15
19/02/2023;0,29;0,3;1;18;19;41;21;16
18/02/2023;0,31;0,32;2;30;32;41;21;22
17/02/2023;0,38;0,37;12;44;62;48;20;19
16/02/2023;0,35;0,34;10;39;53;43;19;17
15/02/2023;0,25;0,24;1;24;25;26;11;11
14/02/2023;0,27;0,27;2;22;24;18;9;9
13/02/2023;0,26;0,26;1;24;26;30;10;10
12/02/2023;0,24;0,25;0;18;19;14;9;9
11/02/2023;0,28;0,28;2;30;32;22;13;14
10/02/2023;0,32;0,32;13;39;59;28;;13
09/02/2023;0,35;0,35;14;35;56;26;;13
08/02/2023;0,37;0,36;18;30;56;27;;11
07/02/2023;0,3;0,29;12;35;52;20;;10
06/02/2023;0,24;0,24;1;17;18;16;;6
05/02/2023;0,29;0,31;5;28;35;16;;9
04/02/2023;0,33;0,32;12;33;51;23;;11
03/02/2023;0,32;0,31;17;32;57;32;;11
02/02/2023;0,28;0,28;13;27;46;21;;14
01/02/2023;0,26;0,25;8;30;42;11;;8
31/01/2023;0,3;0,3;15;31;53;22;;13
30/01/2023;0,27;0,26;12;29;47;19;;11
29/01/2023;0,23;0,23;1;16;17;10;;7
28/01/2023;0,23;0,21;0;13;14;7;;6
27/01/2023;0,22;0,23;1;17;18;11;;7
26/01/2023;0,23;0,23;0;15;15;16;;8
25/01/2023;0,34;0,35;20;27;57;24;;11
24/01/2023;0,31;0,31;9;22;35;16;;8
23/01/2023
22/01/2023
21/01/2023
20/01/2023
19/01/2023;0,17;0,17;1;11;13;;;7
18/01/2023;0,17;0,16;3;24;28;;;9
17/01/2023;0,14;0,16;1;8;10;;;6
16/01/2023;0,21;0,19;5;24;31;;;6
15/01/2023;0,15;0,15;1;8;9;7;3;7
14/01/2023;0,14;0,14;1;2;3;4;3;5
13/01/2023;0,19;0,2;4;19;26;11;7;6
12/01/2023;0,24;0,23;12;30;47;22;12;10
11/01/2023;0,18;0,17;3;21;25;17;8;9
10/01/2023;0,17;0,19;3;20;25;12;7;12
09/01/2023;0,16;0,14;3;20;24;18;8;11
08/01/2023;0,17;0,21;1;8;9;6;4;9
07/01/2023;0,19;0,16;1;6;7;8;6;7
06/01/2023;0,16;0,18;4;15;21;8;7;9
05/01/2023;0,22;0,22;10;29;44;14;10;9
04/01/2023;0,21;0,2;11;31;47;12;8;14
03/01/2023;0,18;0,18;8;24;35;12;11;10
02/01/2023;0,17;0,16;3;20;24;13;13;7
01/01/2023;0,14;0,14;1;4;5;26;22;6
