Date;CO (mg/m3);CO 8h (mg/m3);NH3 (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
12/06/2021;0,18;0,17;1;2;11;9;23;11;4
11/06/2021;0,17;0,17;1;8;26;14;19;9;13
10/06/2021;0,17;0,16;2;8;30;17;29;10;11
09/06/2021;0,18;0,18;2;4;19;13;15;9;4
08/06/2021;0,22;0,23;3;13;37;18;30;11;5
07/06/2021;0,23;0,22;2;9;35;22;32;12;10
06/06/2021;0,16;0,15;2;2;13;11;17;6;4
05/06/2021;0,17;0,18;1;5;21;13;17;7;5
04/06/2021;0,18;0,18;2;4;25;19;12;4;5
03/06/2021;0,16;0,15;3;3;19;14;14;6;3
02/06/2021;0,23;0,24;5;10;41;27;36;14;5
01/06/2021;0,21;0,22;5;4;23;17;22;10;3
31/05/2021;0,23;0,21;4;10;48;33;47;14;5
30/05/2021;0,17;0,2;2;2;16;14;19;8;5
29/05/2021;0,2;0,21;4;1;11;10;19;8;3
28/05/2021;0,28;0,26;4;14;51;29;51;18;6
27/05/2021;0,23;0,23;2;11;40;23;34;12;6
26/05/2021;0,22;0,22;1;12;43;25;39;14;7
25/05/2021;0,19;0,19;1;6;28;19;31;9;6
24/05/2021;0,2;0,2;1;3;22;18;32;10;7
23/05/2021;0,2;0,21;1;3;18;14;17;8;6
22/05/2021;0,22;0,23;1;2;20;17;17;6;5
21/05/2021;0,21;0,2;2;7;37;27;23;7;8
20/05/2021;0,21;0,21;1;9;40;27;19;7;7
19/05/2021;0,18;0,18;1;6;27;19;14;5;6
18/05/2021;0,22;0,22;2;8;33;22;23;7;5
17/05/2021;0,17;0,17;1;4;19;13;29;7;5
16/05/2021;0,19;0,21;1;1;13;12;24;8;5
15/05/2021;0,24;0,23;2;3;26;22;20;7;5
14/05/2021;0,22;0,22;1;4;22;17;17;5;4
13/05/2021;0,21;0,2;2;4;25;19;20;6;5
12/05/2021;0,16;0,16;2;2;15;12;17;5;6
11/05/2021;0,18;0,18;1;5;23;16;17;5;5
10/05/2021;0,18;0,18;1;4;20;15;12;5;7
09/05/2021;0,19;0,19;2;2;14;12;20;9;4
08/05/2021;0,19;0,18;3;2;16;13;21;9;5
07/05/2021;0,2;0,2;2;9;30;16;24;8;5
06/05/2021;0,2;0,2;2;10;31;16;17;6;5
05/05/2021;0,2;0,19;4;6;27;18;16;5;7
04/05/2021;0,24;0,25;3;15;47;24;29;13;9
03/05/2021;0,23;0,23;2;14;52;31;22;10;7
02/05/2021;0,18;0,18;1;2;15;13;13;7;8
01/05/2021;0,19;0,2;1;1;12;10;12;6;5
30/04/2021;0,21;0,21;2;12;45;27;16;7;5
29/04/2021;0,18;0,18;2;6;36;27;13;5;5
28/04/2021;0,22;0,23;3;4;21;16;20;9;3
27/04/2021;0,23;0,22;4;4;22;16;16;8;3
26/04/2021;0,23;0,23;5;9;36;23;22;10;5
25/04/2021;0,15;0,14;4;1;12;11;14;5;4
24/04/2021;0,17;0,17;3;1;8;7;11;4;3
23/04/2021;0,18;0,19;3;3;22;17;11;5;4
22/04/2021;0,2;0,2;4;3;19;15;11;5;4
21/04/2021;0,24;0,24;6;12;46;28;31;13;7
20/04/2021;0,29;0,29;6;15;54;32;32;14;9
19/04/2021;0,3;0,28;5;17;60;34;36;17;9
18/04/2021;0,23;0,23;5;1;14;13;21;11;9
17/04/2021;0,22;0,21;4;2;18;16;17;8;11
16/04/2021;0,21;0,21;4;16;50;25;25;11;7
15/04/2021;0,22;0,22;5;14;43;23;30;14;8
14/04/2021;0,28;0,27;6;19;56;28;33;15;11
13/04/2021;0,24;0,24;2;17;59;34;26;11;6
12/04/2021;0,28;0,27;2;14;44;24;16;7;4
11/04/2021;0,17;0,18;3;1;8;8;12;4;3
10/04/2021;0,22;0,2;5;2;16;14;18;7;5
09/04/2021;0,3;0,3;5;10;39;24;24;9;5
08/04/2021;0,3;0,3;3;5;33;26;24;9;6
07/04/2021;0,24;0,23;2;8;38;26;17;6;4
06/04/2021;0,15;0,13;3;4;19;13;18;5;3
05/04/2021;0,27;0,29;3;3;17;14;23;9;5
04/04/2021;0,2;0,19;3;1;9;9;23;8;5
03/04/2021;0,21;0,23;4;1;8;7;29;10;3
02/04/2021;0,5;0,51;9;3;19;15;56;16;8
01/04/2021;0,22;0,18;5;2;22;20;37;12;7
31/03/2021;0,18;0,21;5;4;30;24;42;12;5
30/03/2021;0,24;0,21;5;4;32;27;48;14;8
29/03/2021;0,18;0,2;4;5;31;25;28;10;4
28/03/2021;0,28;0,29;4;4;38;32;38;13;9
27/03/2021;0,29;0,28;4;3;23;19;24;6;5
26/03/2021;0,27;0,26;5;18;52;25;27;11;6
25/03/2021;0,19;0,16;4;14;53;31;26;12;7
24/03/2021;0,22;0,25;5;18;55;28;29;12;10
23/03/2021;0,26;0,25;2;17;68;43;30;12;7
