Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3)
03/09/2021;;;;20;12
02/09/2021;3;18;15;15;9
01/09/2021;2;19;16;18;12
31/08/2021;2;14;12;13;7
30/08/2021;2;14;11;12;7
29/08/2021;1;9;7;10;6
28/08/2021;1;9;7;12;7
27/08/2021;1;13;11;14;9
26/08/2021;2;13;10;14;10
25/08/2021;2;12;10;13;9
24/08/2021;;;;10;6
23/08/2021;;;;8;4
22/08/2021;1;8;6;9;6
21/08/2021;1;9;8;14;10
20/08/2021;2;13;10;13;6
19/08/2021;1;7;5;4;2
18/08/2021;1;8;6;8;4
17/08/2021;1;7;6;10;4
16/08/2021;1;7;5;8;3
15/08/2021;1;7;5;10;6
14/08/2021;1;9;7;21;12
13/08/2021;2;11;8;15;8
12/08/2021;2;11;8;12;8
11/08/2021;2;11;9;13;7
10/08/2021;2;12;9;13;7
09/08/2021;2;12;9;13;
08/08/2021;1;6;4;9;
07/08/2021;1;6;5;9;4
06/08/2021;1;10;8;10;4
05/08/2021;1;7;5;9;4
04/08/2021;2;9;6;12;8
03/08/2021;2;12;9;17;12
02/08/2021;2;10;7;10;6
01/08/2021;1;6;4;8;5
31/07/2021;1;6;5;7;3
30/07/2021;2;9;7;11;6
29/07/2021;2;11;9;11;6
28/07/2021;1;10;8;9;5
27/07/2021;2;11;8;13;8
26/07/2021;2;10;7;11;6
25/07/2021;1;5;4;8;4
24/07/2021;1;8;6;9;6
23/07/2021;2;10;8;13;8
22/07/2021;2;11;9;16;9
21/07/2021;2;13;11;27;18
20/07/2021;3;18;14;24;14
19/07/2021;3;20;16;22;14
18/07/2021;2;11;9;15;11
17/07/2021;1;10;8;12;9
16/07/2021;2;12;9;10;6
15/07/2021;2;12;9;10;6
14/07/2021;2;9;6;8;4
13/07/2021;1;7;5;9;4
12/07/2021;1;5;4;6;3
11/07/2021;2;11;8;11;7
10/07/2021;1;11;8;16;12
09/07/2021;3;14;10;10;6
08/07/2021;2;9;7;8;4
07/07/2021;2;11;8;10;5
06/07/2021;1;9;7;8;5
05/07/2021;3;15;11;9;6
04/07/2021;1;8;6;8;6
03/07/2021;2;10;7;13;9
02/07/2021;3;17;13;16;11
01/07/2021;2;12;10;14;7
30/06/2021;2;13;10;13;9
29/06/2021;1;9;7;13;6
28/06/2021;2;10;7;9;5
27/06/2021;1;8;7;11;6
26/06/2021;2;9;7;12;8
25/06/2021;2;10;7;11;7
24/06/2021;2;9;7;13;6
23/06/2021
22/06/2021
21/06/2021
20/06/2021
19/06/2021
18/06/2021
17/06/2021
16/06/2021
15/06/2021;2;17;14;17;12
14/06/2021;2;17;14;23;17
13/06/2021;1;13;10;20;16
12/06/2021;1;11;9;20;17
11/06/2021;2;13;10;14;9
10/06/2021;2;11;9;11;7
09/06/2021;2;12;10;15;11
08/06/2021;2;13;10;16;11
07/06/2021;2;12;10;15;10
06/06/2021;1;9;7;13;7
05/06/2021;1;7;5;9;5
04/06/2021;1;10;8;7;4
03/06/2021;1;15;13;11;7
02/06/2021;3;22;17;23;15
01/06/2021;2;11;9;17;10
31/05/2021;2;20;17;19;12
30/05/2021;1;11;9;12;9
29/05/2021;2;14;12;23;14
28/05/2021;4;26;20;26;14
27/05/2021;4;21;15;18;10
26/05/2021;2;13;10;17;8
25/05/2021;2;10;7;16;7
24/05/2021;2;10;8;14;6
23/05/2021;1;6;5;8;4
22/05/2021;2;9;7;10;5
21/05/2021;2;16;12;9;5
20/05/2021;3;16;12;12;7
19/05/2021;1;9;7;8;3
18/05/2021;1;11;9;11;5
17/05/2021;2;9;7;15;5
16/05/2021;1;8;7;10;5
15/05/2021;2;17;14;13;9
14/05/2021;2;11;8;10;4
13/05/2021;2;10;8;7;3
12/05/2021;1;5;3;7;2
11/05/2021;1;8;6;9;3
10/05/2021;1;6;4;6;3
09/05/2021;1;8;6;14;8
08/05/2021;2;14;12;17;9
07/05/2021;3;14;10;16;9
06/05/2021;2;11;8;11;6
05/05/2021;2;15;13;9;6
04/05/2021;3;18;13;14;9
03/05/2021;2;13;11;10;6
02/05/2021;1;7;5;8;6
01/05/2021;1;6;5;8;6
30/04/2021;2;13;11;8;6
29/04/2021;1;12;10;7;5
28/04/2021;2;12;9;17;9
27/04/2021;1;10;8;11;8
26/04/2021;3;21;18;14;9
25/04/2021;1;5;4;6;3
24/04/2021;1;7;5;8;5
23/04/2021;1;7;6;7;4
22/04/2021;1;11;9;8;6
21/04/2021;2;17;15;17;11
20/04/2021;2;20;16;14;10
19/04/2021;3;20;17;18;13
18/04/2021;1;8;7;13;10
17/04/2021;1;8;7;12;9
16/04/2021;2;11;8;11;8
15/04/2021;2;12;9;13;8
14/04/2021;3;14;10;13;8
13/04/2021;2;14;11;10;7
12/04/2021;2;10;8;9;5
11/04/2021;1;7;5;8;5
10/04/2021;1;8;6;8;6
09/04/2021;1;9;8;13;7
08/04/2021;1;8;7;13;7
07/04/2021;1;11;9;10;5
06/04/2021;1;10;8;13;5
05/04/2021;1;8;6;14;8
04/04/2021;1;8;6;17;8
03/04/2021;1;8;7;28;14
02/04/2021;2;14;11;39;16
01/04/2021;1;7;5;23;10
31/03/2021;1;8;7;28;
30/03/2021;1;10;9;30;
29/03/2021;1;9;7;18;
28/03/2021;1;12;10;17;
27/03/2021;2;11;9;12;
26/03/2021;2;17;13;15;
25/03/2021;2;15;12;13;
24/03/2021;2;15;12;15;
23/03/2021;3;22;17;13;
22/03/2021;3;15;11;11;
21/03/2021;1;9;7;11;
20/03/2021;1;8;6;10;
19/03/2021;1;8;6;8;
18/03/2021;2;13;10;11;
17/03/2021;1;13;11;9;
16/03/2021;3;21;16;13;
15/03/2021;2;13;11;14;
14/03/2021;1;7;5;12;
13/03/2021;2;10;7;10;
12/03/2021;2;13;10;12;
11/03/2021;3;16;11;12;
10/03/2021;2;23;19;15;
09/03/2021;2;17;15;14;
08/03/2021;3;18;14;17;
07/03/2021;2;12;10;17;
06/03/2021;1;9;7;14;
05/03/2021;4;20;14;32;
04/03/2021;2;18;15;52;
03/03/2021;2;16;13;46;
02/03/2021;1;7;5;38;
01/03/2021;1;7;6;22;
28/02/2021;2;12;9;15;
27/02/2021;1;9;7;20;
26/02/2021;2;20;17;22;
25/02/2021;1;13;11;34;
24/02/2021;1;8;6;21;
23/02/2021;1;6;5;5;
22/02/2021;2;14;12;8;
21/02/2021;1;7;5;43;
20/02/2021;1;9;6;21;
19/02/2021;1;6;4;64;
18/02/2021;1;11;9;23;
17/02/2021;2;10;7;7;
16/02/2021;2;16;13;12;
15/02/2021;1;7;5;6;
14/02/2021;1;6;4;7;
13/02/2021;2;10;7;11;
12/02/2021;2;13;9;8;
11/02/2021;1;9;7;6;
10/02/2021;1;12;10;7;
09/02/2021;1;6;4;3;
08/02/2021;3;15;10;7;
07/02/2021;1;6;4;5;
06/02/2021;1;8;6;8;
05/02/2021;3;18;14;9;
04/02/2021;3;21;16;11;
03/02/2021;1;13;11;7;
02/02/2021;1;6;4;3;
01/02/2021;2;15;12;21;
31/01/2021;1;7;5;8;
30/01/2021;1;8;6;6;
29/01/2021;12;37;19;16;
28/01/2021;10;32;16;13;7
27/01/2021;11;32;16;11;7
26/01/2021;2;12;9;5;3
25/01/2021;;;;8;5
24/01/2021;;;;4;3
23/01/2021;1;7;5;4;3
22/01/2021;1;9;7;5;3
21/01/2021;1;6;4;3;1
20/01/2021;1;6;4;6;4
19/01/2021;1;8;6;4;
18/01/2021;9;36;23;11;
17/01/2021;4;19;13;8;
16/01/2021;4;19;13;12;
15/01/2021;;;;10;
14/01/2021;2;13;10;9;
13/01/2021;6;28;19;13;
12/01/2021;2;18;14;12;
11/01/2021;3;20;16;13;
10/01/2021;2;12;9;12;
09/01/2021;2;18;14;16;
08/01/2021;5;26;18;14;
07/01/2021;3;19;14;10;
06/01/2021;2;12;9;9;
05/01/2021;2;14;11;6;
04/01/2021;2;8;6;3;
03/01/2021;1;6;4;3;
02/01/2021;2;13;10;10;
01/01/2021;1;5;3;3;
