Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
11/08/2021;0,18;0,42;2;17;14;43;42;12;3;1;1,03
10/08/2021;0,2;0,44;5;25;17;42;44;12;3;2;1,11
09/08/2021;0,18;0,42;4;21;15;46;46;11;3;2;1,15
08/08/2021;0,11;0,14;0;6;6;54;54;6;3;2;0,35
07/08/2021;0,15;0,17;1;9;8;49;49;8;3;1;0,52
06/08/2021;0,14;0,11;1;10;9;54;56;7;3;0;0,41
05/08/2021;0,21;0,39;6;22;13;46;45;;3;1;1,12
04/08/2021;0,16;0,19;1;12;11;46;46;;3;2;0,5
03/08/2021;0,18;0,59;6;25;16;48;50;11;3;2;1,17
02/08/2021;0,15;0,48;7;25;15;48;47;10;8;4;1,08
01/08/2021;0,11;0,1;0;7;6;58;58;6;10;2;0,27
31/07/2021;0,13;0,11;0;6;5;50;50;5;10;8;0,31
30/07/2021;0,18;0,27;1;9;8;53;54;8;10;5;0,73
29/07/2021;0,22;1,05;6;26;17;42;42;11;10;0;4
28/07/2021;0,96;6,52;3;19;15;50;52;15;10;4;10,9
27/07/2021;0,27;0,92;3;22;17;53;54;12;9;2;2,83
26/07/2021;0,21;0,26;1;9;9;71;69;8;9;5;0,65
25/07/2021;0,09;0,08;0;5;5;58;59;7;9;2;0,19
24/07/2021;0,23;0,38;3;17;13;49;48;11;9;5;1,13
23/07/2021;0,27;0,35;2;17;15;56;60;13;10;1;1,08
22/07/2021;0,23;0,2;1;13;12;74;76;;9;0;0,64
21/07/2021;0,18;0,24;1;13;11;76;74;;9;4;0,62
20/07/2021;0,45;0,88;5;28;21;58;58;24;7;8;1,87
19/07/2021;0,48;0,56;6;33;24;60;60;23;5;3;2,18
18/07/2021;0,35;0,37;3;21;18;56;57;19;4;3;1,17
17/07/2021;0,56;0,44;3;18;14;51;48;16;4;1;1,18
16/07/2021;0,25;0,61;6;25;16;41;41;12;4;4;1,78
15/07/2021;0,15;0,34;2;14;12;44;45;8;4;1;0,86
14/07/2021;0,18;0,24;1;8;7;49;49;7;4;4;0,6
13/07/2021;0,13;0,11;1;10;8;42;41;8;4;8;0,29
12/07/2021;0,13;0,1;1;11;9;43;45;6;4;11;0,29
11/07/2021;0,4;0,29;3;17;13;46;44;12;4;1;0,97
10/07/2021;0,12;0,17;1;10;9;57;57;9;4;1;0,51
09/07/2021;0,24;0,47;6;24;15;41;40;11;4;3;2,22
08/07/2021;0,1;0,19;1;10;9;49;50;5;3;5;0,44
07/07/2021;0,15;0,23;1;13;12;45;43;7;4;5;0,8
06/07/2021;0,09;0,29;1;11;10;51;53;9;4;4;2,03
05/07/2021;0,32;0,65;5;25;17;46;44;14;4;0;1,46
04/07/2021;0,14;0,28;1;10;9;51;55;7;4;3;0,57
03/07/2021;0,2;0,42;1;14;12;58;54;12;4;0;0,88
02/07/2021;0,25;0,72;3;24;21;50;52;15;4;3;2,63
01/07/2021;0,19;0,42;2;19;16;54;57;13;3;2;1,65
30/06/2021;0,15;0,59;2;16;13;57;55;11;4;1;3,13
29/06/2021;0,14;0,14;1;10;10;61;62;12;3;10;0,5
28/06/2021;0,26;0,61;2;21;18;44;;10;4;5;1,79
27/06/2021;0,17;0,28;0;10;9;59;60;6;4;1;0,81
