Date;Benceno (µg/m3);CO (mg/m3);CO 8h (mg/m3);Etilbenceno (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);Ortoxileno (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
05/12/2021;0,19;0,16;0,16;0,01;2;11;9;0,11;10;4;5;0,29
04/12/2021;0,23;0,16;0,19;0,07;3;21;16;0,47;8;4;4;0,72
03/12/2021;0,37;0,33;0,3;0,28;25;83;45;1,11;11;7;5;1,85
02/12/2021;0,2;0,16;0,16;0,03;3;23;19;0,25;9;4;4;0,58
01/12/2021;0,27;0,19;0,21;0,21;8;47;36;0,83;8;5;5;1,29
30/11/2021;0,34;0,26;0,25;0,3;20;70;40;1,08;10;6;6;1,8
29/11/2021;0,22;0,29;0,29;0,09;3;34;29;0,36;4;2;3;0,71
28/11/2021;0,21;0,21;0,19;0,01;2;15;13;0,14;8;4;3;0,33
27/11/2021;0,22;0,17;0,17;0,01;2;18;15;0,16;8;4;3;0,36
26/11/2021;0,27;0,19;0,2;0,08;5;33;26;0,36;8;5;4;0,8
25/11/2021;0,25;0,22;0,23;0,09;3;27;23;0,39;7;5;4;0,8
24/11/2021;0,58;0,3;0,32;0,32;11;48;32;1,1;9;6;5;1,88
23/11/2021;0,37;0,24;0,23;0,07;3;24;20;0,27;10;6;2;0,68
22/11/2021;0,31;0,18;0,19;0,13;4;30;25;0,56;7;4;3;0,94
21/11/2021;0,62;0,33;0,33;0,31;19;62;34;1,2;19;13;10;1,88
20/11/2021;0,55;0,32;0,34;0,33;11;59;43;1,22;20;13;7;1,91
19/11/2021;0,72;0,36;0,32;0,46;36;99;45;1,75;21;12;9;2,88
18/11/2021;0,59;0,3;0,3;0,46;26;76;36;1,72;20;12;4;2,86
17/11/2021;0,35;0,23;0,22;0,18;4;30;25;0,64;12;7;2;1,62
16/11/2021;;0,26;0,26;;6;41;33;;17;11;3;
15/11/2021;;0,2;0,19;;6;34;25;;13;7;2;
14/11/2021;;0,17;0,17;;1;11;11;;10;5;4;
13/11/2021;;0,29;0,31;;11;44;28;;22;13;7;
12/11/2021;0,45;0,37;0,36;0,41;17;64;39;1,46;27;18;7;2,55
11/11/2021;0,52;0,27;0,24;0,41;23;76;41;1,52;26;16;10;2,44
10/11/2021;0,46;0,23;0,23;0,34;21;72;40;1,26;21;13;7;2,28
09/11/2021;0,33;0,24;0,24;0,22;9;42;28;0,8;16;9;3;1,53
08/11/2021;0,28;0,27;0,28;0,19;7;41;31;0,67;15;8;4;2,02
07/11/2021;0,5;0,34;0,35;0,21;20;63;32;0,79;17;11;11;1,33
06/11/2021;0,5;0,29;0,3;0,21;16;55;31;0,8;16;12;6;1,29
05/11/2021;0,37;0,28;0,24;0,16;5;40;33;0,62;7;4;3;1,1
04/11/2021;0,16;0,19;0,19;0,09;2;28;25;0,38;3;2;2;0,52
03/11/2021;0,12;0,18;0,18;0,01;2;21;18;0,18;3;1;2;0,38
02/11/2021;0,2;0,2;0,21;0,13;4;28;23;0,51;7;3;5;0,68
01/11/2021;0,18;0,16;;0,04;4;27;21;0,26;8;4;5;0,53
31/10/2021;0,12;0,13;0,14;0,09;1;13;11;0,45;5;3;3;0,85
30/10/2021;0,13;0,17;0,17;0,17;2;22;20;0,69;7;4;4;1,13
29/10/2021;0,2;0,18;0,17;0,26;5;36;29;1,02;12;6;3;1,49
28/10/2021;0,37;0,18;0,2;0,49;11;55;38;1,79;25;10;5;3,08
27/10/2021;0,44;0,23;0,22;0,49;27;86;46;1,82;22;12;13;3,14
26/10/2021;0,37;0,34;0,39;0,35;25;75;37;1,29;19;11;9;2,29
25/10/2021;0,38;0,34;0,29;0,28;17;63;38;1,03;18;9;13;1,98
24/10/2021;0,37;0,23;0,22;0,19;8;48;36;0,75;14;7;11;1,37
23/10/2021;0,32;0,21;0,19;0,22;8;44;33;0,8;15;8;8;1,45
22/10/2021;0,28;0,17;0,17;0,28;5;36;29;0,8;12;6;5;1,51
21/10/2021;0,14;0,14;0,15;0,13;2;19;17;0,51;17;8;5;0,84
20/10/2021;0,21;0,23;0,23;0,33;5;33;25;1,45;21;10;3;2,57
19/10/2021;0,28;0,21;0,22;0,47;6;31;23;2,2;17;8;3;3,83
18/10/2021;0,36;0,28;0,28;0,39;21;71;39;1,58;20;11;8;3,01
17/10/2021;0,29;0,24;0,24;0,26;6;40;30;1,01;17;11;6;1,95
16/10/2021;0,3;0,25;0,24;0,28;7;44;35;1,07;22;16;8;1,97
15/10/2021;0,44;0,29;0,31;0,39;27;74;34;1,45;22;12;11;2,95
14/10/2021;0,45;0,26;0,23;0,41;21;76;44;1,5;22;12;8;2,7
13/10/2021;0,37;0,22;0,22;0,22;18;60;32;0,83;19;12;7;1,6
12/10/2021;0,33;0,22;0,22;0,15;6;37;28;0,54;23;17;6;1,12
11/10/2021;0,31;0,22;0,21;0,18;9;38;25;0,61;22;16;4;1,31
10/10/2021;0,29;0,24;0,25;0,25;5;26;19;0,95;16;11;2;1,68
09/10/2021;0,31;0,22;0,22;0,24;10;44;29;0,88;14;8;8;1,49
08/10/2021;0,39;0,25;0,26;0,5;22;63;30;1,88;20;12;6;2,43
07/10/2021;0,37;0,22;0,21;0,37;18;55;27;1,37;19;11;5;2,53
06/10/2021;0,22;0,19;0,17;0,27;11;43;27;0,96;18;9;3;1,68
05/10/2021;0,19;0,17;0,19;0,17;4;27;22;0,58;8;4;3;1,1
04/10/2021;0,29;0,19;0,17;0,25;17;57;30;0,93;15;7;8;1,59
03/10/2021;0,12;0,15;0,15;0,07;1;13;12;0,32;8;4;3;0,56
02/10/2021;0,26;0,23;0,26;0,29;14;41;20;1,16;12;6;6;2,33
01/10/2021;0,4;0,32;0,3;0,44;24;74;38;1,73;18;9;11;2,88
30/09/2021;0,36;0,23;0,22;0,3;6;34;25;1,15;18;8;2;2,05
29/09/2021;0,38;0,24;0,23;0,57;12;46;28;2,24;17;6;4;3,36
28/09/2021;0,08;0,24;0,25;0,11;11;40;24;0,89;29;10;4;1,83
27/09/2021;0;0,21;0,22;0,06;2;18;16;0,94;11;5;2;1,75
26/09/2021;0,02;0,27;0,25;0,08;3;29;25;1,16;11;6;3;2,23
25/09/2021;0,03;0,24;0,26;0,28;2;22;20;1,79;13;7;2;3,16
24/09/2021;0,19;0,36;0,34;0,53;12;58;39;2,16;28;18;3;3,88
23/09/2021;0,1;0,3;0,3;0,44;13;46;27;1,87;24;15;3;3,24
22/09/2021;0,05;0,26;0,27;0,17;6;33;25;0,99;17;12;3;1,92
21/09/2021;0,07;0,28;0,26;0,11;12;43;25;0,85;16;10;4;1,84
20/09/2021;0,19;0,29;0,29;0,13;4;29;23;0,78;9;4;4;1,89
19/09/2021;0,01;0,2;0,19;0;1;11;10;0,25;8;4;2;0,94
18/09/2021;0;0,21;0,21;0;1;11;10;0,31;8;4;2;0,89
17/09/2021;0,11;0,23;0,23;0,23;11;38;22;1,3;15;9;6;2,58
16/09/2021;0,08;0,24;0,24;0,15;2;25;21;1,07;12;6;2;2,04
15/09/2021;0,04;0,27;0,27;0,32;8;34;22;1,88;16;7;2;3,63
14/09/2021;0,03;0,28;0,27;0,31;4;34;28;2,02;16;7;1;4,06
13/09/2021;0,18;0,33;0,35;0,51;7;45;35;2,81;25;12;3;5,23
12/09/2021;0,08;0,34;0,33;0,21;6;33;25;1,54;18;11;4;3,58
11/09/2021;0,03;0,28;0,28;0,19;5;24;17;1,28;13;9;4;2,75
10/09/2021;0,01;0,28;0,27;0,13;6;31;23;1,04;13;7;1;2,04
09/09/2021;0,05;0,29;0,29;0,2;4;26;20;1,31;8;5;1;2,54
08/09/2021;0,21;0,34;0,35;0,31;6;32;24;2,01;22;14;1;3,69
07/09/2021;0,21;0,31;0,32;0,64;4;34;29;3,77;26;13;1;6,95
06/09/2021;0,4;0,4;0,4;0,68;10;68;54;3,65;27;16;2;6,4
05/09/2021;0,09;0,31;0,3;0,25;3;31;28;1,57;21;16;4;3,12
04/09/2021;0,04;0,29;0,29;0,23;3;21;16;1,34;18;13;2;2,26
03/09/2021;0,09;0,32;0,31;0,36;4;24;19;1,66;19;14;1;2,44
02/09/2021;0,13;0,32;0,33;0,28;4;31;25;1,38;17;12;1;2,46
01/09/2021;0,21;0,34;0,33;0,25;7;40;30;1,32;23;14;4;2,64
31/08/2021;0,1;0,26;0,25;0,18;6;30;22;1,06;18;10;5;2,27
30/08/2021;0,1;0,28;0,28;0,09;5;32;24;0,77;16;9;5;1,73
29/08/2021;0,01;0,25;0,24;0,08;3;24;19;0,71;11;6;5;1,72
28/08/2021;0,07;0,25;0,26;0,13;3;19;15;1,01;13;8;3;2,17
27/08/2021;0,31;0,3;0,3;0,34;6;30;22;1,64;18;11;3;2,85
26/08/2021;0,35;0,32;0,32;0,28;4;27;21;1,37;20;12;3;2,31
25/08/2021;0,11;0,3;0,29;0,23;4;28;22;1,22;16;10;3;2,15
24/08/2021;0,03;0,25;0,24;0,29;7;27;18;1,46;12;6;1;2,19
23/08/2021;0,01;0,2;0,2;0,09;1;11;9;0,8;8;5;0;1,55
22/08/2021;0,01;0,25;0,26;0,14;4;19;13;1,07;10;7;3;2,13
21/08/2021;0,01;0,26;0,26;0,16;3;18;13;1;14;10;2;2,01
20/08/2021;0,07;0,25;0,24;0,18;5;21;14;1,04;15;9;1;1,96
19/08/2021;0,01;0,2;0,19;0,12;2;17;15;0,72;5;3;1;1,16
18/08/2021;0,01;0,16;0,16;0,08;1;11;10;0,69;7;4;1;1,43
17/08/2021;0,03;0,16;0,16;0,09;2;11;8;0,8;12;6;1;1,26
16/08/2021;0,27;0,19;0,19;0,44;1;11;9;2,42;10;5;1;3,55
15/08/2021;0,01;0,23;0,24;0,13;1;9;8;0,87;10;6;1;1,73
14/08/2021;0,01;0,27;0,27;0,21;1;11;10;1,34;19;11;1;2,41
13/08/2021;0,04;0,27;0,27;0,3;4;19;13;1,5;17;11;1;2,48
12/08/2021;0,01;0,25;0,25;0,26;3;17;13;1,4;15;8;1;2,48
11/08/2021;0,02;0,24;0,24;0,25;3;16;12;1,3;14;8;1;2,15
10/08/2021;0,06;0,26;0,27;0,22;5;23;15;1,19;16;9;2;2,26
09/08/2021;0,03;0,24;0,22;0,17;5;25;18;1,05;17;9;2;1,82
08/08/2021;0;0,18;0,18;0,05;1;10;8;0,59;9;5;2;1,24
07/08/2021;0,02;0,2;0,2;0,12;2;16;13;0,82;11;6;3;1,53
06/08/2021;0,04;0,23;0,23;0,19;2;16;14;1,06;11;5;2;1,84
05/08/2021;0,03;0,24;0,24;0,3;6;24;15;1,51;14;7;2;2,18
04/08/2021;0,08;0,25;0,26;0,26;4;25;19;1,35;11;7;1;2,09
03/08/2021;0,04;0,22;0,2;0,23;5;28;20;1,2;16;10;3;2,15
02/08/2021;0,14;0,2;0,21;0,23;8;27;16;1,15;15;9;5;1,99
01/08/2021;0;0,15;0,14;0,02;2;14;12;0,42;10;6;2;1,07
31/07/2021;0,02;0,14;0,14;0,02;1;12;10;0,35;8;5;4;0,84
30/07/2021;0,06;0,22;0,22;0,3;5;21;14;1,52;15;9;2;2,41
29/07/2021;0,12;0,22;0,22;0,4;9;33;19;1,7;16;9;2;2,37
28/07/2021;0,02;0,2;0,19;0,23;3;20;16;1,17;11;7;1;2,03
27/07/2021;0,07;0,23;0,24;0,24;6;28;19;1,25;19;11;4;2,2
26/07/2021;0;0,18;0,17;0,15;1;14;12;0,99;13;8;1;2,16
25/07/2021;0;0,16;0,16;0,13;1;8;7;0,95;9;6;1;1,92
24/07/2021;0,06;0,16;0,17;0,2;4;19;13;1,13;12;7;1;2,09
23/07/2021;0,07;0,31;0,32;0,23;2;16;14;1,18;17;11;0;2,08
22/07/2021;0,22;0,34;0,34;0,28;1;12;11;1,3;17;12;0;2,27
21/07/2021;0,15;0,34;0,34;0,31;1;13;11;1,45;34;24;0;2,36
20/07/2021;0,22;0,35;0,36;0,36;7;36;26;1,87;34;22;0;3,53
19/07/2021;0,16;0,34;0,33;0,32;6;32;24;1,72;30;19;1;3,31
18/07/2021;0,2;0,3;0,32;0,27;4;24;18;1,49;23;17;0;2,91
17/07/2021;0,18;0,28;0,26;0,24;5;25;17;1,21;21;15;2;2,27
16/07/2021;0,1;0,23;0,23;0,27;9;33;19;1,31;18;11;3;2,47
15/07/2021;0,05;0,18;0,17;0,24;5;21;15;1,11;14;8;1;2,51
14/07/2021;0,02;0,16;0,16;0,11;3;16;12;0,58;11;7;1;1,17
13/07/2021;0,03;0,13;0,12;0,11;2;15;12;0,57;11;6;2;1,27
12/07/2021;0,02;0,14;0,16;0,08;1;11;9;0,54;11;5;2;1
11/07/2021;0,08;0,23;0,23;0,19;3;17;12;1,12;15;11;2;1,98
10/07/2021;0,03;0,2;0,2;0,21;2;12;9;1,1;14;10;1;2,11
09/07/2021;0,08;0,17;0,17;0,16;8;26;14;0,83;13;8;4;1,63
08/07/2021;0,03;0,15;0,15;0,21;3;17;13;0,97;11;6;1;1,59
07/07/2021;0,07;0,18;0,17;0,3;7;29;19;1,45;14;7;2;2,38
06/07/2021;0,01;0,17;0,17;0,23;1;15;14;1,17;13;6;1;2,12
05/07/2021;0,12;0,24;0,25;0,35;7;31;19;1,77;15;7;1;3,07
04/07/2021;0,04;0,2;0,19;0,19;1;9;8;1,03;7;5;0;1,98
03/07/2021;0,11;0,26;0,27;0,25;1;14;12;1,26;14;11;0;2,21
02/07/2021;0,16;0,25;0,24;0,39;4;26;21;1,81;19;12;0;2,95
01/07/2021;0,08;0,2;0,19;0,31;2;19;16;1,42;15;9;1;2,32
30/06/2021;0,06;0,17;0,17;0,2;3;17;13;0,96;14;9;1;1,78
29/06/2021;0,05;0,14;0,13;0,12;2;14;12;0,62;18;10;3;1,29
28/06/2021;0,15;0,18;0,19;0,2;8;34;23;0,91;17;9;4;1,53
27/06/2021;0,06;0,16;0,15;0,2;1;13;12;1,07;12;8;1;1,87
26/06/2021;0,14;0,22;0,23;0,21;2;16;13;1,05;17;12;1;1,78
25/06/2021;0,2;0,19;0,18;0,26;6;25;16;1,09;17;11;2;1,77
24/06/2021;0,18;0,16;0,16;0,25;3;19;15;1;14;8;1;1,66
23/06/2021;0,12;0,14;0,14;0,17;2;18;16;0,67;9;5;1;1,48
22/06/2021;0,25;0,2;0,22;0,21;4;23;18;0,89;9;4;1;1,56
21/06/2021;0,11;0,17;0,16;0,21;2;19;16;0,94;8;4;0;1,78
20/06/2021;0,05;0,13;0,13;0,18;1;12;11;0,87;11;6;1;1,77
19/06/2021;0,09;0,16;0,17;0,16;2;14;11;0,63;12;8;1;1,25
18/06/2021;0,18;0,2;0,19;0,24;4;22;17;0,9;21;14;1;1,82
17/06/2021;0,16;0,24;0,25;0,29;2;21;19;1,32;19;12;0;2,25
16/06/2021;0,16;0,26;0,25;0,37;3;27;24;1,89;22;12;1;3,44
15/06/2021;0,28;0,3;0,31;0,39;8;34;23;2,12;29;18;1;3,82
14/06/2021;0,32;0,31;0,28;0,42;3;22;19;2,25;27;19;0;4,01
13/06/2021;0,21;0,26;0,27;0,29;3;21;16;1,47;29;21;2;2,93
12/06/2021;0,11;0,2;0,18;0,18;1;11;9;0,73;21;16;1;1,32
11/06/2021;0,16;0,21;0,21;0,23;6;22;14;0,91;16;10;3;1,5
10/06/2021;0,19;0,19;0,19;0,28;7;29;19;1,06;21;12;4;1,7
09/06/2021;0,13;0,19;0,2;0,18;1;14;13;0,67;17;11;3;1,09
08/06/2021;0,18;0,26;0,26;0,22;8;30;18;0,9;25;15;6;1,54
07/06/2021;0,18;0,2;0,2;0,23;5;25;18;1,01;19;12;7;1,65
06/06/2021;0,09;0,16;0,15;0,13;2;12;10;0,42;14;9;6;0,86
05/06/2021;0,16;0,14;0,14;0,2;6;24;15;0,78;16;11;6;1,23
04/06/2021;0,15;0,11;0,12;0,16;2;20;18;0,52;9;5;6;0,94
03/06/2021;0,13;0,19;0,2;0,18;1;17;15;0,59;12;7;4;0,78
02/06/2021;0,25;0,27;0,26;0,26;4;28;22;1,05;30;19;5;1,73
01/06/2021;0,17;0,22;0,24;0,32;2;18;15;1,7;22;13;3;2,5
31/05/2021;0,31;0,31;0,29;0,33;6;39;31;1,39;28;17;5;2,59
30/05/2021;0,13;0,2;0,18;0,18;2;17;15;0,63;17;12;6;1,11
29/05/2021;0,1;0,22;0,25;0,19;1;13;11;0,64;21;15;4;0,97
28/05/2021;0,32;0,24;0,23;0,37;9;44;31;1,48;33;20;8;2,27
27/05/2021;0,33;0,25;0,26;0,3;8;36;24;1,11;26;15;9;2,38
26/05/2021;0,34;0,23;0,21;0,18;8;35;24;0,65;22;13;10;1,23
25/05/2021;;0,16;0,15;;4;21;15;;22;10;5;
24/05/2021;0,16;0,21;0,22;0,1;2;23;21;0,37;20;11;9;0,85
23/05/2021;0,17;0,2;0,19;0,1;3;19;14;0,41;11;6;8;0,7
22/05/2021;0,18;0,18;0,18;0,12;2;24;21;0,44;12;7;7;0,77
21/05/2021;0,24;0,24;0,24;0,22;8;45;34;0,77;16;9;13;1,41
20/05/2021;0,29;0,21;0,2;0,25;7;35;25;0,91;14;7;8;1,67
19/05/2021;0,12;0,17;0,17;0,11;3;20;16;0,39;9;5;3;0,69
18/05/2021;0,2;0,22;0,22;0,18;5;29;22;0,58;14;7;7;0,93
17/05/2021;0,14;0,15;0,14;0,09;1;12;11;0,3;16;8;5;0,65
16/05/2021;0,23;0,2;0,22;0,14;1;14;12;0,47;11;6;6;0,82
15/05/2021;0,23;0,26;0,25;0,21;4;29;24;0,71;13;8;8;1,22
14/05/2021;0,13;0,15;0,15;0,09;1;15;14;0,32;8;4;4;0,61
13/05/2021;0,17;0,17;0,16;0,13;4;28;22;0,49;10;6;6;0,84
12/05/2021;0,12;0,15;0,15;0,09;1;13;11;0,36;10;4;5;0,6
11/05/2021;0,15;0,17;0,18;0,08;3;17;13;0,31;9;4;5;0,6
10/05/2021;0,19;0,17;0,16;0,15;3;19;15;0,6;8;4;8;0,83
09/05/2021;0,15;0,19;0,19;0,16;1;14;13;0,7;16;9;5;1,04
08/05/2021;0,16;0,23;0,22;0,2;2;20;16;0,8;17;11;7;1,37
07/05/2021;0,15;0,22;0,23;0,21;6;24;15;0,76;17;11;7;1,13
06/05/2021;0,19;0,22;0,23;0,25;8;28;16;0,93;14;8;7;1,46
05/05/2021;0,16;0,25;0,25;0,15;3;24;21;0,53;9;6;8;0,93
04/05/2021;0,36;0,27;0,28;0,2;10;38;24;0,77;21;13;13;1,37
03/05/2021;0,45;0,26;0,23;0,26;9;45;32;1,08;21;13;12;1,71
02/05/2021;0,15;0,18;0,18;0,06;1;18;16;0,26;10;7;7;0,5
01/05/2021;0,18;0,18;0,18;0,09;1;13;11;0,39;11;8;5;0,61
30/04/2021;0,27;0,2;0,19;0,17;5;35;28;0,61;15;11;6;1,09
29/04/2021;0,2;0,18;0,19;0,11;2;22;20;0,4;7;5;5;0,71
28/04/2021;0,18;0,2;0,2;0,12;1;16;15;0,44;19;12;5;0,71
27/04/2021;0,17;0,23;0,23;0,17;1;20;18;0,58;14;10;5;0,94
26/04/2021;0,29;0,28;0,28;0,25;5;32;25;0,91;18;12;5;1,59
25/04/2021;0,17;0,2;0,19;0,19;1;14;14;0,95;9;5;4;1,42
24/04/2021;0,22;0,16;0,16;0,21;1;11;10;1,07;9;4;3;1,98
23/04/2021;0,3;0,22;0,23;0,26;3;29;24;1,23;11;5;6;1,86
22/04/2021;0,29;0,27;0,27;0,22;3;26;22;1,01;9;5;4;1,49
21/04/2021;0,38;0,3;0,29;0,21;6;34;25;0,79;24;16;9;1,39
20/04/2021;0,45;0,34;0,35;0,24;10;47;32;0,91;25;16;17;1,78
19/04/2021;0,53;0,33;0,31;0,18;11;53;36;0,69;29;19;21;1,55
18/04/2021;0,31;0,25;0,25;0,1;2;23;20;0,4;21;15;14;0,75
17/04/2021;0,3;0,24;0,23;0,11;3;21;17;0,42;16;11;13;0,81
16/04/2021;0,38;0,23;0,24;0,16;11;43;26;0,64;20;13;17;1,14
15/04/2021;0,38;0,21;0,2;0,24;10;40;24;0,9;21;14;14;1,38
14/04/2021;0,52;0,25;0,26;0,29;13;45;25;1,12;22;13;16;1,86
13/04/2021;0,43;0,23;0,23;0,21;13;48;29;0,78;20;11;16;1,36
12/04/2021;0,31;0,17;0,17;0,32;7;33;23;1,28;12;9;15;1,13
11/04/2021;0,22;0,2;0,21;0,05;1;10;9;0,22;8;5;14;0,42
10/04/2021;0,25;0,24;0,24;0,13;2;19;16;0,5;14;10;15;0,82
09/04/2021;0,44;0,37;0,39;0,25;3;27;22;1;17;9;13;1,54
08/04/2021;0,42;0,28;0,27;0,33;5;38;31;1,44;20;10;15;1,88
07/04/2021;0,28;0,16;0,14;0,08;2;20;18;0,31;12;6;11;0,53
06/04/2021;0,23;0,17;0,21;0,04;1;13;12;0,19;14;8;12;0,48
05/04/2021;0,32;0,28;0,26;0,08;3;24;20;0,32;21;14;15;0,62
04/04/2021;0,32;0,24;0,21;0,04;1;10;10;0,2;20;12;13;0,41
03/04/2021;0,28;0,25;0,28;0,07;1;9;8;0,25;34;21;11;0,49
02/04/2021;0,31;0,36;0,34;0,21;3;24;20;0,8;54;26;15;1,44
01/04/2021;0,34;0,2;0,19;0,35;1;29;27;1,65;34;12;13;2,5
31/03/2021;0,37;0,2;0,21;0,49;4;36;30;2,32;41;13;12;3,58
30/03/2021;0,35;0,22;0,21;1,84;5;45;37;7,03;49;16;13;12,28
29/03/2021;0,37;0,22;0,24;0,27;5;37;30;1,16;29;10;11;1,95
28/03/2021;0,46;0,28;0,27;0,22;6;42;34;0,91;23;13;17;1,59
27/03/2021;0,3;0,22;0,21;0,13;2;21;18;0,5;14;8;9;0,95
26/03/2021;0,42;0,25;0,25;0,27;14;49;27;0,99;25;16;15;3,59
25/03/2021;0,29;0,23;0,23;0,19;8;39;27;0,71;20;14;12;1,09
24/03/2021;0,51;0,31;0,33;0,29;17;59;33;1,09;27;16;19;1,85
23/03/2021;0,54;0,29;0,27;0,25;14;64;44;0,91;24;15;17;1,69
22/03/2021;0,33;0,24;0,22;0,09;4;30;24;0,34;14;10;9;0,7
21/03/2021;0,27;0,22;0,22;0,01;1;10;9;0,1;12;8;7;0,29
20/03/2021;0,28;0,15;0,14;0,01;1;7;7;0,06;12;8;7;0,21
19/03/2021;0,24;0,2;0,21;0,01;0;7;6;0,11;9;6;7;0,25
18/03/2021;0,32;0,18;0,17;0,06;3;19;15;0,24;12;8;8;0,52
17/03/2021;0,2;0,19;0,2;0,07;1;15;13;0,28;9;6;8;0,57
16/03/2021;0,25;0,27;0,26;0,09;1;21;19;0,33;13;7;9;0,59
15/03/2021;0,38;0,26;0,25;0,11;10;38;24;0,42;18;10;11;0,77
14/03/2021;0,29;0,23;0,23;0,02;1;11;11;0,17;15;8;11;0,35
13/03/2021;0,37;0,24;0,26;0,14;7;33;23;0,53;17;10;16;0,9
12/03/2021;0,33;0,25;0,22;0,14;3;28;24;0,55;16;8;9;0,9
11/03/2021;0,5;0,34;0,37;0,35;25;71;33;1,4;23;13;14;2,21
10/03/2021;0,51;0,25;0,22;0,25;16;72;49;0,97;27;19;12;1,66
09/03/2021;0,43;0,23;0,22;0,13;3;34;30;0,49;27;22;8;0,81
08/03/2021;0,47;0,28;0,28;0,15;12;42;25;0,56;31;20;9;1,15
07/03/2021;0,36;0,24;0,23;0,12;2;24;21;0,43;26;16;6;0,73
06/03/2021;0,3;0,18;0,18;0,05;1;9;8;0,2;21;14;5;0,4
05/03/2021;0,69;0,34;0,43;0,37;21;61;29;1,38;56;33;11;2,44
04/03/2021;0,55;0,4;0,32;0,29;6;46;38;1,03;74;36;9;1,83
03/03/2021;0,47;0,29;0,27;0,26;4;37;32;0,97;66;28;9;1,94
02/03/2021;0,35;0,24;0,23;0,2;4;28;22;0,73;47;21;5;1,44
01/03/2021;0,38;0,22;0,23;0,19;4;25;20;0,71;36;17;4;1,61
28/02/2021;0,37;0,25;0,24;0,1;2;22;20;0,32;24;18;6;0,62
27/02/2021;0,3;0,2;0,2;0,07;1;10;9;0,26;25;15;4;0,48
26/02/2021;0,29;0,21;0,21;0,12;1;18;16;0,38;24;13;4;0,67
25/02/2021;0,32;0,24;;0,18;3;27;22;0,66;39;18;5;1,06
24/02/2021;0,32;0,24;0,23;0,22;3;25;21;0,85;34;14;4;1,34
23/02/2021;0,37;0,21;0,22;0,21;4;28;23;0,78;7;4;7;1,53
22/02/2021;0,35;0,25;0,24;0,12;3;33;28;0,45;9;5;8;0,87
21/02/2021;0,32;0,21;0,2;0,11;1;9;8;0,46;43;16;5;0,8
20/02/2021;0,31;0,16;0,15;0,21;2;17;15;0,9;28;12;5;1,43
19/02/2021;0,26;0,14;0,16;0,19;2;19;16;0,77;86;25;5;1,24
18/02/2021;0,3;0,21;0,2;0,19;4;31;26;0,73;26;10;6;1,16
17/02/2021;0,46;0,26;0,27;0,28;16;53;30;1,09;18;12;9;1,93
16/02/2021;0,35;0,21;0,19;0,28;3;33;29;0,96;13;7;5;1,77
15/02/2021;0,37;0,2;0,2;0,17;4;20;15;0,63;9;6;5;1,14
14/02/2021;0,35;0,21;0,22;0,14;4;25;20;0,56;11;8;7;0,93
