Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);SO2 (µg/m3)
27/01/2021;28;81;40;22;2
26/01/2021;11;50;33;16;2
25/01/2021;19;59;30;16;2
24/01/2021;3;22;18;7;1
23/01/2021;3;18;14;7;2
22/01/2021;6;32;23;10;2
21/01/2021;2;9;6;4;2
20/01/2021;2;13;11;11;4
19/01/2021;7;36;25;13;4
18/01/2021;16;62;37;15;3
17/01/2021;8;46;34;13;4
16/01/2021;13;57;37;25;4
15/01/2021;15;64;42;22;3
14/01/2021;22;70;37;25;6
13/01/2021;32;102;53;34;6
12/01/2021;33;100;49;32;4
11/01/2021;8;43;30;17;3
10/01/2021;7;35;25;13;3
09/01/2021;9;45;31;18;3
08/01/2021;21;67;36;21;3
07/01/2021;17;50;23;16;3
06/01/2021;7;35;25;16;3
05/01/2021
04/01/2021
03/01/2021;2;25;23;4;2
02/01/2021;2;17;14;7;2
01/01/2021;0;11;10;7;2
