Date;CO (mg/m3);CO 8h (mg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
18/04/2021;207;0,2;1;8;7;18;13;4
17/04/2021;179;0,16;2;11;9;15;11;4
16/04/2021;;;5;21;14;17;11;4
15/04/2021;;;9;29;16;22;14;4
14/04/2021;227;0,23;10;34;19;21;13;7
13/04/2021;207;0,2;7;31;20;19;12;6
12/04/2021;212;0,21;4;19;13;10;7;3
11/04/2021;188;0,21;1;6;5;12;7;3
10/04/2021;256;0,26;1;11;10;15;11;5
09/04/2021;283;0,29;4;19;14;18;11;5
08/04/2021;283;0,26;2;21;19;19;11;8
07/04/2021;199;0,18;3;18;12;13;7;4
06/04/2021;163;0,18;1;10;8;16;8;4
05/04/2021;239;0,29;2;11;9;23;14;7
04/04/2021;;;1;5;4;21;11;7
03/04/2021;192;0,28;1;5;4;33;18;5
02/04/2021;431;0,38;2;14;12;47;23;8
01/04/2021;246;0,23;1;13;12;28;13;5
31/03/2021;188;0,23;2;22;19;35;15;8
30/03/2021;238;0,21;2;24;22;;;5
29/03/2021;218;0,23;2;23;20;;;6
28/03/2021;262;0,25;3;27;24;29;19;23
27/03/2021;205;0,22;1;15;13;16;8;6
26/03/2021;271;;8;29;16;23;14;7
25/03/2021;274;0,25;6;27;19;20;13;8
24/03/2021;242;0,25;8;32;20;24;14;9
23/03/2021;294;0,28;9;45;32;32;19;14
22/03/2021;232;0,24;6;25;17;17;12;5
21/03/2021;209;0,21;1;10;8;18;11;4
20/03/2021;185;0,18;1;5;3;14;8;3
19/03/2021;210;0,22;1;6;4;14;7;3
18/03/2021;203;0,2;3;16;11;17;10;4
17/03/2021;189;0,19;2;12;10;17;11;4
16/03/2021;195;0,21;2;17;15;24;12;5
15/03/2021;216;0,21;4;23;17;22;11;6
14/03/2021;205;0,21;1;8;6;17;8;7
13/03/2021;205;0,21;2;14;11;15;8;10
12/03/2021;224;0,22;2;20;17;19;8;8
11/03/2021;313;0,33;22;58;25;29;16;12
10/03/2021;259;0,24;5;38;30;27;20;10
09/03/2021;251;0,26;3;27;22;29;23;7
08/03/2021;260;0,26;7;24;15;27;18;6
07/03/2021;220;0,22;2;15;13;22;14;6
06/03/2021;203;0,2;1;4;3;20;13;4
05/03/2021;281;0,3;10;32;17;43;27;6
04/03/2021;257;0,25;3;25;21;60;31;7
03/03/2021;245;0,27;2;20;18;52;25;7
02/03/2021;250;0,22;2;17;15;40;20;4
01/03/2021;224;0,23;2;16;13;30;18;3
28/02/2021;275;0,26;2;13;11;25;18;6
27/02/2021;198;0,2;1;7;6;26;16;4
26/02/2021;176;0,18;1;12;10;27;15;3
25/02/2021;213;0,22;3;19;15;37;20;5
24/02/2021;161;0,15;1;15;13;27;16;3
23/02/2021;168;0,18;2;16;14;11;8;4
22/02/2021;231;0,23;1;18;16;13;8;5
21/02/2021;211;0,21;1;5;4;35;16;3
20/02/2021;193;0,18;1;8;7;22;12;3
19/02/2021;169;0,19;1;10;8;66;24;3
18/02/2021;193;0,18;1;16;15;25;12;4
17/02/2021;204;0,22;6;26;18;18;12;6
16/02/2021;225;0,21;3;25;22;15;10;3
15/02/2021;177;0,17;;;9;9;6;3
14/02/2021;186;0,21;;;4;11;8;5
13/02/2021;257;0,24;5;35;27;20;13;7
12/02/2021;210;0,23;1;15;14;14;8;4
11/02/2021;267;0,26;8;42;30;16;9;5
10/02/2021;282;0,27;1;18;17;13;7;4
09/02/2021;166;0,17;0;8;7;5;3;2
08/02/2021;228;0,22;5;27;19;10;6;4
07/02/2021;184;0,19;0;7;6;6;3;2
06/02/2021;204;0,2;0;11;11;14;9;2
05/02/2021;252;0,26;7;35;24;18;13;3
04/02/2021;226;0,21;4;34;27;13;7;4
03/02/2021;159;0,15;1;14;12;12;6;3
02/02/2021;102;;0;6;6;6;5;0
01/02/2021
31/01/2021
30/01/2021
29/01/2021;346;0,33;36;88;33;29;21;3
28/01/2021;280;0,29;26;71;31;31;20;4
27/01/2021;309;0,32;16;61;37;19;14;1
26/01/2021;277;0,26;11;47;30;15;11;6
25/01/2021;265;0,28;13;43;25;12;8;4
24/01/2021;237;0,25;1;13;12;7;5;3
23/01/2021;235;0,22;1;15;14;10;5;2
22/01/2021;247;0,24;2;19;17;9;5;2
21/01/2021;209;0,21;1;6;5;5;3;2
20/01/2021;196;0,19;1;9;8;9;6;3
19/01/2021;172;0,19;1;13;11;7;5;4
18/01/2021;415;0,44;21;68;37;21;14;7
17/01/2021;312;0,3;5;34;28;10;8;6
16/01/2021;244;0,24;5;33;26;16;10;8
15/01/2021;263;0,28;4;40;34;20;10;5
14/01/2021;271;0,26;7;41;31;16;9;5
13/01/2021;294;0,28;17;66;40;20;12;6
12/01/2021;282;0,29;15;64;41;21;13;6
11/01/2021;242;0,23;5;32;25;14;7;3
10/01/2021;244;0,25;2;16;14;13;9;3
09/01/2021;296;0,32;10;39;24;18;15;5
08/01/2021;345;0,33;28;77;35;21;16;7
07/01/2021;325;0,33;17;51;26;18;14;6
06/01/2021;277;0,28;5;28;20;13;11;6
05/01/2021;290;0,29;10;43;29;11;9;4
04/01/2021;221;0,21;3;29;25;6;4;4
03/01/2021;199;0,21;1;15;14;4;3;3
02/01/2021;204;0,2;2;17;13;7;4;3
01/01/2021;166;0,17;1;8;8;5;3;3
