Date;Benceno (µg/m3);M-P-XILENO (µg/m3);NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);O3 (µg/m3);O3 8h (µg/m3);PM10 (µg/m3);SH2 (µg/m3);SO2 (µg/m3);Tolueno (µg/m3)
04/07/2021;0,33;0,56;2;9;6;45;48;7;;6;0,75
03/07/2021;0,31;0,71;2;10;7;55;53;12;;5;0,92
02/07/2021;0,33;0,64;2;10;7;51;49;13;1;4;0,94
01/07/2021;0,33;0,79;2;12;9;49;52;11;1;3;1,13
30/06/2021;0,27;0,78;2;10;7;53;50;9;1;4;1,2
29/06/2021;0,23;0,43;1;7;5;60;64;12;1;2;0,55
28/06/2021;0,15;0,28;1;7;5;55;51;11;1;2;0,39
27/06/2021;0,18;0,44;1;6;4;50;49;8;1;3;0,4
26/06/2021;0,29;0,58;1;7;5;53;55;9;1;2;0,67
25/06/2021;0,42;0,66;2;12;8;53;52;10;1;6;0,92
24/06/2021;0,34;0,57;1;8;5;62;66;10;1;1;0,84
23/06/2021;0,17;0,17;1;6;4;68;68;7;1;1;0,24
22/06/2021;0,15;0,22;1;6;4;57;54;6;1;1;0,34
21/06/2021;0,21;0,31;1;6;4;51;52;8;1;2;0,53
20/06/2021;0,17;0,25;1;6;4;58;58;9;1;2;0,42
19/06/2021;0,23;0,44;1;7;4;53;53;8;1;2;0,74
18/06/2021;0,43;0,82;2;11;7;51;49;10;1;2;1,17
17/06/2021;0,29;0,94;2;13;10;51;51;10;1;2;1,46
16/06/2021;0,39;0,68;1;8;6;64;64;13;1;3;0,79
15/06/2021;0,54;1,32;5;21;14;53;51;16;1;7;1,88
14/06/2021;0,48;0,89;3;16;12;59;63;16;1;2;1,6
13/06/2021;1,9;1,25;2;16;12;56;54;20;2;5;1,39
12/06/2021;0,36;0,67;1;9;7;63;61;11;1;5;0,88
11/06/2021;0,36;1,08;2;9;6;45;42;8;1;3;0,72
10/06/2021;0,28;0,76;2;13;9;49;51;10;1;7;1,27
09/06/2021;0,37;0,8;2;10;7;55;54;8;1;2;1,07
08/06/2021;0,44;0,98;3;14;9;51;50;12;1;3;1,4
07/06/2021;0,24;0,45;2;12;8;58;57;11;1;4;0,59
06/06/2021;0,39;0,43;1;7;5;56;58;9;1;3;0,51
05/06/2021;0,23;0,54;2;10;7;47;43;9;1;4;0,8
04/06/2021;0,16;0,5;2;9;7;55;59;4;1;2;0,87
03/06/2021;0,21;0,59;1;9;7;65;70;6;1;2;0,75
02/06/2021;0,36;0,87;3;19;15;72;70;16;2;3;1,41
01/06/2021;0,5;0,61;1;8;6;79;75;13;2;3;0,76
31/05/2021;1,69;1,89;3;22;17;62;63;18;3;7;1,95
30/05/2021;0,47;0,72;1;10;8;63;60;10;2;10;0,92
29/05/2021;0,69;0,66;2;12;10;48;49;14;2;5;0,88
28/05/2021;0,89;1,15;3;19;15;46;47;19;1;8;1,55
27/05/2021;0,24;0,74;3;16;11;50;50;17;1;4;1,03
26/05/2021;0,42;0,89;4;19;12;50;50;;;6;1,15
25/05/2021;0,18;0,37;1;8;5;64;70;;;2;0,55
24/05/2021;0,15;0,24;1;7;5;76;74;14;1;2;0,3
23/05/2021;0,3;0,6;1;8;6;62;59;7;2;4;0,78
22/05/2021;0,2;0,4;1;8;6;57;58;8;2;1;0,51
21/05/2021;0,21;0,5;1;10;7;59;59;8;2;2;0,87
20/05/2021;;;6;25;15;49;48;12;2;4;
19/05/2021;;;2;9;6;57;60;7;2;3;
18/05/2021;;;3;17;12;53;48;12;2;3;
17/05/2021;;;1;8;6;62;67;14;2;2;
16/05/2021;;;1;7;5;57;48;8;2;1;
15/05/2021;;;3;18;14;40;43;9;2;3;
14/05/2021;;;2;10;7;66;72;7;2;1;
13/05/2021;;;1;8;5;66;66;6;2;2;
12/05/2021;;;1;5;3;80;78;9;2;1;
11/05/2021;0,14;0,21;1;8;6;77;79;9;2;4;0,45
10/05/2021;0,09;0,15;2;7;5;70;66;6;2;3;0,3
09/05/2021;0,19;0,24;1;8;6;60;60;14;2;3;0,3
08/05/2021;0,24;0,66;1;8;6;58;57;14;2;3;0,55
07/05/2021;0,17;0,32;3;13;8;48;47;14;1;11;0,4
06/05/2021;0,14;0,23;2;9;6;45;44;10;1;5;0,37
05/05/2021;0,18;0,22;3;12;8;61;67;8;1;6;0,33
04/05/2021;0,18;0,29;4;17;10;61;57;13;1;11;0,98
03/05/2021;0,2;0,29;3;19;13;52;;12;2;6;0,61
02/05/2021;0,18;0,16;1;7;5;73;77;7;1;6;0,27
01/05/2021;0,13;0,12;1;6;3;80;77;7;1;4;0,37
30/04/2021;;;2;10;8;61;60;9;1;4;
29/04/2021;;;2;11;8;63;64;5;1;5;
28/04/2021;;;2;11;9;74;72;12;1;3;
27/04/2021;;;1;10;7;71;70;7;1;4;
26/04/2021;;;2;14;11;64;68;10;1;5;
25/04/2021;;;1;4;2;83;85;7;1;3;
24/04/2021;;;1;6;4;92;93;10;2;4;
23/04/2021;;;1;6;4;88;87;6;1;3;
22/04/2021;;;1;8;6;78;73;5;1;3;
21/04/2021;;;3;17;13;68;71;12;2;11;
20/04/2021;;;2;15;12;73;73;13;3;6;
19/04/2021;;;7;32;21;59;59;16;3;7;
18/04/2021;;;1;11;9;78;81;10;3;8;
17/04/2021;;;1;11;9;76;78;7;3;15;
16/04/2021;;;2;15;11;72;69;8;3;7;
15/04/2021;;;3;16;11;64;64;10;3;6;
14/04/2021;;;3;18;13;58;58;10;3;10;
13/04/2021;;;6;26;16;49;49;10;3;9;
12/04/2021;;;2;12;9;58;62;6;3;7;
11/04/2021;;;1;8;6;75;72;6;2;3;
10/04/2021;;;1;8;6;63;64;8;2;3;
09/04/2021;;;2;14;11;60;64;10;2;4;
08/04/2021;;;1;10;8;69;68;14;2;3;
07/04/2021;;;2;13;10;73;75;8;2;9;
06/04/2021;;;2;16;12;83;84;9;2;16;
05/04/2021;;;1;10;7;75;72;13;2;5;
04/04/2021;;;1;8;6;77;78;12;2;5;
03/04/2021;;;1;11;8;75;72;18;2;5;
02/04/2021;;;2;14;11;62;61;34;3;7;
01/04/2021;;;1;7;5;82;89;25;3;3;
31/03/2021;;;1;6;4;92;89;24;3;2;
30/03/2021;;;1;7;5;86;89;26;3;2;
29/03/2021;;;1;8;6;96;90;15;3;3;
28/03/2021;;;2;17;14;58;56;19;3;14;
27/03/2021;;;2;11;8;65;71;13;3;8;
26/03/2021;;;3;14;10;56;52;11;3;3;
25/03/2021;;;4;19;13;54;58;8;3;5;
24/03/2021;;;5;23;16;54;50;13;3;6;
23/03/2021;;;9;34;21;44;45;12;3;9;
22/03/2021;;;3;14;10;52;59;7;2;9;
21/03/2021;;;1;9;7;83;84;9;2;6;
20/03/2021;;;2;14;11;75;73;9;2;15;
19/03/2021;;;2;10;8;73;74;8;2;11;
18/03/2021;;;2;12;9;71;72;10;2;7;
17/03/2021;;;1;9;7;68;64;6;2;5;
16/03/2021;;;1;12;10;68;72;10;2;3;
15/03/2021;;;;;;68;66;12;2;3;
14/03/2021;;;;;;78;81;12;2;3;
13/03/2021;;;;;;69;63;9;2;3;
12/03/2021;;;;;;62;65;9;3;3;
11/03/2021;;;;;;48;41;11;2;6;
10/03/2021;;;;;;53;55;11;2;5;
09/03/2021;;;;;;64;67;9;2;3;
08/03/2021;;;;;;55;49;12;2;3;
07/03/2021;;;;;;46;48;14;2;3;
06/03/2021;;;;;;63;66;12;2;6;
05/03/2021;;;1;12;9;50;42;26;2;5;
04/03/2021;;;1;10;8;47;;43;2;3;
03/03/2021;;;1;9;7;59;64;41;1;4;
02/03/2021;;;1;5;3;72;72;29;1;2;
01/03/2021;;;1;6;3;68;63;18;1;2;
28/02/2021;;;1;9;7;47;51;12;1;5;
27/02/2021;;;2;10;7;57;56;14;1;8;
26/02/2021;;;1;12;10;65;68;15;1;4;
25/02/2021;;;1;8;6;61;58;26;1;2;
24/02/2021;;;1;8;5;62;66;19;1;2;
23/02/2021;;;1;5;3;69;65;4;1;2;
22/02/2021;;;1;9;7;71;76;6;1;2;
21/02/2021;;;1;6;4;77;73;34;1;3;
20/02/2021;;;1;6;4;73;75;17;1;2;
19/02/2021;;;1;4;2;70;66;59;1;2;
18/02/2021;;;1;9;7;66;70;20;1;3;
17/02/2021;;;1;5;3;66;60;3;1;2;
16/02/2021;;;1;13;11;58;60;9;1;3;
15/02/2021;;;1;5;3;64;65;4;1;2;
14/02/2021;;;1;5;3;60;52;5;1;2;
13/02/2021;;;2;13;11;43;49;9;1;3;
12/02/2021;;;2;8;5;65;;8;1;2;
11/02/2021;;;1;12;10;49;52;6;1;5;
10/02/2021;;;1;8;5;68;74;7;1;2;
09/02/2021;;;1;5;3;77;73;3;1;2;
08/02/2021;;;2;8;5;64;64;5;1;2;
07/02/2021;;;1;4;2;62;63;3;1;2;
06/02/2021;;;1;9;7;57;52;7;1;7;
05/02/2021;;;2;14;10;40;45;7;1;5;
04/02/2021;;;1;7;5;69;71;5;1;2;
03/02/2021;;;2;11;8;66;64;7;1;3;
02/02/2021;;;1;4;2;56;56;2;1;2;
01/02/2021;;;1;7;5;73;74;18;1;2;
31/01/2021;;;1;6;4;71;73;10;1;2;
30/01/2021;;;1;7;4;67;61;6;1;3;
29/01/2021;;;9;31;17;26;24;8;1;4;
28/01/2021;0,37;0,76;7;25;15;28;27;9;1;4;1,48
27/01/2021;0,22;0,36;2;16;13;35;38;7;1;2;0,68
26/01/2021;0,22;0,26;2;13;9;42;46;4;1;2;0,48
25/01/2021;0,34;0,23;2;13;10;53;51;5;1;2;0,49
24/01/2021;0,23;0,13;1;5;3;71;74;4;1;2;0,23
23/01/2021;0,24;0,2;1;6;4;69;67;6;1;2;0,33
22/01/2021;0,21;0,12;1;6;4;74;78;4;1;1;0,22
21/01/2021;0,16;0,09;1;4;2;78;77;3;1;1;0,21
20/01/2021;0,13;0,07;1;5;3;78;78;5;1;2;0,21
19/01/2021;;;1;4;2;72;62;3;1;1;
18/01/2021;;;6;32;24;32;38;8;1;6;
17/01/2021;;;1;10;8;51;47;6;1;4;
16/01/2021;;;2;10;7;48;51;8;1;6;
15/01/2021;;;2;12;9;59;64;9;1;4;
14/01/2021;;;1;9;6;59;54;6;1;4;
13/01/2021;;;4;22;16;47;50;9;1;5;
12/01/2021;;;2;13;10;51;49;8;1;4;
11/01/2021;;;2;13;10;64;68;9;1;6;
10/01/2021;;;1;10;7;52;48;9;1;6;
09/01/2021;;;2;15;11;36;34;8;1;5;
08/01/2021;;;4;22;16;36;35;8;1;8;
07/01/2021;;;8;30;17;30;30;7;1;6;
06/01/2021;;;2;12;9;32;31;6;1;5;
05/01/2021;;;2;14;11;44;50;5;1;3;
04/01/2021;;;1;7;4;65;67;2;1;3;
03/01/2021;;;1;5;2;62;61;2;1;3;
02/01/2021;;;1;9;6;68;70;8;1;5;
01/01/2021;;;1;4;2;73;73;3;1;4;
