Date;NO (µg/m3);NOX (µg/m3);NO2 (µg/m3);PM10 (µg/m3);PM2,5 (µg/m3);SO2 (µg/m3)
26/05/2021;10;36;21;21;11;6
25/05/2021;2;13;10;14;5;5
24/05/2021;3;23;18;19;7;5
23/05/2021;2;16;12;10;7;6
22/05/2021;2;17;14;10;7;5
21/05/2021;5;32;24;11;6;7
20/05/2021;12;43;26;16;8;6
19/05/2021;2;13;10;9;3;4
18/05/2021;10;40;24;14;7;5
17/05/2021;4;19;13;18;5;4
16/05/2021;1;9;7;9;4;3
15/05/2021;3;29;24;10;8;5
14/05/2021;2;18;14;8;2;5
13/05/2021;5;26;19;8;5;5
12/05/2021;2;13;9;9;3;5
11/05/2021;2;15;11;11;4;10
10/05/2021;3;18;14;8;;5
09/05/2021;1;12;10;17;12;6
08/05/2021;5;25;17;15;12;6
07/05/2021;8;29;17;17;9;6
06/05/2021;15;43;20;14;7;5
05/05/2021;3;21;16;7;4;5
04/05/2021;10;36;21;18;11;9
03/05/2021;10;44;28;13;10;6
02/05/2021;1;18;15;10;6;6
01/05/2021;1;7;6;6;4;3
30/04/2021;12;44;24;12;7;5
29/04/2021;4;29;22;6;3;4
28/04/2021;3;24;19;15;7;3
27/04/2021;3;24;19;10;7;4
26/04/2021;9;46;33;14;10;5
25/04/2021;2;10;7;8;6;4
24/04/2021;2;13;9;12;6;5
23/04/2021;6;23;14;10;8;5
22/04/2021;4;24;17;9;7;5
21/04/2021;7;35;24;19;13;9
20/04/2021;13;44;25;18;13;11
19/04/2021;15;57;34;29;22;9
18/04/2021;1;17;15;16;13;10
17/04/2021;1;11;9;10;8;5
16/04/2021;14;45;23;16;11;5
15/04/2021;18;50;23;18;12;5
14/04/2021;17;51;25;21;14;5
13/04/2021;12;42;24;17;16;6
12/04/2021;10;36;21;8;7;4
11/04/2021;0;7;6;6;3;3
10/04/2021;1;13;12;9;9;3
09/04/2021;2;20;16;13;10;4
08/04/2021;4;28;21;16;11;6
07/04/2021;2;18;15;10;6;5
06/04/2021;3;21;17;11;5;4
05/04/2021;1;15;12;15;9;8
04/04/2021;0;7;6;14;7;6
03/04/2021;0;7;6;21;10;4
02/04/2021;2;19;16;37;20;6
01/04/2021;1;12;11;27;14;5
31/03/2021;8;26;14;30;14;4
30/03/2021;6;28;19;33;18;6
29/03/2021;4;24;18;23;13;5
28/03/2021;4;30;24;29;19;10
27/03/2021;2;16;13;16;9;4
26/03/2021;20;58;27;18;10;5
25/03/2021;13;42;22;13;9;6
24/03/2021;19;62;32;22;15;10
23/03/2021;14;61;39;25;20;8
22/03/2021;5;26;18;10;7;3
21/03/2021;1;11;10;12;6;3
20/03/2021;1;9;7;9;4;3
19/03/2021;1;10;8;8;4;3
18/03/2021;4;25;18;12;6;3
17/03/2021;6;30;22;8;4;3
16/03/2021;5;26;19;12;5;3
15/03/2021;17;52;26;18;8;6
14/03/2021;1;7;5;13;5;3
13/03/2021;1;12;10;14;8;6
12/03/2021;4;22;15;12;5;7
11/03/2021;33;83;33;23;16;13
10/03/2021;12;65;46;27;22;9
09/03/2021;4;25;20;17;11;3
08/03/2021;7;32;21;19;10;6
07/03/2021;2;20;17;19;11;4
06/03/2021;1;13;11;12;7;3
05/03/2021;18;58;29;37;21;6
04/03/2021;8;41;29;53;31;6
03/03/2021;4;28;22;41;23;5
02/03/2021;2;17;14;33;19;4
01/03/2021;3;22;17;23;17;5
28/02/2021;2;17;14;18;13;6
27/02/2021;1;10;9;16;9;4
26/02/2021;2;21;17;18;7;4
25/02/2021;3;24;20;28;16;5
24/02/2021;2;17;14;18;12;4
23/02/2021;1;15;14;6;5;4
22/02/2021;2;20;18;7;;4
21/02/2021;0;8;8;31;;4
20/02/2021;0;9;9;17;;5
19/02/2021;1;14;13;55;27;5
18/02/2021;3;29;25;18;10;4
17/02/2021;3;25;20;11;11;5
16/02/2021;2;25;22;12;9;5
15/02/2021;2;15;12;7;7;5
14/02/2021;0;14;14;7;8;5
13/02/2021;5;34;26;19;19;7
12/02/2021;2;16;13;8;3;4
11/02/2021;14;55;33;13;9;7
10/02/2021;2;15;12;7;2;5
09/02/2021;1;13;11;3;2;3
08/02/2021
07/02/2021
06/02/2021;1;14;11;9;;3
05/02/2021;14;50;29;17;12;4
04/02/2021;5;29;22;10;6;5
03/02/2021;4;26;19;11;5;5
02/02/2021;2;12;9;4;2;3
01/02/2021;4;23;16;22;12;4
31/01/2021;1;9;7;16;5;5
30/01/2021;1;10;8;7;5;6
29/01/2021;32;75;26;15;12;7
28/01/2021;38;81;22;19;15;6
27/01/2021;13;47;28;8;6;5
26/01/2021;19;61;31;14;12;6
25/01/2021;18;54;26;9;6;5
24/01/2021;1;8;7;4;2;6
23/01/2021;1;11;9;6;3;5
22/01/2021;2;13;10;5;2;7
21/01/2021;2;12;9;4;3;3
20/01/2021;2;13;10;7;6;3
19/01/2021;3;19;14;8;8;4
18/01/2021;18;59;31;14;12;6
17/01/2021;1;17;15;7;8;11
16/01/2021;4;26;20;14;12;10
15/01/2021;5;25;17;10;3;5
14/01/2021;6;28;18;10;7;12
13/01/2021;40;93;32;16;11;12
12/01/2021;28;73;30;21;18;10
11/01/2021;6;36;27;12;6;6
10/01/2021;1;14;12;10;7;5
09/01/2021;3;18;14;11;12;5
08/01/2021;21;56;24;16;14;6
07/01/2021;21;54;23;10;11;6
06/01/2021;6;32;23;11;13;9
05/01/2021;12;49;31;10;12;10
04/01/2021;1;13;11;4;3;8
03/01/2021;0;8;8;3;3;8
02/01/2021;1;12;11;8;3;6
01/01/2021;0;6;6;3;1;8
